uniprot	domain_id	domain_name	start	end
P53355	PF12796	Ankyrin repeats (3 copies)	430	508
P53355	PF12796	Ankyrin repeats (3 copies)	570	637
P53355	PF13637	Ankyrin repeats (many copies)	525	564
P53365	PF06456	Arfaptin-like domain	97	316
P53367	PF06456	Arfaptin-like domain	123	348
P53370	PF00293	NUDIX domain	142	259
P53370	PF18290	Nudix hydrolase domain	46	129
P53384	PF10609	NUBPL iron-transfer P-loop NTPase	53	303
P53396	PF00285	Citrate synthase, C-terminal domain	888	1081
P53396	PF00549	CoA-ligase	660	784
P53396	PF02629	CoA binding domain	495	600
P53396	PF16114	ATP citrate lyase citrate-binding	244	420
P53396	PF24948	ATP-citrate synthase ATP-grasp domain	2	233
P53420	PF01391	Collagen triple helix repeat (20 copies)	62	119
P53420	PF01391	Collagen triple helix repeat (20 copies)	183	235
P53420	PF01391	Collagen triple helix repeat (20 copies)	296	354
P53420	PF01391	Collagen triple helix repeat (20 copies)	367	427
P53420	PF01391	Collagen triple helix repeat (20 copies)	500	557
P53420	PF01391	Collagen triple helix repeat (20 copies)	906	964
P53420	PF01391	Collagen triple helix repeat (20 copies)	1015	1073
P53420	PF01391	Collagen triple helix repeat (20 copies)	1082	1139
P53420	PF01391	Collagen triple helix repeat (20 copies)	1198	1249
P53420	PF01391	Collagen triple helix repeat (20 copies)	1313	1370
P53420	PF01413	C-terminal tandem repeated domain in type 4 procollagen	1467	1570
P53420	PF01413	C-terminal tandem repeated domain in type 4 procollagen	1575	1687
P53539	PF00170	bZIP transcription factor	153	211
P53567	PF07716	Basic region leucine zipper	62	114
P53582	PF00557	Metallopeptidase family M24	137	365
P53582	PF15801	zf-MYND-like zinc finger, mRNA-binding	9	54
P53597	PF00549	CoA-ligase	199	324
P53597	PF02629	CoA binding domain	53	146
P53602	PF18376	Mevalonate 5-diphosphate decarboxylase C-terminal domain	197	382
P53602	PF22700	Diphosphomevalonate decarboxylase-like N-terminal domain	14	183
P53609	PF00432	Prenyltransferase alpha-alpha toroid domain	20	346
P53611	PF00432	Prenyltransferase alpha-alpha toroid domain	18	315
P53618	PF01602	Adaptin N terminal region	23	530
P53618	PF07718	Coatomer beta C-terminal region	667	806
P53618	PF14806	Coatomer beta subunit appendage platform	813	944
P53621	PF00400	WD domain, G-beta repeat	5	37
P53621	PF00400	WD domain, G-beta repeat	43	79
P53621	PF00400	WD domain, G-beta repeat	84	121
P53621	PF00400	WD domain, G-beta repeat	126	163
P53621	PF00400	WD domain, G-beta repeat	198	232
P53621	PF00400	WD domain, G-beta repeat	242	277
P53621	PF04053	COPA/B second beta-propeller	341	582
P53621	PF06957	Coatomer (COPI) alpha subunit C-terminus	815	1224
P53621	PF23953	COPA/B TPR domain	610	766
P53634	PF00112	Papain family cysteine protease	231	457
P53634	PF08773	Cathepsin C exclusion domain	25	141
P53667	PF00412	LIM domain	25	79
P53667	PF00412	LIM domain	84	141
P53667	PF00595	PDZ domain	166	254
P53667	PF07714	Protein tyrosine and serine/threonine kinase	342	602
P53671	PF00412	LIM domain	12	68
P53671	PF00412	LIM domain	72	127
P53671	PF00595	PDZ domain	153	236
P53671	PF07714	Protein tyrosine and serine/threonine kinase	334	599
P53672	PF00030	Beta/Gamma crystallin	14	98
P53672	PF00030	Beta/Gamma crystallin	107	195
P53673	PF00030	Beta/Gamma crystallin	13	96
P53673	PF00030	Beta/Gamma crystallin	107	194
P53674	PF00030	Beta/Gamma crystallin	61	142
P53674	PF00030	Beta/Gamma crystallin	150	231
P53675	PF00637	Region in Clathrin and VPS	542	679
P53675	PF00637	Region in Clathrin and VPS	688	826
P53675	PF00637	Region in Clathrin and VPS	842	970
P53675	PF00637	Region in Clathrin and VPS	980	1118
P53675	PF00637	Region in Clathrin and VPS	1130	1266
P53675	PF00637	Region in Clathrin and VPS	1277	1417
P53675	PF00637	Region in Clathrin and VPS	1425	1565
P53675	PF01394	Clathrin propeller repeat	19	55
P53675	PF01394	Clathrin propeller repeat	150	187
P53675	PF01394	Clathrin propeller repeat	198	234
P53675	PF01394	Clathrin propeller repeat	256	288
P53675	PF01394	Clathrin propeller repeat	296	330
P53675	PF09268	Clathrin, heavy-chain linker	331	354
P53675	PF13838	Clathrin-H-link	356	421
P53677	PF00928	Adaptor complexes medium subunit family	165	418
P53677	PF01217	Clathrin adaptor complex small chain	1	127
P53680	PF01217	Clathrin adaptor complex small chain	1	141
P53701	PF01265	Cytochrome c/c1 heme lyase	12	260
P53708	PF00357	Integrin alpha cytoplasmic region	1035	1049
P53708	PF01839	FG-GAP repeat	268	300
P53708	PF01839	FG-GAP repeat	321	363
P53708	PF01839	FG-GAP repeat	386	422
P53708	PF08441	Integrin alpha Ig-like domain 1	483	639
P53708	PF20805	Integrin alpha Ig-like domain 2	641	781
P53708	PF20806	Integrin alpha Ig-like domain 3	787	1001
P53778	PF00069	Protein kinase domain	27	311
P53779	PF00069	Protein kinase domain	64	359
P53794	PF00474	Sodium:solute symporter family	39	477
P53801	PF27838	PTTG1IP C-terminal domain	137	166
P53803	PF03604	DNA directed RNA polymerase, 7 kDa subunit	17	48
P53804	PF13639	Ring finger domain	1956	1997
P53804	PF19179	E3 ubiquitin-protein ligase TTC3/DZIP3 domain	622	737
P53804	PF24525	TTC3, helical domain	1486	1735
P53804	PF24812	TTC3-like, winged helix turn helix domain	1067	1188
P53804	PF24905	TTC3, helical domain	1843	1902
P53805	PF04847	Calcipressin	76	245
P53814	PF00307	Calponin homology (CH) domain	801	906
P53814	PF12510	Smoothelin cytoskeleton protein	1	41
P53814	PF12510	Smoothelin cytoskeleton protein	74	122
P53814	PF12510	Smoothelin cytoskeleton protein	571	619
P53816	PF04970	Lecithin retinol acyltransferase	7	125
P53985	PF07690	Major Facilitator Superfamily	27	397
P53990	PF03398	Regulator of Vps4 activity in the MVB pathway	13	176
P53992	PF00626	Gelsolin repeat	962	1035
P53992	PF04810	Sec23/Sec24 zinc finger	422	460
P53992	PF04811	Sec23/Sec24 trunk domain	499	743
P53992	PF04815	Sec23/Sec24 helical domain	844	943
P53992	PF08033	Sec23/Sec24 beta-sandwich domain	748	831
P53999	PF02229	Transcriptional Coactivator p15 (PC4)	64	115
P54098	PF18136	DNA mitochondrial polymerase exonuclease domain	121	414
P54105	PF03517	Regulator of volume decrease after cellular swelling	35	157
P54107	PF00188	Cysteine-rich secretory protein family	46	175
P54107	PF08562	Crisp	195	249
P54108	PF00188	Cysteine-rich secretory protein family	43	171
P54108	PF08562	Crisp	191	245
P54132	PF00270	DEAD/DEAH box helicase	670	839
P54132	PF00271	Helicase conserved C-terminal domain	882	984
P54132	PF00570	HRDC domain	1217	1281
P54132	PF08072	BDHCT (NUC031) domain	372	412
P54132	PF09382	RQC domain	1072	1195
P54132	PF16124	RecQ zinc-binding	995	1067
P54132	PF16202	N-terminal region of Bloom syndrome protein	1	368
P54132	PF16204	BDHCT-box associated domain on Bloom syndrome protein	425	647
P54136	PF00750	tRNA synthetases class I (R), catalytic domain	174	520
P54136	PF03485	Arginyl tRNA synthetase N terminal domain	79	166
P54136	PF05746	DALR anticodon binding domain	534	660
P54198	PF07569	TUP1-like enhancer of split	764	962
P54198	PF24105	CAF1B/HIR1 beta-propeller domain	1	212
P54219	PF07690	Major Facilitator Superfamily	137	431
P54252	PF02099	Josephin	9	166
P54252	PF02809	Ubiquitin interaction motif	224	239
P54252	PF02809	Ubiquitin interaction motif	244	259
P54252	PF02809	Ubiquitin interaction motif	335	350
P54252	PF16619	Unstructured region C-term to UIM in Ataxin3	263	329
P54253	PF08517	Ataxin-1 and HBP1 module (AXH)	574	686
P54253	PF12547	Ataxin-1 like family	197	558
P54257	PF04849	HAP1 N-terminal conserved region	108	460
P54259	PF03154	Atrophin-1 family	1	149
P54259	PF03154	Atrophin-1 family	404	1188
P54274	PF00249	Myb-like DNA-binding domain	380	427
P54274	PF08558	Telomere repeat binding factor (TRF)	77	269
P54277	PF00505	HMG (high mobility group) box	571	637
P54277	PF01119	DNA mismatch repair protein, C-terminal domain	211	334
P54277	PF13589	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	20	116
P54278	PF01119	DNA mismatch repair protein, C-terminal domain	265	359
P54278	PF08676	MutL C terminal dimerisation domain	679	822
P54278	PF13589	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	34	137
P54284	PF00625	Guanylate kinase	176	354
P54284	PF12052	Voltage gated calcium channel subunit beta domain 4Aa N terminal	16	58
P54289	PF00092	von Willebrand factor type A domain	253	418
P54289	PF08399	VWA N-terminal	104	223
P54289	PF08473	Neuronal voltage-dependent calcium channel alpha 2acd	644	1072
P54296	PF00041	Fibronectin type III domain	385	472
P54296	PF00041	Fibronectin type III domain	513	601
P54296	PF00041	Fibronectin type III domain	613	700
P54296	PF00041	Fibronectin type III domain	713	802
P54296	PF00041	Fibronectin type III domain	817	903
P54296	PF07679	Immunoglobulin I-set domain	154	246
P54296	PF07679	Immunoglobulin I-set domain	283	372
P54296	PF07679	Immunoglobulin I-set domain	1351	1435
P54296	PF28321	Myomesin-1-li,e, iImmunoglobulin-like domain	915	1013
P54315	PF00151	Lipase	18	353
P54315	PF01477	PLAT/LH2 domain	358	461
P54317	PF00151	Lipase	18	354
P54317	PF01477	PLAT/LH2 domain	359	460
P54368	PF02100	Ornithine decarboxylase antizyme	136	216
P54577	PF00579	tRNA synthetases class I (W and Y)	32	321
P54577	PF01588	Putative tRNA binding domain	370	465
P54578	PF00443	Ubiquitin carboxyl-terminal hydrolase	105	480
P54619	PF00571	CBS domain	45	96
P54619	PF00571	CBS domain	127	176
P54619	PF00571	CBS domain	203	249
P54619	PF00571	CBS domain	276	323
P54646	PF00069	Protein kinase domain	16	268
P54646	PF16579	Adenylate sensor of SNF1-like protein kinase	401	480
P54646	PF21147	AMP-activated protein kinase, alpha subunit, autoinhibitory domain	288	333
P54652	PF00012	Hsp70 protein	7	615
P54687	PF01063	Amino-transferase class IV	94	343
P54707	PF00122	P-type ATPase actuator domain	178	289
P54707	PF00689	Cation transporting ATPase, C-terminus	814	1024
P54707	PF00690	Cation transporter/ATPase, N-terminus	59	126
P54707	PF08282	haloacid dehalogenase-like hydrolase	725	773
P54707	PF13246	P-type ATPase, cytoplasmic domain N	433	612
P54709	PF00287	Sodium / potassium ATPase beta chain	6	273
P54710	PF02038	ATP1G1/PLM/MAT8 family	16	60
P54725	PF00240	Ubiquitin family	5	78
P54725	PF00627	UBA/TS-N domain	162	198
P54725	PF00627	UBA/TS-N domain	321	355
P54725	PF09280	XPC-binding domain	232	287
P54727	PF00240	Ubiquitin family	3	76
P54727	PF00627	UBA/TS-N domain	190	225
P54727	PF00627	UBA/TS-N domain	367	401
P54727	PF09280	XPC-binding domain	276	331
P54750	PF00233	3'5'-cyclic nucleotide phosphodiesterase	218	438
P54750	PF08499	3'5'-cyclic nucleotide phosphodiesterase N-terminal	73	133
P54753	PF00041	Fibronectin type III domain	341	435
P54753	PF00041	Fibronectin type III domain	458	540
P54753	PF00536	SAM domain (Sterile alpha motif)	924	987
P54753	PF01404	Ephrin receptor ligand binding domain	40	212
P54753	PF07699	Tyrosine-protein kinase ephrin type A/B receptor-like	281	316
P54753	PF07714	Protein tyrosine and serine/threonine kinase	633	892
P54753	PF14575	Ephrin type-A receptor 2 transmembrane domain	560	630
P54753	PF25599	Ephrin cysteine rich domain	214	271
P54756	PF00041	Fibronectin type III domain	359	449
P54756	PF00041	Fibronectin type III domain	470	556
P54756	PF00536	SAM domain (Sterile alpha motif)	966	1027
P54756	PF01404	Ephrin receptor ligand binding domain	62	233
P54756	PF07714	Protein tyrosine and serine/threonine kinase	675	932
P54756	PF14575	Ephrin type-A receptor 2 transmembrane domain	575	672
P54756	PF25599	Ephrin cysteine rich domain	234	291
P54760	PF00041	Fibronectin type III domain	325	413
P54760	PF00041	Fibronectin type III domain	436	522
P54760	PF00536	SAM domain (Sterile alpha motif)	908	969
P54760	PF01404	Ephrin receptor ligand binding domain	18	197
P54760	PF07699	Tyrosine-protein kinase ephrin type A/B receptor-like	261	299
P54760	PF07714	Protein tyrosine and serine/threonine kinase	615	874
P54760	PF14575	Ephrin type-A receptor 2 transmembrane domain	541	612
P54760	PF25599	Ephrin cysteine rich domain	200	255
P54762	PF00041	Fibronectin type III domain	326	415
P54762	PF00041	Fibronectin type III domain	443	519
P54762	PF00536	SAM domain (Sterile alpha motif)	911	973
P54762	PF01404	Ephrin receptor ligand binding domain	20	196
P54762	PF07714	Protein tyrosine and serine/threonine kinase	619	878
P54762	PF14575	Ephrin type-A receptor 2 transmembrane domain	542	616
P54762	PF25599	Ephrin cysteine rich domain	197	255
P54764	PF00041	Fibronectin type III domain	330	423
P54764	PF00041	Fibronectin type III domain	446	530
P54764	PF01404	Ephrin receptor ligand binding domain	32	204
P54764	PF07647	SAM domain (Sterile alpha motif)	909	973
P54764	PF07714	Protein tyrosine and serine/threonine kinase	621	878
P54764	PF14575	Ephrin type-A receptor 2 transmembrane domain	550	618
P54764	PF25599	Ephrin cysteine rich domain	205	262
P54802	PF05089	Alpha-N-acetylglucosaminidase (NAGLU) tim-barrel domain	130	465
P54802	PF12971	Alpha-N-acetylglucosaminidase (NAGLU) N-terminal domain	30	116
P54802	PF12972	Alpha-N-acetylglucosaminidase (NAGLU) C-terminal domain	474	733
P54803	PF02057	Glycosyl hydrolase family 59	55	349
P54803	PF17387	Glycosyl hydrolase family 59 central domain	357	472
P54803	PF21708	Galactocerebrosidase, C-terminal lectin domain	509	683
P54819	PF00406	Adenylate kinase	20	141
P54819	PF00406	Adenylate kinase	178	205
P54819	PF05191	Adenylate kinase, active site lid	142	177
P54821	PF00046	Homeodomain	95	151
P54821	PF03826	OAR motif	220	235
P54826	PF02351	GDNF/GAS1 domain	166	240
P54829	PF00102	Protein-tyrosine phosphatase	324	552
P54840	PF05693	Glycogen synthase	32	662
P54845	PF03131	bZIP Maf transcription factor	132	222
P54845	PF08383	Maf N-terminal region	67	101
P54849	PF00822	PMP-22/EMP/MP20/Claudin family	1	151
P54851	PF00822	PMP-22/EMP/MP20/Claudin family	1	160
P54852	PF00822	PMP-22/EMP/MP20/Claudin family	1	156
P54855	PF00201	UDP-glucoronosyl and UDP-glucosyl transferase	24	527
P54868	PF01154	Hydroxymethylglutaryl-coenzyme A synthase N terminal	50	223
P54868	PF08540	Hydroxymethylglutaryl-coenzyme A synthase C terminal	225	506
P54886	PF00171	Aldehyde dehydrogenase family	363	625
P54886	PF00696	Amino acid kinase family	71	329
P54920	PF14938	Soluble NSF attachment protein, SNAP	9	288
P54922	PF03747	ADP-ribosylglycohydrolase	6	324
P55000	PF00021	u-PAR/Ly-6 domain	22	101
P55001	PF05507	Microfibril-associated glycoprotein (MAGP)	1	156
P55008	PF21008	Allograft inflammatory factor 1	8	147
P55010	PF01873	Domain found in IF2B/IF5	8	127
P55010	PF02020	eIF4-gamma/eIF5/eIF2-epsilon	311	390
P55011	PF00324	Amino acid permease	290	792
P55011	PF03522	Solute carrier family 12	801	1212
P55011	PF08403	Amino acid permease N-terminal	202	253
P55017	PF00324	Amino acid permease	141	646
P55017	PF03522	Solute carrier family 12	655	790
P55017	PF03522	Solute carrier family 12	816	1020
P55017	PF08403	Amino acid permease N-terminal	46	116
P55036	PF02809	Ubiquitin interaction motif	212	227
P55036	PF02809	Ubiquitin interaction motif	282	297
P55036	PF13519	von Willebrand factor type A domain	6	114
P55039	PF01926	50S ribosome-binding GTPase	64	172
P55039	PF02824	TGS domain	291	363
P55039	PF16897	C-terminal region of MMR_HSR1 domain	185	289
P55040	PF00071	Ras family	77	240
P55042	PF00071	Ras family	93	252
P55055	PF00104	Ligand-binding domain of nuclear hormone receptor	262	443
P55055	PF00105	Double treble clef zinc finger, C4 type	86	155
P55056	PF15119	Apolipoprotein C4	32	124
P55058	PF01273	LBP / BPI / CETP family, N-terminal domain	30	198
P55058	PF02886	LBP / BPI / CETP family, C-terminal domain	229	464
P55060	PF03378	CAS/CSE protein, C-terminus	527	962
P55060	PF03810	Importin-beta N-terminal domain	29	102
P55060	PF08506	Cse1	156	525
P55061	PF01027	Inhibitor of apoptosis-promoting Bax1	24	229
P55064	PF00230	Major intrinsic protein	5	221
P55072	PF00004	ATPase family associated with various cellular activities (AAA)	241	370
P55072	PF00004	ATPase family associated with various cellular activities (AAA)	514	647
P55072	PF02359	Cell division protein 48 (CDC48), N-terminal domain	25	106
P55072	PF02933	Cell division protein 48 (CDC48), domain 2	126	190
P55072	PF17862	AAA+ lid domain	393	434
P55072	PF17862	AAA+ lid domain	669	708
P55073	PF00837	Iodothyronine deiodinase	38	293
P55075	PF00167	Fibroblast growth factor	70	193
P55081	PF06991	Microfibril-associated/Pre-mRNA processing	191	399
P55083	PF00147	Fibrinogen beta and gamma chains, C-terminal globular domain	39	253
P55084	PF00108	Thiolase, N-terminal domain	54	324
P55084	PF02803	Thiolase, C-terminal domain	331	470
P55085	PF00001	7 transmembrane receptor (rhodopsin family)	93	344
P55087	PF00230	Major intrinsic protein	32	248
P55089	PF00473	Corticotropin-releasing factor family	85	122
P55107	PF00019	Transforming growth factor beta like domain	376	477
P55145	PF10208	ARMET, C-terminal	129	171
P55145	PF20145	ARMET, N-terminal	29	125
P55157	PF01347	Lipoprotein amino terminal region	29	579
P55157	PF19444	MTP large subunit, lipid-binding domain	592	884
P55160	PF09735	Nck-associated protein 1	7	1122
P55196	PF00498	FHA domain	428	492
P55196	PF00595	PDZ domain	1010	1089
P55196	PF00788	Ras association (RalGDS/AF-6) domain	40	133
P55196	PF00788	Ras association (RalGDS/AF-6) domain	247	347
P55196	PF01843	DIL domain	785	887
P55196	PF26705	Afadin-like domain	1518	1651
P55197	PF13831	PHD-finger	37	72
P55197	PF13832	PHD-zinc-finger like domain	81	197
P55198	PF13831	PHD-finger	20	55
P55198	PF13832	PHD-zinc-finger like domain	64	180
P55199	PF07303	Occludin homology domain	513	614
P55199	PF10390	RNA polymerase II elongation factor ELL	6	292
P55201	PF00439	Bromodomain	638	719
P55201	PF00855	PWWP domain	1087	1196
P55201	PF10513	Enhancer of polycomb-like	106	255
P55201	PF13831	PHD-finger	288	320
P55201	PF13832	PHD-zinc-finger like domain	329	447
P55209	PF00956	Nucleosome assembly protein (NAP)	76	345
P55210	PF00656	Caspase domain	68	300
P55211	PF00619	Caspase recruitment domain	6	90
P55211	PF00656	Caspase domain	161	412
P55212	PF00656	Caspase domain	44	286
P55259	PF00100	ZP-C domain	347	478
P55259	PF23283	Uromodulin-like, D8C domain	93	178
P55259	PF23344	ZP-N domain	229	323
P55263	PF00294	pfkB family carbohydrate kinase	45	356
P55265	PF00035	Double-stranded RNA binding motif	504	567
P55265	PF00035	Double-stranded RNA binding motif	615	679
P55265	PF00035	Double-stranded RNA binding motif	727	792
P55265	PF02137	Adenosine-deaminase (editase) domain	886	1215
P55265	PF02295	Adenosine deaminase z-alpha domain	135	200
P55265	PF02295	Adenosine deaminase z-alpha domain	295	358
P55268	PF00053	Laminin EGF domain	283	336
P55268	PF00053	Laminin EGF domain	410	467
P55268	PF00053	Laminin EGF domain	470	519
P55268	PF00053	Laminin EGF domain	522	561
P55268	PF00053	Laminin EGF domain	783	828
P55268	PF00053	Laminin EGF domain	831	874
P55268	PF00053	Laminin EGF domain	927	983
P55268	PF00053	Laminin EGF domain	986	1035
P55268	PF00053	Laminin EGF domain	1038	1092
P55268	PF00053	Laminin EGF domain	1095	1136
P55268	PF00053	Laminin EGF domain	1143	1183
P55268	PF00055	Laminin N-terminal (Domain VI)	47	281
P55268	PF21199	Laminin IV type B domain	565	774
P55268	PF23219	LAMB1-4 helical domain	1483	1561
P55268	PF24973	Laminin/attractin EGF domain	347	399
P55268	PF24973	Laminin/attractin EGF domain	877	924
P55273	PF12796	Ankyrin repeats (3 copies)	13	104
P55273	PF12796	Ankyrin repeats (3 copies)	106	158
P55283	PF00028	Cadherin domain	175	267
P55283	PF00028	Cadherin domain	282	383
P55283	PF00028	Cadherin domain	398	498
P55283	PF00028	Cadherin domain	514	604
P55283	PF01049	Cadherin, Y-type LIR-motif	853	911
P55283	PF08758	Cadherin prodomain like	30	118
P55285	PF00028	Cadherin domain	68	149
P55285	PF00028	Cadherin domain	164	258
P55285	PF00028	Cadherin domain	273	357
P55285	PF00028	Cadherin domain	390	479
P55285	PF00028	Cadherin domain	492	589
P55285	PF01049	Cadherin, Y-type LIR-motif	723	782
P55286	PF00028	Cadherin domain	71	158
P55286	PF00028	Cadherin domain	172	266
P55286	PF00028	Cadherin domain	281	383
P55286	PF00028	Cadherin domain	398	487
P55286	PF00028	Cadherin domain	500	597
P55286	PF01049	Cadherin, Y-type LIR-motif	732	790
P55287	PF00028	Cadherin domain	64	150
P55287	PF00028	Cadherin domain	164	258
P55287	PF00028	Cadherin domain	273	374
P55287	PF00028	Cadherin domain	391	479
P55287	PF01049	Cadherin, Y-type LIR-motif	728	787
P55289	PF00028	Cadherin domain	62	151
P55289	PF00028	Cadherin domain	165	259
P55289	PF00028	Cadherin domain	274	376
P55289	PF00028	Cadherin domain	389	480
P55289	PF00028	Cadherin domain	493	590
P55289	PF01049	Cadherin, Y-type LIR-motif	725	783
P55290	PF00028	Cadherin domain	145	235
P55290	PF00028	Cadherin domain	252	353
P55290	PF00028	Cadherin domain	368	469
P55290	PF00028	Cadherin domain	487	575
P55290	PF00028	Cadherin domain	589	680
P55290	PF08758	Cadherin prodomain like	27	109
P55291	PF00028	Cadherin domain	51	142
P55291	PF00028	Cadherin domain	158	250
P55291	PF00028	Cadherin domain	272	366
P55291	PF00028	Cadherin domain	382	474
P55291	PF01049	Cadherin, Y-type LIR-motif	722	781
P55316	PF00250	Forkhead domain	180	264
P55317	PF00250	Forkhead domain	170	255
P55317	PF08430	Forkhead N-terminal region	17	169
P55317	PF09354	HNF3 C-terminal domain	397	461
P55318	PF00250	Forkhead domain	117	202
P55318	PF08430	Forkhead N-terminal region	16	116
P55327	PF04201	Tumour protein D52 family	71	178
P55344	PF00822	PMP-22/EMP/MP20/Claudin family	1	157
P55345	PF00018	SH3 domain	36	81
P55345	PF05175	Methyltransferase small domain	130	210
P55345	PF22528	Arginine methyltransferase oligomerization subdomain	244	415
P55347	PF05920	Homeobox KN domain	277	316
P55347	PF16493	TALE/MEIS homeobox family N-terminal domain	51	157
P55735	PF00400	WD domain, G-beta repeat	10	41
P55735	PF00400	WD domain, G-beta repeat	50	86
P55735	PF00400	WD domain, G-beta repeat	96	130
P55735	PF00400	WD domain, G-beta repeat	203	243
P55735	PF00400	WD domain, G-beta repeat	260	289
P55769	PF01248	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family	21	111
P55771	PF00292	'Paired box' domain	6	128
P55773	PF00048	Small cytokines (intecrine/chemokine), interleukin-8 like	53	109
P55774	PF00048	Small cytokines (intecrine/chemokine), interleukin-8 like	30	85
P55786	PF01433	Peptidase family M1 domain	280	497
P55786	PF11838	ERAP1-like C-terminal domain	578	891
P55786	PF17900	Peptidase M1 N-terminal domain	60	245
P55789	PF04777	Erv1 / Alr family	104	196
P55795	PF08080	RNPHF zinc finger	255	290
P55795	PF28441	RRM domain	13	98
P55795	PF28441	RRM domain	113	192
P55795	PF28441	RRM domain	291	365
P55809	PF01144	Coenzyme A transferase	46	271
P55809	PF01144	Coenzyme A transferase	303	500
P55851	PF00153	Mitochondrial carrier protein	13	109
P55851	PF00153	Mitochondrial carrier protein	113	206
P55851	PF00153	Mitochondrial carrier protein	215	299
P55854	PF11976	Ubiquitin-2 like Rad60 SUMO-like	17	85
P55884	PF00076	RNA recognition motif	207	257
P55884	PF08662	Eukaryotic translation initiation factor eIF2A	507	702
P55895	PF03089	Recombination activating protein 2	51	389
P55895	PF13341	RAG2 PHD domain	414	491
P55899	PF00129	Class I Histocompatibility antigen, domains alpha 1 and 2	28	197
P55899	PF07654	Immunoglobulin C1-set domain	217	282
P55916	PF00153	Mitochondrial carrier protein	12	108
P55916	PF00153	Mitochondrial carrier protein	114	209
P55916	PF00153	Mitochondrial carrier protein	216	303
P55957	PF06393	BH3 interacting domain (BID)	3	192
P56134	PF10206	Mitochondrial F1F0-ATP synthase, subunit f	14	89
P56159	PF02351	GDNF/GAS1 domain	29	108
P56159	PF02351	GDNF/GAS1 domain	154	233
P56159	PF02351	GDNF/GAS1 domain	243	337
P56177	PF00046	Homeodomain	129	185
P56178	PF00046	Homeodomain	138	194
P56178	PF12413	Homeobox protein distal-less-like N terminal	32	117
P56179	PF00046	Homeodomain	50	106
P56180	PF00520	Ion transport protein	92	219
P56180	PF10409	C2 domain of PTEN tumour-suppressor protein	409	539
P56180	PF22785	Polymorphic toxin system, DSP-PTPase phosphatase	298	355
P56181	PF15880	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial	67	101
P56182	PF05997	Nucleolar protein,Nop52	10	327
P56192	PF00043	Glutathione S-transferase, C-terminal domain	111	180
P56192	PF00458	WHEP-TRS domain	845	895
P56192	PF09334	tRNA synthetases class I (M)	266	657
P56192	PF18485	Glutathione S-transferase, N-terminal domain	1	74
P56192	PF19303	Anticodon binding domain of methionyl tRNA ligase	674	821
P56199	PF00092	von Willebrand factor type A domain	172	352
P56199	PF01839	FG-GAP repeat	490	529
P56199	PF01839	FG-GAP repeat	571	606
P56199	PF08441	Integrin alpha Ig-like domain 1	664	807
P56199	PF20805	Integrin alpha Ig-like domain 2	808	944
P56199	PF20806	Integrin alpha Ig-like domain 3	966	1129
P56202	PF00112	Papain family cysteine protease	128	358
P56202	PF08246	Cathepsin propeptide inhibitor domain (I29)	42	99
P56211	PF04667	cAMP-regulated phosphoprotein/endosulfine conserved region	26	101
P56270	PF00096	Zinc finger, C2H2 type	279	301
P56270	PF00096	Zinc finger, C2H2 type	337	360
P56270	PF00096	Zinc finger, C2H2 type	366	388
P56270	PF13894	C2H2-type zinc finger	307	329
P56279	PF01840	TCL1/MTCP1 family	11	112
P56282	PF04042	DNA polymerase alpha/epsilon subunit B	287	489
P56282	PF12213	DNA polymerases epsilon N terminal	3	74
P56373	PF00864	ATP P2X receptor	8	360
P56377	PF01217	Clathrin adaptor complex small chain	1	140
P56378	PF08039	Mitochondrial proteolipid	1	57
P56381	PF04627	Mitochondrial ATP synthase epsilon chain	3	50
P56385	PF05680	ATP synthase E chain	3	65
P56470	PF00337	Galactoside-binding lectin	18	149
P56470	PF00337	Galactoside-binding lectin	193	323
P56524	PF00850	Histone deacetylase domain	675	992
P56524	PF12203	Glutamine rich N terminal domain of histone deacetylase 4	62	152
P56537	PF01912	eIF-6 family	4	204
P56539	PF01146	Caveolin	16	146
P56545	PF00389	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	44	140
P56545	PF00389	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	324	358
P56545	PF02826	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain	141	323
P56556	PF13233	Complex1_LYR-like	32	81
P56557	PF05255	Uncharacterised protein family (UPF0220)	6	157
P56559	PF00025	ADP-ribosylation factor family	9	178
P56589	PF04882	Peroxin-3	97	362
P56597	PF00334	Nucleoside diphosphate kinase	13	145
P56597	PF05186	Dpy-30 motif	157	197
P56645	PF08447	PAS fold	285	372
P56645	PF12114	Period circadian-like, C-terminal	1040	1176
P56645	PF21353	Period circadian protein homolog 3-like, PAS-A domain	131	256
P56645	PF23170	Period circadian protein homolog bHLH-like domain	48	104
P56693	PF00505	HMG (high mobility group) box	104	172
P56693	PF12444	Sox developmental protein N terminal	13	93
P56696	PF00520	Ion transport protein	99	328
P56696	PF03520	KCNQ voltage-gated potassium channel	464	646
P56703	PF00110	wnt family	48	355
P56704	PF00110	wnt family	45	352
P56705	PF00110	wnt family	46	351
P56706	PF00110	wnt family	41	349
P56715	PF03607	Doublecortin	54	110
