Pfam_code,HMMER_conservation,SEED_conservation,HMMER_vs_SEED_conservation_diff,HMMER_vs_SEED_conservation_%_improvement
PF03185,1.00,1.00,0.00,0.00
PF03188,0.71,0.71,0.00,0.00
PF03190,1.00,1.00,0.00,0.00
PF03200,1.00,1.00,0.00,0.00
PF03215,1.00,1.00,0.00,0.00
PF03221,0.51,0.49,0.02,4.08
PF03226,1.00,1.00,0.00,0.00
PF03259,1.00,1.00,0.00,0.00
PF03281,0.59,0.57,0.02,3.51
PF03299,1.00,1.00,0.00,0.00
PF03332,0.84,0.84,0.00,0.00
PF03351,0.48,0.48,0.00,0.00
PF03357,0.43,0.40,0.03,7.50
PF03364,1.00,1.00,0.00,0.00
PF03370,0.61,0.56,0.05,8.93
PF03372,0.37,0.27,0.10,37.04
PF03378,1.00,1.00,0.00,0.00
PF03388,1.00,1.00,0.00,0.00
PF03399,1.00,1.00,0.00,0.00
PF03402,1.00,1.00,0.00,0.00
PF03403,0.71,0.71,0.00,0.00
PF03404,1.00,1.00,0.00,0.00
PF03414,1.00,1.00,0.00,0.00
PF03435,1.00,1.00,0.00,0.00
PF03446,1.00,1.00,0.00,0.00
PF03450,1.00,1.00,0.00,0.00
PF03454,1.00,1.00,0.00,0.00
PF03464,1.00,1.00,0.00,0.00
PF03465,1.00,1.00,0.00,0.00
PF03487,1.00,1.00,0.00,0.00
PF03516,0.69,0.70,-0.01,-1.43
PF03533,1.00,1.00,0.00,0.00
PF03567,0.47,0.39,0.08,20.51
PF03572,0.57,1.00,-0.43,-43.00
PF03607,0.66,0.65,0.01,1.54
PF03630,1.00,1.00,0.00,0.00
PF03643,1.00,1.00,0.00,0.00
PF03656,1.00,1.00,0.00,0.00
PF03670,1.00,1.00,0.00,0.00
PF03700,1.00,1.00,0.00,0.00
PF03725,1.00,1.00,0.00,0.00
PF03731,0.57,0.56,0.01,1.79
PF03770,0.52,0.45,0.07,15.56
PF03798,0.40,0.37,0.03,8.11
PF03803,0.72,0.72,0.00,0.00
PF03807,0.59,0.58,0.01,1.72
PF03810,0.63,0.61,0.02,3.28
PF03815,0.71,0.73,-0.02,-2.74
PF03828,0.76,0.75,0.01,1.33
PF03847,1.00,1.00,0.00,0.00
PF03901,1.00,1.00,0.00,0.00
PF03908,1.00,1.00,0.00,0.00
PF03921,0.59,0.59,0.00,0.00
PF03931,1.00,1.00,0.00,0.00
PF03949,0.76,0.76,0.00,0.00
PF03953,0.62,0.61,0.01,1.64
PF03954,1.00,1.00,0.00,0.00
PF03957,1.00,1.00,0.00,0.00
PF03959,1.00,1.00,0.00,0.00
PF03992,0.64,0.64,0.00,0.00
PF03999,1.00,1.00,0.00,0.00
PF04006,1.00,1.00,0.00,0.00
PF04053,1.00,1.00,0.00,0.00
PF04055,0.37,0.33,0.04,12.12
PF04057,1.00,1.00,0.00,0.00
PF04072,1.00,1.00,0.00,0.00
PF04095,1.00,1.00,0.00,0.00
PF04099,1.00,1.00,0.00,0.00
PF04100,1.00,1.00,0.00,0.00
PF04103,0.41,0.39,0.02,5.13
PF04110,1.00,1.00,0.00,0.00
PF04114,1.00,1.00,0.00,0.00
PF04140,1.00,1.00,0.00,0.00
PF04142,0.73,0.72,0.01,1.39
PF04177,1.00,1.00,0.00,0.00
PF04188,1.00,1.00,0.00,0.00
PF04191,1.00,1.00,0.00,0.00
PF04193,0.43,0.61,-0.18,-29.51
PF04209,1.00,1.00,0.00,0.00
PF04218,1.00,1.00,0.00,0.00
PF04258,1.00,1.00,0.00,0.00
PF04266,1.00,1.00,0.00,0.00
PF04280,1.00,1.00,0.00,0.00
PF04300,1.00,1.00,0.00,0.00
PF04326,1.00,1.00,0.00,0.00
PF04360,1.00,1.00,0.00,0.00
PF04434,1.00,1.00,0.00,0.00
PF04438,1.00,1.00,0.00,0.00
PF04488,1.00,1.00,0.00,0.00
PF04499,1.00,1.00,0.00,0.00
PF04500,0.86,1.00,-0.14,-14.00
PF04503,1.00,1.00,0.00,0.00
PF04538,0.57,0.54,0.03,5.56
PF04547,1.00,1.00,0.00,0.00
PF04548,0.58,0.56,0.02,3.57
PF04549,1.00,1.00,0.00,0.00
PF04560,0.76,0.74,0.02,2.70
PF04564,0.60,0.57,0.03,5.26
PF04579,1.00,1.00,0.00,0.00
PF04588,1.00,1.00,0.00,0.00
PF04593,1.00,1.00,0.00,0.00
PF04598,0.51,0.51,0.00,0.00
PF04603,1.00,1.00,0.00,0.00
PF04628,1.00,1.00,0.00,0.00
PF04629,1.00,1.00,0.00,0.00
PF04680,0.94,1.00,-0.06,-6.00
PF04691,1.00,1.00,0.00,0.00
PF04707,0.55,0.54,0.01,1.85
PF04712,1.00,1.00,0.00,0.00
PF04732,0.54,0.50,0.04,8.00
PF04750,1.00,1.00,0.00,0.00
PF04757,1.00,1.00,0.00,0.00
PF04790,1.00,1.00,0.00,0.00
PF04802,1.00,1.00,0.00,0.00
PF04803,1.00,1.00,0.00,0.00
PF04811,0.66,0.65,0.01,1.54
PF04815,1.00,1.00,0.00,0.00
PF04819,1.00,1.00,0.00,0.00
PF04824,1.00,1.00,0.00,0.00
PF04826,1.00,1.00,0.00,0.00
PF04841,1.00,1.00,0.00,0.00
PF04845,0.83,0.78,0.05,6.41
PF04847,0.83,0.82,0.01,1.22
PF04849,1.00,1.00,0.00,0.00
PF04857,1.00,1.00,0.00,0.00
PF04908,0.71,0.70,0.01,1.43
PF04909,1.00,1.00,0.00,0.00
PF04912,1.00,1.00,0.00,0.00
PF04952,1.00,1.00,0.00,0.00
PF04969,0.47,0.56,-0.09,-16.07
PF04970,0.79,0.79,0.00,0.00
PF04983,1.00,1.00,0.00,0.00
PF04997,1.00,1.00,0.00,0.00
PF04998,1.00,1.00,0.00,0.00
PF05000,1.00,1.00,0.00,0.00
PF05001,0.90,1.00,-0.10,-10.00
PF05004,1.00,1.00,0.00,0.00
PF05008,1.00,1.00,0.00,0.00
PF05039,1.00,1.00,0.00,0.00
PF05063,0.65,0.64,0.01,1.56
PF05066,1.00,1.00,0.00,0.00
PF05083,1.00,1.00,0.00,0.00
PF05147,1.00,1.00,0.00,0.00
PF05148,1.00,1.00,0.00,0.00
PF05185,1.00,1.00,0.00,0.00
PF05186,0.70,0.70,0.00,0.00
PF05188,0.45,0.44,0.01,2.27
PF05190,0.39,0.37,0.02,5.41
PF05193,0.39,0.34,0.05,14.71
PF05205,1.00,1.00,0.00,0.00
PF05217,1.00,1.00,0.00,0.00
PF05219,1.00,1.00,0.00,0.00
PF05225,0.61,1.00,-0.39,-39.00
PF05250,1.00,1.00,0.00,0.00
PF05279,1.00,1.00,0.00,0.00
PF05287,0.51,0.45,0.06,13.33
PF05296,0.49,0.49,0.00,0.00
PF05300,1.00,1.00,0.00,0.00
PF05308,1.00,1.00,0.00,0.00
PF05337,1.00,1.00,0.00,0.00
PF05347,1.00,1.00,0.00,0.00
PF05350,1.00,1.00,0.00,0.00
PF05399,1.00,1.00,0.00,0.00
PF05406,0.76,0.75,0.01,1.33
PF05454,1.00,1.00,0.00,0.00
PF05458,1.00,1.00,0.00,0.00
PF05461,0.63,0.62,0.01,1.61
PF05470,1.00,1.00,0.00,0.00
PF05474,1.00,1.00,0.00,0.00
PF05477,1.00,1.00,0.00,0.00
PF05478,0.63,0.63,0.00,0.00
PF05483,1.00,1.00,0.00,0.00
PF05507,1.00,1.00,0.00,0.00
PF05510,1.00,1.00,0.00,0.00
PF05544,1.00,1.00,0.00,0.00
PF05577,1.00,1.00,0.00,0.00
PF05602,1.00,1.00,0.00,0.00
PF05609,0.81,0.81,0.00,0.00
PF05622,1.00,1.00,0.00,0.00
PF05648,0.61,0.60,0.01,1.67
PF05653,1.00,1.00,0.00,0.00
PF05686,1.00,1.00,0.00,0.00
PF05693,1.00,1.00,0.00,0.00
PF05699,0.54,0.53,0.01,1.89
PF05706,1.00,1.00,0.00,0.00
PF05716,1.00,1.00,0.00,0.00
PF05721,0.60,0.56,0.04,7.14
PF05726,1.00,1.00,0.00,0.00
PF05729,0.44,0.39,0.05,12.82
PF05739,0.49,0.49,0.00,0.00
PF05741,1.00,1.00,0.00,0.00
PF05743,1.00,1.00,0.00,0.00
PF05760,0.50,1.00,-0.50,-50.00
PF05770,1.00,1.00,0.00,0.00
PF05773,0.36,0.37,-0.01,-2.70
PF05781,1.00,1.00,0.00,0.00
PF05782,1.00,1.00,0.00,0.00
PF05790,0.56,0.54,0.02,3.70
PF05793,1.00,1.00,0.00,0.00
PF05804,1.00,1.00,0.00,0.00
PF05805,1.00,1.00,0.00,0.00
PF05817,1.00,1.00,0.00,0.00
PF05831,0.67,0.65,0.02,3.08
PF05889,1.00,1.00,0.00,0.00
PF05903,1.00,1.00,0.00,0.00
PF05916,1.00,1.00,0.00,0.00
PF05922,1.00,1.00,0.00,0.00
PF05934,1.00,1.00,0.00,0.00
PF05937,1.00,1.00,0.00,0.00
PF05956,1.00,1.00,0.00,0.00
PF05970,1.00,1.00,0.00,0.00
PF05971,1.00,1.00,0.00,0.00
PF05986,0.48,0.44,0.04,9.09
PF05995,1.00,1.00,0.00,0.00
PF05997,1.00,1.00,0.00,0.00
PF06008,0.45,0.45,0.00,0.00
PF06009,1.00,1.00,0.00,0.00
PF06021,0.63,0.62,0.01,1.61
PF06027,1.00,1.00,0.00,0.00
PF06046,0.51,0.51,0.00,0.00
PF06052,1.00,1.00,0.00,0.00
PF06060,1.00,1.00,0.00,0.00
PF06148,1.00,1.00,0.00,0.00
PF06159,1.00,1.00,0.00,0.00
PF06202,1.00,1.00,0.00,0.00
PF06209,1.00,1.00,0.00,0.00
PF06211,1.00,1.00,0.00,0.00
PF06220,1.00,1.00,0.00,0.00
PF06248,1.00,1.00,0.00,0.00
PF06268,0.40,0.38,0.02,5.26
PF06309,0.73,0.73,0.00,0.00
PF06337,0.75,0.70,0.05,7.14
PF06367,0.88,0.88,0.00,0.00
PF06388,1.00,1.00,0.00,0.00
PF06393,1.00,1.00,0.00,0.00
PF06396,1.00,1.00,0.00,0.00
PF06407,1.00,1.00,0.00,0.00
PF06409,1.00,1.00,0.00,0.00
PF06456,0.85,0.85,0.00,0.00
PF06463,1.00,1.00,0.00,0.00
PF06464,0.66,0.64,0.02,3.13
PF06467,0.36,0.42,-0.06,-14.29
PF06472,0.60,0.60,0.00,0.00
PF06473,0.49,0.46,0.03,6.52
PF06546,1.00,1.00,0.00,0.00
PF06581,1.00,1.00,0.00,0.00
PF06602,1.00,1.00,0.00,0.00
PF06607,1.00,1.00,0.00,0.00
PF06637,1.00,1.00,0.00,0.00
PF06679,1.00,1.00,0.00,0.00
PF06730,1.00,1.00,0.00,0.00
PF06733,0.61,0.58,0.03,5.17
PF06747,0.57,0.57,0.00,0.00
PF06758,0.57,1.00,-0.43,-43.00
PF06777,1.00,1.00,0.00,0.00
PF06809,1.00,1.00,0.00,0.00
PF06817,1.00,1.00,0.00,0.00
PF06839,0.63,0.72,-0.09,-12.50
PF06888,1.00,1.00,0.00,0.00
PF06907,1.00,1.00,0.00,0.00
PF06954,1.00,1.00,0.00,0.00
PF06959,1.00,1.00,0.00,0.00
PF06963,1.00,1.00,0.00,0.00
PF06990,0.61,0.59,0.02,3.39
PF07002,0.76,0.75,0.01,1.33
PF07004,0.33,0.53,-0.20,-37.74
PF07010,1.00,1.00,0.00,0.00
PF07034,1.00,1.00,0.00,0.00
PF07096,1.00,1.00,0.00,0.00
PF07106,1.00,1.00,0.00,0.00
PF07139,1.00,1.00,0.00,0.00
PF07140,1.00,1.00,0.00,0.00
PF07145,1.00,1.00,0.00,0.00
PF07163,1.00,1.00,0.00,0.00
PF07225,1.00,1.00,0.00,0.00
PF07263,1.00,1.00,0.00,0.00
PF07292,0.65,0.65,0.00,0.00
PF07326,1.00,1.00,0.00,0.00
PF07334,1.00,1.00,0.00,0.00
PF07354,1.00,1.00,0.00,0.00
PF07458,0.74,0.74,0.00,0.00
PF07521,1.00,1.00,0.00,0.00
PF07522,1.00,1.00,0.00,0.00
PF07524,0.62,0.62,0.00,0.00
PF07525,1.00,1.00,0.00,0.00
PF07562,1.00,1.00,0.00,0.00
PF07565,0.61,0.57,0.04,7.02
PF07645,0.60,0.65,-0.05,-7.69
PF07646,1.00,1.00,0.00,0.00
PF07647,0.37,0.35,0.02,5.71
PF07648,0.51,0.48,0.03,6.25
PF07651,0.83,0.82,0.01,1.22
PF07653,0.45,0.43,0.02,4.65
PF07654,0.38,0.40,-0.02,-5.00
PF07670,0.85,0.87,-0.02,-2.30
PF07678,0.60,0.58,0.02,3.45
PF07679,0.34,0.45,-0.11,-24.44
PF07686,0.30,0.26,0.04,15.38
PF07699,0.55,0.53,0.02,3.77
PF07707,0.48,0.48,0.00,0.00
PF07714,0.48,0.32,0.16,50.00
PF07716,0.56,0.57,-0.01,-1.75
PF07717,0.55,0.50,0.05,10.00
PF07728,0.57,1.00,-0.43,-43.00
PF07738,0.57,0.56,0.01,1.79
PF07744,1.00,1.00,0.00,0.00
PF07748,0.65,0.65,0.00,0.00
PF07773,0.44,0.63,-0.19,-30.16
PF07776,1.00,1.00,0.00,0.00
PF07819,1.00,1.00,0.00,0.00
PF07842,1.00,1.00,0.00,0.00
PF07847,1.00,1.00,0.00,0.00
PF07857,1.00,1.00,0.00,0.00
PF07885,0.61,1.00,-0.39,-39.00
PF07888,1.00,1.00,0.00,0.00
PF07894,1.00,1.00,0.00,0.00
PF07915,0.56,0.63,-0.07,-11.11
PF07942,1.00,1.00,0.00,0.00
PF07947,1.00,1.00,0.00,0.00
PF07959,1.00,1.00,0.00,0.00
PF07974,0.65,1.00,-0.35,-35.00
PF07984,1.00,1.00,0.00,0.00
PF07986,1.00,1.00,0.00,0.00
PF08007,0.70,0.70,0.00,0.00
PF08016,1.00,1.00,0.00,0.00
PF08032,1.00,1.00,0.00,0.00
PF08033,0.53,0.49,0.04,8.16
PF08038,1.00,1.00,0.00,0.00
PF08040,1.00,1.00,0.00,0.00
PF08070,1.00,1.00,0.00,0.00
PF08081,1.00,1.00,0.00,0.00
PF08180,1.00,1.00,0.00,0.00
PF08190,1.00,1.00,0.00,0.00
PF08202,1.00,1.00,0.00,0.00
PF08204,1.00,1.00,0.00,0.00
PF08205,0.34,0.33,0.01,3.03
PF08238,0.39,0.45,-0.06,-13.33
PF08264,0.56,0.54,0.02,3.70
PF08266,0.66,0.67,-0.01,-1.49
PF08271,0.63,0.61,0.02,3.28
PF08327,1.00,1.00,0.00,0.00
PF08357,0.45,0.44,0.01,2.27
PF08373,1.00,1.00,0.00,0.00
PF08377,1.00,1.00,0.00,0.00
PF08385,1.00,1.00,0.00,0.00
PF08389,0.44,0.41,0.03,7.32
PF08397,0.55,0.54,0.01,1.85
PF08416,0.58,0.57,0.01,1.75
PF08430,0.74,0.72,0.02,2.78
PF08433,1.00,1.00,0.00,0.00
PF08434,1.00,1.00,0.00,0.00
PF08441,0.54,0.54,0.00,0.00
PF08444,0.74,0.74,0.00,0.00
PF08447,0.73,0.76,-0.03,-3.95
PF08466,1.00,1.00,0.00,0.00
PF08491,1.00,1.00,0.00,0.00
PF08513,1.00,1.00,0.00,0.00
PF08516,1.00,1.00,0.00,0.00
PF08526,0.65,0.65,0.00,0.00
PF08527,1.00,1.00,0.00,0.00
PF08540,1.00,1.00,0.00,0.00
PF08551,1.00,1.00,0.00,0.00
PF08558,0.63,0.62,0.01,1.61
PF08568,1.00,1.00,0.00,0.00
PF08583,1.00,1.00,0.00,0.00
PF08604,1.00,1.00,0.00,0.00
PF08615,1.00,1.00,0.00,0.00
PF08629,1.00,1.00,0.00,0.00
PF08641,1.00,1.00,0.00,0.00
PF08646,1.00,1.00,0.00,0.00
PF08661,1.00,1.00,0.00,0.00
PF08662,0.59,0.59,0.00,0.00
PF08675,1.00,1.00,0.00,0.00
PF08688,1.00,1.00,0.00,0.00
PF08709,1.00,1.00,0.00,0.00
PF08726,0.67,0.67,0.00,0.00
PF08742,0.54,0.43,0.11,25.58
PF08743,1.00,1.00,0.00,0.00
PF08774,1.00,1.00,0.00,0.00
PF08777,0.61,0.60,0.01,1.67
PF08784,1.00,1.00,0.00,0.00
PF08797,1.00,1.00,0.00,0.00
PF08801,1.00,1.00,0.00,0.00
PF08824,1.00,1.00,0.00,0.00
PF08826,1.00,1.00,0.00,0.00
PF08840,0.69,0.69,0.00,0.00
PF08913,1.00,1.00,0.00,0.00
PF08916,1.00,1.00,0.00,0.00
PF08952,0.66,0.67,-0.01,-1.49
PF08976,0.60,1.00,-0.40,-40.00
PF08997,1.00,1.00,0.00,0.00
PF09004,1.00,1.00,0.00,0.00
PF09006,1.00,1.00,0.00,0.00
PF09011,1.00,1.00,0.00,0.00
PF09030,1.00,1.00,0.00,0.00
PF09038,1.00,1.00,0.00,0.00
PF09067,0.65,0.65,0.00,0.00
PF09069,1.00,1.00,0.00,0.00
PF09085,1.00,1.00,0.00,0.00
PF09128,1.00,1.00,0.00,0.00
PF09162,1.00,1.00,0.00,0.00
PF09169,1.00,1.00,0.00,0.00
PF09170,1.00,1.00,0.00,0.00
PF09240,0.49,0.48,0.01,2.08
PF09256,1.00,1.00,0.00,0.00
PF09258,1.00,1.00,0.00,0.00
PF09261,0.63,0.63,0.00,0.00
PF09291,1.00,1.00,0.00,0.00
PF09294,0.43,0.41,0.02,4.88
PF09309,1.00,1.00,0.00,0.00
PF09325,1.00,1.00,0.00,0.00
PF09332,1.00,1.00,0.00,0.00
PF09358,1.00,1.00,0.00,0.00
PF09379,0.46,0.46,0.00,0.00
PF09380,0.43,0.40,0.03,7.50
PF09422,0.40,0.58,-0.18,-31.03
PF09439,1.00,1.00,0.00,0.00
PF09457,0.61,0.57,0.04,7.02
PF09469,0.76,0.76,0.00,0.00
PF09514,1.00,1.00,0.00,0.00
PF09532,1.00,1.00,0.00,0.00
PF09727,1.00,1.00,0.00,0.00
PF09766,1.00,1.00,0.00,0.00
PF09772,1.00,1.00,0.00,0.00
PF09787,1.00,1.00,0.00,0.00
PF09809,1.00,1.00,0.00,0.00
PF09811,0.64,0.64,0.00,0.00
PF09812,1.00,1.00,0.00,0.00
PF09815,1.00,1.00,0.00,0.00
PF10034,0.62,0.61,0.01,1.64
PF10151,1.00,1.00,0.00,0.00
PF10184,1.00,1.00,0.00,0.00
PF10186,1.00,1.00,0.00,0.00
PF10192,1.00,1.00,0.00,0.00
PF10226,1.00,1.00,0.00,0.00
PF10242,1.00,1.00,0.00,0.00
PF10243,1.00,1.00,0.00,0.00
PF10257,1.00,1.00,0.00,0.00
PF10262,1.00,1.00,0.00,0.00
PF10263,1.00,1.00,0.00,0.00
PF10265,1.00,1.00,0.00,0.00
PF10277,1.00,1.00,0.00,0.00
PF10278,1.00,1.00,0.00,0.00
PF10300,1.00,1.00,0.00,0.00
PF10344,1.00,1.00,0.00,0.00
PF10367,1.00,1.00,0.00,0.00
PF10376,1.00,1.00,0.00,0.00
PF10392,1.00,1.00,0.00,0.00
PF10401,0.64,0.63,0.01,1.59
PF10409,0.87,0.87,0.00,0.00
PF10420,1.00,1.00,0.00,0.00
PF10427,0.61,0.60,0.01,1.67
PF10472,1.00,1.00,0.00,0.00
PF10488,1.00,1.00,0.00,0.00
PF10500,1.00,1.00,0.00,0.00
PF10508,1.00,1.00,0.00,0.00
PF10565,1.00,1.00,0.00,0.00
PF10591,1.00,1.00,0.00,0.00
PF10607,0.37,0.41,-0.04,-9.76
PF10609,1.00,1.00,0.00,0.00
PF10630,1.00,1.00,0.00,0.00
PF10631,1.00,1.00,0.00,0.00
PF11109,1.00,1.00,0.00,0.00
PF11235,1.00,1.00,0.00,0.00
PF11465,1.00,1.00,0.00,0.00
PF11510,1.00,1.00,0.00,0.00
PF11526,1.00,1.00,0.00,0.00
PF11560,1.00,1.00,0.00,0.00
PF11598,0.74,0.74,0.00,0.00
PF11699,1.00,1.00,0.00,0.00
PF11759,0.59,0.49,0.10,20.41
PF11788,1.00,1.00,0.00,0.00
PF11789,1.00,1.00,0.00,0.00
PF11802,1.00,1.00,0.00,0.00
PF11819,1.00,1.00,0.00,0.00
PF11838,1.00,1.00,0.00,0.00
PF11933,1.00,1.00,0.00,0.00
PF11971,1.00,1.00,0.00,0.00
PF11977,0.73,0.72,0.01,1.39
PF12004,1.00,1.00,0.00,0.00
PF12047,1.00,1.00,0.00,0.00
PF12160,1.00,1.00,0.00,0.00
PF12171,0.63,0.63,0.00,0.00
PF12201,1.00,1.00,0.00,0.00
PF12231,1.00,1.00,0.00,0.00
PF12260,1.00,1.00,0.00,0.00
PF12297,1.00,1.00,0.00,0.00
PF12304,1.00,1.00,0.00,0.00
PF12349,1.00,1.00,0.00,0.00
PF12424,0.57,1.00,-0.43,-43.00
PF12440,0.47,0.48,-0.01,-2.08
PF12480,0.86,0.86,0.00,0.00
PF12548,0.54,1.00,-0.46,-46.00
PF12569,1.00,1.00,0.00,0.00
PF12657,1.00,1.00,0.00,0.00
PF12661,0.50,0.49,0.01,2.04
PF12662,0.59,0.52,0.07,13.46
PF12738,1.00,1.00,0.00,0.00
PF12770,1.00,1.00,0.00,0.00
PF12777,0.85,0.85,0.00,0.00
PF12796,0.62,1.00,-0.38,-38.00
PF12799,1.00,1.00,0.00,0.00
PF12851,1.00,1.00,0.00,0.00
PF12861,1.00,1.00,0.00,0.00
PF12872,0.40,0.43,-0.03,-6.98
PF12874,0.53,0.60,-0.07,-11.67
PF12877,1.00,1.00,0.00,0.00
PF12885,1.00,1.00,0.00,0.00
PF12906,1.00,1.00,0.00,0.00
PF12937,0.67,0.63,0.04,6.35
PF12947,0.54,0.64,-0.10,-15.62
PF12998,1.00,1.00,0.00,0.00
PF13086,1.00,1.00,0.00,0.00
PF13087,1.00,1.00,0.00,0.00
PF13088,1.00,1.00,0.00,0.00
PF13193,0.59,0.57,0.02,3.51
PF13240,1.00,1.00,0.00,0.00
PF13279,1.00,1.00,0.00,0.00
PF13324,1.00,1.00,0.00,0.00
PF13330,0.73,1.00,-0.27,-27.00
PF13365,1.00,1.00,0.00,0.00
PF13378,1.00,1.00,0.00,0.00
PF13402,0.86,0.86,0.00,0.00
PF13410,1.00,1.00,0.00,0.00
PF13450,1.00,1.00,0.00,0.00
PF13499,0.59,0.59,0.00,0.00
PF13513,1.00,0.53,0.47,88.68
PF13517,1.00,0.61,0.39,63.93
PF13679,1.00,1.00,0.00,0.00
PF13691,1.00,1.00,0.00,0.00
PF13725,1.00,1.00,0.00,0.00
PF13757,0.72,0.72,0.00,0.00
PF13765,0.63,0.61,0.02,3.28
PF13804,0.98,0.98,0.00,0.00
PF13831,1.00,1.00,0.00,0.00
PF13832,1.00,1.00,0.00,0.00
PF13833,1.00,1.00,0.00,0.00
PF13837,0.93,1.00,-0.07,-7.00
PF13840,1.00,1.00,0.00,0.00
PF13841,0.53,0.52,0.01,1.92
PF13842,1.00,1.00,0.00,0.00
PF13843,0.61,0.56,0.05,8.93
PF13848,0.57,0.56,0.01,1.79
PF13853,1.00,1.00,0.00,0.00
PF13855,0.62,0.70,-0.08,-11.43
PF13862,1.00,1.00,0.00,0.00
PF13868,0.60,0.60,0.00,0.00
PF13873,0.63,0.62,0.01,1.61
PF13883,0.69,0.69,0.00,0.00
PF13885,0.55,0.48,0.07,14.58
PF13895,0.39,0.35,0.04,11.43
PF13897,1.00,1.00,0.00,0.00
PF13899,1.00,1.00,0.00,0.00
PF13903,1.00,1.00,0.00,0.00
PF13905,1.00,1.00,0.00,0.00
PF13908,0.61,0.59,0.02,3.39
PF13911,0.53,0.52,0.01,1.92
PF13913,0.54,0.59,-0.05,-8.47
PF13914,1.00,1.00,0.00,0.00
PF13916,1.00,1.00,0.00,0.00
PF13920,0.59,0.55,0.04,7.27
PF13923,1.00,1.00,0.00,0.00
PF13927,0.46,0.46,0.00,0.00
PF14160,1.00,1.00,0.00,0.00
PF14260,1.00,1.00,0.00,0.00
PF14306,0.84,0.84,0.00,0.00
PF14360,1.00,1.00,0.00,0.00
PF14493,1.00,1.00,0.00,0.00
PF14523,1.00,1.00,0.00,0.00
PF14565,1.00,1.00,0.00,0.00
PF14572,1.00,1.00,0.00,0.00
PF14596,1.00,1.00,0.00,0.00
PF14631,1.00,1.00,0.00,0.00
PF14634,1.00,1.00,0.00,0.00
PF14635,1.00,1.00,0.00,0.00
PF14639,1.00,1.00,0.00,0.00
PF14642,0.33,1.00,-0.67,-67.00
PF14643,1.00,1.00,0.00,0.00
PF14648,1.00,1.00,0.00,0.00
PF14650,0.63,0.62,0.01,1.61
PF14651,1.00,1.00,0.00,0.00
PF14654,1.00,1.00,0.00,0.00
PF14670,1.00,1.00,0.00,0.00
PF14694,1.00,1.00,0.00,0.00
PF14701,1.00,1.00,0.00,0.00
PF14707,0.66,0.61,0.05,8.20
PF14713,1.00,1.00,0.00,0.00
PF14724,1.00,1.00,0.00,0.00
PF14749,1.00,1.00,0.00,0.00
PF14787,0.88,0.88,0.00,0.00
PF14797,1.00,1.00,0.00,0.00
PF14800,1.00,1.00,0.00,0.00
PF14816,1.00,1.00,0.00,0.00
PF14817,1.00,1.00,0.00,0.00
PF14818,1.00,1.00,0.00,0.00
PF14828,1.00,1.00,0.00,0.00
PF14836,0.65,0.63,0.02,3.17
PF14858,1.00,1.00,0.00,0.00
PF14880,1.00,1.00,0.00,0.00
PF14893,1.00,1.00,0.00,0.00
PF14915,1.00,1.00,0.00,0.00
PF14922,1.00,1.00,0.00,0.00
PF14925,1.00,1.00,0.00,0.00
PF14932,1.00,1.00,0.00,0.00
PF14933,1.00,1.00,0.00,0.00
PF14950,1.00,1.00,0.00,0.00
PF14951,1.00,1.00,0.00,0.00
PF14957,1.00,1.00,0.00,0.00
PF14958,1.00,1.00,0.00,0.00
PF14967,1.00,1.00,0.00,0.00
PF14969,1.00,1.00,0.00,0.00
PF14977,1.00,1.00,0.00,0.00
PF14979,1.00,1.00,0.00,0.00
PF14985,1.00,1.00,0.00,0.00
PF14986,1.00,1.00,0.00,0.00
PF14988,0.59,0.59,0.00,0.00
PF14992,0.71,0.71,0.00,0.00
PF15005,0.63,0.62,0.01,1.61
PF15015,1.00,1.00,0.00,0.00
PF15020,1.00,1.00,0.00,0.00
PF15030,1.00,1.00,0.00,0.00
PF15032,1.00,1.00,0.00,0.00
PF15037,1.00,1.00,0.00,0.00
PF15039,1.00,1.00,0.00,0.00
PF15040,0.79,0.79,0.00,0.00
PF15050,1.00,1.00,0.00,0.00
PF15057,1.00,1.00,0.00,0.00
PF15058,1.00,1.00,0.00,0.00
PF15068,1.00,1.00,0.00,0.00
PF15070,1.00,1.00,0.00,0.00
PF15079,1.00,1.00,0.00,0.00
PF15080,1.00,1.00,0.00,0.00
PF15081,1.00,1.00,0.00,0.00
PF15083,1.00,1.00,0.00,0.00
PF15095,1.00,1.00,0.00,0.00
PF15101,1.00,1.00,0.00,0.00
PF15102,1.00,1.00,0.00,0.00
PF15105,1.00,1.00,0.00,0.00
PF15136,1.00,1.00,0.00,0.00
PF15141,1.00,1.00,0.00,0.00
PF15142,1.00,1.00,0.00,0.00
PF15143,0.59,1.00,-0.41,-41.00
PF15149,1.00,1.00,0.00,0.00
PF15160,1.00,1.00,0.00,0.00
PF15164,1.00,1.00,0.00,0.00
PF15165,1.00,1.00,0.00,0.00
PF15174,1.00,1.00,0.00,0.00
PF15177,0.63,0.62,0.01,1.61
PF15180,1.00,1.00,0.00,0.00
PF15192,1.00,1.00,0.00,0.00
PF15195,1.00,1.00,0.00,0.00
PF15199,1.00,1.00,0.00,0.00
PF15201,1.00,1.00,0.00,0.00
PF15202,1.00,1.00,0.00,0.00
PF15205,1.00,1.00,0.00,0.00
PF15206,1.00,1.00,0.00,0.00
PF15209,1.00,1.00,0.00,0.00
PF15215,1.00,1.00,0.00,0.00
PF15218,1.00,1.00,0.00,0.00
