Pfam_code,HMMER_conservation,HMMER_blosum,HMMER_gaps,SEED_conservation,SEED_blosum,SEED_gaps
PF02142,0.57,-0.2,0.03,0.56,-0.26,0.10
PF02148,0.70,2.07,0.02,0.65,1.9,0.11
PF02171,1.00,,0.00,1.00,,0.00
PF02172,1.00,,0.00,1.00,,0.00
PF02173,1.00,,0.00,1.00,,0.00
PF02174,0.74,2.28,0.02,0.73,2.14,0.00
PF02176,0.51,1.53,0.04,0.50,1.52,0.05
PF02181,0.47,1.19,0.02,0.44,1.16,0.08
PF02197,0.68,1.72,0.03,0.68,1.55,0.00
PF02198,0.49,1.32,0.02,0.46,1.21,0.07
PF02204,1.00,,0.00,1.00,,0.00
PF02205,0.53,1.61,0.13,0.52,1.27,0.06
PF02210,0.33,0.72,0.04,0.20,0.71,0.44
PF02212,1.00,,0.00,1.00,,0.00
PF02214,0.58,2.15,0.02,0.56,2.08,0.05
PF02219,1.00,,0.00,1.00,,0.00
PF02221,1.00,,0.00,1.00,,0.00
PF02223,1.00,,0.00,1.00,,0.00
PF02230,1.00,,0.00,1.00,,0.00
PF02259,1.00,,0.00,1.00,,0.00
PF02263,0.62,2.27,0.03,0.59,2.24,0.08
PF02269,0.64,1.43,0.02,0.64,1.34,0.02
PF02272,1.00,,0.00,1.00,,0.00
PF02275,1.00,,0.00,1.00,,0.00
PF02295,0.59,0.83,0.02,0.59,0.78,0.01
PF02297,1.00,,0.00,1.00,,0.00
PF02301,1.00,,0.00,1.00,,0.00
PF02319,1.00,,0.00,1.00,,0.00
PF02337,1.00,,0.00,1.00,,0.00
PF02338,0.48,0.4,0.08,0.43,0.37,0.25
PF02344,1.00,,0.00,1.00,,0.00
PF02347,1.00,,0.00,1.00,,0.00
PF02351,0.53,-0.25,0.28,1.00,,0.00
PF02366,0.69,1.84,0.01,0.66,1.74,0.05
PF02368,1.00,,0.00,1.00,,0.00
PF02373,0.55,1.45,0.03,0.54,1.46,0.05
PF02374,1.00,,0.00,1.00,,0.00
PF02389,1.00,,0.00,1.00,,0.00
PF02423,1.00,,0.00,1.00,,0.00
PF02434,0.48,1.42,0.21,0.61,1.79,0.07
PF02441,1.00,,0.00,1.00,,0.00
PF02469,0.37,0.89,0.10,0.36,0.82,0.14
PF02485,0.72,2.47,0.01,0.71,2.39,0.03
PF02493,0.45,1.94,0.14,0.47,1.43,0.01
PF02494,0.79,3.32,0.00,0.79,3.3,0.00
PF02516,1.00,,0.00,1.00,,0.00
PF02518,0.87,3.92,0.01,0.78,3.47,0.10
PF02535,0.44,1.03,0.26,0.52,1.2,0.15
PF02544,0.79,3.17,0.00,0.79,3.19,0.00
PF02597,1.00,,0.00,1.00,,0.00
PF02636,1.00,,0.00,1.00,,0.00
PF02637,1.00,,0.00,1.00,,0.00
PF02678,1.00,,0.00,1.00,,0.00
PF02709,1.00,,0.00,1.00,,0.00
PF02727,0.72,2.06,0.00,0.72,2.06,0.00
PF02728,1.00,,0.00,1.00,,0.00
PF02732,1.00,,0.00,1.00,,0.00
PF02744,1.00,,0.00,1.00,,0.00
PF02750,1.00,,0.00,1.00,,0.00
PF02752,0.53,1.32,0.06,0.51,1.27,0.07
PF02758,0.64,1.14,0.01,0.63,1.23,0.06
PF02759,0.51,0.91,0.05,0.43,0.82,0.24
PF02760,1.00,,0.00,1.00,,0.00
PF02769,0.39,-0.12,0.11,0.43,-0.21,0.12
PF02771,0.64,1.1,0.01,0.62,1.06,0.03
PF02779,0.60,1.16,0.04,0.55,1.1,0.16
PF02780,1.00,,0.00,1.00,,0.00
PF02781,1.00,,0.00,1.00,,0.00
PF02784,1.00,,0.00,1.00,,0.00
PF02785,1.00,,0.00,1.00,,0.00
PF02786,0.52,0.84,0.03,0.61,0.63,0.03
PF02793,0.55,1.85,0.09,0.53,1.57,0.11
PF02798,0.48,0.19,0.06,0.47,0.18,0.09
PF02801,1.00,,0.00,1.00,,0.00
PF02803,0.73,2.34,0.01,0.73,2.3,0.01
PF02806,1.00,,0.00,1.00,,0.00
PF02815,0.61,0.68,0.01,0.60,0.66,0.05
PF02816,1.00,,0.00,1.00,,0.00
PF02818,0.76,3.25,0.01,0.72,2.54,0.01
PF02824,0.60,0.55,0.00,0.59,0.62,0.09
PF02827,1.00,,0.00,1.00,,0.00
PF02836,1.00,,0.00,1.00,,0.00
PF02841,0.89,3.95,0.00,0.89,3.95,0.00
PF02845,0.60,0.9,0.02,0.60,0.71,0.00
PF02847,1.00,,0.00,1.00,,0.00
PF02852,0.71,2.18,0.00,0.70,2.18,0.02
PF02854,0.36,0.29,0.07,0.35,0.4,0.20
PF02870,1.00,,0.00,1.00,,0.00
PF02872,1.00,,0.00,1.00,,0.00
PF02880,1.00,,0.00,1.00,,0.00
PF02882,1.00,,0.00,1.00,,0.00
PF02883,0.55,-0.2,0.05,0.55,-0.24,0.08
PF02886,0.57,1.22,0.00,0.57,1.21,0.00
PF02889,0.48,1.14,0.03,0.48,0.6,0.08
PF02892,0.66,2.56,0.00,0.59,2.52,0.11
PF02893,0.39,0.22,0.08,0.36,0.09,0.17
PF02897,1.00,,0.00,1.00,,0.00
PF02902,1.00,,0.00,1.00,,0.00
PF02922,1.00,,0.00,1.00,,0.00
PF02931,0.45,1.25,0.07,0.44,1.23,0.08
PF02932,0.81,3.29,0.04,0.79,3.0,0.04
PF02969,0.69,2.17,0.02,0.69,2.06,0.01
PF02984,0.56,0.12,0.06,0.55,0.04,0.10
PF02985,0.48,1.01,0.07,0.38,0.49,0.03
PF02994,1.00,,0.00,1.00,,0.00
PF03016,1.00,,0.00,1.00,,0.00
PF03024,0.51,1.11,0.05,0.47,1.13,0.18
PF03031,1.00,,0.00,1.00,,0.00
PF03051,1.00,,0.00,1.00,,0.00
PF03054,1.00,,0.00,1.00,,0.00
PF03061,0.47,0.95,0.05,0.50,0.62,0.06
PF03062,0.45,0.49,0.08,0.43,0.37,0.12
PF03068,0.74,3.16,0.03,0.73,3.15,0.04
PF03071,1.00,,0.00,1.00,,0.00
PF03083,0.61,0.81,0.02,0.61,0.74,0.00
PF03096,1.00,,0.00,1.00,,0.00
PF03098,1.00,,0.00,1.00,,0.00
PF03099,1.00,,0.00,1.00,,0.00
PF03104,1.00,,0.00,1.00,,0.00
PF03109,1.00,,0.00,1.00,,0.00
PF03114,0.48,0.39,0.06,0.47,0.38,0.11
PF03129,0.41,0.2,0.03,0.40,0.17,0.09
PF03131,1.00,,0.00,1.00,,0.00
PF03133,0.48,0.79,0.04,0.44,0.7,0.14
PF03137,0.50,,0.50,1.00,,0.00
PF03143,1.00,,0.00,1.00,,0.00
PF03144,0.56,1.09,0.05,0.55,1.06,0.05
PF03151,1.00,,0.00,1.00,,0.00
PF03153,1.00,,0.00,1.00,,0.00
PF03155,0.62,1.04,0.06,0.60,1.04,0.11
PF03160,1.00,,0.00,1.00,,0.00
PF03165,0.67,1.71,0.02,0.65,1.68,0.07
PF03171,0.86,4.48,0.04,0.77,3.44,0.07
PF03179,0.75,2.92,0.01,0.75,2.92,0.00
PF03184,0.53,0.99,0.04,0.53,0.98,0.06
PF03185,1.00,,0.00,1.00,,0.00
PF03188,0.71,2.23,0.01,0.71,2.18,0.01
PF03190,1.00,,0.00,1.00,,0.00
PF03200,1.00,,0.00,1.00,,0.00
PF03215,1.00,,0.00,1.00,,0.00
PF03221,0.51,1.66,0.09,0.49,1.48,0.10
PF03226,1.00,,0.00,1.00,,0.00
PF03259,1.00,,0.00,1.00,,0.00
PF03281,0.59,0.84,0.09,0.57,1.06,0.20
PF03299,1.00,,0.00,1.00,,0.00
PF03332,0.84,3.76,0.01,0.84,3.74,0.01
PF03351,0.48,0.55,0.07,0.48,0.49,0.06
PF03357,0.43,0.83,0.03,0.40,0.79,0.10
PF03364,1.00,,0.00,1.00,,0.00
PF03370,0.61,2.11,0.09,0.56,1.69,0.17
PF03372,0.37,0.07,0.05,0.27,-0.03,0.37
PF03378,1.00,,0.00,1.00,,0.00
PF03388,1.00,,0.00,1.00,,0.00
PF03399,1.00,,0.00,1.00,,0.00
PF03402,1.00,,0.00,1.00,,0.00
PF03403,0.71,2.25,0.01,0.71,2.27,0.02
PF03404,1.00,,0.00,1.00,,0.00
PF03414,1.00,,0.00,1.00,,0.00
PF03435,1.00,,0.00,1.00,,0.00
PF03446,1.00,,0.00,1.00,,0.00
PF03450,1.00,,0.00,1.00,,0.00
PF03454,1.00,,0.00,1.00,,0.00
PF03464,1.00,,0.00,1.00,,0.00
PF03465,1.00,,0.00,1.00,,0.00
PF03487,1.00,,0.00,1.00,,0.00
PF03516,0.69,2.86,0.02,0.70,2.54,0.04
PF03533,1.00,,0.00,1.00,,0.00
PF03567,0.47,0.86,0.10,0.39,0.89,0.32
PF03572,0.57,1.72,0.04,1.00,,0.00
PF03607,0.66,1.34,0.03,0.65,1.32,0.04
PF03630,1.00,,0.00,1.00,,0.00
PF03643,1.00,,0.00,1.00,,0.00
PF03656,1.00,,0.00,1.00,,0.00
PF03670,1.00,,0.00,1.00,,0.00
PF03700,1.00,,0.00,1.00,,0.00
PF03725,1.00,,0.00,1.00,,0.00
PF03731,0.57,0.15,0.03,0.56,0.14,0.09
PF03770,0.52,1.16,0.07,0.45,1.15,0.31
PF03798,0.40,-0.11,0.05,0.37,-0.11,0.14
PF03803,0.72,2.87,0.01,0.72,2.84,0.01
PF03807,0.59,0.6,0.04,0.58,0.61,0.06
PF03810,0.63,1.09,0.01,0.61,0.99,0.05
PF03815,0.71,2.47,0.06,0.73,2.26,0.00
PF03828,0.76,2.86,0.03,0.75,2.77,0.02
PF03847,1.00,,0.00,1.00,,0.00
PF03901,1.00,,0.00,1.00,,0.00
PF03908,1.00,,0.00,1.00,,0.00
PF03921,0.59,1.55,0.02,0.59,1.55,0.02
PF03931,1.00,,0.00,1.00,,0.00
PF03949,0.76,2.85,0.01,0.76,2.84,0.01
PF03953,0.62,1.08,0.00,0.61,1.04,0.03
PF03954,1.00,,0.00,1.00,,0.00
PF03957,1.00,,0.00,1.00,,0.00
PF03959,1.00,,0.00,1.00,,0.00
PF03992,0.64,2.23,0.03,0.64,2.11,0.00
PF03999,1.00,,0.00,1.00,,0.00
PF04006,1.00,,0.00,1.00,,0.00
PF04053,1.00,,0.00,1.00,,0.00
PF04055,0.37,-0.02,0.09,0.33,-0.06,0.25
PF04057,1.00,,0.00,1.00,,0.00
PF04072,1.00,,0.00,1.00,,0.00
PF04095,1.00,,0.00,1.00,,0.00
PF04099,1.00,,0.00,1.00,,0.00
PF04100,1.00,,0.00,1.00,,0.00
PF04103,0.41,0.69,0.08,0.39,0.67,0.12
PF04110,1.00,,0.00,1.00,,0.00
PF04114,1.00,,0.00,1.00,,0.00
PF04140,1.00,,0.00,1.00,,0.00
PF04142,0.73,2.25,0.01,0.72,2.23,0.02
PF04177,1.00,,0.00,1.00,,0.00
PF04188,1.00,,0.00,1.00,,0.00
PF04191,1.00,,0.00,1.00,,0.00
PF04193,0.43,0.25,0.12,0.61,0.25,0.00
PF04209,1.00,,0.00,1.00,,0.00
PF04218,1.00,,0.00,1.00,,0.00
PF04258,1.00,,0.00,1.00,,0.00
PF04266,1.00,,0.00,1.00,,0.00
PF04280,1.00,,0.00,1.00,,0.00
PF04300,1.00,,0.00,1.00,,0.00
PF04326,1.00,,0.00,1.00,,0.00
PF04360,1.00,,0.00,1.00,,0.00
PF04434,1.00,,0.00,1.00,,0.00
PF04438,1.00,,0.00,1.00,,0.00
PF04488,1.00,,0.00,1.00,,0.00
PF04499,1.00,,0.00,1.00,,0.00
PF04500,0.86,4.31,0.00,1.00,,0.00
PF04503,1.00,,0.00,1.00,,0.00
PF04538,0.57,0.17,0.05,0.54,0.08,0.22
PF04547,1.00,,0.00,1.00,,0.00
PF04548,0.58,2.09,0.04,0.56,1.98,0.07
PF04549,1.00,,0.00,1.00,,0.00
PF04560,0.76,2.99,0.01,0.74,2.83,0.03
PF04564,0.60,1.64,0.01,0.57,1.6,0.07
PF04579,1.00,,0.00,1.00,,0.00
PF04588,1.00,,0.00,1.00,,0.00
PF04593,1.00,,0.00,1.00,,0.00
PF04598,0.51,1.0,0.02,0.51,0.99,0.03
PF04603,1.00,,0.00,1.00,,0.00
PF04628,1.00,,0.00,1.00,,0.00
PF04629,1.00,,0.00,1.00,,0.00
PF04680,0.94,5.03,0.00,1.00,,0.00
PF04691,1.00,,0.00,1.00,,0.00
PF04707,0.55,1.13,0.02,0.54,1.14,0.04
PF04712,1.00,,0.00,1.00,,0.00
PF04732,0.54,0.73,0.05,0.50,0.71,0.16
PF04750,1.00,,0.00,1.00,,0.00
PF04757,1.00,,0.00,1.00,,0.00
PF04790,1.00,,0.00,1.00,,0.00
PF04802,1.00,,0.00,1.00,,0.00
PF04803,1.00,,0.00,1.00,,0.00
PF04811,0.66,2.65,0.01,0.65,2.64,0.02
PF04815,1.00,,0.00,1.00,,0.00
PF04819,1.00,,0.00,1.00,,0.00
PF04824,1.00,,0.00,1.00,,0.00
PF04826,1.00,,0.00,1.00,,0.00
PF04841,1.00,,0.00,1.00,,0.00
PF04845,0.83,3.61,0.01,0.78,3.54,0.08
PF04847,0.83,3.7,0.02,0.82,3.61,0.02
PF04849,1.00,,0.00,1.00,,0.00
PF04857,1.00,,0.00,1.00,,0.00
PF04908,0.71,2.74,0.02,0.70,2.75,0.04
PF04909,1.00,,0.00,1.00,,0.00
PF04912,1.00,,0.00,1.00,,0.00
PF04952,1.00,,0.00,1.00,,0.00
PF04969,0.47,0.16,0.06,0.56,0.06,0.16
PF04970,0.79,3.14,0.00,0.79,3.08,0.00
PF04983,1.00,,0.00,1.00,,0.00
PF04997,1.00,,0.00,1.00,,0.00
PF04998,1.00,,0.00,1.00,,0.00
PF05000,1.00,,0.00,1.00,,0.00
PF05001,0.90,4.88,0.01,1.00,,0.00
PF05004,1.00,,0.00,1.00,,0.00
PF05008,1.00,,0.00,1.00,,0.00
PF05039,1.00,,0.00,1.00,,0.00
PF05063,0.65,1.58,0.04,0.64,1.56,0.06
PF05066,1.00,,0.00,1.00,,0.00
PF05083,1.00,,0.00,1.00,,0.00
PF05147,1.00,,0.00,1.00,,0.00
PF05148,1.00,,0.00,1.00,,0.00
PF05185,1.00,,0.00,1.00,,0.00
PF05186,0.70,2.3,0.02,0.70,2.14,0.00
PF05188,0.45,0.34,0.04,0.44,0.21,0.08
PF05190,0.39,0.06,0.04,0.37,0.11,0.15
PF05193,0.39,0.08,0.04,0.34,0.05,0.16
PF05205,1.00,,0.00,1.00,,0.00
PF05217,1.00,,0.00,1.00,,0.00
PF05219,1.00,,0.00,1.00,,0.00
PF05225,0.61,1.9,0.16,1.00,,0.00
PF05250,1.00,,0.00,1.00,,0.00
PF05279,1.00,,0.00,1.00,,0.00
PF05287,0.51,0.86,0.05,0.45,0.82,0.20
PF05296,0.49,1.43,0.03,0.49,1.41,0.04
PF05300,1.00,,0.00,1.00,,0.00
PF05308,1.00,,0.00,1.00,,0.00
PF05337,1.00,,0.00,1.00,,0.00
PF05347,1.00,,0.00,1.00,,0.00
PF05350,1.00,,0.00,1.00,,0.00
PF05399,1.00,,0.00,1.00,,0.00
PF05406,0.76,2.97,0.00,0.75,2.86,0.01
PF05454,1.00,,0.00,1.00,,0.00
PF05458,1.00,,0.00,1.00,,0.00
PF05461,0.63,1.96,0.02,0.62,1.93,0.03
PF05470,1.00,,0.00,1.00,,0.00
PF05474,1.00,,0.00,1.00,,0.00
PF05477,1.00,,0.00,1.00,,0.00
PF05478,0.63,1.24,0.01,0.63,1.22,0.01
PF05483,1.00,,0.00,1.00,,0.00
PF05507,1.00,,0.00,1.00,,0.00
PF05510,1.00,,0.00,1.00,,0.00
PF05544,1.00,,0.00,1.00,,0.00
PF05577,1.00,,0.00,1.00,,0.00
PF05602,1.00,,0.00,1.00,,0.00
PF05609,0.81,3.39,0.02,0.81,3.36,0.01
PF05622,1.00,,0.00,1.00,,0.00
PF05648,0.61,0.82,0.04,0.60,0.7,0.09
PF05653,1.00,,0.00,1.00,,0.00
PF05686,1.00,,0.00,1.00,,0.00
PF05693,1.00,,0.00,1.00,,0.00
PF05699,0.54,-0.4,0.04,0.53,-0.41,0.08
PF05706,1.00,,0.00,1.00,,0.00
PF05716,1.00,,0.00,1.00,,0.00
PF05721,0.60,0.65,0.02,0.56,0.55,0.17
PF05726,1.00,,0.00,1.00,,0.00
PF05729,0.44,1.09,0.06,0.39,1.02,0.16
PF05739,0.49,1.16,0.02,0.49,1.1,0.00
PF05741,1.00,,0.00,1.00,,0.00
PF05743,1.00,,0.00,1.00,,0.00
PF05760,0.50,,0.50,1.00,,0.00
PF05770,1.00,,0.00,1.00,,0.00
PF05773,0.36,0.49,0.22,0.37,0.42,0.31
PF05781,1.00,,0.00,1.00,,0.00
PF05782,1.00,,0.00,1.00,,0.00
PF05790,0.56,0.91,0.04,0.54,-0.27,0.10
PF05793,1.00,,0.00,1.00,,0.00
PF05804,1.00,,0.00,1.00,,0.00
PF05805,1.00,,0.00,1.00,,0.00
PF05817,1.00,,0.00,1.00,,0.00
PF05831,0.67,1.94,0.02,0.65,1.95,0.05
PF05889,1.00,,0.00,1.00,,0.00
PF05903,1.00,,0.00,1.00,,0.00
PF05916,1.00,,0.00,1.00,,0.00
PF05922,1.00,,0.00,1.00,,0.00
PF05934,1.00,,0.00,1.00,,0.00
PF05937,1.00,,0.00,1.00,,0.00
PF05956,1.00,,0.00,1.00,,0.00
PF05970,1.00,,0.00,1.00,,0.00
PF05971,1.00,,0.00,1.00,,0.00
PF05986,0.48,1.42,0.04,0.44,1.39,0.10
PF05995,1.00,,0.00,1.00,,0.00
PF05997,1.00,,0.00,1.00,,0.00
PF06008,0.45,0.42,0.01,0.45,0.41,0.02
PF06009,1.00,,0.00,1.00,,0.00
PF06021,0.63,1.98,0.02,0.62,1.98,0.04
PF06027,1.00,,0.00,1.00,,0.00
PF06046,0.51,0.83,0.04,0.51,0.84,0.05
PF06052,1.00,,0.00,1.00,,0.00
PF06060,1.00,,0.00,1.00,,0.00
PF06148,1.00,,0.00,1.00,,0.00
PF06159,1.00,,0.00,1.00,,0.00
PF06202,1.00,,0.00,1.00,,0.00
PF06209,1.00,,0.00,1.00,,0.00
PF06211,1.00,,0.00,1.00,,0.00
PF06220,1.00,,0.00,1.00,,0.00
PF06248,1.00,,0.00,1.00,,0.00
PF06268,0.40,0.7,0.05,0.38,0.75,0.13
PF06309,0.73,2.64,0.00,0.73,2.64,0.01
PF06337,0.75,2.95,0.00,0.70,2.71,0.08
PF06367,0.88,3.99,0.00,0.88,3.95,0.00
PF06388,1.00,,0.00,1.00,,0.00
PF06393,1.00,,0.00,1.00,,0.00
PF06396,1.00,,0.00,1.00,,0.00
PF06407,1.00,,0.00,1.00,,0.00
PF06409,1.00,,0.00,1.00,,0.00
PF06456,0.85,3.89,0.00,0.85,3.84,0.00
PF06463,1.00,,0.00,1.00,,0.00
PF06464,0.66,2.0,0.03,0.64,1.96,0.05
PF06467,0.36,1.21,0.07,0.42,0.65,0.07
PF06472,0.60,0.63,0.00,0.60,0.63,0.01
PF06473,0.49,0.92,0.08,0.46,0.83,0.17
PF06546,1.00,,0.00,1.00,,0.00
PF06581,1.00,,0.00,1.00,,0.00
PF06602,1.00,,0.00,1.00,,0.00
PF06607,1.00,,0.00,1.00,,0.00
PF06637,1.00,,0.00,1.00,,0.00
PF06679,1.00,,0.00,1.00,,0.00
PF06730,1.00,,0.00,1.00,,0.00
PF06733,0.61,1.88,0.03,0.58,1.92,0.12
PF06747,0.57,0.56,0.04,0.57,0.44,0.04
PF06758,0.57,1.57,0.05,1.00,,0.00
PF06777,1.00,,0.00,1.00,,0.00
PF06809,1.00,,0.00,1.00,,0.00
PF06817,1.00,,0.00,1.00,,0.00
PF06839,0.63,2.8,0.06,0.72,2.67,0.03
PF06888,1.00,,0.00,1.00,,0.00
PF06907,1.00,,0.00,1.00,,0.00
PF06954,1.00,,0.00,1.00,,0.00
PF06959,1.00,,0.00,1.00,,0.00
PF06963,1.00,,0.00,1.00,,0.00
PF06990,0.61,1.78,0.04,0.59,1.81,0.08
PF07002,0.76,3.22,0.02,0.75,3.19,0.02
PF07004,0.33,1.77,0.36,0.53,0.03,0.16
PF07010,1.00,,0.00,1.00,,0.00
PF07034,1.00,,0.00,1.00,,0.00
PF07096,1.00,,0.00,1.00,,0.00
PF07106,1.00,,0.00,1.00,,0.00
PF07139,1.00,,0.00,1.00,,0.00
PF07140,1.00,,0.00,1.00,,0.00
PF07145,1.00,,0.00,1.00,,0.00
PF07163,1.00,,0.00,1.00,,0.00
PF07225,1.00,,0.00,1.00,,0.00
PF07263,1.00,,0.00,1.00,,0.00
PF07292,0.65,1.08,0.01,0.65,1.11,0.02
PF07326,1.00,,0.00,1.00,,0.00
PF07334,1.00,,0.00,1.00,,0.00
PF07354,1.00,,0.00,1.00,,0.00
PF07458,0.74,2.53,0.01,0.74,2.57,0.01
PF07521,1.00,,0.00,1.00,,0.00
PF07522,1.00,,0.00,1.00,,0.00
PF07524,0.62,1.27,0.05,0.62,1.25,0.04
PF07525,1.00,,0.00,1.00,,0.00
PF07562,1.00,,0.00,1.00,,0.00
PF07565,0.61,2.09,0.03,0.57,1.91,0.09
PF07645,0.60,2.59,0.02,0.65,2.29,0.10
PF07646,1.00,,0.00,1.00,,0.00
PF07647,0.37,0.59,0.07,0.35,0.4,0.11
PF07648,0.51,1.9,0.06,0.48,1.83,0.10
PF07651,0.83,3.61,0.01,0.82,3.52,0.00
PF07653,0.45,0.11,0.04,0.43,0.08,0.15
PF07654,0.38,1.17,0.09,0.40,1.14,0.09
PF07670,0.85,4.15,0.01,0.87,4.21,0.00
PF07678,0.60,1.67,0.03,0.58,1.63,0.07
PF07679,0.34,1.04,0.10,0.45,1.32,0.04
PF07686,0.30,0.44,0.09,0.26,0.3,0.20
PF07699,0.55,1.8,0.01,0.53,1.8,0.05
PF07707,0.48,1.34,0.02,0.48,1.31,0.02
PF07714,0.48,1.76,0.03,0.32,1.8,0.35
PF07716,0.56,1.46,0.04,0.57,1.38,0.01
PF07717,0.55,1.33,0.06,0.50,1.3,0.19
PF07728,0.57,1.29,0.07,1.00,,0.00
PF07738,0.57,1.65,0.03,0.56,1.52,0.07
PF07744,1.00,,0.00,1.00,,0.00
PF07748,0.65,1.26,0.02,0.65,1.46,0.03
PF07773,0.44,0.57,0.07,0.63,1.26,0.08
PF07776,1.00,,0.00,1.00,,0.00
PF07819,1.00,,0.00,1.00,,0.00
PF07842,1.00,,0.00,1.00,,0.00
PF07847,1.00,,0.00,1.00,,0.00
PF07857,1.00,,0.00,1.00,,0.00
PF07885,0.61,1.2,0.10,1.00,,0.00
PF07888,1.00,,0.00,1.00,,0.00
PF07894,1.00,,0.00,1.00,,0.00
PF07915,0.56,1.62,0.02,0.63,1.65,0.08
PF07942,1.00,,0.00,1.00,,0.00
PF07947,1.00,,0.00,1.00,,0.00
PF07959,1.00,,0.00,1.00,,0.00
PF07974,0.65,3.84,0.04,1.00,,0.00
PF07984,1.00,,0.00,1.00,,0.00
PF07986,1.00,,0.00,1.00,,0.00
PF08007,0.70,2.12,0.04,0.70,2.06,0.03
PF08016,1.00,,0.00,1.00,,0.00
PF08032,1.00,,0.00,1.00,,0.00
PF08033,0.53,0.98,0.02,0.49,0.91,0.13
PF08038,1.00,,0.00,1.00,,0.00
PF08040,1.00,,0.00,1.00,,0.00
PF08070,1.00,,0.00,1.00,,0.00
PF08081,1.00,,0.00,1.00,,0.00
PF08180,1.00,,0.00,1.00,,0.00
PF08190,1.00,,0.00,1.00,,0.00
PF08202,1.00,,0.00,1.00,,0.00
PF08204,1.00,,0.00,1.00,,0.00
PF08205,0.34,0.56,0.12,0.33,0.35,0.14
PF08238,0.39,0.94,0.17,0.45,0.71,0.09
PF08264,0.56,0.18,0.14,0.54,-0.15,0.12
PF08266,0.66,2.7,0.02,0.67,2.61,0.00
PF08271,0.63,0.85,0.02,0.61,0.6,0.07
PF08327,1.00,,0.00,1.00,,0.00
PF08357,0.45,0.58,0.02,0.44,0.58,0.07
PF08373,1.00,,0.00,1.00,,0.00
PF08377,1.00,,0.00,1.00,,0.00
PF08385,1.00,,0.00,1.00,,0.00
PF08389,0.44,0.62,0.02,0.41,0.63,0.14
PF08397,0.55,1.4,0.01,0.54,1.41,0.04
PF08416,0.58,0.16,0.03,0.57,0.17,0.04
PF08430,0.74,2.58,0.04,0.72,2.64,0.08
PF08433,1.00,,0.00,1.00,,0.00
PF08434,1.00,,0.00,1.00,,0.00
PF08441,0.54,1.13,0.02,0.54,1.07,0.03
PF08444,0.74,2.6,0.00,0.74,2.6,0.00
PF08447,0.73,3.54,0.09,0.76,3.24,0.00
PF08466,1.00,,0.00,1.00,,0.00
PF08491,1.00,,0.00,1.00,,0.00
PF08513,1.00,,0.00,1.00,,0.00
PF08516,1.00,,0.00,1.00,,0.00
PF08526,0.65,1.14,0.00,0.65,1.14,0.00
PF08527,1.00,,0.00,1.00,,0.00
PF08540,1.00,,0.00,1.00,,0.00
PF08551,1.00,,0.00,1.00,,0.00
PF08558,0.63,1.27,0.03,0.62,1.11,0.02
PF08568,1.00,,0.00,1.00,,0.00
PF08583,1.00,,0.00,1.00,,0.00
PF08604,1.00,,0.00,1.00,,0.00
PF08615,1.00,,0.00,1.00,,0.00
PF08629,1.00,,0.00,1.00,,0.00
PF08641,1.00,,0.00,1.00,,0.00
PF08646,1.00,,0.00,1.00,,0.00
PF08661,1.00,,0.00,1.00,,0.00
PF08662,0.59,0.78,0.01,0.59,0.78,0.03
PF08675,1.00,,0.00,1.00,,0.00
PF08688,1.00,,0.00,1.00,,0.00
PF08709,1.00,,0.00,1.00,,0.00
PF08726,0.67,2.33,0.02,0.67,2.33,0.02
PF08742,0.54,2.34,0.02,0.43,2.06,0.17
PF08743,1.00,,0.00,1.00,,0.00
PF08774,1.00,,0.00,1.00,,0.00
PF08777,0.61,0.81,0.03,0.60,0.81,0.05
PF08784,1.00,,0.00,1.00,,0.00
PF08797,1.00,,0.00,1.00,,0.00
PF08801,1.00,,0.00,1.00,,0.00
PF08824,1.00,,0.00,1.00,,0.00
PF08826,1.00,,0.00,1.00,,0.00
PF08840,0.69,2.42,0.01,0.69,2.38,0.00
PF08913,1.00,,0.00,1.00,,0.00
PF08916,1.00,,0.00,1.00,,0.00
PF08952,0.66,1.8,0.03,0.67,1.8,0.02
PF08976,0.60,1.56,0.21,1.00,,0.00
PF08997,1.00,,0.00,1.00,,0.00
PF09004,1.00,,0.00,1.00,,0.00
PF09006,1.00,,0.00,1.00,,0.00
PF09011,1.00,,0.00,1.00,,0.00
PF09030,1.00,,0.00,1.00,,0.00
PF09038,1.00,,0.00,1.00,,0.00
PF09067,0.65,1.36,0.01,0.65,1.36,0.02
PF09069,1.00,,0.00,1.00,,0.00
PF09085,1.00,,0.00,1.00,,0.00
PF09128,1.00,,0.00,1.00,,0.00
PF09162,1.00,,0.00,1.00,,0.00
PF09169,1.00,,0.00,1.00,,0.00
PF09170,1.00,,0.00,1.00,,0.00
PF09240,0.49,0.47,0.02,0.48,0.47,0.06
PF09256,1.00,,0.00,1.00,,0.00
PF09258,1.00,,0.00,1.00,,0.00
PF09261,0.63,1.14,0.02,0.63,1.17,0.03
PF09291,1.00,,0.00,1.00,,0.00
PF09294,0.43,0.77,0.05,0.41,0.69,0.09
PF09309,1.00,,0.00,1.00,,0.00
PF09325,1.00,,0.00,1.00,,0.00
PF09332,1.00,,0.00,1.00,,0.00
PF09358,1.00,,0.00,1.00,,0.00
PF09379,0.46,1.07,0.02,0.46,1.04,0.02
PF09380,0.43,0.92,0.05,0.40,0.83,0.12
PF09422,0.40,1.12,0.44,0.58,1.28,0.24
PF09439,1.00,,0.00,1.00,,0.00
