fasta_file	n_sequences
PF02260.fasta	5
PF02262.fasta	3
PF02263.fasta	11
PF02267.fasta	2
PF02268.fasta	1
PF02269.fasta	2
PF02270.fasta	1
PF02271.fasta	1
PF02272.fasta	1
PF02275.fasta	2
PF02284.fasta	1
PF02285.fasta	2
PF02290.fasta	1
PF02291.fasta	2
PF02295.fasta	3
PF02296.fasta	2
PF02297.fasta	4
PF02301.fasta	4
PF02310.fasta	2
PF02312.fasta	1
PF02318.fasta	9
PF02319.fasta	13
PF02320.fasta	2
PF02330.fasta	1
PF02337.fasta	11
PF02338.fasta	13
PF02344.fasta	1
PF02347.fasta	1
PF02348.fasta	1
PF02350.fasta	1
PF02351.fasta	14
PF02354.fasta	4
PF02359.fasta	2
PF02366.fasta	2
PF02368.fasta	2
PF02372.fasta	2
PF02373.fasta	23
PF02374.fasta	1
PF02375.fasta	11
PF02376.fasta	13
PF02377.fasta	4
PF02383.fasta	5
PF02389.fasta	3
PF02390.fasta	1
PF02391.fasta	1
PF02394.fasta	2
PF02403.fasta	1
PF02404.fasta	1
PF02410.fasta	1
PF02412.fasta	29
PF02423.fasta	1
PF02434.fasta	6
PF02436.fasta	1
PF02437.fasta	7
PF02441.fasta	1
PF02450.fasta	2
PF02453.fasta	4
PF02460.fasta	3
PF02463.fasta	12
PF02466.fasta	8
PF02469.fasta	21
PF02475.fasta	2
PF02485.fasta	7
PF02487.fasta	1
PF02492.fasta	5
PF02493.fasta	102
PF02494.fasta	4
PF02513.fasta	15
PF02515.fasta	2
PF02516.fasta	2
PF02517.fasta	1
PF02518.fasta	7
PF02525.fasta	2
PF02535.fasta	15
PF02536.fasta	4
PF02538.fasta	1
PF02540.fasta	2
PF02544.fasta	5
PF02545.fasta	1
PF02567.fasta	1
PF02574.fasta	3
PF02578.fasta	1
PF02580.fasta	2
PF02582.fasta	1
PF02585.fasta	1
PF02586.fasta	1
PF02594.fasta	1
PF02597.fasta	1
PF02598.fasta	1
PF02602.fasta	1
PF02607.fasta	1
PF02617.fasta	2
PF02628.fasta	1
PF02629.fasta	2
PF02630.fasta	2
PF02636.fasta	1
PF02637.fasta	1
PF02661.fasta	1
PF02666.fasta	1
PF02668.fasta	2
PF02671.fasta	8
PF02676.fasta	1
PF02678.fasta	1
PF02686.fasta	1
PF02690.fasta	6
PF02696.fasta	1
PF02709.fasta	7
PF02714.fasta	3
PF02724.fasta	1
PF02727.fasta	3
PF02728.fasta	3
PF02729.fasta	2
PF02731.fasta	1
PF02732.fasta	5
PF02733.fasta	1
PF02734.fasta	1
PF02735.fasta	2
PF02736.fasta	14
PF02737.fasta	4
PF02738.fasta	2
PF02740.fasta	1
PF02744.fasta	1
PF02746.fasta	1
PF02747.fasta	1
PF02749.fasta	1
PF02750.fasta	3
PF02751.fasta	1
PF02752.fasta	10
PF02755.fasta	13
PF02758.fasta	23
PF02759.fasta	21
PF02760.fasta	5
PF02761.fasta	3
PF02762.fasta	3
PF02765.fasta	1
PF02769.fasta	5
PF02770.fasta	14
PF02771.fasta	11
PF02772.fasta	2
PF02773.fasta	2
PF02775.fasta	2
PF02776.fasta	2
PF02777.fasta	1
PF02778.fasta	1
PF02779.fasta	8
PF02780.fasta	5
PF02781.fasta	2
PF02782.fasta	6
PF02784.fasta	3
PF02785.fasta	5
PF02786.fasta	9
PF02787.fasta	2
PF02789.fasta	1
PF02790.fasta	1
PF02791.fasta	4
PF02792.fasta	2
PF02793.fasta	23
PF02798.fasta	15
PF02799.fasta	2
PF02800.fasta	2
PF02801.fasta	2
PF02803.fasta	5
PF02806.fasta	6
PF02807.fasta	4
PF02809.fasta	16
PF02812.fasta	2
PF02815.fasta	10
PF02816.fasta	6
PF02817.fasta	3
PF02818.fasta	9
PF02820.fasta	29
PF02822.fasta	4
PF02823.fasta	1
PF02824.fasta	5
PF02825.fasta	14
PF02826.fasta	4
PF02827.fasta	3
PF02828.fasta	15
PF02833.fasta	2
PF02836.fasta	2
PF02837.fasta	2
PF02840.fasta	1
PF02841.fasta	9
PF02843.fasta	1
PF02844.fasta	1
PF02845.fasta	8
PF02847.fasta	7
PF02852.fasta	5
PF02854.fasta	12
PF02862.fasta	7
PF02864.fasta	7
PF02865.fasta	7
PF02866.fasta	9
PF02867.fasta	1
PF02870.fasta	1
PF02872.fasta	1
PF02874.fasta	5
PF02877.fasta	3
PF02878.fasta	6
PF02879.fasta	4
PF02880.fasta	4
PF02881.fasta	2
PF02882.fasta	4
PF02883.fasta	9
PF02885.fasta	1
PF02886.fasta	10
PF02887.fasta	2
PF02888.fasta	4
PF02889.fasta	7
PF02891.fasta	6
PF02892.fasta	10
PF02893.fasta	23
PF02897.fasta	2
PF02898.fasta	3
PF02902.fasta	8
PF02906.fasta	2
PF02910.fasta	1
PF02911.fasta	3
PF02913.fasta	3
PF02919.fasta	2
PF02921.fasta	2
PF02922.fasta	1
PF02926.fasta	3
PF02928.fasta	5
PF02931.fasta	46
PF02932.fasta	49
PF02933.fasta	2
PF02934.fasta	1
PF02935.fasta	1
PF02936.fasta	2
PF02937.fasta	1
PF02938.fasta	1
PF02939.fasta	1
PF02946.fasta	15
PF02947.fasta	1
PF02948.fasta	2
PF02953.fasta	6
PF02961.fasta	2
PF02965.fasta	1
PF02966.fasta	2
PF02969.fasta	2
PF02970.fasta	1
PF02971.fasta	1
PF02978.fasta	1
PF02984.fasta	14
PF02985.fasta	11
PF02988.fasta	1
PF02990.fasta	4
PF02991.fasta	8
PF02994.fasta	2
PF02996.fasta	4
PF03002.fasta	2
PF03006.fasta	10
PF03009.fasta	7
PF03015.fasta	2
PF03016.fasta	4
PF03020.fasta	7
PF03024.fasta	8
PF03028.fasta	15
PF03029.fasta	3
PF03031.fasta	8
PF03034.fasta	2
PF03036.fasta	5
PF03039.fasta	1
PF03045.fasta	5
PF03051.fasta	1
PF03054.fasta	1
PF03055.fasta	3
PF03061.fasta	12
PF03062.fasta	11
PF03066.fasta	3
PF03068.fasta	5
PF03071.fasta	2
PF03073.fasta	2
PF03074.fasta	1
PF03079.fasta	1
PF03081.fasta	1
PF03083.fasta	2
PF03088.fasta	1
PF03089.fasta	1
PF03091.fasta	1
PF03095.fasta	1
PF03096.fasta	4
PF03097.fasta	6
PF03098.fasta	10
PF03099.fasta	1
PF03102.fasta	1
PF03104.fasta	4
PF03105.fasta	3
PF03109.fasta	5
PF03114.fasta	16
PF03121.fasta	1
PF03124.fasta	1
PF03126.fasta	1
PF03127.fasta	6
PF03128.fasta	4
PF03129.fasta	9
PF03131.fasta	13
PF03133.fasta	14
PF03134.fasta	6
PF03137.fasta	25
PF03142.fasta	1
PF03143.fasta	1
PF03144.fasta	15
PF03145.fasta	3
PF03146.fasta	1
PF03147.fasta	2
PF03148.fasta	7
PF03151.fasta	9
PF03152.fasta	1
PF03153.fasta	3
PF03154.fasta	3
PF03155.fasta	2
PF03159.fasta	2
PF03160.fasta	48
PF03165.fasta	12
PF03166.fasta	8
PF03167.fasta	3
PF03171.fasta	3
PF03172.fasta	5
PF03176.fasta	2
PF03177.fasta	2
PF03178.fasta	3
PF03179.fasta	3
PF03184.fasta	12
PF03185.fasta	4
PF03188.fasta	5
PF03189.fasta	7
PF03190.fasta	1
PF03194.fasta	3
PF03199.fasta	1
PF03200.fasta	1
PF03208.fasta	3
PF03215.fasta	1
PF03221.fasta	13
PF03223.fasta	2
PF03224.fasta	1
PF03226.fasta	8
PF03227.fasta	1
PF03232.fasta	1
PF03234.fasta	1
PF03247.fasta	2
PF03248.fasta	1
PF03250.fasta	7
PF03253.fasta	3
PF03256.fasta	7
PF03259.fasta	3
PF03261.fasta	2
PF03265.fasta	2
PF03266.fasta	1
PF03271.fasta	3
PF03281.fasta	5
PF03283.fasta	1
PF03285.fasta	5
PF03291.fasta	1
PF03297.fasta	1
PF03298.fasta	2
PF03299.fasta	5
PF03301.fasta	1
PF03308.fasta	1
PF03311.fasta	5
PF03328.fasta	1
PF03332.fasta	2
PF03343.fasta	1
PF03344.fasta	1
PF03345.fasta	1
PF03348.fasta	5
PF03351.fasta	5
PF03357.fasta	12
PF03359.fasta	5
PF03360.fasta	3
PF03364.fasta	2
PF03366.fasta	4
PF03367.fasta	2
PF03368.fasta	1
PF03370.fasta	7
PF03371.fasta	2
PF03372.fasta	17
PF03378.fasta	1
PF03381.fasta	2
PF03388.fasta	4
PF03398.fasta	1
PF03399.fasta	3
PF03402.fasta	6
PF03403.fasta	2
PF03404.fasta	1
PF03414.fasta	4
PF03416.fasta	4
PF03435.fasta	2
PF03439.fasta	1
PF03441.fasta	2
PF03446.fasta	3
PF03447.fasta	1
PF03450.fasta	2
PF03451.fasta	10
PF03453.fasta	1
PF03454.fasta	1
PF03455.fasta	12
PF03456.fasta	15
PF03462.fasta	2
PF03463.fasta	1
PF03464.fasta	2
PF03465.fasta	2
PF03467.fasta	2
PF03473.fasta	3
PF03474.fasta	3
PF03476.fasta	3
PF03477.fasta	1
PF03483.fasta	1
PF03484.fasta	1
PF03485.fasta	1
PF03487.fasta	1
PF03489.fasta	9
PF03491.fasta	1
PF03493.fasta	4
PF03494.fasta	1
PF03501.fasta	3
PF03508.fasta	1
PF03509.fasta	1
PF03511.fasta	1
PF03516.fasta	23
PF03517.fasta	1
PF03520.fasta	5
PF03521.fasta	3
PF03522.fasta	14
PF03523.fasta	1
PF03528.fasta	2
PF03529.fasta	3
PF03530.fasta	4
PF03531.fasta	1
PF03533.fasta	1
PF03535.fasta	2
PF03540.fasta	1
PF03542.fasta	1
PF03546.fasta	2
PF03547.fasta	1
PF03556.fasta	5
PF03561.fasta	2
PF03567.fasta	12
PF03568.fasta	1
PF03571.fasta	1
PF03572.fasta	4
PF03577.fasta	3
PF03587.fasta	1
PF03600.fasta	1
PF03604.fasta	1
PF03607.fasta	16
PF03615.fasta	2
PF03619.fasta	4
PF03623.fasta	2
PF03629.fasta	1
PF03630.fasta	4
PF03632.fasta	1
PF03635.fasta	1
PF03637.fasta	7
PF03638.fasta	3
PF03643.fasta	3
PF03644.fasta	1
PF03645.fasta	6
PF03647.fasta	5
PF03650.fasta	3
PF03656.fasta	1
PF03657.fasta	1
PF03660.fasta	1
PF03661.fasta	1
PF03662.fasta	2
PF03665.fasta	2
PF03666.fasta	1
PF03669.fasta	1
PF03670.fasta	1
PF03671.fasta	1
PF03676.fasta	1
PF03690.fasta	1
PF03694.fasta	1
PF03700.fasta	2
PF03712.fasta	4
PF03715.fasta	1
PF03719.fasta	2
PF03720.fasta	1
PF03721.fasta	1
PF03725.fasta	6
PF03726.fasta	1
PF03727.fasta	9
PF03730.fasta	2
PF03731.fasta	2
PF03735.fasta	1
PF03736.fasta	30
PF03747.fasta	3
PF03762.fasta	1
PF03764.fasta	4
PF03765.fasta	8
PF03770.fasta	7
PF03781.fasta	2
PF03782.fasta	3
PF03792.fasta	4
PF03798.fasta	15
PF03800.fasta	1
PF03801.fasta	1
PF03803.fasta	5
PF03807.fasta	7
PF03810.fasta	16
PF03813.fasta	1
PF03815.fasta	8
PF03820.fasta	5
PF03821.fasta	4
PF03823.fasta	1
PF03826.fasta	15
PF03827.fasta	1
PF03828.fasta	9
PF03832.fasta	4
PF03834.fasta	1
PF03835.fasta	1
PF03836.fasta	3
PF03839.fasta	1
PF03847.fasta	1
PF03849.fasta	1
PF03850.fasta	1
PF03853.fasta	3
PF03859.fasta	2
PF03868.fasta	1
PF03870.fasta	1
PF03871.fasta	1
PF03874.fasta	2
PF03875.fasta	1
PF03876.fasta	3
PF03878.fasta	2
PF03881.fasta	2
PF03896.fasta	1
PF03900.fasta	1
PF03901.fasta	4
PF03908.fasta	1
PF03909.fasta	3
PF03911.fasta	1
PF03914.fasta	3
PF03915.fasta	2
PF03917.fasta	2
PF03919.fasta	1
PF03920.fasta	5
PF03921.fasta	5
PF03931.fasta	2
PF03932.fasta	1
PF03937.fasta	1
PF03939.fasta	1
PF03941.fasta	1
PF03942.fasta	2
PF03943.fasta	2
PF03946.fasta	2
PF03947.fasta	2
PF03949.fasta	3
PF03950.fasta	2
PF03951.fasta	1
PF03952.fasta	3
PF03953.fasta	22
PF03954.fasta	3
PF03957.fasta	3
PF03959.fasta	1
PF03962.fasta	1
PF03966.fasta	2
PF03969.fasta	1
PF03972.fasta	1
PF03980.fasta	1
PF03981.fasta	1
PF03982.fasta	7
PF03985.fasta	1
PF03987.fasta	2
PF03991.fasta	1
PF03992.fasta	3
PF03997.fasta	1
PF03998.fasta	1
PF03999.fasta	2
PF04000.fasta	3
PF04003.fasta	3
PF04004.fasta	1
PF04005.fasta	2
PF04006.fasta	1
PF04031.fasta	1
PF04032.fasta	1
PF04034.fasta	1
PF04037.fasta	1
PF04042.fasta	3
PF04045.fasta	1
PF04046.fasta	2
PF04048.fasta	1
PF04049.fasta	1
PF04050.fasta	1
PF04051.fasta	5
PF04053.fasta	2
PF04054.fasta	1
PF04055.fasta	9
PF04056.fasta	2
PF04057.fasta	1
PF04061.fasta	3
PF04062.fasta	1
PF04063.fasta	1
PF04064.fasta	1
PF04065.fasta	1
PF04068.fasta	2
PF04072.fasta	2
PF04073.fasta	1
PF04078.fasta	1
PF04080.fasta	1
PF04081.fasta	1
PF04083.fasta	1
PF04084.fasta	1
PF04086.fasta	1
PF04088.fasta	1
PF04089.fasta	10
PF04091.fasta	2
PF04095.fasta	1
PF04096.fasta	1
PF04097.fasta	1
PF04098.fasta	1
PF04099.fasta	2
PF04100.fasta	1
PF04101.fasta	1
PF04103.fasta	21
PF04104.fasta	1
PF04106.fasta	1
PF04109.fasta	2
PF04110.fasta	1
PF04111.fasta	2
PF04112.fasta	2
PF04113.fasta	2
PF04114.fasta	1
PF04116.fasta	6
PF04117.fasta	4
PF04118.fasta	2
PF04121.fasta	1
PF04124.fasta	1
PF04127.fasta	2
PF04129.fasta	1
PF04130.fasta	5
PF04133.fasta	2
PF04135.fasta	1
PF04136.fasta	1
PF04137.fasta	2
PF04139.fasta	2
PF04140.fasta	1
PF04142.fasta	5
PF04144.fasta	5
PF04145.fasta	2
PF04146.fasta	5
PF04147.fasta	1
PF04148.fasta	1
PF04152.fasta	1
PF04153.fasta	2
PF04157.fasta	2
PF04158.fasta	1
PF04161.fasta	1
PF04176.fasta	1
PF04177.fasta	2
PF04178.fasta	5
PF04180.fasta	1
PF04181.fasta	1
PF04182.fasta	1
PF04184.fasta	2
PF04188.fasta	1
PF04189.fasta	1
PF04190.fasta	1
PF04191.fasta	1
PF04192.fasta	1
PF04193.fasta	9
PF04194.fasta	2
PF04201.fasta	4
PF04209.fasta	1
PF04212.fasta	10
PF04218.fasta	11
PF04241.fasta	1
PF04253.fasta	5
PF04258.fasta	5
PF04263.fasta	1
PF04265.fasta	1
PF04266.fasta	1
PF04272.fasta	1
PF04275.fasta	1
PF04280.fasta	2
PF04281.fasta	1
PF04300.fasta	6
PF04321.fasta	1
PF04326.fasta	7
PF04360.fasta	1
PF04366.fasta	1
PF04376.fasta	1
PF04377.fasta	1
PF04379.fasta	2
PF04382.fasta	4
PF04387.fasta	4
PF04388.fasta	1
PF04389.fasta	12
PF04402.fasta	1
PF04406.fasta	1
PF04408.fasta	16
PF04410.fasta	2
PF04418.fasta	1
PF04419.fasta	3
PF04420.fasta	1
PF04421.fasta	1
PF04423.fasta	1
PF04424.fasta	2
PF04427.fasta	5
PF04430.fasta	2
PF04433.fasta	6
PF04434.fasta	5
PF04437.fasta	1
PF04438.fasta	6
PF04440.fasta	3
PF04442.fasta	1
PF04446.fasta	1
PF04457.fasta	1
PF04487.fasta	3
PF04488.fasta	2
PF04493.fasta	1
PF04494.fasta	2
PF04495.fasta	2
PF04499.fasta	3
PF04500.fasta	5
PF04502.fasta	2
PF04503.fasta	3
PF04505.fasta	16
PF04506.fasta	1
PF04511.fasta	3
PF04515.fasta	5
PF04516.fasta	6
PF04538.fasta	14
PF04547.fasta	11
PF04548.fasta	10
PF04549.fasta	1
PF04553.fasta	2
PF04557.fasta	1
PF04558.fasta	1
PF04560.fasta	3
PF04561.fasta	3
PF04563.fasta	6
PF04564.fasta	7
PF04565.fasta	3
PF04566.fasta	2
PF04567.fasta	2
PF04568.fasta	1
PF04571.fasta	3
PF04572.fasta	2
PF04573.fasta	1
PF04577.fasta	2
PF04579.fasta	3
PF04587.fasta	1
PF04588.fasta	5
PF04589.fasta	3
PF04592.fasta	1
PF04593.fasta	1
PF04597.fasta	1
PF04598.fasta	6
PF04603.fasta	1
PF04614.fasta	1
PF04615.fasta	2
PF04617.fasta	4
PF04621.fasta	3
PF04622.fasta	1
PF04627.fasta	2
PF04628.fasta	3
PF04629.fasta	3
PF04636.fasta	3
PF04641.fasta	1
PF04643.fasta	2
PF04644.fasta	2
PF04652.fasta	1
PF04658.fasta	2
PF04664.fasta	2
PF04666.fasta	4
PF04667.fasta	2
PF04668.fasta	1
PF04669.fasta	1
PF04670.fasta	4
PF04675.fasta	3
PF04676.fasta	2
PF04677.fasta	2
PF04678.fasta	2
PF04679.fasta	3
PF04680.fasta	7
PF04683.fasta	1
PF04685.fasta	1
PF04691.fasta	1
PF04692.fasta	2
PF04695.fasta	1
PF04696.fasta	1
PF04697.fasta	1
PF04698.fasta	2
PF04699.fasta	2
PF04704.fasta	4
PF04706.fasta	4
PF04707.fasta	6
PF04709.fasta	1
PF04710.fasta	3
PF04711.fasta	1
PF04712.fasta	2
PF04714.fasta	3
PF04716.fasta	1
PF04718.fasta	2
PF04719.fasta	14
PF04721.fasta	1
PF04722.fasta	7
PF04724.fasta	1
PF04727.fasta	6
PF04729.fasta	2
PF04731.fasta	3
PF04732.fasta	7
PF04733.fasta	1
PF04734.fasta	1
PF04739.fasta	2
PF04749.fasta	3
PF04750.fasta	2
PF04752.fasta	2
PF04756.fasta	3
PF04757.fasta	3
PF04758.fasta	1
PF04762.fasta	1
PF04768.fasta	1
PF04774.fasta	2
PF04775.fasta	5
PF04777.fasta	3
PF04790.fasta	4
PF04791.fasta	6
PF04794.fasta	1
PF04795.fasta	1
PF04799.fasta	2
PF04800.fasta	1
PF04801.fasta	1
PF04802.fasta	3
PF04803.fasta	3
PF04810.fasta	6
PF04811.fasta	6
PF04812.fasta	2
PF04813.fasta	1
PF04814.fasta	3
PF04815.fasta	6
PF04818.fasta	8
PF04819.fasta	3
PF04821.fasta	1
PF04822.fasta	1
PF04824.fasta	3
PF04825.fasta	3
PF04826.fasta	11
PF04828.fasta	4
PF04831.fasta	3
PF04832.fasta	2
PF04836.fasta	2
PF04840.fasta	2
PF04841.fasta	1
PF04845.fasta	3
PF04847.fasta	3
PF04849.fasta	3
PF04851.fasta	4
PF04855.fasta	1
PF04856.fasta	3
PF04857.fasta	9
PF04858.fasta	1
PF04868.fasta	2
PF04869.fasta	1
PF04871.fasta	1
PF04874.fasta	1
PF04880.fasta	2
PF04882.fasta	1
PF04884.fasta	1
PF04889.fasta	1
PF04893.fasta	6
PF04900.fasta	2
PF04901.fasta	3
PF04902.fasta	1
PF04904.fasta	2
PF04905.fasta	2
PF04906.fasta	3
PF04908.fasta	4
PF04909.fasta	1
PF04910.fasta	1
PF04912.fasta	1
PF04916.fasta	2
PF04921.fasta	2
PF04922.fasta	2
PF04923.fasta	2
PF04925.fasta	1
PF04926.fasta	3
PF04928.fasta	3
PF04930.fasta	2
PF04931.fasta	1
PF04934.fasta	1
PF04935.fasta	1
PF04938.fasta	1
PF04939.fasta	1
PF04949.fasta	1
PF04950.fasta	2
PF04952.fasta	2
PF04959.fasta	1
PF04960.fasta	2
PF04961.fasta	1
PF04968.fasta	4
PF04969.fasta	13
PF04970.fasta	8
PF04979.fasta	4
PF04981.fasta	1
PF04983.fasta	3
PF04987.fasta	1
PF04988.fasta	3
PF04990.fasta	1
PF04991.fasta	2
PF04992.fasta	1
PF04997.fasta	3
PF04998.fasta	5
PF05000.fasta	3
PF05001.fasta	26
PF05002.fasta	2
PF05004.fasta	2
PF05005.fasta	1
PF05007.fasta	1
PF05008.fasta	2
PF05010.fasta	3
PF05011.fasta	1
PF05014.fasta	1
PF05018.fasta	3
PF05019.fasta	1
PF05020.fasta	1
PF05021.fasta	1
PF05022.fasta	1
PF05024.fasta	1
PF05025.fasta	1
PF05026.fasta	1
PF05028.fasta	1
PF05029.fasta	1
PF05030.fasta	3
PF05033.fasta	7
PF05038.fasta	1
PF05039.fasta	2
PF05041.fasta	4
PF05044.fasta	2
PF05046.fasta	1
PF05047.fasta	3
PF05048.fasta	1
PF05049.fasta	2
PF05051.fasta	1
PF05053.fasta	2
PF05057.fasta	2
PF05060.fasta	1
PF05063.fasta	3
PF05064.fasta	2
PF05066.fasta	3
PF05071.fasta	2
PF05076.fasta	1
PF05083.fasta	1
PF05089.fasta	1
PF05090.fasta	1
PF05091.fasta	1
PF05093.fasta	2
PF05104.fasta	3
PF05110.fasta	5
PF05111.fasta	2
PF05118.fasta	3
PF05127.fasta	1
PF05129.fasta	1
PF05131.fasta	1
PF05132.fasta	1
PF05147.fasta	3
PF05148.fasta	1
PF05153.fasta	1
PF05154.fasta	4
PF05158.fasta	1
PF05160.fasta	1
PF05161.fasta	1
PF05162.fasta	1
PF05168.fasta	1
PF05172.fasta	1
PF05175.fasta	4
PF05177.fasta	1
PF05178.fasta	1
PF05179.fasta	1
PF05180.fasta	1
PF05181.fasta	1
PF05182.fasta	1
PF05184.fasta	6
PF05185.fasta	1
PF05186.fasta	5
PF05187.fasta	1
PF05188.fasta	4
PF05189.fasta	2
PF05190.fasta	4
PF05191.fasta	3
PF05192.fasta	9
PF05193.fasta	8
PF05195.fasta	2
PF05196.fasta	2
PF05197.fasta	2
PF05198.fasta	1
PF05199.fasta	1
PF05205.fasta	3
PF05206.fasta	1
PF05207.fasta	3
PF05208.fasta	1
PF05210.fasta	7
PF05216.fasta	1
PF05217.fasta	2
PF05219.fasta	1
PF05221.fasta	3
PF05222.fasta	2
PF05224.fasta	2
PF05225.fasta	3
PF05236.fasta	2
PF05238.fasta	1
PF05241.fasta	4
PF05242.fasta	1
PF05250.fasta	1
PF05251.fasta	1
PF05253.fasta	6
PF05254.fasta	1
PF05255.fasta	2
PF05270.fasta	2
PF05276.fasta	2
PF05277.fasta	1
PF05279.fasta	2
PF05281.fasta	1
PF05282.fasta	1
PF05283.fasta	3
PF05285.fasta	1
PF05287.fasta	12
PF05291.fasta	1
PF05292.fasta	1
PF05296.fasta	28
PF05300.fasta	2
PF05301.fasta	1
PF05303.fasta	1
PF05308.fasta	3
PF05324.fasta	2
PF05326.fasta	1
PF05327.fasta	5
PF05328.fasta	1
PF05334.fasta	2
PF05337.fasta	1
PF05345.fasta	1
PF05346.fasta	1
PF05347.fasta	9
PF05348.fasta	1
PF05349.fasta	3
PF05350.fasta	2
PF05351.fasta	3
PF05355.fasta	1
PF05361.fasta	4
PF05362.fasta	2
PF05365.fasta	1
PF05366.fasta	1
PF05368.fasta	1
PF05378.fasta	1
PF05383.fasta	7
PF05386.fasta	4
PF05391.fasta	1
PF05392.fasta	2
PF05395.fasta	3
PF05399.fasta	1
PF05404.fasta	1
PF05405.fasta	1
PF05406.fasta	3
PF05422.fasta	1
PF05427.fasta	1
PF05428.fasta	1
PF05432.fasta	1
PF05434.fasta	2
PF05438.fasta	1
PF05439.fasta	1
PF05450.fasta	1
PF05454.fasta	1
PF05456.fasta	3
PF05458.fasta	1
PF05460.fasta	1
PF05461.fasta	7
PF05463.fasta	2
PF05466.fasta	1
PF05470.fasta	2
PF05474.fasta	2
PF05477.fasta	1
PF05478.fasta	2
PF05483.fasta	1
PF05485.fasta	12
PF05486.fasta	1
PF05493.fasta	2
PF05495.fasta	1
PF05499.fasta	1
PF05502.fasta	2
PF05507.fasta	2
PF05510.fasta	2
PF05511.fasta	1
PF05517.fasta	3
PF05527.fasta	4
PF05529.fasta	2
PF05536.fasta	1
PF05544.fasta	1
PF05556.fasta	3
PF05557.fasta	1
PF05571.fasta	1
PF05572.fasta	2
PF05577.fasta	3
PF05586.fasta	2
PF05587.fasta	3
PF05600.fasta	1
PF05602.fasta	2
PF05603.fasta	1
PF05604.fasta	1
PF05605.fasta	7
PF05608.fasta	1
PF05609.fasta	2
PF05612.fasta	1
PF05615.fasta	1
PF05620.fasta	1
PF05622.fasta	3
PF05624.fasta	3
PF05625.fasta	1
PF05631.fasta	1
PF05640.fasta	4
PF05641.fasta	3
PF05644.fasta	2
PF05645.fasta	1
PF05647.fasta	5
PF05648.fasta	3
PF05649.fasta	8
PF05652.fasta	1
PF05653.fasta	6
PF05667.fasta	1
PF05669.fasta	1
PF05670.fasta	2
PF05672.fasta	4
PF05676.fasta	1
PF05679.fasta	8
PF05680.fasta	1
PF05686.fasta	3
PF05693.fasta	2
PF05694.fasta	1
PF05699.fasta	6
PF05700.fasta	1
PF05705.fasta	1
PF05706.fasta	1
PF05712.fasta	4
PF05715.fasta	4
PF05716.fasta	5
PF05719.fasta	2
PF05721.fasta	2
PF05724.fasta	1
PF05726.fasta	1
PF05729.fasta	24
PF05731.fasta	2
PF05735.fasta	5
PF05739.fasta	13
PF05741.fasta	3
PF05742.fasta	1
PF05743.fasta	2
PF05746.fasta	3
PF05753.fasta	1
PF05760.fasta	4
PF05761.fasta	5
PF05764.fasta	1
PF05768.fasta	1
PF05769.fasta	3
PF05770.fasta	1
PF05773.fasta	12
PF05778.fasta	1
PF05781.fasta	2
PF05782.fasta	1
PF05783.fasta	3
PF05786.fasta	1
PF05790.fasta	5
PF05793.fasta	1
PF05794.fasta	5
PF05804.fasta	1
PF05805.fasta	6
PF05806.fasta	1
PF05808.fasta	1
PF05811.fasta	1
PF05817.fasta	1
PF05821.fasta	1
PF05822.fasta	2
PF05824.fasta	3
PF05825.fasta	2
PF05826.fasta	3
PF05827.fasta	2
PF05831.fasta	27
PF05832.fasta	3
PF05833.fasta	1
PF05835.fasta	4
PF05837.fasta	1
PF05839.fasta	1
PF05843.fasta	2
PF05856.fasta	1
PF05859.fasta	1
PF05871.fasta	1
PF05873.fasta	1
PF05875.fasta	3
PF05881.fasta	1
PF05889.fasta	1
PF05890.fasta	1
PF05891.fasta	2
PF05902.fasta	4
PF05903.fasta	2
PF05907.fasta	1
PF05914.fasta	2
PF05915.fasta	1
PF05916.fasta	4
PF05918.fasta	1
PF05920.fasta	24
PF05922.fasta	1
PF05923.fasta	11
PF05924.fasta	5
PF05934.fasta	1
PF05937.fasta	1
PF05956.fasta	2
PF05958.fasta	1
PF05964.fasta	5
PF05965.fasta	5
PF05970.fasta	1
PF05971.fasta	1
PF05972.fasta	4
PF05978.fasta	2
PF05983.fasta	1
PF05986.fasta	25
PF05994.fasta	3
PF05995.fasta	1
PF05997.fasta	2
PF06001.fasta	2
PF06003.fasta	2
PF06008.fasta	5
PF06009.fasta	5
PF06012.fasta	1
PF06017.fasta	8
PF06021.fasta	5
PF06025.fasta	1
PF06026.fasta	1
PF06027.fasta	3
PF06031.fasta	5
PF06046.fasta	5
PF06047.fasta	2
PF06052.fasta	1
PF06058.fasta	2
PF06060.fasta	2
PF06068.fasta	2
PF06071.fasta	1
PF06079.fasta	1
PF06080.fasta	1
PF06083.fasta	6
PF06087.fasta	1
PF06090.fasta	1
PF06093.fasta	1
PF06094.fasta	1
PF06098.fasta	1
PF06102.fasta	1
PF06105.fasta	2
PF06110.fasta	1
PF06113.fasta	1
PF06119.fasta	5
PF06121.fasta	1
PF06140.fasta	4
PF06148.fasta	1
PF06155.fasta	2
PF06159.fasta	1
PF06179.fasta	1
PF06189.fasta	2
PF06201.fasta	2
PF06202.fasta	1
PF06209.fasta	1
PF06211.fasta	1
PF06212.fasta	1
PF06214.fasta	1
PF06218.fasta	2
PF06220.fasta	3
PF06221.fasta	1
PF06229.fasta	1
PF06237.fasta	3
PF06239.fasta	1
PF06244.fasta	1
PF06246.fasta	1
PF06248.fasta	1
