Pfam_code,REC_blosum,FULL_blosum,REC_vs_FULL_blosum_diff,REC_vs_FULL_blosum_%_improvement
PF01099,1.12,1.08,0.04,3.70
PF01101,2.38,2.31,0.07,3.03
PF01102,2.37,2.22,0.15,6.76
PF01103,,,,
PF01105,1.23,1.22,0.01,0.82
PF01106,,,,
PF01108,0.86,0.83,0.03,3.61
PF01109,,,,
PF01110,,,,
PF01111,4.78,4.76,0.02,0.42
PF01112,1.11,1.18,-0.07,-5.93
PF01114,,,,
PF01115,,,,
PF01119,1.26,0.99,0.27,27.27
PF01120,3.64,3.60,0.04,1.11
PF01121,1.30,1.27,0.03,2.36
PF01122,1.01,0.99,0.02,2.02
PF01124,0.81,0.78,0.03,3.85
PF01125,,,,
PF01126,3.15,3.13,0.02,0.64
PF01127,,,,
PF01128,,,,
PF01129,1.66,1.65,0.01,0.61
PF01130,1.78,1.77,0.01,0.56
PF01131,1.86,1.84,0.02,1.09
PF01133,,,,
PF01134,,,,
PF01135,2.09,2.07,0.02,0.97
PF01137,1.11,0.69,0.42,60.87
PF01138,0.61,0.62,-0.01,-1.61
PF01139,,,,
PF01142,1.52,1.47,0.05,3.40
PF01144,1.40,1.41,-0.01,-0.71
PF01145,0.87,0.85,0.02,2.35
PF01146,2.81,2.73,0.08,2.93
PF01148,4.43,4.45,-0.02,-0.45
PF01149,,,,
PF01150,1.43,1.39,0.04,2.88
PF01151,1.79,1.74,0.05,2.87
PF01153,1.74,1.69,0.05,2.96
PF01154,4.32,4.32,0.00,0.00
PF01157,,,,
PF01158,,,,
PF01159,,,,
PF01160,1.60,1.60,0.00,0.00
PF01161,1.89,1.05,0.84,80.00
PF01163,1.55,1.51,0.04,2.65
PF01165,,,,
PF01166,3.73,3.68,0.05,1.36
PF01167,3.30,3.16,0.14,4.43
PF01168,,,,
PF01169,0.71,0.73,-0.02,-2.74
PF01170,0.94,0.89,0.05,5.62
PF01171,,,,
PF01172,,,,
PF01175,,,,
PF01176,2.55,2.51,0.04,1.59
PF01179,2.78,2.86,-0.08,-2.80
PF01180,0.49,0.63,-0.14,-22.22
PF01182,1.44,1.41,0.03,2.13
PF01186,3.55,3.55,0.00,0.00
PF01187,2.61,2.59,0.02,0.77
PF01189,1.27,1.21,0.06,4.96
PF01191,,,,
PF01192,,,,
PF01193,0.89,0.17,0.72,423.53
PF01194,,,,
PF01195,,,,
PF01196,,,,
PF01198,,,,
PF01199,,,,
PF01200,,,,
PF01201,0.63,0.61,0.02,3.28
PF01202,0.41,0.11,0.30,272.73
PF01204,,,,
PF01205,,,,
PF01207,1.24,1.05,0.19,18.10
PF01208,,,,
PF01209,,,,
PF01210,3.60,3.56,0.04,1.12
PF01212,,,,
PF01213,3.12,1.81,1.31,72.38
PF01214,,,,
PF01215,,,,
PF01216,3.70,3.70,0.00,0.00
PF01217,1.14,1.06,0.08,7.55
PF01218,,,,
PF01221,3.18,3.16,0.02,0.63
PF01222,2.38,2.23,0.15,6.73
PF01223,0.97,0.79,0.18,22.78
PF01227,,,,
PF01229,,,,
PF01230,1.79,1.72,0.07,4.07
PF01231,2.29,2.28,0.01,0.44
PF01233,4.80,4.77,0.03,0.63
PF01234,2.08,2.08,0.00,0.00
PF01237,1.85,1.87,-0.02,-1.07
PF01238,,,,
PF01239,1.23,1.07,0.16,14.95
PF01242,,,,
PF01243,,,,
PF01244,3.24,3.25,-0.01,-0.31
PF01245,,,,
PF01246,2.47,2.40,0.07,2.92
PF01247,,,,
PF01248,0.73,0.60,0.13,21.67
PF01249,,,,
PF01250,,,,
PF01251,,,,
PF01253,1.63,1.50,0.13,8.67
PF01254,,,,
PF01255,0.66,0.51,0.15,29.41
PF01256,,,,
PF01257,,,,
PF01259,,,,
PF01261,,,,
PF01262,,,,
PF01263,,,,
PF01265,,,,
PF01266,0.36,0.39,-0.03,-7.69
PF01267,2.92,2.90,0.02,0.69
PF01268,4.00,4.00,0.00,0.00
PF01269,4.62,4.63,-0.01,-0.22
PF01271,-0.05,-0.02,-0.03,-150.00
PF01273,0.42,0.39,0.03,7.69
PF01275,2.93,2.92,0.01,0.34
PF01279,1.94,1.81,0.13,7.18
PF01280,,,,
PF01281,,,,
PF01282,,,,
PF01283,4.95,4.94,0.01,0.20
PF01284,0.42,0.41,0.01,2.44
PF01285,5.15,5.11,0.04,0.78
PF01286,,,,
PF01287,4.08,4.08,0.00,0.00
PF01290,4.16,4.14,0.02,0.48
PF01291,0.46,0.46,0.00,0.00
PF01294,,,,
PF01296,5.69,5.29,0.40,7.56
PF01299,0.98,1.00,-0.02,-2.00
PF01300,,,,
PF01301,2.71,2.70,0.01,0.37
PF01302,2.50,2.43,0.07,2.88
PF01315,2.32,2.36,-0.04,-1.69
PF01321,2.17,2.15,0.02,0.93
PF01323,,,,
PF01327,,,,
PF01329,3.68,3.69,-0.01,-0.27
PF01331,,,,
PF01335,0.91,0.88,0.03,3.41
PF01336,0.46,0.52,-0.06,-11.54
PF01342,2.27,2.15,0.12,5.58
PF01344,1.43,1.34,0.09,6.72
PF01347,0.25,0.25,0.00,0.00
PF01351,,,,
PF01352,2.98,2.94,0.04,1.36
PF01359,,,,
PF01363,2.36,2.17,0.19,8.76
PF01365,1.36,1.33,0.03,2.26
PF01368,,,,
PF01369,2.26,2.22,0.04,1.80
PF01370,0.10,0.05,0.05,100.00
PF01379,,,,
PF01380,1.43,1.43,0.00,0.00
PF01381,,,,
PF01384,2.15,2.04,0.11,5.39
PF01387,2.88,2.84,0.04,1.41
PF01388,1.84,1.78,0.06,3.37
PF01390,0.97,0.90,0.07,7.78
PF01391,2.07,1.88,0.19,10.11
PF01392,1.82,1.82,0.00,0.00
PF01393,4.77,4.79,-0.02,-0.42
PF01394,0.41,0.41,0.00,0.00
PF01396,,,,
PF01398,0.70,0.66,0.04,6.06
PF01399,0.45,0.31,0.14,45.16
PF01400,2.53,2.51,0.02,0.80
PF01401,2.61,2.60,0.01,0.38
PF01403,1.09,1.05,0.04,3.81
PF01404,3.08,3.07,0.01,0.33
PF01406,2.64,2.55,0.09,3.53
PF01408,1.13,1.05,0.08,7.62
PF01409,1.22,1.03,0.19,18.45
PF01410,2.49,2.44,0.05,2.05
PF01411,2.78,2.77,0.01,0.36
PF01412,2.06,1.99,0.07,3.52
PF01413,2.84,2.80,0.04,1.43
PF01414,3.70,3.66,0.04,1.09
PF01415,,,,
PF01416,0.21,0.21,0.00,0.00
PF01417,2.81,2.78,0.03,1.08
PF01419,,,,
PF01421,1.42,1.42,0.00,0.00
PF01422,3.81,3.70,0.11,2.97
PF01423,0.96,0.89,0.07,7.87
PF01424,1.29,1.24,0.05,4.03
PF01425,0.57,0.58,-0.01,-1.72
PF01426,0.82,0.79,0.03,3.80
PF01428,2.09,2.07,0.02,0.97
PF01429,1.30,1.20,0.10,8.33
PF01431,2.85,2.84,0.01,0.35
PF01432,1.96,1.94,0.02,1.03
PF01433,1.81,1.77,0.04,2.26
PF01434,2.01,2.01,0.00,0.00
PF01435,0.41,0.41,0.00,0.00
PF01436,1.73,1.70,0.03,1.76
PF01437,1.92,1.70,0.22,12.94
PF01442,0.75,0.73,0.02,2.74
PF01448,1.43,1.41,0.02,1.42
PF01451,,,,
PF01454,2.56,2.52,0.04,1.59
PF01457,-0.40,-1.36,0.96,70.59
PF01459,1.65,1.65,0.00,0.00
PF01462,2.26,2.24,0.02,0.89
PF01463,1.59,1.52,0.07,4.61
PF01465,3.17,3.11,0.06,1.93
PF01466,,,,
PF01467,0.81,0.78,0.03,3.85
PF01470,2.28,1.89,0.39,20.63
PF01471,1.53,1.50,0.03,2.00
PF01472,0.69,0.64,0.05,7.81
PF01476,2.36,2.13,0.23,10.80
PF01477,1.04,0.99,0.05,5.05
PF01479,1.70,1.82,-0.12,-6.59
PF01480,1.31,1.26,0.05,3.97
PF01483,2.47,2.47,0.00,0.00
PF01485,1.64,1.65,-0.01,-0.61
PF01490,0.95,0.93,0.02,2.15
PF01491,,,,
PF01494,1.58,1.49,0.09,6.04
PF01496,2.61,2.64,-0.03,-1.14
PF01500,4.09,4.08,0.01,0.25
PF01501,0.72,0.65,0.07,10.77
PF01504,1.86,1.83,0.03,1.64
PF01505,1.70,1.72,-0.02,-1.16
PF01507,,-1.00,,
PF01509,1.21,1.17,0.04,3.42
PF01510,2.29,2.23,0.06,2.69
PF01512,,,,
PF01513,,,,
PF01521,1.28,1.28,0.00,0.00
PF01529,1.41,1.34,0.07,5.22
PF01530,4.33,4.23,0.10,2.36
PF01531,3.40,3.40,0.00,0.00
PF01532,1.93,1.93,0.00,0.00
PF01534,2.74,2.75,-0.01,-0.36
PF01535,0.95,1.00,-0.05,-5.00
PF01536,,,,
PF01541,,,,
PF01545,1.05,0.99,0.06,6.06
PF01546,0.32,0.14,0.18,128.57
PF01549,,,,
PF01551,,,,
PF01553,0.66,0.60,0.06,10.00
PF01554,1.31,1.31,0.00,0.00
PF01556,1.95,1.85,0.10,5.41
PF01557,1.82,1.83,-0.01,-0.55
PF01562,0.86,1.07,-0.21,-19.63
PF01564,0.81,0.72,0.09,12.50
PF01565,1.03,1.00,0.03,3.00
PF01566,3.74,3.84,-0.10,-2.60
PF01569,0.79,0.74,0.05,6.76
PF01571,1.11,1.00,0.11,11.00
PF01575,0.62,0.52,0.10,19.23
PF01576,2.39,2.32,0.07,3.02
PF01582,1.04,0.99,0.05,5.05
PF01583,4.59,4.48,0.11,2.46
PF01585,2.22,2.12,0.10,4.72
PF01586,1.85,1.78,0.07,3.93
PF01588,3.45,3.41,0.04,1.17
PF01590,1.13,1.09,0.04,3.67
PF01591,3.80,3.79,0.01,0.26
PF01592,,,,
PF01593,0.56,0.54,0.02,3.70
PF01594,,,,
PF01595,2.73,2.57,0.16,6.23
PF01596,1.12,1.00,0.12,12.00
PF01597,1.04,0.97,0.07,7.22
PF01599,,,,
PF01602,0.77,0.76,0.01,1.32
PF01603,4.09,4.09,0.00,0.00
PF01607,3.00,2.89,0.11,3.81
PF01608,1.86,1.82,0.04,2.20
PF01612,0.73,0.57,0.16,28.07
PF01619,2.13,2.01,0.12,5.97
PF01624,0.39,0.37,0.02,5.41
PF01625,,,,
PF01630,2.17,2.23,-0.06,-2.69
PF01632,,,,
PF01633,2.16,1.92,0.24,12.50
PF01636,0.99,0.76,0.23,30.26
PF01641,,,,
PF01642,,,,
PF01648,,,,
PF01650,1.44,1.40,0.04,2.86
PF01652,2.12,2.33,-0.21,-9.01
PF01655,,,,
PF01658,,,,
PF01661,1.09,1.08,0.01,0.93
PF01663,1.44,1.64,-0.20,-12.20
PF01667,5.56,5.56,0.00,0.00
PF01669,,,,
PF01687,,,,
PF01693,1.28,1.15,0.13,11.30
PF01694,0.65,0.60,0.05,8.33
PF01699,1.02,1.01,0.01,0.99
PF01702,0.96,0.99,-0.03,-3.03
PF01704,1.64,1.62,0.02,1.23
PF01709,,,,
PF01712,1.40,1.36,0.04,2.94
PF01713,,,,
PF01715,,,,
PF01722,1.66,1.61,0.05,3.11
PF01725,,,,
PF01728,0.99,1.01,-0.02,-1.98
PF01729,,,,
PF01731,3.53,3.53,0.00,0.00
PF01733,1.32,1.30,0.02,1.54
PF01734,0.68,0.64,0.04,6.25
PF01735,2.26,2.14,0.12,5.61
PF01738,,,,
PF01740,0.75,0.77,-0.02,-2.60
PF01743,,,,
PF01747,4.65,4.63,0.02,0.43
PF01749,1.87,1.89,-0.02,-1.06
PF01751,1.22,1.31,-0.09,-6.87
PF01753,2.43,2.41,0.02,0.83
PF01754,2.51,2.44,0.07,2.87
PF01755,3.19,3.12,0.07,2.24
PF01756,0.93,0.85,0.08,9.41
PF01758,1.76,1.69,0.07,4.14
PF01759,0.64,0.60,0.04,6.67
PF01762,1.65,1.63,0.02,1.23
PF01764,2.08,2.07,0.01,0.48
PF01765,,,,
PF01769,1.52,1.54,-0.02,-1.30
PF01770,2.43,2.43,0.00,0.00
PF01773,3.53,3.47,0.06,1.73
PF01775,,,,
PF01776,4.01,4.00,0.01,0.25
PF01777,,,,
PF01778,0.29,0.31,-0.02,-6.45
PF01779,,,,
PF01780,4.35,4.36,-0.01,-0.23
PF01781,,,,
PF01783,,,,
PF01784,,,,
PF01791,,,,
PF01794,0.90,0.92,-0.02,-2.17
PF01795,5.02,4.94,0.08,1.62
PF01798,1.75,1.73,0.02,1.16
PF01799,4.37,4.27,0.10,2.34
PF01803,4.44,4.36,0.08,1.83
PF01805,1.80,1.74,0.06,3.45
PF01808,,,,
PF01812,0.32,0.31,0.01,3.23
PF01813,,,,
PF01814,,,,
PF01821,2.01,2.19,-0.18,-8.22
PF01822,1.38,1.33,0.05,3.76
PF01823,0.81,0.75,0.06,8.00
PF01825,2.24,2.20,0.04,1.82
PF01826,2.21,2.20,0.01,0.45
PF01833,0.74,0.63,0.11,17.46
PF01834,,,,
PF01835,1.66,1.62,0.04,2.47
PF01839,2.35,2.42,-0.07,-2.89
PF01840,1.80,1.74,0.06,3.45
PF01841,2.68,2.14,0.54,25.23
PF01842,,,,
PF01843,1.57,1.52,0.05,3.29
PF01844,,,,
PF01846,1.11,1.06,0.05,4.72
PF01847,3.68,3.65,0.03,0.82
PF01849,2.87,2.83,0.04,1.41
PF01851,0.88,0.67,0.21,31.34
PF01852,0.44,0.41,0.03,7.32
PF01853,3.53,3.49,0.04,1.15
PF01857,2.53,2.52,0.01,0.40
PF01858,2.24,2.24,0.00,0.00
PF01866,1.03,1.08,-0.05,-4.63
PF01868,,,,
PF01869,,,,
PF01871,4.80,5.02,-0.22,-4.38
PF01873,1.14,1.14,0.00,0.00
PF01875,,,,
PF01876,,,,
PF01878,,,,
PF01883,2.88,3.08,-0.20,-6.49
PF01885,,,,
PF01896,-0.22,-0.19,-0.03,-15.79
PF01900,0.34,0.36,-0.02,-5.56
PF01902,,,,
PF01907,,,,
PF01909,1.33,0.83,0.50,60.24
PF01912,,,,
PF01916,,,,
PF01918,2.90,2.80,0.10,3.57
PF01920,0.36,0.34,0.02,5.88
PF01922,,,,
PF01923,,,,
PF01926,1.22,0.89,0.33,37.08
PF01927,,,,
PF01928,,,,
PF01929,,,,
PF01931,,,,
PF01936,,,,
PF01937,-0.16,-0.13,-0.03,-23.08
PF01938,0.77,0.76,0.01,1.32
PF01940,,,,
PF01951,,,,
PF01956,0.25,0.23,0.02,8.70
PF01963,1.84,1.82,0.02,1.10
PF01965,,,,
PF01966,,,,
PF01967,,,,
PF01968,,,,
PF01974,1.11,1.04,0.07,6.73
PF01979,1.36,1.42,-0.06,-4.23
PF01980,,,,
PF01981,0.86,0.93,-0.07,-7.53
PF01984,,,,
PF01990,,,,
PF01991,3.67,3.67,0.00,0.00
PF01992,3.69,3.72,-0.03,-0.81
PF01997,0.89,0.87,0.02,2.30
PF02002,,,,
PF02005,0.97,0.74,0.23,31.08
PF02008,2.75,2.64,0.11,4.17
PF02010,0.40,0.39,0.01,2.56
PF02014,1.18,1.17,0.01,0.85
PF02017,1.81,1.79,0.02,1.12
PF02019,0.98,0.99,-0.01,-1.01
PF02020,1.52,1.48,0.04,2.70
PF02022,5.35,5.36,-0.01,-0.19
PF02023,2.93,2.87,0.06,2.09
PF02024,,,,
PF02025,,,,
PF02026,1.97,1.94,0.03,1.55
PF02029,0.94,0.87,0.07,8.05
PF02033,,,,
PF02036,1.71,1.72,-0.01,-0.58
PF02037,1.74,1.68,0.06,3.57
PF02038,2.58,2.46,0.12,4.88
PF02044,4.50,4.50,0.00,0.00
PF02045,,,,
PF02046,3.73,3.84,-0.11,-2.86
PF02057,,,,
PF02058,2.23,2.23,0.00,0.00
PF02059,,,,
PF02060,1.58,0.82,0.76,92.68
PF02063,2.17,2.25,-0.08,-3.56
PF02064,2.45,2.35,0.10,4.26
PF02070,,,,
PF02072,,,,
PF02077,,,,
PF02078,3.79,3.75,0.04,1.07
PF02079,,,,
PF02083,,,,
PF02089,1.06,1.11,-0.05,-4.50
PF02096,1.16,1.09,0.07,6.42
PF02099,2.16,2.16,0.00,0.00
PF02100,2.84,2.40,0.44,18.33
PF02101,,,,
PF02104,,,,
PF02106,,,,
PF02109,,,,
PF02114,1.81,1.65,0.16,9.70
PF02115,3.55,3.43,0.12,3.50
PF02121,2.89,2.88,0.01,0.35
PF02126,,,,
PF02127,,,,
PF02130,,,,
PF02135,3.41,3.41,0.00,0.00
PF02136,1.68,1.70,-0.02,-1.18
PF02137,1.48,1.49,-0.01,-0.67
PF02138,2.74,2.72,0.02,0.74
PF02140,2.38,2.45,-0.07,-2.86
PF02141,1.40,1.39,0.01,0.72
PF02142,0.36,0.36,0.00,0.00
PF02144,,,,
PF02145,2.14,2.11,0.03,1.42
PF02146,1.47,1.50,-0.03,-2.00
PF02148,2.05,1.98,0.07,3.54
PF02149,3.07,2.95,0.12,4.07
PF02150,2.00,1.48,0.52,35.14
PF02155,,,,
PF02157,,,,
PF02158,1.87,1.91,-0.04,-2.09
PF02159,,,,
PF02161,,,,
PF02163,,,,
PF02165,,,,
PF02166,,,,
PF02167,,,,
PF02170,1.57,1.48,0.09,6.08
PF02171,2.38,2.39,-0.01,-0.42
PF02172,4.80,4.81,-0.01,-0.21
PF02173,2.67,2.75,-0.08,-2.91
PF02174,1.42,1.32,0.10,7.58
PF02176,1.50,1.56,-0.06,-3.85
PF02177,3.29,3.27,0.02,0.61
PF02178,3.47,3.17,0.30,9.46
PF02179,1.08,1.17,-0.09,-7.69
PF02180,2.48,2.49,-0.01,-0.40
PF02181,1.14,1.13,0.01,0.88
PF02182,4.12,4.21,-0.09,-2.14
PF02185,1.61,1.49,0.12,8.05
PF02186,,,,
PF02187,3.12,3.12,0.00,0.00
PF02188,2.45,2.41,0.04,1.66
PF02189,1.31,1.29,0.02,1.55
PF02190,0.81,0.80,0.01,1.25
PF02191,1.88,1.88,0.00,0.00
PF02192,2.31,2.26,0.05,2.21
PF02194,1.02,1.02,0.00,0.00
PF02195,,,,
PF02196,1.26,0.96,0.30,31.25
PF02197,1.68,1.64,0.04,2.44
PF02198,1.60,1.50,0.10,6.67
PF02199,3.23,3.15,0.08,2.54
PF02201,2.64,2.32,0.32,13.79
PF02202,,,,
PF02204,1.14,1.10,0.04,3.64
PF02205,1.57,1.58,-0.01,-0.63
PF02207,2.11,2.01,0.10,4.98
PF02208,3.05,2.92,0.13,4.45
PF02209,2.52,2.52,0.00,0.00
PF02210,0.68,0.69,-0.01,-1.45
PF02212,1.83,1.80,0.03,1.67
PF02213,2.83,2.76,0.07,2.54
PF02214,1.43,1.39,0.04,2.88
PF02218,3.57,3.44,0.13,3.78
PF02219,,,,
PF02221,0.48,0.48,0.00,0.00
PF02223,0.59,0.58,0.01,1.72
PF02225,0.86,0.75,0.11,14.67
PF02229,,,,
PF02230,2.19,2.15,0.04,1.86
PF02233,,,,
PF02234,2.63,2.63,0.00,0.00
PF02237,,,,
PF02238,3.28,3.05,0.23,7.54
PF02244,1.48,1.47,0.01,0.68
PF02245,,,,
PF02251,2.46,2.42,0.04,1.65
PF02252,2.47,2.39,0.08,3.35
PF02256,1.98,2.08,-0.10,-4.81
PF02257,2.49,2.42,0.07,2.89
PF02259,0.10,0.10,0.00,0.00
PF02260,2.08,2.05,0.03,1.46
PF02262,2.34,2.33,0.01,0.43
PF02263,2.37,2.28,0.09,3.95
PF02267,2.00,1.98,0.02,1.01
PF02268,,,,
PF02269,1.43,1.34,0.09,6.72
PF02270,,,,
PF02271,,,,
PF02272,,,,
PF02275,1.67,1.86,-0.19,-10.22
PF02284,,,,
PF02285,2.44,2.33,0.11,4.72
PF02290,,,,
PF02291,4.90,4.92,-0.02,-0.41
PF02295,1.03,1.04,-0.01,-0.96
PF02296,4.31,4.37,-0.06,-1.37
PF02297,2.03,1.89,0.14,7.41
PF02301,1.33,1.28,0.05,3.91
PF02310,0.27,0.28,-0.01,-3.57
PF02312,,,,
PF02318,1.63,1.57,0.06,3.82
PF02319,2.14,2.11,0.03,1.42
PF02320,5.11,5.11,0.00,0.00
PF02330,,,,
PF02337,5.25,5.25,0.00,0.00
PF02338,0.78,0.69,0.09,13.04
PF02344,,,,
PF02347,,,,
PF02348,,,,
PF02350,,,,
PF02351,1.01,0.96,0.05,5.21
PF02354,2.22,2.21,0.01,0.45
PF02359,-0.40,-0.41,0.01,2.44
PF02366,1.81,1.80,0.01,0.56
PF02368,2.55,2.47,0.08,3.24
PF02372,0.65,0.73,-0.08,-10.96
PF02373,0.91,0.86,0.05,5.81
PF02374,,,,
PF02375,2.59,2.59,0.00,0.00
PF02376,2.25,2.11,0.14,6.64
PF02377,3.36,3.30,0.06,1.82
PF02383,1.57,1.61,-0.04,-2.48
PF02389,4.64,4.38,0.26,5.94
PF02390,,,,
PF02391,,,,
PF02394,0.92,0.92,0.00,0.00
PF02403,,,,
PF02404,,,,
PF02410,,,,
PF02412,2.84,2.70,0.14,5.19
PF02423,,,,
PF02434,1.59,1.49,0.10,6.71
PF02436,,,,
PF02437,1.79,1.70,0.09,5.29
PF02441,,,,
PF02450,2.69,2.74,-0.05,-1.82
PF02453,2.88,3.00,-0.12,-4.00
PF02460,1.87,1.45,0.42,28.97
PF02463,-0.01,0.01,-0.02,-200.00
PF02466,0.75,0.60,0.15,25.00
PF02469,0.91,0.86,0.05,5.81
PF02475,0.86,0.57,0.29,50.88
PF02485,1.78,1.74,0.04,2.30
PF02487,,,,
PF02493,1.83,1.69,0.14,8.28
PF02494,1.76,1.73,0.03,1.73
PF02513,2.38,2.38,0.00,0.00
PF02515,1.11,1.11,0.00,0.00
PF02516,3.39,3.12,0.27,8.65
PF02517,,,,
PF02518,2.18,1.92,0.26,13.54
PF02525,2.57,2.48,0.09,3.63
PF02535,0.80,0.75,0.05,6.67
PF02536,0.44,0.41,0.03,7.32
PF02538,,,,
PF02540,0.31,-0.29,0.60,206.90
PF02544,1.58,1.55,0.03,1.94
PF02545,,,,
PF02567,,,,
PF02574,2.01,1.87,0.14,7.49
PF02578,,,,
PF02580,1.03,1.05,-0.02,-1.90
PF02582,,,,
PF02585,,,,
PF02586,,,,
PF02594,,,,
PF02597,,,,
PF02602,,,,
PF02607,,,,
PF02617,2.42,2.46,-0.04,-1.63
PF02628,,,,
PF02629,0.49,0.49,0.00,0.00
PF02630,3.37,3.33,0.04,1.20
PF02636,,,,
PF02637,,,,
PF02661,,,,
PF02666,,,,
PF02668,1.13,1.00,0.13,13.00
PF02671,1.35,1.64,-0.29,-17.68
PF02676,,,,
PF02678,,,,
PF02686,,,,
PF02690,2.53,1.67,0.86,51.50
PF02696,,,,
PF02709,2.91,2.88,0.03,1.04
PF02724,,-1.38,,
PF02727,3.00,3.00,0.00,0.00
PF02728,2.01,2.03,-0.02,-0.99
PF02729,1.25,1.25,0.00,0.00
PF02731,,,,
PF02732,0.12,0.09,0.03,33.33
PF02733,,,,
PF02734,,,,
PF02735,0.31,0.31,0.00,0.00
PF02736,2.07,2.06,0.01,0.49
PF02737,1.04,1.03,0.01,0.97
PF02738,2.74,2.68,0.06,2.24
PF02740,,,,
PF02744,,,,
PF02746,,,,
PF02747,,,,
PF02749,,,,
PF02750,4.28,4.28,0.00,0.00
PF02751,,,,
PF02752,1.36,1.31,0.05,3.82
PF02755,2.29,2.11,0.18,8.53
PF02758,0.99,0.98,0.01,1.02
PF02759,0.71,0.65,0.06,9.23
PF02760,2.59,2.57,0.02,0.78
PF02761,3.66,3.66,0.00,0.00
PF02762,4.39,4.39,0.00,0.00
PF02765,,,,
PF02769,0.44,0.46,-0.02,-4.35
PF02770,1.47,1.43,0.04,2.80
PF02771,1.07,1.07,0.00,0.00
PF02772,4.63,4.62,0.01,0.22
PF02773,4.85,4.85,0.00,0.00
PF02775,1.38,1.25,0.13,10.40
PF02776,1.54,1.30,0.24,18.46
PF02777,,,,
PF02778,,,,
PF02779,0.94,0.93,0.01,1.08
PF02780,1.53,1.58,-0.05,-3.16
PF02781,1.62,1.43,0.19,13.29
PF02782,1.57,1.59,-0.02,-1.26
PF02784,3.05,3.06,-0.01,-0.33
PF02785,1.60,1.59,0.01,0.63
PF02786,1.35,1.33,0.02,1.50
PF02787,1.90,1.92,-0.02,-1.04
PF02789,,,,
PF02790,,,,
PF02791,1.48,1.39,0.09,6.47
PF02792,5.29,5.29,0.00,0.00
PF02793,1.63,1.51,0.12,7.95
PF02798,1.63,1.59,0.04,2.52
PF02799,4.47,4.45,0.02,0.45
PF02800,4.03,4.03,0.00,0.00
PF02801,1.09,1.04,0.05,4.81
PF02803,2.16,2.14,0.02,0.93
PF02806,3.77,3.70,0.07,1.89
PF02807,4.10,4.11,-0.01,-0.24
PF02809,2.10,2.01,0.09,4.48
PF02812,5.23,5.25,-0.02,-0.38
PF02815,1.10,1.05,0.05,4.76
PF02816,1.16,1.15,0.01,0.87
PF02817,1.93,1.77,0.16,9.04
PF02818,3.25,3.25,0.00,0.00
PF02820,1.87,1.82,0.05,2.75
PF02822,2.73,2.75,-0.02,-0.73
PF02823,,,,
PF02824,1.53,1.49,0.04,2.68
PF02825,1.25,1.23,0.02,1.63
PF02826,2.00,1.94,0.06,3.09
PF02827,1.36,1.35,0.01,0.74
PF02828,0.91,0.87,0.04,4.60
PF02833,1.71,1.38,0.33,23.91
PF02836,0.63,0.79,-0.16,-20.25
PF02837,4.57,4.51,0.06,1.33
PF02840,,,,
PF02841,2.40,2.40,0.00,0.00
PF02843,,,,
PF02844,,,,
PF02845,1.16,1.12,0.04,3.57
PF02847,0.66,0.63,0.03,4.76
PF02852,2.18,2.15,0.03,1.40
PF02854,0.40,0.39,0.01,2.56
PF02862,1.66,1.69,-0.03,-1.78
PF02864,1.75,1.80,-0.05,-2.78
PF02865,1.83,1.81,0.02,1.10
PF02866,1.97,1.96,0.01,0.51
PF02867,,,,
PF02870,,,,
PF02872,,,,
PF02874,0.75,0.60,0.15,25.00
PF02877,1.82,1.82,0.00,0.00
PF02878,1.41,1.26,0.15,11.90
PF02879,1.52,1.47,0.05,3.40
PF02880,1.36,1.35,0.01,0.74
PF02881,0.43,0.40,0.03,7.50
PF02882,2.31,2.17,0.14,6.45
PF02883,0.73,0.72,0.01,1.39
PF02885,,,,
PF02886,0.77,0.70,0.07,10.00
PF02887,3.50,3.48,0.02,0.57
PF02888,3.55,3.55,0.00,0.00
PF02889,0.71,0.72,-0.01,-1.39
PF02891,3.97,3.93,0.04,1.02
PF02892,2.26,2.24,0.02,0.89
PF02893,0.81,0.73,0.08,10.96
PF02897,0.21,0.12,0.09,75.00
PF02898,3.92,3.89,0.03,0.77
PF02902,1.61,1.48,0.13,8.78
PF02906,2.93,3.04,-0.11,-3.62
PF02910,,,,
PF02911,1.47,1.44,0.03,2.08
PF02913,0.38,0.35,0.03,8.57
PF02919,4.02,4.02,0.00,0.00
PF02921,4.83,4.83,0.00,0.00
PF02922,,,,
PF02926,0.81,0.36,0.45,125.00
PF02928,2.75,2.70,0.05,1.85
PF02931,1.40,1.37,0.03,2.19
PF02932,1.01,1.08,-0.07,-6.48
PF02933,-0.52,-0.41,-0.11,-26.83
PF02934,,,,
PF02935,,,,
PF02936,3.24,3.18,0.06,1.89
PF02937,,,,
PF02938,,,,
PF02939,,,,
PF02946,2.26,2.26,0.00,0.00
PF02947,,,,
PF02948,5.15,5.15,0.00,0.00
PF02953,1.30,1.25,0.05,4.00
PF02961,1.99,1.97,0.02,1.02
PF02965,,,,
PF02966,2.11,2.11,0.00,0.00
PF02969,2.17,2.06,0.11,5.34
PF02970,,,,
PF02971,,,,
PF02978,,,,
PF02984,0.73,0.64,0.09,14.06
PF02985,0.89,1.11,-0.22,-19.82
PF02988,,,,
PF02990,1.93,1.92,0.01,0.52
PF02991,2.82,2.81,0.01,0.36
PF02994,2.22,2.17,0.05,2.30
PF02996,0.38,0.36,0.02,5.56
PF03002,5.23,4.19,1.04,24.82
