Pfam_code,HMMER_gaps,FULL_gaps,HMMER_vs_FULL_gaps_diff,HMMER_vs_FULL_gaps_%_improvement
PF01019,0.31,0.33,0.02,6.06
PF01020,0.00,0.00,0.00,
PF01023,0.13,0.15,0.02,13.33
PF01025,0.07,0.08,0.01,12.50
PF01026,0.16,0.13,-0.03,-23.08
PF01027,0.12,0.11,-0.01,-9.09
PF01028,0.00,0.01,0.01,100.00
PF01030,0.19,0.21,0.02,9.52
PF01031,0.03,0.05,0.02,40.00
PF01033,0.11,0.11,0.00,0.00
PF01034,0.23,0.36,0.13,36.11
PF01035,0.00,0.00,0.00,
PF01039,0.13,0.13,0.00,0.00
PF01040,0.11,0.08,-0.03,-37.50
PF01042,0.00,0.00,0.00,
PF01044,0.51,0.63,0.12,19.05
PF01048,0.16,0.16,0.00,0.00
PF01049,0.12,0.15,0.03,20.00
PF01053,0.00,0.00,0.00,
PF01055,0.24,0.19,-0.05,-26.32
PF01056,0.62,0.52,-0.10,-19.23
PF01058,0.00,0.00,0.00,
PF01059,0.00,0.00,0.00,
PF01061,0.04,0.04,0.00,0.00
PF01062,0.03,0.07,0.04,57.14
PF01063,0.03,0.02,-0.01,-50.00
PF01064,0.26,0.35,0.09,25.71
PF01066,0.38,0.39,0.01,2.56
PF01067,0.31,0.35,0.04,11.43
PF01068,0.05,0.05,0.00,0.00
PF01070,0.02,0.02,0.00,0.00
PF01071,0.00,0.00,0.00,
PF01073,0.08,0.08,0.00,0.00
PF01074,0.10,0.11,0.01,9.09
PF01079,0.14,0.14,0.00,0.00
PF01080,0.41,0.44,0.03,6.82
PF01082,0.09,0.08,-0.01,-12.50
PF01084,0.04,0.02,-0.02,-100.00
PF01085,0.01,0.01,0.00,0.00
PF01086,0.06,0.10,0.04,40.00
PF01087,0.00,0.00,0.00,
PF01088,0.11,0.09,-0.02,-22.22
PF01090,0.00,0.00,0.00,
PF01091,0.04,0.06,0.02,33.33
PF01092,0.00,0.00,0.00,
PF01093,0.03,0.05,0.02,40.00
PF01094,0.45,0.51,0.06,11.76
PF01096,0.09,0.10,0.01,10.00
PF01099,0.08,0.10,0.02,20.00
PF01101,0.18,0.17,-0.01,-5.88
PF01102,0.24,0.26,0.02,7.69
PF01103,0.00,0.00,0.00,
PF01105,0.16,0.18,0.02,11.11
PF01106,0.00,0.00,0.00,
PF01108,0.34,0.39,0.05,12.82
PF01109,0.00,0.00,0.00,
PF01110,0.00,0.00,0.00,
PF01111,0.00,0.00,0.00,
PF01112,0.18,0.19,0.01,5.26
PF01114,0.00,0.00,0.00,
PF01115,0.00,0.00,0.00,
PF01119,0.26,0.26,0.00,0.00
PF01120,0.01,0.01,0.00,0.00
PF01121,0.02,0.02,0.00,0.00
PF01122,0.09,0.08,-0.01,-12.50
PF01124,0.19,0.18,-0.01,-5.56
PF01125,0.00,0.00,0.00,
PF01126,0.00,0.00,0.00,
PF01127,0.00,0.00,0.00,
PF01128,0.00,0.00,0.00,
PF01129,0.10,0.10,0.00,0.00
PF01130,0.04,0.04,0.00,0.00
PF01131,0.02,0.02,0.00,0.00
PF01133,0.00,0.00,0.00,
PF01134,0.00,0.00,0.00,
PF01135,0.05,0.05,0.00,0.00
PF01137,0.51,0.02,-0.49,-2450.00
PF01138,0.20,0.18,-0.02,-11.11
PF01139,0.00,0.00,0.00,
PF01142,0.06,0.06,0.00,0.00
PF01144,0.10,0.10,0.00,0.00
PF01145,0.14,0.27,0.13,48.15
PF01146,0.04,0.11,0.07,63.64
PF01148,0.00,0.00,0.00,
PF01149,0.00,0.00,0.00,
PF01150,0.16,0.17,0.01,5.88
PF01151,0.07,0.08,0.01,12.50
PF01153,0.12,0.12,0.00,0.00
PF01154,0.00,0.00,0.00,
PF01157,0.00,0.00,0.00,
PF01158,0.00,0.00,0.00,
PF01159,0.00,0.00,0.00,
PF01160,0.01,0.01,0.00,0.00
PF01161,0.31,0.28,-0.03,-10.71
PF01163,0.09,0.09,0.00,0.00
PF01165,0.00,0.00,0.00,
PF01166,0.04,0.04,0.00,0.00
PF01167,0.23,0.36,0.13,36.11
PF01168,0.00,0.00,0.00,
PF01169,0.03,0.01,-0.02,-200.00
PF01170,0.25,0.27,0.02,7.41
PF01171,0.00,0.00,0.00,
PF01172,0.00,0.00,0.00,
PF01175,0.00,0.00,0.00,
PF01176,0.03,0.04,0.01,25.00
PF01179,0.03,0.03,0.00,0.00
PF01180,0.07,0.08,0.01,12.50
PF01182,0.16,0.12,-0.04,-33.33
PF01186,0.02,0.02,0.00,0.00
PF01187,0.07,0.11,0.04,36.36
PF01189,0.38,0.46,0.08,17.39
PF01191,0.00,0.00,0.00,
PF01192,0.00,0.00,0.00,
PF01193,0.59,0.06,-0.53,-883.33
PF01194,0.00,0.00,0.00,
PF01195,0.00,0.00,0.00,
PF01196,0.00,0.00,0.00,
PF01198,0.00,0.00,0.00,
PF01199,0.00,0.00,0.00,
PF01200,0.00,0.00,0.00,
PF01201,0.27,0.27,0.00,0.00
PF01202,0.27,0.26,-0.01,-3.85
PF01204,0.00,0.00,0.00,
PF01205,0.00,0.00,0.00,
PF01207,0.08,0.08,0.00,0.00
PF01208,0.00,0.00,0.00,
PF01209,0.00,0.00,0.00,
PF01210,0.01,0.00,-0.01,
PF01212,0.00,0.00,0.00,
PF01213,0.23,0.02,-0.21,-1050.00
PF01214,0.00,0.00,0.00,
PF01215,0.00,0.00,0.00,
PF01216,0.01,0.01,0.00,0.00
PF01217,0.22,0.18,-0.04,-22.22
PF01218,0.00,0.00,0.00,
PF01221,0.03,0.03,0.00,0.00
PF01222,0.13,0.16,0.03,18.75
PF01223,0.26,0.28,0.02,7.14
PF01227,0.00,0.00,0.00,
PF01229,0.00,0.00,0.00,
PF01230,0.07,0.07,0.00,0.00
PF01231,0.01,0.01,0.00,0.00
PF01233,0.00,0.00,0.00,
PF01234,0.02,0.03,0.01,33.33
PF01237,0.43,0.47,0.04,8.51
PF01238,0.00,0.00,0.00,
PF01239,0.17,0.21,0.04,19.05
PF01242,0.00,0.00,0.00,
PF01243,0.00,0.00,0.00,
PF01244,0.01,0.02,0.01,50.00
PF01245,0.00,0.00,0.00,
PF01246,0.02,0.01,-0.01,-100.00
PF01247,0.00,0.00,0.00,
PF01248,0.25,0.21,-0.04,-19.05
PF01249,0.00,0.00,0.00,
PF01250,0.00,0.00,0.00,
PF01251,0.00,0.00,0.00,
PF01253,0.08,0.08,0.00,0.00
PF01254,0.00,0.00,0.00,
PF01255,0.31,0.29,-0.02,-6.90
PF01256,0.00,0.00,0.00,
PF01257,0.00,0.00,0.00,
PF01259,0.00,0.00,0.00,
PF01261,0.00,0.00,0.00,
PF01262,0.00,0.00,0.00,
PF01263,0.00,0.00,0.00,
PF01265,0.00,0.00,0.00,
PF01266,0.27,0.31,0.04,12.90
PF01267,0.02,0.03,0.01,33.33
PF01268,0.01,0.01,0.00,0.00
PF01269,0.00,0.00,0.00,
PF01271,0.19,0.37,0.18,48.65
PF01273,0.29,0.43,0.14,32.56
PF01275,0.10,0.10,0.00,0.00
PF01279,0.31,0.37,0.06,16.22
PF01280,0.00,0.00,0.00,
PF01281,0.00,0.00,0.00,
PF01282,0.00,0.00,0.00,
PF01283,0.00,0.00,0.00,
PF01284,0.35,0.39,0.04,10.26
PF01285,0.00,0.00,0.00,
PF01286,0.00,0.00,0.00,
PF01287,0.00,0.00,0.00,
PF01290,0.02,0.01,-0.01,-100.00
PF01291,0.06,0.06,0.00,0.00
PF01294,0.00,0.00,0.00,
PF01296,0.27,0.27,0.00,0.00
PF01299,0.23,0.16,-0.07,-43.75
PF01300,0.00,0.00,0.00,
PF01301,0.01,0.02,0.01,50.00
PF01302,0.20,0.24,0.04,16.67
PF01315,0.03,0.03,0.00,0.00
PF01321,0.12,0.08,-0.04,-50.00
PF01323,0.00,0.00,0.00,
PF01327,0.00,0.00,0.00,
PF01329,0.01,0.00,-0.01,
PF01331,0.00,0.00,0.00,
PF01335,0.12,0.08,-0.04,-50.00
PF01336,0.37,0.37,0.00,0.00
PF01342,0.13,0.16,0.03,18.75
PF01344,0.31,0.40,0.09,22.50
PF01347,0.10,0.09,-0.01,-11.11
PF01351,0.00,0.00,0.00,
PF01352,0.24,0.38,0.14,36.84
PF01359,0.00,0.00,0.00,
PF01363,0.52,0.49,-0.03,-6.12
PF01365,0.21,0.24,0.03,12.50
PF01368,0.00,0.00,0.00,
PF01369,0.13,0.21,0.08,38.10
PF01370,0.26,0.25,-0.01,-4.00
PF01379,0.00,0.00,0.00,
PF01380,0.05,0.05,0.00,0.00
PF01381,0.00,0.00,0.00,
PF01384,0.01,0.01,0.00,0.00
PF01387,0.09,0.10,0.01,10.00
PF01388,0.06,0.25,0.19,76.00
PF01390,0.29,0.36,0.07,19.44
PF01391,0.33,0.55,0.22,40.00
PF01392,0.24,0.24,0.00,0.00
PF01393,0.01,0.00,-0.01,
PF01394,0.12,0.15,0.03,20.00
PF01396,0.00,0.00,0.00,
PF01398,0.27,0.28,0.01,3.57
PF01399,0.24,0.39,0.15,38.46
PF01400,0.04,0.06,0.02,33.33
PF01401,0.02,0.02,0.00,0.00
PF01403,0.29,0.28,-0.01,-3.57
PF01404,0.15,0.14,-0.01,-7.14
PF01406,0.15,0.15,0.00,0.00
PF01408,0.14,0.14,0.00,0.00
PF01409,0.43,0.44,0.01,2.27
PF01410,0.28,0.30,0.02,6.67
PF01411,0.02,0.02,0.00,0.00
PF01412,0.18,0.20,0.02,10.00
PF01413,0.08,0.07,-0.01,-14.29
PF01414,0.03,0.02,-0.01,-50.00
PF01415,0.00,0.00,0.00,
PF01416,0.11,0.14,0.03,21.43
PF01417,0.07,0.11,0.04,36.36
PF01419,0.00,0.00,0.00,
PF01421,0.48,0.43,-0.05,-11.63
PF01422,0.45,0.59,0.14,23.73
PF01423,0.19,0.19,0.00,0.00
PF01424,0.30,0.32,0.02,6.25
PF01425,0.13,0.12,-0.01,-8.33
PF01426,0.57,0.55,-0.02,-3.64
PF01428,0.17,0.16,-0.01,-6.25
PF01429,0.13,0.26,0.13,50.00
PF01431,0.05,0.06,0.01,16.67
PF01432,0.02,0.02,0.00,0.00
PF01433,0.22,0.31,0.09,29.03
PF01434,0.04,0.05,0.01,20.00
PF01435,0.17,0.15,-0.02,-13.33
PF01436,0.17,0.24,0.07,29.17
PF01437,0.43,0.54,0.11,20.37
PF01442,0.30,0.33,0.03,9.09
PF01448,0.14,0.21,0.07,33.33
PF01451,0.00,0.00,0.00,
PF01454,0.33,0.42,0.09,21.43
PF01457,0.66,0.63,-0.03,-4.76
PF01459,0.07,0.07,0.00,0.00
PF01462,0.27,0.27,0.00,0.00
PF01463,0.11,0.14,0.03,21.43
PF01465,0.07,0.05,-0.02,-40.00
PF01466,0.00,0.00,0.00,
PF01467,0.43,0.44,0.01,2.27
PF01470,0.16,0.17,0.01,5.88
PF01471,0.31,0.28,-0.03,-10.71
PF01472,0.05,0.04,-0.01,-25.00
PF01476,0.18,0.22,0.04,18.18
PF01477,0.36,0.35,-0.01,-2.86
PF01479,0.03,0.05,0.02,40.00
PF01480,0.12,0.15,0.03,20.00
PF01483,0.06,0.06,0.00,0.00
PF01485,0.22,0.45,0.23,51.11
PF01490,0.30,0.32,0.02,6.25
PF01491,0.00,0.00,0.00,
PF01494,0.72,0.69,-0.03,-4.35
PF01496,0.04,0.04,0.00,0.00
PF01500,0.43,0.56,0.13,23.21
PF01501,0.41,0.40,-0.01,-2.50
PF01504,0.23,0.23,0.00,0.00
PF01505,0.10,0.12,0.02,16.67
PF01507,0.00,0.49,0.49,100.00
PF01509,0.12,0.13,0.01,7.69
PF01510,0.31,0.26,-0.05,-19.23
PF01512,0.00,0.00,0.00,
PF01513,0.00,0.00,0.00,
PF01521,0.03,0.04,0.01,25.00
PF01529,0.23,0.22,-0.01,-4.55
PF01530,0.05,0.09,0.04,44.44
PF01531,0.01,0.01,0.00,0.00
PF01532,0.14,0.14,0.00,0.00
PF01534,0.16,0.16,0.00,0.00
PF01535,0.24,0.17,-0.07,-41.18
PF01536,0.00,0.00,0.00,
PF01541,0.00,0.00,0.00,
PF01545,0.25,0.31,0.06,19.35
PF01546,0.62,0.18,-0.44,-244.44
PF01549,0.00,0.00,0.00,
PF01551,0.00,0.00,0.00,
PF01553,0.42,0.44,0.02,4.55
PF01554,0.05,0.05,0.00,0.00
PF01556,0.46,0.18,-0.28,-155.56
PF01557,0.24,0.24,0.00,0.00
PF01562,0.51,0.46,-0.05,-10.87
PF01564,0.25,0.22,-0.03,-13.64
PF01565,0.14,0.26,0.12,46.15
PF01566,0.02,0.00,-0.02,
PF01569,0.22,0.22,0.00,0.00
PF01571,0.15,0.14,-0.01,-7.14
PF01575,0.14,0.09,-0.05,-55.56
PF01576,0.19,0.25,0.06,24.00
PF01582,0.38,0.39,0.01,2.56
PF01583,0.02,0.01,-0.01,-100.00
PF01585,0.20,0.29,0.09,31.03
PF01586,0.19,0.18,-0.01,-5.56
PF01588,0.02,0.02,0.00,0.00
PF01590,0.37,0.42,0.05,11.90
PF01591,0.01,0.03,0.02,66.67
PF01592,0.00,0.00,0.00,
PF01593,0.45,0.54,0.09,16.67
PF01594,0.00,0.00,0.00,
PF01595,0.11,0.10,-0.01,-10.00
PF01596,0.33,0.25,-0.08,-32.00
PF01597,0.27,0.27,0.00,0.00
PF01599,0.00,0.00,0.00,
PF01602,0.24,0.23,-0.01,-4.35
PF01603,0.02,0.02,0.00,0.00
PF01607,0.01,0.00,-0.01,
PF01608,0.13,0.13,0.00,0.00
PF01612,0.28,0.34,0.06,17.65
PF01619,0.16,0.25,0.09,36.00
PF01624,0.12,0.12,0.00,0.00
PF01625,0.00,0.00,0.00,
PF01630,0.03,0.02,-0.01,-50.00
PF01632,0.00,0.00,0.00,
PF01633,0.11,0.15,0.04,26.67
PF01636,0.11,0.16,0.05,31.25
PF01641,0.12,0.14,0.02,14.29
PF01642,0.00,0.00,0.00,
PF01648,0.00,0.00,0.00,
PF01650,0.08,0.11,0.03,27.27
PF01652,0.07,0.16,0.09,56.25
PF01655,0.00,0.00,0.00,
PF01658,0.00,0.00,0.00,
PF01661,0.17,0.20,0.03,15.00
PF01663,0.29,0.44,0.15,34.09
PF01667,0.00,0.00,0.00,
PF01669,0.00,0.00,0.00,
PF01687,0.00,0.00,0.00,
PF01693,0.14,0.15,0.01,6.67
PF01694,0.16,0.18,0.02,11.11
PF01699,0.22,0.25,0.03,12.00
PF01702,0.09,0.08,-0.01,-12.50
PF01704,0.19,0.20,0.01,5.00
PF01709,0.00,0.00,0.00,
PF01712,0.13,0.14,0.01,7.14
PF01713,0.00,0.00,0.00,
PF01715,0.00,0.00,0.00,
PF01722,0.21,0.32,0.11,34.38
PF01725,0.00,0.00,0.00,
PF01728,0.18,0.20,0.02,10.00
PF01729,0.00,0.00,0.00,
PF01731,0.00,0.00,0.00,
PF01733,0.13,0.13,0.00,0.00
PF01734,0.19,0.27,0.08,29.63
PF01735,0.49,0.50,0.01,2.00
PF01738,0.00,0.00,0.00,
PF01740,0.36,0.34,-0.02,-5.88
PF01743,0.00,0.00,0.00,
PF01747,0.02,0.01,-0.01,-100.00
PF01749,0.11,0.13,0.02,15.38
PF01751,0.24,0.25,0.01,4.00
PF01753,0.32,0.41,0.09,21.95
PF01754,0.06,0.16,0.10,62.50
PF01755,0.10,0.07,-0.03,-42.86
PF01756,0.19,0.14,-0.05,-35.71
PF01758,0.06,0.06,0.00,0.00
PF01759,0.29,0.21,-0.08,-38.10
PF01762,0.25,0.26,0.01,3.85
PF01764,0.05,0.05,0.00,0.00
PF01765,0.00,0.00,0.00,
PF01769,0.18,0.16,-0.02,-12.50
PF01770,0.25,0.26,0.01,3.85
PF01773,0.00,0.01,0.01,100.00
PF01775,0.00,0.00,0.00,
PF01776,0.02,0.03,0.01,33.33
PF01777,0.00,0.00,0.00,
PF01778,0.05,0.06,0.01,16.67
PF01779,0.00,0.00,0.00,
PF01780,0.02,0.02,0.00,0.00
PF01781,0.00,0.00,0.00,
PF01783,0.00,0.00,0.00,
PF01784,0.00,0.00,0.00,
PF01791,0.00,0.00,0.00,
PF01794,0.30,0.24,-0.06,-25.00
PF01795,0.31,0.31,0.00,0.00
PF01798,0.05,0.04,-0.01,-25.00
PF01799,0.02,0.01,-0.01,-100.00
PF01803,0.15,0.51,0.36,70.59
PF01805,0.09,0.14,0.05,35.71
PF01808,0.00,0.00,0.00,
PF01812,0.05,0.05,0.00,0.00
PF01813,0.00,0.00,0.00,
PF01814,0.00,0.00,0.00,
PF01821,0.05,0.04,-0.01,-25.00
PF01822,0.12,0.18,0.06,33.33
PF01823,0.38,0.40,0.02,5.00
PF01825,0.23,0.26,0.03,11.54
PF01826,0.34,0.47,0.13,27.66
PF01833,0.55,0.56,0.01,1.79
PF01834,0.00,0.00,0.00,
PF01835,0.08,0.26,0.18,69.23
PF01839,0.30,0.26,-0.04,-15.38
PF01840,0.15,0.13,-0.02,-15.38
PF01841,0.43,0.34,-0.09,-26.47
PF01842,0.00,0.00,0.00,
PF01843,0.05,0.07,0.02,28.57
PF01844,0.00,0.00,0.00,
PF01846,0.23,0.27,0.04,14.81
PF01847,0.00,0.01,0.01,100.00
PF01849,0.03,0.03,0.00,0.00
PF01851,0.14,0.07,-0.07,-100.00
PF01852,0.26,0.30,0.04,13.33
PF01853,0.04,0.03,-0.01,-33.33
PF01857,0.17,0.17,0.00,0.00
PF01858,0.04,0.04,0.00,0.00
PF01866,0.07,0.07,0.00,0.00
PF01868,0.00,0.00,0.00,
PF01869,0.00,0.00,0.00,
PF01871,0.08,0.01,-0.07,-700.00
PF01873,0.04,0.05,0.01,20.00
PF01875,0.00,0.00,0.00,
PF01876,0.00,0.00,0.00,
PF01878,0.00,0.00,0.00,
PF01883,0.12,0.14,0.02,14.29
PF01885,0.00,0.00,0.00,
PF01896,0.34,0.29,-0.05,-17.24
PF01900,0.18,0.23,0.05,21.74
PF01902,0.00,0.00,0.00,
PF01907,0.00,0.00,0.00,
PF01909,0.28,0.33,0.05,15.15
PF01912,0.00,0.00,0.00,
PF01916,0.00,0.00,0.00,
PF01918,0.02,0.03,0.01,33.33
PF01920,0.22,0.18,-0.04,-22.22
PF01922,0.00,0.00,0.00,
PF01923,0.00,0.00,0.00,
PF01926,0.53,0.65,0.12,18.46
PF01927,0.00,0.00,0.00,
PF01928,0.00,0.00,0.00,
PF01929,0.00,0.00,0.00,
PF01931,0.00,0.00,0.00,
PF01936,0.00,0.00,0.00,
PF01937,0.15,0.13,-0.02,-15.38
PF01938,0.13,0.13,0.00,0.00
PF01940,0.00,0.00,0.00,
PF01951,0.00,0.00,0.00,
PF01956,0.13,0.14,0.01,7.14
PF01963,0.18,0.18,0.00,0.00
PF01965,0.00,0.00,0.00,
PF01966,0.00,0.00,0.00,
PF01967,0.00,0.00,0.00,
PF01968,0.00,0.00,0.00,
PF01974,0.11,0.13,0.02,15.38
PF01979,0.38,0.39,0.01,2.56
PF01980,0.00,0.00,0.00,
PF01981,0.06,0.07,0.01,14.29
PF01984,0.00,0.00,0.00,
PF01990,0.00,0.00,0.00,
PF01991,0.00,0.00,0.00,
PF01992,0.01,0.01,0.00,0.00
PF01997,0.06,0.06,0.00,0.00
PF02002,0.00,0.00,0.00,
PF02005,0.43,0.42,-0.01,-2.38
PF02008,0.10,0.10,0.00,0.00
PF02010,0.40,0.39,-0.01,-2.56
PF02014,0.20,0.25,0.05,20.00
PF02017,0.04,0.05,0.01,20.00
PF02019,0.06,0.05,-0.01,-20.00
PF02020,0.06,0.05,-0.01,-20.00
PF02022,0.00,0.03,0.03,100.00
PF02023,0.07,0.26,0.19,73.08
PF02024,0.00,0.00,0.00,
PF02025,0.00,0.00,0.00,
PF02026,0.04,0.03,-0.01,-33.33
PF02029,0.45,0.44,-0.01,-2.27
PF02033,0.00,0.00,0.00,
PF02036,0.10,0.13,0.03,23.08
PF02037,0.12,0.11,-0.01,-9.09
PF02038,0.12,0.22,0.10,45.45
PF02044,0.00,0.00,0.00,
PF02045,0.00,0.00,0.00,
PF02046,0.07,0.12,0.05,41.67
PF02057,0.00,0.00,0.00,
PF02058,0.07,0.07,0.00,0.00
PF02059,0.00,0.00,0.00,
PF02060,0.48,0.40,-0.08,-20.00
PF02063,0.51,0.50,-0.01,-2.00
PF02064,0.04,0.04,0.00,0.00
PF02070,0.00,0.00,0.00,
PF02072,0.00,0.00,0.00,
PF02077,0.00,0.00,0.00,
PF02078,0.01,0.02,0.01,50.00
PF02079,0.00,0.00,0.00,
PF02083,0.00,0.00,0.00,
PF02089,0.05,0.04,-0.01,-25.00
PF02096,0.09,0.09,0.00,0.00
PF02099,0.16,0.17,0.01,5.88
PF02100,0.08,0.05,-0.03,-60.00
PF02101,0.00,0.00,0.00,
PF02104,0.00,0.00,0.00,
PF02106,0.00,0.00,0.00,
PF02109,0.00,0.00,0.00,
PF02114,0.25,0.31,0.06,19.35
PF02115,0.05,0.05,0.00,0.00
PF02121,0.03,0.02,-0.01,-50.00
PF02126,0.00,0.00,0.00,
PF02127,0.00,0.00,0.00,
PF02130,0.00,0.00,0.00,
PF02135,0.10,0.10,0.00,0.00
PF02136,0.08,0.09,0.01,11.11
PF02137,0.32,0.32,0.00,0.00
PF02138,0.09,0.13,0.04,30.77
PF02140,0.11,0.11,0.00,0.00
PF02141,0.25,0.25,0.00,0.00
PF02142,0.16,0.16,0.00,0.00
PF02144,0.00,0.00,0.00,
PF02145,0.18,0.15,-0.03,-20.00
PF02146,0.24,0.36,0.12,33.33
PF02148,0.39,0.44,0.05,11.36
PF02149,0.04,0.05,0.01,20.00
PF02150,0.11,0.10,-0.01,-10.00
PF02155,0.00,0.00,0.00,
PF02157,0.00,0.00,0.00,
PF02158,0.07,0.07,0.00,0.00
PF02159,0.00,0.00,0.00,
PF02161,0.00,0.00,0.00,
PF02163,0.00,0.00,0.00,
PF02165,0.00,0.00,0.00,
PF02166,0.00,0.00,0.00,
PF02167,0.00,0.00,0.00,
PF02170,0.30,0.32,0.02,6.25
PF02171,0.07,0.07,0.00,0.00
PF02172,0.00,0.00,0.00,
PF02173,0.02,0.09,0.07,77.78
PF02174,0.22,0.23,0.01,4.35
PF02176,0.05,0.06,0.01,16.67
PF02177,0.03,0.02,-0.01,-50.00
PF02178,0.14,0.13,-0.01,-7.69
PF02179,0.10,0.40,0.30,75.00
PF02180,0.06,0.08,0.02,25.00
PF02181,0.12,0.12,0.00,0.00
PF02182,0.03,0.01,-0.02,-200.00
PF02185,0.14,0.15,0.01,6.67
PF02186,0.00,0.00,0.00,
PF02187,0.10,0.11,0.01,9.09
PF02188,0.12,0.20,0.08,40.00
PF02189,0.00,0.04,0.04,100.00
PF02190,0.32,0.33,0.01,3.03
PF02191,0.16,0.15,-0.01,-6.67
PF02192,0.02,0.03,0.01,33.33
PF02194,0.09,0.09,0.00,0.00
PF02195,0.00,0.00,0.00,
PF02196,0.08,0.13,0.05,38.46
PF02197,0.10,0.21,0.11,52.38
PF02198,0.14,0.15,0.01,6.67
PF02199,0.06,0.08,0.02,25.00
PF02201,0.18,0.13,-0.05,-38.46
PF02202,0.00,0.00,0.00,
PF02204,0.16,0.16,0.00,0.00
PF02205,0.24,0.26,0.02,7.69
PF02207,0.25,0.30,0.05,16.67
PF02208,0.12,0.14,0.02,14.29
PF02209,0.00,0.00,0.00,
PF02210,0.49,0.57,0.08,14.04
PF02212,0.12,0.10,-0.02,-20.00
PF02213,0.09,0.08,-0.01,-12.50
PF02214,0.26,0.46,0.20,43.48
PF02218,0.11,0.11,0.00,0.00
PF02219,0.00,0.00,0.00,
PF02221,0.16,0.15,-0.01,-6.67
PF02223,0.10,0.10,0.00,0.00
PF02225,0.48,0.54,0.06,11.11
PF02229,0.00,0.00,0.00,
PF02230,0.04,0.04,0.00,0.00
PF02233,0.00,0.00,0.00,
PF02234,0.03,0.04,0.01,25.00
PF02237,0.00,0.00,0.00,
PF02238,0.07,0.06,-0.01,-16.67
PF02244,0.07,0.10,0.03,30.00
PF02245,0.00,0.00,0.00,
PF02251,0.02,0.00,-0.02,
PF02252,0.01,0.01,0.00,0.00
PF02256,0.08,0.22,0.14,63.64
PF02257,0.08,0.08,0.00,0.00
PF02259,0.28,0.28,0.00,0.00
PF02260,0.02,0.06,0.04,66.67
PF02262,0.05,0.06,0.01,16.67
PF02263,0.15,0.30,0.15,50.00
PF02267,0.01,0.01,0.00,0.00
PF02268,0.00,0.00,0.00,
PF02269,0.03,0.02,-0.01,-50.00
PF02270,0.00,0.00,0.00,
PF02271,0.00,0.00,0.00,
PF02272,0.00,0.00,0.00,
PF02275,0.26,0.20,-0.06,-30.00
PF02284,0.00,0.00,0.00,
PF02285,0.02,0.03,0.01,33.33
PF02290,0.00,0.00,0.00,
PF02291,0.00,0.00,0.00,
PF02295,0.13,0.13,0.00,0.00
PF02296,0.00,0.00,0.00,
PF02297,0.11,0.14,0.03,21.43
PF02301,0.22,0.29,0.07,24.14
PF02310,0.10,0.09,-0.01,-11.11
PF02312,0.00,0.00,0.00,
PF02318,0.19,0.24,0.05,20.83
PF02319,0.27,0.26,-0.01,-3.85
PF02320,0.00,0.00,0.00,
PF02330,0.00,0.00,0.00,
PF02337,0.00,0.00,0.00,
PF02338,0.46,0.46,0.00,0.00
PF02344,0.00,0.00,0.00,
PF02347,0.00,0.00,0.00,
PF02348,0.00,0.00,0.00,
PF02350,0.00,0.00,0.00,
PF02351,0.29,0.34,0.05,14.71
PF02354,0.33,0.34,0.01,2.94
PF02359,0.09,0.09,0.00,0.00
PF02366,0.05,0.05,0.00,0.00
PF02368,0.06,0.03,-0.03,-100.00
PF02372,0.10,0.10,0.00,0.00
PF02373,0.32,0.23,-0.09,-39.13
PF02374,0.00,0.00,0.00,
PF02375,0.01,0.01,0.00,0.00
PF02376,0.18,0.19,0.01,5.26
PF02377,0.06,0.06,0.00,0.00
PF02383,0.29,0.31,0.02,6.45
PF02389,0.47,0.58,0.11,18.97
PF02390,0.00,0.00,0.00,
PF02391,0.00,0.00,0.00,
PF02394,0.05,0.05,0.00,0.00
PF02403,0.00,0.00,0.00,
PF02404,0.00,0.00,0.00,
PF02410,0.00,0.00,0.00,
PF02412,0.22,0.28,0.06,21.43
PF02423,0.00,0.00,0.00,
PF02434,0.24,0.26,0.02,7.69
PF02436,0.00,0.00,0.00,
PF02437,0.14,0.12,-0.02,-16.67
PF02441,0.00,0.00,0.00,
PF02450,0.01,0.39,0.38,97.44
PF02453,0.04,0.04,0.00,0.00
PF02460,0.06,0.23,0.17,73.91
PF02463,0.69,0.28,-0.41,-146.43
PF02466,0.26,0.30,0.04,13.33
PF02469,0.28,0.36,0.08,22.22
PF02475,0.13,0.23,0.10,43.48
PF02485,0.11,0.12,0.01,8.33
PF02487,0.00,0.00,0.00,
PF02493,0.28,0.45,0.17,37.78
PF02494,0.06,0.07,0.01,14.29
PF02513,0.03,0.05,0.02,40.00
PF02515,0.04,0.04,0.00,0.00
PF02516,0.00,0.04,0.04,100.00
PF02517,0.00,0.00,0.00,
PF02518,0.27,0.39,0.12,30.77
PF02525,0.08,0.02,-0.06,-300.00
PF02535,0.38,0.47,0.09,19.15
PF02536,0.26,0.28,0.02,7.14
PF02538,0.00,0.00,0.00,
PF02540,0.36,0.32,-0.04,-12.50
PF02544,0.07,0.07,0.00,0.00
PF02545,0.00,0.00,0.00,
PF02567,0.00,0.00,0.00,
PF02574,0.14,0.18,0.04,22.22
PF02578,0.00,0.00,0.00,
PF02580,0.06,0.06,0.00,0.00
PF02582,0.00,0.00,0.00,
PF02585,0.00,0.00,0.00,
PF02586,0.00,0.00,0.00,
PF02594,0.00,0.00,0.00,
PF02597,0.00,0.00,0.00,
PF02602,0.00,0.00,0.00,
PF02607,0.00,0.00,0.00,
