Pfam_code,HMMER_conservation,FULL_conservation,HMMER_vs_FULL_conservation_diff,HMMER_vs_FULL_conservation_%_improvement
PF01096,0.63,0.62,0.01,1.61
PF01099,0.45,0.44,0.01,2.27
PF01101,0.56,0.56,0.00,0.00
PF01102,0.64,0.63,0.01,1.59
PF01103,,,,
PF01105,0.41,0.40,0.01,2.50
PF01106,,,,
PF01108,0.30,0.28,0.02,7.14
PF01109,,,,
PF01110,,,,
PF01111,0.92,0.92,0.00,0.00
PF01112,0.51,0.51,0.00,0.00
PF01114,,,,
PF01115,,,,
PF01119,0.43,0.41,0.02,4.88
PF01120,0.79,0.79,0.00,0.00
PF01121,0.65,0.65,0.00,0.00
PF01122,0.52,0.52,0.00,0.00
PF01124,0.41,0.41,0.00,0.00
PF01125,,,,
PF01126,0.78,0.78,0.00,0.00
PF01127,,,,
PF01128,,,,
PF01129,0.54,0.54,0.00,0.00
PF01130,0.59,0.59,0.00,0.00
PF01131,0.70,0.69,0.01,1.45
PF01133,,,,
PF01134,,,,
PF01135,0.67,0.67,0.00,0.00
PF01137,0.32,0.61,-0.29,-47.54
PF01138,0.36,0.36,0.00,0.00
PF01139,,,,
PF01142,0.64,0.64,0.00,0.00
PF01144,0.53,0.53,0.00,0.00
PF01145,0.39,0.34,0.05,14.71
PF01146,0.70,0.65,0.05,7.69
PF01148,0.90,0.90,0.00,0.00
PF01149,,,,
PF01150,0.43,0.42,0.01,2.38
PF01151,0.51,0.51,0.00,0.00
PF01153,0.49,0.49,0.00,0.00
PF01154,0.89,0.89,0.00,0.00
PF01157,,,,
PF01158,,,,
PF01159,,,,
PF01160,0.55,0.55,0.00,0.00
PF01161,0.49,0.46,0.03,6.52
PF01163,0.56,0.56,0.00,0.00
PF01165,,,,
PF01166,0.81,0.81,0.00,0.00
PF01167,0.59,0.48,0.11,22.92
PF01168,,,,
PF01169,0.61,0.61,0.00,0.00
PF01170,0.48,0.47,0.01,2.13
PF01171,,,,
PF01172,,,,
PF01175,,,,
PF01176,0.73,0.73,0.00,0.00
PF01179,0.70,0.71,-0.01,-1.41
PF01180,0.59,0.60,-0.01,-1.67
PF01182,0.51,0.53,-0.02,-3.77
PF01186,0.72,0.72,0.00,0.00
PF01187,0.71,0.68,0.03,4.41
PF01189,0.35,0.30,0.05,16.67
PF01191,,,,
PF01192,,,,
PF01193,0.29,0.58,-0.29,-50.00
PF01194,,,,
PF01195,,,,
PF01196,,,,
PF01198,,,,
PF01199,,,,
PF01200,,,,
PF01201,0.55,0.55,0.00,0.00
PF01202,0.54,0.54,0.00,0.00
PF01204,,,,
PF01205,,,,
PF01207,0.54,0.52,0.02,3.85
PF01208,,,,
PF01209,,,,
PF01210,0.83,0.83,0.00,0.00
PF01212,,,,
PF01213,0.69,0.73,-0.04,-5.48
PF01214,,,,
PF01215,,,,
PF01216,0.83,0.82,0.01,1.22
PF01217,0.35,0.35,0.00,0.00
PF01218,,,,
PF01221,0.75,0.75,0.00,0.00
PF01222,0.62,0.59,0.03,5.08
PF01223,0.39,0.37,0.02,5.41
PF01227,,,,
PF01229,,,,
PF01230,0.59,0.59,0.00,0.00
PF01231,0.71,0.72,-0.01,-1.39
PF01233,0.94,0.94,0.00,0.00
PF01234,0.66,0.66,0.00,0.00
PF01237,0.31,0.29,0.02,6.90
PF01238,,,,
PF01239,0.36,0.34,0.02,5.88
PF01242,,,,
PF01243,,,,
PF01244,0.78,0.78,0.00,0.00
PF01245,,,,
PF01246,0.71,0.71,0.00,0.00
PF01247,,,,
PF01248,0.32,0.32,0.00,0.00
PF01249,,,,
PF01250,,,,
PF01251,,,,
PF01253,0.59,0.58,0.01,1.72
PF01254,,,,
PF01255,0.54,0.54,0.00,0.00
PF01256,,,,
PF01257,,,,
PF01259,,,,
PF01261,,,,
PF01262,,,,
PF01263,,,,
PF01265,,,,
PF01266,0.30,0.28,0.02,7.14
PF01267,0.74,0.74,0.00,0.00
PF01268,0.88,0.88,0.00,0.00
PF01269,0.94,0.94,0.00,0.00
PF01271,0.42,0.32,0.10,31.25
PF01273,0.26,0.22,0.04,18.18
PF01275,0.66,0.66,0.00,0.00
PF01279,0.57,0.55,0.02,3.64
PF01280,,,,
PF01281,,,,
PF01282,,,,
PF01283,0.97,0.97,0.00,0.00
PF01284,0.23,0.21,0.02,9.52
PF01285,1.00,1.00,0.00,0.00
PF01286,,,,
PF01287,0.90,0.90,0.00,0.00
PF01290,0.85,0.85,0.00,0.00
PF01291,0.59,0.59,0.00,0.00
PF01294,,,,
PF01296,0.73,0.71,0.02,2.82
PF01299,0.38,0.43,-0.05,-11.63
PF01300,,,,
PF01301,0.68,0.68,0.00,0.00
PF01302,0.50,0.47,0.03,6.38
PF01315,0.73,0.73,0.00,0.00
PF01321,0.66,0.68,-0.02,-2.94
PF01323,,,,
PF01327,,,,
PF01329,0.82,0.82,0.00,0.00
PF01331,,,,
PF01335,0.41,0.41,0.00,0.00
PF01336,0.29,0.29,0.00,0.00
PF01342,0.53,0.51,0.02,3.92
PF01344,0.31,0.26,0.05,19.23
PF01347,0.57,0.57,0.00,0.00
PF01351,,,,
PF01352,0.53,0.43,0.10,23.26
PF01359,,,,
PF01363,0.25,0.26,-0.01,-3.85
PF01365,0.38,0.37,0.01,2.70
PF01368,,,,
PF01369,0.51,0.46,0.05,10.87
PF01370,0.36,0.36,0.00,0.00
PF01379,,,,
PF01380,0.55,0.55,0.00,0.00
PF01381,,,,
PF01384,0.74,0.73,0.01,1.37
PF01387,0.71,0.70,0.01,1.43
PF01388,0.49,0.39,0.10,25.64
PF01390,0.33,0.28,0.05,17.86
PF01391,0.38,0.24,0.14,58.33
PF01392,0.38,0.38,0.00,0.00
PF01393,0.93,0.94,-0.01,-1.06
PF01394,0.35,0.35,0.00,0.00
PF01396,,,,
PF01398,0.30,0.30,0.00,0.00
PF01399,0.26,0.21,0.05,23.81
PF01400,0.63,0.62,0.01,1.61
PF01401,0.68,0.68,0.00,0.00
PF01403,0.31,0.31,0.00,0.00
PF01404,0.59,0.59,0.00,0.00
PF01406,0.67,0.67,0.00,0.00
PF01408,0.49,0.49,0.00,0.00
PF01409,0.40,0.40,0.00,0.00
PF01410,0.44,0.43,0.01,2.33
PF01411,0.76,0.76,0.00,0.00
PF01412,0.46,0.44,0.02,4.55
PF01413,0.59,0.59,0.00,0.00
PF01414,0.70,0.70,0.00,0.00
PF01415,,,,
PF01416,0.47,0.46,0.01,2.17
PF01417,0.68,0.65,0.03,4.62
PF01419,,,,
PF01421,0.24,0.26,-0.02,-7.69
PF01422,0.36,0.26,0.10,38.46
PF01423,0.34,0.33,0.01,3.03
PF01424,0.35,0.33,0.02,6.06
PF01425,0.48,0.48,0.00,0.00
PF01426,0.20,0.21,-0.01,-4.76
PF01428,0.42,0.42,0.00,0.00
PF01429,0.45,0.38,0.07,18.42
PF01431,0.64,0.63,0.01,1.59
PF01432,0.65,0.65,0.00,0.00
PF01433,0.42,0.37,0.05,13.51
PF01434,0.62,0.61,0.01,1.64
PF01435,0.57,0.57,0.00,0.00
PF01436,0.43,0.39,0.04,10.26
PF01437,0.26,0.19,0.07,36.84
PF01442,0.36,0.32,0.04,12.50
PF01448,0.41,0.38,0.03,7.89
PF01451,,,,
PF01454,0.41,0.36,0.05,13.89
PF01457,0.33,0.34,-0.01,-2.94
PF01459,0.56,0.55,0.01,1.82
PF01462,0.38,0.38,0.00,0.00
PF01463,0.39,0.37,0.02,5.41
PF01465,0.73,0.75,-0.02,-2.67
PF01466,,,,
PF01467,0.29,0.28,0.01,3.57
PF01470,0.65,0.63,0.02,3.17
PF01471,0.33,0.34,-0.01,-2.94
PF01472,0.59,0.59,0.00,0.00
PF01476,0.53,0.49,0.04,8.16
PF01477,0.27,0.26,0.01,3.85
PF01479,0.68,0.68,0.00,0.00
PF01480,0.45,0.44,0.01,2.27
PF01483,0.60,0.60,0.00,0.00
PF01485,0.38,0.25,0.13,52.00
PF01490,0.30,0.29,0.01,3.45
PF01491,,,,
PF01494,0.21,0.22,-0.01,-4.55
PF01496,0.67,0.67,0.00,0.00
PF01500,0.45,0.35,0.10,28.57
PF01501,0.27,0.26,0.01,3.85
PF01504,0.45,0.45,0.00,0.00
PF01505,0.54,0.53,0.01,1.89
PF01507,,0.50,,
PF01509,0.54,0.54,0.00,0.00
PF01510,0.44,0.47,-0.03,-6.38
PF01512,,,,
PF01513,,,,
PF01521,0.62,0.61,0.01,1.64
PF01529,0.34,0.33,0.01,3.03
PF01530,0.75,0.71,0.04,5.63
PF01531,0.81,0.81,0.00,0.00
PF01532,0.51,0.51,0.00,0.00
PF01534,0.55,0.55,0.00,0.00
PF01535,0.45,0.40,0.05,12.50
PF01536,,,,
PF01541,,,,
PF01545,0.35,0.32,0.03,9.37
PF01546,0.19,0.37,-0.18,-48.65
PF01549,,,,
PF01551,,,,
PF01553,0.24,0.23,0.01,4.35
PF01554,0.54,0.55,-0.01,-1.82
PF01556,0.32,0.47,-0.15,-31.91
PF01557,0.52,0.52,0.00,0.00
PF01562,0.19,0.22,-0.03,-13.64
PF01564,0.45,0.46,-0.01,-2.17
PF01565,0.46,0.42,0.04,9.52
PF01566,0.84,0.86,-0.02,-2.33
PF01569,0.33,0.33,0.00,0.00
PF01571,0.48,0.47,0.01,2.13
PF01575,0.58,0.59,-0.01,-1.69
PF01576,0.54,0.49,0.05,10.20
PF01582,0.27,0.26,0.01,3.85
PF01583,0.90,0.90,0.00,0.00
PF01585,0.47,0.41,0.06,14.63
PF01586,0.50,0.50,0.00,0.00
PF01588,0.81,0.81,0.00,0.00
PF01590,0.30,0.27,0.03,11.11
PF01591,0.79,0.78,0.01,1.28
PF01592,,,,
PF01593,0.25,0.21,0.04,19.05
PF01594,,,,
PF01595,0.68,0.67,0.01,1.49
PF01596,0.45,0.47,-0.02,-4.26
PF01597,0.54,0.54,0.00,0.00
PF01599,,,,
PF01602,0.31,0.31,0.00,0.00
PF01603,0.83,0.83,0.00,0.00
PF01607,0.73,0.73,0.00,0.00
PF01608,0.54,0.54,0.00,0.00
PF01612,0.38,0.35,0.03,8.57
PF01619,0.66,0.61,0.05,8.20
PF01624,0.48,0.48,0.00,0.00
PF01625,,,,
PF01630,0.59,0.61,-0.02,-3.28
PF01632,,,,
PF01633,0.57,0.53,0.04,7.55
PF01636,0.53,0.50,0.03,6.00
PF01641,0.62,0.60,0.02,3.33
PF01642,,,,
PF01648,,,,
PF01650,0.63,0.62,0.01,1.61
PF01652,0.58,0.55,0.03,5.45
PF01655,,,,
PF01658,,,,
PF01661,0.38,0.37,0.01,2.70
PF01663,0.37,0.31,0.06,19.35
PF01667,1.00,1.00,0.00,0.00
PF01669,,,,
PF01687,,,,
PF01693,0.61,0.60,0.01,1.67
PF01694,0.37,0.36,0.01,2.78
PF01699,0.35,0.33,0.02,6.06
PF01702,0.60,0.61,-0.01,-1.64
PF01704,0.54,0.53,0.01,1.89
PF01709,,,,
PF01712,0.49,0.49,0.00,0.00
PF01713,,,,
PF01715,,,,
PF01722,0.52,0.48,0.04,8.33
PF01725,,,,
PF01728,0.43,0.43,0.00,0.00
PF01729,,,,
PF01731,0.79,0.79,0.00,0.00
PF01733,0.49,0.49,0.00,0.00
PF01734,0.37,0.33,0.04,12.12
PF01735,0.35,0.34,0.01,2.94
PF01738,,,,
PF01740,0.27,0.28,-0.01,-3.57
PF01743,,,,
PF01747,0.91,0.91,0.00,0.00
PF01749,0.52,0.51,0.01,1.96
PF01751,0.46,0.47,-0.01,-2.13
PF01753,0.36,0.32,0.04,12.50
PF01754,0.52,0.46,0.06,13.04
PF01755,0.71,0.73,-0.02,-2.74
PF01756,0.46,0.47,-0.01,-2.13
PF01758,0.53,0.53,0.00,0.00
PF01759,0.27,0.29,-0.02,-6.90
PF01762,0.38,0.38,0.00,0.00
PF01764,0.68,0.68,0.00,0.00
PF01765,,,,
PF01769,0.46,0.47,-0.01,-2.13
PF01770,0.52,0.51,0.01,1.96
PF01773,0.79,0.78,0.01,1.28
PF01775,,,,
PF01776,0.86,0.86,0.00,0.00
PF01777,,,,
PF01778,0.58,0.58,0.00,0.00
PF01779,,,,
PF01780,0.91,0.91,0.00,0.00
PF01781,,,,
PF01783,,,,
PF01784,,,,
PF01791,,,,
PF01794,0.33,0.35,-0.02,-5.71
PF01795,0.69,0.68,0.01,1.47
PF01798,0.60,0.60,0.00,0.00
PF01799,0.86,0.86,0.00,0.00
PF01803,0.77,0.44,0.33,75.00
PF01805,0.49,0.46,0.03,6.52
PF01808,,,,
PF01812,0.57,0.57,0.00,0.00
PF01813,,,,
PF01814,,,,
PF01821,0.55,0.60,-0.05,-8.33
PF01822,0.44,0.42,0.02,4.76
PF01823,0.27,0.25,0.02,8.00
PF01825,0.39,0.37,0.02,5.41
PF01826,0.34,0.27,0.07,25.93
PF01833,0.17,0.15,0.02,13.33
PF01834,,,,
PF01835,0.47,0.39,0.08,20.51
PF01839,0.38,0.40,-0.02,-5.00
PF01840,0.55,0.55,0.00,0.00
PF01841,0.37,0.38,-0.01,-2.63
PF01842,,,,
PF01843,0.55,0.54,0.01,1.85
PF01844,,,,
PF01846,0.32,0.30,0.02,6.67
PF01847,0.85,0.84,0.01,1.19
PF01849,0.72,0.72,0.00,0.00
PF01851,0.41,0.43,-0.02,-4.65
PF01852,0.27,0.26,0.01,3.85
PF01853,0.75,0.75,0.00,0.00
PF01857,0.59,0.59,0.00,0.00
PF01858,0.65,0.65,0.00,0.00
PF01866,0.62,0.63,-0.01,-1.59
PF01868,,,,
PF01869,,,,
PF01871,0.88,0.94,-0.06,-6.38
PF01873,0.62,0.62,0.00,0.00
PF01875,,,,
PF01876,,,,
PF01878,,,,
PF01883,0.72,0.71,0.01,1.41
PF01885,,,,
PF01896,0.52,0.53,-0.01,-1.89
PF01900,0.56,0.55,0.01,1.82
PF01902,,,,
PF01907,,,,
PF01909,0.45,0.41,0.04,9.76
PF01912,,,,
PF01916,,,,
PF01918,0.77,0.76,0.01,1.32
PF01920,0.35,0.37,-0.02,-5.41
PF01922,,,,
PF01923,,,,
PF01926,0.22,0.16,0.06,37.50
PF01927,,,,
PF01928,,,,
PF01929,,,,
PF01931,,,,
PF01936,,,,
PF01937,0.55,0.55,0.00,0.00
PF01938,0.60,0.59,0.01,1.69
PF01940,,,,
PF01951,,,,
PF01956,0.56,0.56,0.00,0.00
PF01963,0.60,0.60,0.00,0.00
PF01965,,,,
PF01966,,,,
PF01967,,,,
PF01968,,,,
PF01974,0.61,0.60,0.01,1.67
PF01979,0.36,0.36,0.00,0.00
PF01980,,,,
PF01981,0.61,0.62,-0.01,-1.61
PF01984,,,,
PF01990,,,,
PF01991,0.88,0.88,0.00,0.00
PF01992,0.83,0.83,0.00,0.00
PF01997,0.61,0.60,0.01,1.67
PF02002,,,,
PF02005,0.39,0.39,0.00,0.00
PF02008,0.53,0.52,0.01,1.92
PF02010,0.31,0.34,-0.03,-8.82
PF02014,0.44,0.42,0.02,4.76
PF02017,0.58,0.57,0.01,1.75
PF02019,0.61,0.61,0.00,0.00
PF02020,0.53,0.53,0.00,0.00
PF02022,0.99,0.97,0.02,2.06
PF02023,0.64,0.51,0.13,25.49
PF02024,,,,
PF02025,,,,
PF02026,0.53,0.53,0.00,0.00
PF02029,0.39,0.39,0.00,0.00
PF02033,,,,
PF02036,0.51,0.50,0.01,2.00
PF02037,0.47,0.48,-0.01,-2.08
PF02038,0.57,0.50,0.07,14.00
PF02044,0.89,0.89,0.00,0.00
PF02045,,,,
PF02046,0.78,0.76,0.02,2.63
PF02057,,,,
PF02058,0.68,0.68,0.00,0.00
PF02059,,,,
PF02060,0.36,0.35,0.01,2.86
PF02063,0.40,0.41,-0.01,-2.44
PF02064,0.71,0.70,0.01,1.43
PF02070,,,,
PF02072,,,,
PF02077,,,,
PF02078,0.82,0.81,0.01,1.23
PF02079,,,,
PF02083,,,,
PF02089,0.63,0.63,0.00,0.00
PF02096,0.61,0.61,0.00,0.00
PF02099,0.56,0.55,0.01,1.82
PF02100,0.69,0.66,0.03,4.55
PF02101,,,,
PF02104,,,,
PF02106,,,,
PF02109,,,,
PF02114,0.47,0.43,0.04,9.30
PF02115,0.77,0.76,0.01,1.32
PF02121,0.66,0.67,-0.01,-1.49
PF02126,,,,
PF02127,,,,
PF02130,,,,
PF02135,0.64,0.64,0.00,0.00
PF02136,0.53,0.53,0.00,0.00
PF02137,0.40,0.40,0.00,0.00
PF02138,0.61,0.58,0.03,5.17
PF02140,0.58,0.58,0.00,0.00
PF02141,0.36,0.36,0.00,0.00
PF02142,0.47,0.47,0.00,0.00
PF02144,,,,
PF02145,0.51,0.52,-0.01,-1.92
PF02146,0.41,0.35,0.06,17.14
PF02148,0.33,0.30,0.03,10.00
PF02149,0.72,0.71,0.01,1.41
PF02150,0.64,0.61,0.03,4.92
PF02155,,,,
PF02157,,,,
PF02158,0.68,0.68,0.00,0.00
PF02159,,,,
PF02161,,,,
PF02163,,,,
PF02165,,,,
PF02166,,,,
PF02167,,,,
PF02170,0.39,0.37,0.02,5.41
PF02171,0.59,0.59,0.00,0.00
PF02172,0.95,0.95,0.00,0.00
PF02173,0.77,0.72,0.05,6.94
PF02174,0.40,0.38,0.02,5.26
PF02176,0.48,0.44,0.04,9.09
PF02177,0.73,0.73,0.00,0.00
PF02178,0.71,0.69,0.02,2.90
PF02179,0.45,0.33,0.12,36.36
PF02180,0.65,0.63,0.02,3.17
PF02181,0.39,0.39,0.00,0.00
PF02182,0.85,0.88,-0.03,-3.41
PF02185,0.46,0.44,0.02,4.55
PF02186,,,,
PF02187,0.62,0.62,0.00,0.00
PF02188,0.53,0.48,0.05,10.42
PF02189,0.48,0.44,0.04,9.09
PF02190,0.36,0.35,0.01,2.86
PF02191,0.45,0.46,-0.01,-2.17
PF02192,0.68,0.68,0.00,0.00
PF02194,0.47,0.47,0.00,0.00
PF02195,,,,
PF02196,0.49,0.42,0.07,16.67
PF02197,0.49,0.43,0.06,13.95
PF02198,0.42,0.41,0.01,2.44
PF02199,0.62,0.61,0.01,1.64
PF02201,0.60,0.61,-0.01,-1.64
PF02202,,,,
PF02204,0.40,0.40,0.00,0.00
PF02205,0.41,0.40,0.01,2.50
PF02207,0.42,0.40,0.02,5.00
PF02208,0.65,0.63,0.02,3.17
PF02209,0.63,0.63,0.00,0.00
PF02210,0.18,0.15,0.03,20.00
PF02212,0.54,0.55,-0.01,-1.82
PF02213,0.68,0.68,0.00,0.00
PF02214,0.35,0.25,0.10,40.00
PF02218,0.66,0.65,0.01,1.54
PF02219,,,,
PF02221,0.57,0.56,0.01,1.79
PF02223,0.60,0.60,0.00,0.00
PF02225,0.24,0.20,0.04,20.00
PF02229,,,,
PF02230,0.67,0.67,0.00,0.00
PF02233,,,,
PF02234,0.65,0.65,0.00,0.00
PF02237,,,,
PF02238,0.77,0.75,0.02,2.67
PF02244,0.46,0.45,0.01,2.22
PF02245,,,,
PF02251,0.67,0.68,-0.01,-1.47
PF02252,0.69,0.69,0.00,0.00
PF02256,0.66,0.62,0.04,6.45
PF02257,0.59,0.58,0.01,1.72
PF02259,0.32,0.32,0.00,0.00
PF02260,0.61,0.59,0.02,3.39
PF02262,0.67,0.66,0.01,1.52
PF02263,0.54,0.45,0.09,20.00
PF02267,0.68,0.68,0.00,0.00
PF02268,,,,
PF02269,0.64,0.64,0.00,0.00
PF02270,,,,
PF02271,,,,
PF02272,,,,
PF02275,0.59,0.62,-0.03,-4.84
PF02284,,,,
PF02285,0.73,0.72,0.01,1.39
PF02290,,,,
PF02291,0.96,0.96,0.00,0.00
PF02295,0.51,0.50,0.01,2.00
PF02296,0.91,0.91,0.00,0.00
PF02297,0.58,0.56,0.02,3.57
PF02301,0.46,0.43,0.03,6.98
PF02310,0.57,0.57,0.00,0.00
PF02312,,,,
PF02318,0.42,0.39,0.03,7.69
PF02319,0.44,0.44,0.00,0.00
PF02320,0.98,0.98,0.00,0.00
PF02330,,,,
PF02337,1.00,1.00,0.00,0.00
PF02338,0.24,0.23,0.01,4.35
PF02344,,,,
PF02347,,,,
PF02348,,,,
PF02350,,,,
PF02351,0.29,0.26,0.03,11.54
PF02354,0.48,0.47,0.01,2.13
PF02359,0.53,0.53,0.00,0.00
PF02366,0.67,0.67,0.00,0.00
PF02368,0.73,0.75,-0.02,-2.67
PF02372,0.58,0.58,0.00,0.00
PF02373,0.31,0.34,-0.03,-8.82
PF02374,,,,
PF02375,0.61,0.61,0.00,0.00
PF02376,0.49,0.47,0.02,4.26
PF02377,0.76,0.75,0.01,1.33
PF02383,0.42,0.42,0.00,0.00
PF02389,0.51,0.38,0.13,34.21
PF02390,,,,
PF02391,,,,
PF02394,0.61,0.61,0.00,0.00
PF02403,,,,
PF02404,,,,
PF02410,,,,
PF02412,0.51,0.46,0.05,10.87
PF02423,,,,
PF02434,0.45,0.43,0.02,4.65
PF02436,,,,
PF02437,0.49,0.48,0.01,2.08
PF02441,,,,
PF02450,0.73,0.47,0.26,55.32
PF02453,0.71,0.71,0.00,0.00
PF02460,0.59,0.50,0.09,18.00
PF02463,0.14,0.29,-0.15,-51.72
PF02466,0.34,0.32,0.02,6.25
PF02469,0.30,0.27,0.03,11.11
PF02475,0.59,0.56,0.03,5.36
PF02485,0.50,0.49,0.01,2.04
PF02487,,,,
PF02493,0.35,0.26,0.09,34.62
PF02494,0.56,0.56,0.00,0.00
PF02513,0.55,0.54,0.01,1.85
PF02515,0.62,0.62,0.00,0.00
PF02516,0.81,0.77,0.04,5.19
PF02517,,,,
PF02518,0.48,0.40,0.08,20.00
PF02525,0.71,0.73,-0.02,-2.74
PF02535,0.27,0.23,0.04,17.39
PF02536,0.38,0.38,0.00,0.00
PF02538,,,,
PF02540,0.52,0.52,0.00,0.00
PF02544,0.55,0.54,0.01,1.85
PF02545,,,,
PF02567,,,,
PF02574,0.61,0.58,0.03,5.17
PF02578,,,,
PF02580,0.61,0.61,0.00,0.00
PF02582,,,,
PF02585,,,,
PF02586,,,,
PF02594,,,,
PF02597,,,,
PF02602,,,,
PF02607,,,,
PF02617,0.72,0.71,0.01,1.41
PF02628,,,,
PF02629,0.59,0.59,0.00,0.00
PF02630,0.77,0.77,0.00,0.00
PF02636,,,,
PF02637,,,,
PF02661,,,,
PF02666,,,,
PF02668,0.62,0.61,0.01,1.64
PF02671,0.39,0.42,-0.03,-7.14
PF02676,,,,
PF02678,,,,
PF02686,,,,
PF02690,0.43,0.44,-0.01,-2.27
PF02696,,,,
PF02709,0.66,0.65,0.01,1.54
PF02724,,0.33,,
PF02727,0.80,0.80,0.00,0.00
PF02728,0.62,0.62,0.00,0.00
PF02729,0.63,0.63,0.00,0.00
PF02731,,,,
PF02732,0.33,0.33,0.00,0.00
PF02733,,,,
PF02734,,,,
PF02735,0.57,0.57,0.00,0.00
PF02736,0.54,0.54,0.00,0.00
PF02737,0.52,0.52,0.00,0.00
PF02738,0.75,0.74,0.01,1.35
PF02740,,,,
PF02744,,,,
PF02746,,,,
PF02747,,,,
PF02749,,,,
PF02750,0.87,0.87,0.00,0.00
PF02751,,,,
PF02752,0.41,0.41,0.00,0.00
PF02755,0.57,0.55,0.02,3.64
PF02758,0.35,0.35,0.00,0.00
PF02759,0.25,0.21,0.04,19.05
PF02760,0.68,0.69,-0.01,-1.45
PF02761,0.81,0.81,0.00,0.00
PF02762,0.88,0.88,0.00,0.00
PF02765,,,,
PF02769,0.40,0.38,0.02,5.26
PF02770,0.36,0.36,0.00,0.00
PF02771,0.35,0.35,0.00,0.00
PF02772,0.91,0.91,0.00,0.00
PF02773,0.95,0.95,0.00,0.00
PF02775,0.62,0.62,0.00,0.00
PF02776,0.65,0.64,0.01,1.56
PF02777,,,,
PF02778,,,,
PF02779,0.41,0.41,0.00,0.00
PF02780,0.55,0.56,-0.01,-1.79
PF02781,0.64,0.63,0.01,1.59
PF02782,0.52,0.52,0.00,0.00
PF02784,0.74,0.74,0.00,0.00
PF02785,0.54,0.54,0.00,0.00
PF02786,0.45,0.44,0.01,2.27
PF02787,0.68,0.67,0.01,1.49
PF02789,,,,
PF02790,,,,
PF02791,0.55,0.54,0.01,1.85
PF02792,1.00,1.00,0.00,0.00
PF02793,0.30,0.29,0.01,3.45
PF02798,0.46,0.43,0.03,6.98
PF02799,0.90,0.90,0.00,0.00
PF02800,0.90,0.90,0.00,0.00
PF02801,0.64,0.64,0.00,0.00
PF02803,0.57,0.57,0.00,0.00
PF02806,0.76,0.77,-0.01,-1.30
PF02807,0.84,0.83,0.01,1.20
PF02809,0.49,0.53,-0.04,-7.55
PF02812,0.99,0.99,0.00,0.00
PF02815,0.37,0.35,0.02,5.71
PF02816,0.44,0.45,-0.01,-2.22
PF02817,0.61,0.62,-0.01,-1.61
PF02818,0.76,0.76,0.00,0.00
PF02820,0.46,0.40,0.06,15.00
PF02822,0.56,0.55,0.01,1.82
PF02823,,,,
PF02824,0.49,0.47,0.02,4.26
PF02825,0.32,0.33,-0.01,-3.03
PF02826,0.63,0.63,0.00,0.00
PF02827,0.58,0.58,0.00,0.00
PF02828,0.36,0.34,0.02,5.88
PF02833,0.62,0.64,-0.02,-3.13
PF02836,0.54,0.57,-0.03,-5.26
PF02837,0.62,0.62,0.00,0.00
PF02840,,,,
PF02841,0.55,0.54,0.01,1.85
PF02843,,,,
PF02844,,,,
PF02845,0.43,0.44,-0.01,-2.27
PF02847,0.40,0.40,0.00,0.00
PF02852,0.62,0.63,-0.01,-1.59
PF02854,0.29,0.25,0.04,16.00
PF02862,0.34,0.30,0.04,13.33
PF02864,0.52,0.54,-0.02,-3.70
PF02865,0.53,0.53,0.00,0.00
PF02866,0.55,0.55,0.00,0.00
PF02867,,,,
PF02870,,,,
PF02872,,,,
PF02874,0.47,0.45,0.02,4.44
PF02877,0.60,0.60,0.00,0.00
PF02878,0.38,0.34,0.04,11.76
PF02879,0.50,0.54,-0.04,-7.41
PF02880,0.45,0.52,-0.07,-13.46
PF02881,0.57,0.57,0.00,0.00
PF02882,0.61,0.59,0.02,3.39
PF02883,0.40,0.39,0.01,2.56
PF02885,,,,
PF02886,0.34,0.29,0.05,17.24
PF02887,0.81,0.81,0.00,0.00
PF02888,0.79,0.79,0.00,0.00
PF02889,0.31,0.31,0.00,0.00
PF02891,0.77,0.76,0.01,1.32
PF02892,0.53,0.52,0.01,1.92
PF02893,0.26,0.26,0.00,0.00
PF02897,0.55,0.55,0.00,0.00
PF02898,0.82,0.82,0.00,0.00
PF02902,0.30,0.29,0.01,3.45
PF02906,0.77,0.76,0.01,1.32
PF02910,,,,
PF02911,0.60,0.59,0.01,1.69
PF02913,0.47,0.47,0.00,0.00
PF02919,0.84,0.84,0.00,0.00
PF02921,0.99,0.99,0.00,0.00
PF02922,,,,
PF02926,0.45,0.41,0.04,9.76
PF02928,0.64,0.63,0.01,1.59
PF02931,0.35,0.32,0.03,9.37
PF02932,0.16,0.12,0.04,33.33
PF02933,0.52,0.52,0.00,0.00
PF02934,,,,
PF02935,,,,
PF02936,0.77,0.77,0.00,0.00
PF02937,,,,
PF02938,,,,
PF02939,,,,
PF02946,0.58,0.57,0.01,1.75
PF02947,,,,
PF02948,0.90,0.90,0.00,0.00
PF02953,0.45,0.44,0.01,2.27
PF02961,0.70,0.70,0.00,0.00
PF02965,,,,
PF02966,0.68,0.68,0.00,0.00
PF02969,0.69,0.69,0.00,0.00
PF02970,,,,
PF02971,,,,
PF02978,,,,
PF02984,0.24,0.26,-0.02,-7.69
PF02985,0.42,0.39,0.03,7.69
PF02988,,,,
PF02990,0.53,0.53,0.00,0.00
PF02991,0.65,0.64,0.01,1.56
PF02994,0.70,0.70,0.00,0.00
PF02996,0.41,0.41,0.00,0.00
PF03002,0.76,0.75,0.01,1.33
PF03006,0.34,0.34,0.00,0.00
