Pfam_code,HMMER_blosum,SEED_blosum,HMMER_vs_SEED_blosum_diff,HMMER_vs_SEED_blosum_%_improvement
PF06747,0.56,0.44,0.12,27.27
PF06758,1.57,,,
PF06777,,,,
PF06809,,,,
PF06817,,,,
PF06839,2.80,2.67,0.13,4.87
PF06888,,,,
PF06907,,,,
PF06954,,,,
PF06959,,,,
PF06963,,,,
PF06990,1.78,1.81,-0.03,-1.66
PF07002,3.20,3.19,0.01,0.31
PF07004,1.52,0.03,1.49,4966.67
PF07010,,,,
PF07034,,,,
PF07096,,,,
PF07106,,,,
PF07139,,,,
PF07140,,,,
PF07145,,,,
PF07163,,,,
PF07225,,,,
PF07263,,,,
PF07292,1.08,1.11,-0.03,-2.70
PF07326,,,,
PF07334,,,,
PF07354,,,,
PF07458,2.53,2.57,-0.04,-1.56
PF07521,,,,
PF07522,,,,
PF07524,1.27,1.25,0.02,1.60
PF07525,,,,
PF07562,,,,
PF07565,2.08,1.91,0.17,8.90
PF07645,2.49,2.29,0.20,8.73
PF07646,,,,
PF07647,0.58,0.40,0.18,45.00
PF07648,1.84,1.83,0.01,0.55
PF07651,3.56,3.52,0.04,1.14
PF07653,0.11,0.08,0.03,37.50
PF07654,1.16,1.14,0.02,1.75
PF07670,4.09,4.21,-0.12,-2.85
PF07678,1.64,1.63,0.01,0.61
PF07679,1.02,1.32,-0.30,-22.73
PF07686,0.41,0.30,0.11,36.67
PF07699,1.80,1.80,0.00,0.00
PF07707,1.34,1.31,0.03,2.29
PF07714,1.74,1.80,-0.06,-3.33
PF07716,1.46,1.38,0.08,5.80
PF07717,1.33,1.30,0.03,2.31
PF07728,1.17,,,
PF07738,1.66,1.52,0.14,9.21
PF07744,,,,
PF07748,1.21,1.35,-0.14,-10.37
PF07773,0.60,1.26,-0.66,-52.38
PF07776,,,,
PF07819,,,,
PF07842,,,,
PF07847,,,,
PF07857,,,,
PF07885,1.12,,,
PF07888,,,,
PF07894,,,,
PF07915,1.50,1.65,-0.15,-9.09
PF07942,,,,
PF07947,,,,
PF07959,,,,
PF07974,3.82,,,
PF07984,,,,
PF07986,,,,
PF08007,2.18,2.06,0.12,5.83
PF08016,,,,
PF08032,,,,
PF08033,0.98,0.91,0.07,7.69
PF08038,,,,
PF08040,,,,
PF08070,,,,
PF08081,,,,
PF08180,,,,
PF08190,,,,
PF08202,,,,
PF08204,,,,
PF08205,0.53,0.35,0.18,51.43
PF08238,0.93,0.71,0.22,30.99
PF08264,0.24,-0.15,0.39,260.00
PF08266,2.69,2.61,0.08,3.07
PF08271,0.85,0.60,0.25,41.67
PF08327,,,,
PF08357,0.58,0.58,0.00,0.00
PF08373,,,,
PF08377,,,,
PF08385,,,,
PF08389,0.62,0.63,-0.01,-1.59
PF08397,1.41,1.41,0.00,0.00
PF08416,0.16,0.17,-0.01,-5.88
PF08430,2.47,2.64,-0.17,-6.44
PF08433,,,,
PF08434,,,,
PF08441,1.09,1.07,0.02,1.87
PF08444,2.60,2.60,0.00,0.00
PF08447,3.54,3.24,0.30,9.26
PF08466,,,,
PF08491,,,,
PF08513,,,,
PF08516,,,,
PF08526,1.14,1.14,0.00,0.00
PF08527,,,,
PF08540,,,,
PF08551,,,,
PF08558,1.19,1.11,0.08,7.21
PF08568,,,,
PF08583,,,,
PF08604,,,,
PF08615,,,,
PF08629,,,,
PF08641,,,,
PF08646,,,,
PF08661,,,,
PF08662,0.78,0.78,0.00,0.00
PF08675,,,,
PF08688,,,,
PF08709,,,,
PF08726,2.33,2.33,0.00,0.00
PF08742,2.30,2.06,0.24,11.65
PF08743,,,,
PF08774,,,,
PF08777,0.81,0.81,0.00,0.00
PF08784,,,,
PF08797,,,,
PF08801,,,,
PF08824,,,,
PF08826,,,,
PF08840,2.42,2.38,0.04,1.68
PF08913,,,,
PF08916,,,,
PF08952,1.80,1.80,0.00,0.00
PF08976,1.56,,,
PF08997,,,,
PF09004,,,,
PF09006,,,,
PF09011,,,,
PF09030,,,,
PF09038,,,,
PF09067,1.36,1.36,0.00,0.00
PF09069,,,,
PF09085,,,,
PF09128,,,,
PF09162,,,,
PF09169,,,,
PF09170,,,,
PF09240,0.47,0.47,0.00,0.00
PF09256,,,,
PF09258,,,,
PF09261,1.14,1.06,0.08,7.55
PF09291,,,,
PF09294,0.77,0.69,0.08,11.59
PF09309,,,,
PF09325,,,,
PF09332,,,,
PF09358,,,,
PF09379,1.06,1.04,0.02,1.92
PF09380,0.91,0.83,0.08,9.64
PF09422,1.00,1.28,-0.28,-21.88
PF09439,,,,
PF09457,1.48,1.48,0.00,0.00
PF09469,2.73,2.73,0.00,0.00
PF09514,,,,
PF09532,,,,
PF09727,,,,
PF09766,,,,
PF09772,,,,
PF09787,,,,
PF09809,,,,
PF09811,1.33,1.33,0.00,0.00
PF09812,,,,
PF09815,,,,
PF10034,0.99,1.01,-0.02,-1.98
PF10151,,,,
PF10184,,,,
PF10186,,,,
PF10192,,,,
PF10226,,,,
PF10242,,,,
PF10243,,,,
PF10257,,,,
PF10262,,,,
PF10263,,,,
PF10265,,,,
PF10277,,,,
PF10278,,,,
PF10300,,,,
PF10344,,,,
PF10367,,,,
PF10376,,,,
PF10392,,,,
PF10401,1.10,1.09,0.01,0.92
PF10409,4.11,4.11,0.00,0.00
PF10420,,,,
PF10427,2.20,2.22,-0.02,-0.90
PF10472,,,,
PF10488,,,,
PF10500,,,,
PF10508,,,,
PF10565,,,,
PF10591,,,,
PF10607,0.65,0.60,0.05,8.33
PF10609,,,,
PF10630,,,,
PF10631,,,,
PF11109,,,,
PF11235,,,,
PF11465,,,,
PF11510,,,,
PF11526,,,,
PF11560,,,,
PF11598,2.60,2.60,0.00,0.00
PF11699,,,,
PF11759,2.77,2.83,-0.06,-2.12
PF11788,,,,
PF11789,,,,
PF11802,,,,
PF11819,,,,
PF11838,,,,
PF11933,,,,
PF11971,,,,
PF11977,2.45,2.40,0.05,2.08
PF12004,,,,
PF12047,,,,
PF12160,,,,
PF12171,1.15,1.04,0.11,10.58
PF12201,,,,
PF12231,,,,
PF12260,,,,
PF12297,,,,
PF12304,,,,
PF12349,,,,
PF12424,0.86,,,
PF12440,1.07,0.99,0.08,8.08
PF12480,3.90,3.75,0.15,4.00
PF12548,0.83,,,
PF12569,,,,
PF12657,,,,
PF12661,2.54,2.36,0.18,7.63
PF12662,3.00,2.78,0.22,7.91
PF12738,,,,
PF12770,,,,
PF12777,3.60,3.60,0.00,0.00
PF12796,1.07,,,
PF12799,,,,
PF12851,,,,
PF12861,,,,
PF12872,0.77,0.49,0.28,57.14
PF12874,2.36,2.21,0.15,6.79
PF12877,,,,
PF12885,,,,
PF12906,,,,
PF12937,1.39,1.13,0.26,23.01
PF12947,2.73,3.02,-0.29,-9.60
PF12998,,,,
PF13086,,,,
PF13087,,,,
PF13088,,,,
PF13193,0.35,0.21,0.14,66.67
PF13240,,,,
PF13279,,,,
PF13324,,,,
PF13330,2.46,,,
PF13365,,,,
PF13378,,,,
PF13402,4.16,4.14,0.02,0.48
PF13410,,,,
PF13450,,,,
PF13499,0.53,0.47,0.06,12.77
PF13513,,0.61,,
PF13517,,0.62,,
PF13679,,,,
PF13691,,,,
PF13725,,,,
PF13757,1.97,1.94,0.03,1.55
PF13765,2.29,2.31,-0.02,-0.87
PF13804,5.35,5.34,0.01,0.19
PF13831,,,,
PF13832,,,,
PF13833,,,,
PF13837,4.61,,,
PF13840,,,,
PF13841,2.01,1.96,0.05,2.55
PF13842,,,,
PF13843,1.82,1.83,-0.01,-0.55
PF13848,-0.01,-0.04,0.03,75.00
PF13853,,,,
PF13855,1.35,1.25,0.10,8.00
PF13862,,,,
PF13868,0.66,0.65,0.01,1.54
PF13873,0.92,0.94,-0.02,-2.13
PF13883,2.29,2.22,0.07,3.15
PF13885,2.72,2.42,0.30,12.40
PF13895,0.53,0.59,-0.06,-10.17
PF13897,,,,
PF13899,,,,
PF13903,,,,
PF13905,,,,
PF13908,1.73,0.89,0.84,94.38
PF13911,0.98,0.99,-0.01,-1.01
PF13913,2.03,1.52,0.51,33.55
PF13914,,,,
PF13916,,,,
PF13920,1.92,1.68,0.24,14.29
PF13923,,,,
PF13927,1.15,0.88,0.27,30.68
PF14160,,,,
PF14260,,,,
PF14306,3.85,3.76,0.09,2.39
PF14360,,,,
PF14493,,,,
PF14523,,,,
PF14565,,,,
PF14572,,,,
PF14596,,,,
PF14631,,,,
PF14634,,,,
PF14635,,,,
PF14639,,,,
PF14642,4.13,,,
PF14643,,,,
PF14648,,,,
PF14650,0.84,0.83,0.01,1.20
PF14651,,,,
PF14654,,,,
PF14670,,,,
PF14694,,,,
PF14701,,,,
PF14707,2.73,2.76,-0.03,-1.09
PF14713,,,,
PF14724,,,,
PF14749,,,,
PF14787,4.58,4.58,0.00,0.00
PF14797,,,,
PF14800,,,,
PF14816,,,,
PF14817,,,,
PF14818,,,,
PF14828,,,,
PF14836,1.74,1.72,0.02,1.16
PF14858,,,,
PF14880,,,,
PF14893,,,,
PF14915,,,,
PF14922,,,,
PF14925,,,,
PF14932,,,,
PF14933,,,,
PF14950,,,,
PF14951,,,,
PF14957,,,,
PF14958,,,,
PF14967,,,,
PF14969,,,,
PF14977,,,,
PF14979,,,,
PF14985,,,,
PF14986,,,,
PF14988,0.62,0.62,0.00,0.00
PF14992,1.97,1.97,0.00,0.00
PF15005,1.06,1.06,0.00,0.00
PF15015,,,,
PF15020,,,,
PF15030,,,,
PF15032,,,,
PF15037,,,,
PF15039,,,,
PF15040,2.89,2.89,0.00,0.00
PF15050,,,,
PF15057,,,,
PF15058,,,,
PF15068,,,,
PF15070,,,,
PF15079,,,,
PF15080,,,,
PF15081,,,,
PF15083,,,,
PF15095,,,,
PF15101,,,,
PF15102,,,,
PF15105,,,,
PF15136,,,,
PF15141,,,,
PF15142,,,,
PF15143,3.68,,,
PF15149,,,,
PF15160,,,,
PF15164,,,,
PF15165,,,,
PF15174,,,,
PF15177,0.76,0.75,0.01,1.33
PF15180,,,,
PF15192,,,,
PF15195,,,,
PF15199,,,,
PF15201,,,,
PF15202,,,,
PF15205,,,,
PF15206,,,,
PF15209,,,,
PF15215,,,,
PF15218,,,,
PF15227,,,,
PF15231,,,,
PF15255,,,,
PF15268,,,,
PF15274,,,,
PF15288,,,,
PF15291,,,,
PF15292,,,,
PF15314,,,,
PF15315,,,,
PF15319,,,,
PF15324,,,,
PF15334,,,,
PF15338,,,,
PF15339,,,,
PF15347,,,,
PF15351,,,,
PF15352,,,,
PF15357,,,,
PF15371,,,,
PF15372,,,,
PF15379,,,,
PF15384,,,,
PF15390,,,,
PF15391,,,,
PF15393,,,,
PF15395,,,,
PF15399,,,,
PF15412,,,,
PF15419,,,,
PF15423,,,,
PF15429,,,,
PF15439,,,,
PF15440,,,,
PF15441,,,,
PF15455,,,,
PF15462,,,,
PF15471,,,,
PF15482,,,,
PF15483,,,,
PF15485,,,,
PF15489,,,,
PF15506,,,,
PF15508,,,,
PF15539,,,,
PF15554,,,,
PF15557,,,,
PF15578,,,,
PF15621,,,,
PF15622,,,,
PF15664,,,,
PF15670,,,,
PF15681,,,,
PF15687,,,,
PF15688,,,,
PF15695,3.79,3.79,0.00,0.00
PF15710,,,,
PF15721,,,,
PF15727,,,,
PF15729,,,,
PF15741,,,,
PF15746,,,,
PF15754,,,,
PF15758,,,,
PF15769,,,,
PF15776,,,,
PF15783,1.05,,,
PF15788,1.25,1.69,-0.44,-26.04
PF15789,,,,
PF15790,,,,
PF15807,,,,
PF15816,,,,
PF15817,,,,
PF15821,,,,
PF15830,,,,
PF15838,,,,
PF15841,,,,
PF15843,,,,
PF15845,,,,
PF15847,,,,
PF15849,,,,
PF15855,,,,
PF15873,,,,
PF15874,0.97,0.97,0.00,0.00
PF15875,,,,
PF15876,,,,
PF15895,,,,
PF15897,,,,
PF15902,,,,
PF15903,,,,
PF15908,,,,
PF15909,,,,
PF15910,,,,
PF15913,,,,
PF15961,,,,
PF15964,,,,
PF15974,,,,
PF16006,,,,
PF16076,,,,
PF16094,,,,
PF16177,,,,
PF16182,,,,
PF16207,,,,
PF16208,,,,
PF16210,,,,
PF16214,,,,
PF16317,,,,
PF16360,,,,
PF16474,,,,
PF16482,,,,
PF16489,,,,
PF16492,3.54,3.50,0.04,1.14
PF16499,,,,
PF16619,,,,
PF16620,,,,
PF16630,,,,
PF16647,,,,
PF16652,,,,
PF16696,,,,
PF16716,,,,
PF16746,,,,
PF16788,,,,
PF17039,4.18,4.16,0.02,0.48
PF17047,,,,
PF17085,,,,
PF17146,,,,
PF17256,,,,
PF17284,1.64,1.64,0.00,0.00
PF17285,,,,
PF17286,,,,
PF17291,3.32,3.36,-0.04,-1.19
PF17333,,,,
PF17450,,,,
PF17489,,,,
PF17490,,,,
PF17677,,,,
PF17686,,,,
PF17690,,,,
PF17698,,,,
PF17699,,,,
PF17703,,,,
PF17706,,,,
PF17708,0.70,0.68,0.02,2.94
PF17710,,,,
PF17714,,,,
PF17729,,,,
PF17739,,,,
PF17744,,,,
PF17749,,,,
PF17776,,,,
PF17779,,,,
PF17780,,,,
PF17790,,,,
PF17791,,,,
PF17821,,,,
PF17825,,,,
PF17848,,,,
PF17857,2.94,2.94,0.00,0.00
PF17862,,,,
PF17900,1.53,1.54,-0.01,-0.65
PF17927,,,,
PF17949,,,,
PF18111,,,,
PF18114,,,,
PF18122,,,,
PF18139,,,,
PF18201,,,,
PF18256,,,,
PF18366,3.70,3.70,0.00,0.00
PF18727,2.57,2.56,0.01,0.39
PF18872,4.77,,,
PF18875,,,,
PF18876,,,,
PF19031,0.36,0.32,0.04,12.50
PF19032,0.10,0.14,-0.04,-28.57
PF19033,0.07,0.05,0.02,40.00
PF19036,-0.11,-0.13,0.02,15.38
PF19037,-0.21,-0.33,0.12,36.36
PF19038,-0.55,-0.61,0.06,9.84
PF19046,,,,
PF19047,,,,
PF19088,,,,
PF19236,,,,
PF19273,,,,
PF19317,,,,
PF19326,3.07,3.14,-0.07,-2.23
PF19336,,,,
PF19729,,,,
PF19743,,,,
PF20166,1.00,1.00,0.00,0.00
PF20168,,,,
PF20258,,,,
PF20259,,,,
PF20266,1.21,1.16,0.05,4.31
PF20433,,,,
PF20443,0.08,0.05,0.03,60.00
PF20491,,,,
PF20510,,,,
PF20511,,,,
PF20512,,,,
PF20514,,,,
PF20518,,,,
PF20519,,,,
PF20626,,,,
PF20634,,,,
PF20665,,,,
PF20666,,,,
PF20691,3.85,3.88,-0.03,-0.77
PF20692,,,,
PF20721,,,,
PF20770,,,,
PF20801,,,,
PF20805,1.20,1.20,0.00,0.00
PF20806,0.74,0.71,0.03,4.23
PF20808,,,,
PF20826,,,,
PF20854,,,,
PF20864,,,,
PF20885,,,,
PF20927,,,,
PF20936,,,,
PF20989,,,,
PF20996,,,,
PF21009,1.78,,,
PF21031,,,,
PF21032,,,,
PF21033,,,,
PF21034,,,,
PF21044,,,,
PF21045,,,,
PF21317,,,,
PF21363,,,,
PF21365,3.68,,,
PF21399,,,,
PF21530,,,,
PF21711,,,,
PF21771,,,,
