Pfam_code,HMMER_conservation,SEED_conservation,HMMER_vs_SEED_conservation_diff,HMMER_vs_SEED_conservation_%_improvement
PF06456,0.84,0.85,-0.01,-1.18
PF06463,,,,
PF06464,0.63,0.64,-0.01,-1.56
PF06467,0.32,0.42,-0.10,-23.81
PF06472,0.60,0.60,0.00,0.00
PF06473,0.47,0.46,0.01,2.17
PF06546,,,,
PF06581,,,,
PF06602,,,,
PF06607,,,,
PF06637,,,,
PF06679,,,,
PF06730,,,,
PF06733,0.58,0.58,0.00,0.00
PF06747,0.57,0.57,0.00,0.00
PF06758,0.55,,,
PF06777,,,,
PF06809,,,,
PF06817,,,,
PF06839,0.61,0.72,-0.11,-15.28
PF06888,,,,
PF06907,,,,
PF06954,,,,
PF06959,,,,
PF06963,,,,
PF06990,0.60,0.59,0.01,1.69
PF07002,0.74,0.75,-0.01,-1.33
PF07004,0.27,0.53,-0.26,-49.06
PF07010,,,,
PF07034,,,,
PF07096,,,,
PF07106,,,,
PF07139,,,,
PF07140,,,,
PF07145,,,,
PF07163,,,,
PF07225,,,,
PF07263,,,,
PF07292,0.65,0.65,0.00,0.00
PF07326,,,,
PF07334,,,,
PF07354,,,,
PF07458,0.73,0.74,-0.01,-1.35
PF07521,,,,
PF07522,,,,
PF07524,0.61,0.62,-0.01,-1.61
PF07525,,,,
PF07562,,,,
PF07565,0.59,0.57,0.02,3.51
PF07645,0.52,0.65,-0.13,-20.00
PF07646,,,,
PF07647,0.33,0.35,-0.02,-5.71
PF07648,0.47,0.48,-0.01,-2.08
PF07651,0.82,0.82,0.00,0.00
PF07653,0.43,0.43,0.00,0.00
PF07654,0.33,0.40,-0.07,-17.50
PF07670,0.85,0.87,-0.02,-2.30
PF07678,0.58,0.58,0.00,0.00
PF07679,0.19,0.45,-0.26,-57.78
PF07686,0.24,0.26,-0.02,-7.69
PF07699,0.53,0.53,0.00,0.00
PF07707,0.47,0.48,-0.01,-2.08
PF07714,0.31,0.32,-0.01,-3.13
PF07716,0.55,0.57,-0.02,-3.51
PF07717,0.50,0.50,0.00,0.00
PF07728,0.53,,,
PF07738,0.55,0.56,-0.01,-1.79
PF07744,,,,
PF07748,0.63,0.64,-0.01,-1.56
PF07773,0.38,0.63,-0.25,-39.68
PF07776,,,,
PF07819,,,,
PF07842,,,,
PF07847,,,,
PF07857,,,,
PF07885,0.60,,,
PF07888,,,,
PF07894,,,,
PF07915,0.52,0.63,-0.11,-17.46
PF07942,,,,
PF07947,,,,
PF07959,,,,
PF07974,0.61,,,
PF07984,,,,
PF07986,,,,
PF08007,0.69,0.70,-0.01,-1.43
PF08016,,,,
PF08032,,,,
PF08033,0.50,0.49,0.01,2.04
PF08038,,,,
PF08040,,,,
PF08070,,,,
PF08081,,,,
PF08180,,,,
PF08190,,,,
PF08202,,,,
PF08204,,,,
PF08205,0.27,0.33,-0.06,-18.18
PF08238,0.34,0.45,-0.11,-24.44
PF08264,0.56,0.54,0.02,3.70
PF08266,0.66,0.67,-0.01,-1.49
PF08271,0.61,0.61,0.00,0.00
PF08327,,,,
PF08357,0.44,0.44,0.00,0.00
PF08373,,,,
PF08377,,,,
PF08385,,,,
PF08389,0.41,0.41,0.00,0.00
PF08397,0.54,0.54,0.00,0.00
PF08416,0.57,0.57,0.00,0.00
PF08430,0.70,0.72,-0.02,-2.78
PF08433,,,,
PF08434,,,,
PF08441,0.53,0.54,-0.01,-1.85
PF08444,0.74,0.74,0.00,0.00
PF08447,0.71,0.76,-0.05,-6.58
PF08466,,,,
PF08491,,,,
PF08513,,,,
PF08516,,,,
PF08526,0.65,0.65,0.00,0.00
PF08527,,,,
PF08540,,,,
PF08551,,,,
PF08558,0.62,0.62,0.00,0.00
PF08568,,,,
PF08583,,,,
PF08604,,,,
PF08615,,,,
PF08629,,,,
PF08641,,,,
PF08646,,,,
PF08661,,,,
PF08662,0.59,0.59,0.00,0.00
PF08675,,,,
PF08688,,,,
PF08709,,,,
PF08726,0.67,0.67,0.00,0.00
PF08742,0.49,0.43,0.06,13.95
PF08743,,,,
PF08774,,,,
PF08777,0.60,0.60,0.00,0.00
PF08784,,,,
PF08797,,,,
PF08801,,,,
PF08824,,,,
PF08826,,,,
PF08840,0.69,0.69,0.00,0.00
PF08913,,,,
PF08916,,,,
PF08952,0.66,0.67,-0.01,-1.49
PF08976,0.60,,,
PF08997,,,,
PF09004,,,,
PF09006,,,,
PF09011,,,,
PF09030,,,,
PF09038,,,,
PF09067,0.65,0.65,0.00,0.00
PF09069,,,,
PF09085,,,,
PF09128,,,,
PF09162,,,,
PF09169,,,,
PF09170,,,,
PF09240,0.48,0.48,0.00,0.00
PF09256,,,,
PF09258,,,,
PF09261,0.61,0.62,-0.01,-1.61
PF09291,,,,
PF09294,0.41,0.41,0.00,0.00
PF09309,,,,
PF09325,,,,
PF09332,,,,
PF09358,,,,
PF09379,0.46,0.46,0.00,0.00
PF09380,0.40,0.40,0.00,0.00
PF09422,0.39,0.58,-0.19,-32.76
PF09439,,,,
PF09457,0.57,0.57,0.00,0.00
PF09469,0.76,0.76,0.00,0.00
PF09514,,,,
PF09532,,,,
PF09727,,,,
PF09766,,,,
PF09772,,,,
PF09787,,,,
PF09809,,,,
PF09811,0.64,0.64,0.00,0.00
PF09812,,,,
PF09815,,,,
PF10034,0.61,0.61,0.00,0.00
PF10151,,,,
PF10184,,,,
PF10186,,,,
PF10192,,,,
PF10226,,,,
PF10242,,,,
PF10243,,,,
PF10257,,,,
PF10262,,,,
PF10263,,,,
PF10265,,,,
PF10277,,,,
PF10278,,,,
PF10300,,,,
PF10344,,,,
PF10367,,,,
PF10376,,,,
PF10392,,,,
PF10401,0.63,0.63,0.00,0.00
PF10409,0.87,0.87,0.00,0.00
PF10420,,,,
PF10427,0.57,0.60,-0.03,-5.00
PF10472,,,,
PF10488,,,,
PF10500,,,,
PF10508,,,,
PF10565,,,,
PF10591,,,,
PF10607,0.35,0.41,-0.06,-14.63
PF10609,,,,
PF10630,,,,
PF10631,,,,
PF11109,,,,
PF11235,,,,
PF11465,,,,
PF11510,,,,
PF11526,,,,
PF11560,,,,
PF11598,0.74,0.74,0.00,0.00
PF11699,,,,
PF11759,0.52,0.49,0.03,6.12
PF11788,,,,
PF11789,,,,
PF11802,,,,
PF11819,,,,
PF11838,,,,
PF11933,,,,
PF11971,,,,
PF11977,0.72,0.72,0.00,0.00
PF12004,,,,
PF12047,,,,
PF12160,,,,
PF12171,0.63,0.63,0.00,0.00
PF12201,,,,
PF12231,,,,
PF12260,,,,
PF12297,,,,
PF12304,,,,
PF12349,,,,
PF12424,0.57,,,
PF12440,0.46,0.48,-0.02,-4.17
PF12480,0.86,0.86,0.00,0.00
PF12548,0.53,,,
PF12569,,,,
PF12657,,,,
PF12661,0.43,0.49,-0.06,-12.24
PF12662,0.59,0.52,0.07,13.46
PF12738,,,,
PF12770,,,,
PF12777,0.85,0.85,0.00,0.00
PF12796,0.61,,,
PF12799,,,,
PF12851,,,,
PF12861,,,,
PF12872,0.38,0.43,-0.05,-11.63
PF12874,0.51,0.60,-0.09,-15.00
PF12877,,,,
PF12885,,,,
PF12906,,,,
PF12937,0.66,0.63,0.03,4.76
PF12947,0.51,0.64,-0.13,-20.31
PF12998,,,,
PF13086,,,,
PF13087,,,,
PF13088,,,,
PF13193,0.59,0.57,0.02,3.51
PF13240,,,,
PF13279,,,,
PF13324,,,,
PF13330,0.71,,,
PF13365,,,,
PF13378,,,,
PF13402,0.86,0.86,0.00,0.00
PF13410,,,,
PF13450,,,,
PF13499,0.59,0.59,0.00,0.00
PF13513,,0.53,,
PF13517,,0.61,,
PF13679,,,,
PF13691,,,,
PF13725,,,,
PF13757,0.72,0.72,0.00,0.00
PF13765,0.61,0.61,0.00,0.00
PF13804,0.98,0.98,0.00,0.00
PF13831,,,,
PF13832,,,,
PF13833,,,,
PF13837,0.92,,,
PF13840,,,,
PF13841,0.52,0.52,0.00,0.00
PF13842,,,,
PF13843,0.57,0.56,0.01,1.79
PF13848,0.56,0.56,0.00,0.00
PF13853,,,,
PF13855,0.62,0.70,-0.08,-11.43
PF13862,,,,
PF13868,0.60,0.60,0.00,0.00
PF13873,0.62,0.62,0.00,0.00
PF13883,0.69,0.69,0.00,0.00
PF13885,0.52,0.48,0.04,8.33
PF13895,0.31,0.35,-0.04,-11.43
PF13897,,,,
PF13899,,,,
PF13903,,,,
PF13905,,,,
PF13908,0.59,0.59,0.00,0.00
PF13911,0.51,0.52,-0.01,-1.92
PF13913,0.53,0.59,-0.06,-10.17
PF13914,,,,
PF13916,,,,
PF13920,0.55,0.55,0.00,0.00
PF13923,,,,
PF13927,0.39,0.46,-0.07,-15.22
PF14160,,,,
PF14260,,,,
PF14306,0.83,0.84,-0.01,-1.19
PF14360,,,,
PF14493,,,,
PF14523,,,,
PF14565,,,,
PF14572,,,,
PF14596,,,,
PF14631,,,,
PF14634,,,,
PF14635,,,,
PF14639,,,,
PF14642,0.32,,,
PF14643,,,,
PF14648,,,,
PF14650,0.63,0.62,0.01,1.61
PF14651,,,,
PF14654,,,,
PF14670,,,,
PF14694,,,,
PF14701,,,,
PF14707,0.60,0.61,-0.01,-1.64
PF14713,,,,
PF14724,,,,
PF14749,,,,
PF14787,0.88,0.88,0.00,0.00
PF14797,,,,
PF14800,,,,
PF14816,,,,
PF14817,,,,
PF14818,,,,
PF14828,,,,
PF14836,0.63,0.63,0.00,0.00
PF14858,,,,
PF14880,,,,
PF14893,,,,
PF14915,,,,
PF14922,,,,
PF14925,,,,
PF14932,,,,
PF14933,,,,
PF14950,,,,
PF14951,,,,
PF14957,,,,
PF14958,,,,
PF14967,,,,
PF14969,,,,
PF14977,,,,
PF14979,,,,
PF14985,,,,
PF14986,,,,
PF14988,0.59,0.59,0.00,0.00
PF14992,0.71,0.71,0.00,0.00
PF15005,0.62,0.62,0.00,0.00
PF15015,,,,
PF15020,,,,
PF15030,,,,
PF15032,,,,
PF15037,,,,
PF15039,,,,
PF15040,0.79,0.79,0.00,0.00
PF15050,,,,
PF15057,,,,
PF15058,,,,
PF15068,,,,
PF15070,,,,
PF15079,,,,
PF15080,,,,
PF15081,,,,
PF15083,,,,
PF15095,,,,
PF15101,,,,
PF15102,,,,
PF15105,,,,
PF15136,,,,
PF15141,,,,
PF15142,,,,
PF15143,0.59,,,
PF15149,,,,
PF15160,,,,
PF15164,,,,
PF15165,,,,
PF15174,,,,
PF15177,0.62,0.62,0.00,0.00
PF15180,,,,
PF15192,,,,
PF15195,,,,
PF15199,,,,
PF15201,,,,
PF15202,,,,
PF15205,,,,
PF15206,,,,
PF15209,,,,
PF15215,,,,
PF15218,,,,
PF15227,,,,
PF15231,,,,
PF15255,,,,
PF15268,,,,
PF15274,,,,
PF15288,,,,
PF15291,,,,
PF15292,,,,
PF15314,,,,
PF15315,,,,
PF15319,,,,
PF15324,,,,
PF15334,,,,
PF15338,,,,
PF15339,,,,
PF15347,,,,
PF15351,,,,
PF15352,,,,
PF15357,,,,
PF15371,,,,
PF15372,,,,
PF15379,,,,
PF15384,,,,
PF15390,,,,
PF15391,,,,
PF15393,,,,
PF15395,,,,
PF15399,,,,
PF15412,,,,
PF15419,,,,
PF15423,,,,
PF15429,,,,
PF15439,,,,
PF15440,,,,
PF15441,,,,
PF15455,,,,
PF15462,,,,
PF15471,,,,
PF15482,,,,
PF15483,,,,
PF15485,,,,
PF15489,,,,
PF15506,,,,
PF15508,,,,
PF15539,,,,
PF15554,,,,
PF15557,,,,
PF15578,,,,
PF15621,,,,
PF15622,,,,
PF15664,,,,
PF15670,,,,
PF15681,,,,
PF15687,,,,
PF15688,,,,
PF15695,0.90,0.90,0.00,0.00
PF15710,,,,
PF15721,,,,
PF15727,,,,
PF15729,,,,
PF15741,,,,
PF15746,,,,
PF15754,,,,
PF15758,,,,
PF15769,,,,
PF15776,,,,
PF15783,0.35,,,
PF15788,0.43,0.72,-0.29,-40.28
PF15789,,,,
PF15790,,,,
PF15807,,,,
PF15816,,,,
PF15817,,,,
PF15821,,,,
PF15830,,,,
PF15838,,,,
PF15841,,,,
PF15843,,,,
PF15845,,,,
PF15847,,,,
PF15849,,,,
PF15855,,,,
PF15873,,,,
PF15874,0.62,0.62,0.00,0.00
PF15875,,,,
PF15876,,,,
PF15895,,,,
PF15897,,,,
PF15902,,,,
PF15903,,,,
PF15908,,,,
PF15909,,,,
PF15910,,,,
PF15913,,,,
PF15961,,,,
PF15964,,,,
PF15974,,,,
PF16006,,,,
PF16076,,,,
PF16094,,,,
PF16177,,,,
PF16182,0.50,,,
PF16207,,,,
PF16208,,,,
PF16210,,,,
PF16214,,,,
PF16317,,,,
PF16360,,,,
PF16474,,,,
PF16482,,,,
PF16489,,,,
PF16492,0.84,0.86,-0.02,-2.33
PF16499,,,,
PF16619,,,,
PF16620,,,,
PF16630,,,,
PF16647,,,,
PF16652,,,,
PF16696,,,,
PF16716,,,,
PF16746,,,,
PF16788,,,,
PF17039,0.87,0.87,0.00,0.00
PF17047,,,,
PF17085,,,,
PF17146,,,,
PF17256,,,,
PF17284,0.63,0.63,0.00,0.00
PF17285,,,,
PF17286,,,,
PF17291,0.80,0.81,-0.01,-1.23
PF17333,,,,
PF17450,,,,
PF17489,,,,
PF17490,,,,
PF17677,,,,
PF17686,,,,
PF17690,,,,
PF17698,,,,
PF17699,,,,
PF17703,,,,
PF17706,,,,
PF17708,0.47,0.48,-0.01,-2.08
PF17710,,,,
PF17714,,,,
PF17729,,,,
PF17739,,,,
PF17744,,,,
PF17749,,,,
PF17776,,,,
PF17779,,,,
PF17780,,,,
PF17790,,,,
PF17791,,,,
PF17821,,,,
PF17825,,,,
PF17848,,,,
PF17857,0.78,0.78,0.00,0.00
PF17862,,,,
PF17900,0.58,0.59,-0.01,-1.69
PF17927,,,,
PF17949,,,,
PF18111,,,,
PF18114,,,,
PF18122,,,,
PF18139,,,,
PF18201,,,,
PF18256,,,,
PF18366,0.83,0.83,0.00,0.00
PF18727,0.58,0.68,-0.10,-14.71
PF18872,0.92,,,
PF18875,,,,
PF18876,,,,
PF19031,0.43,0.44,-0.01,-2.27
PF19032,0.55,0.55,0.00,0.00
PF19033,0.41,0.41,0.00,0.00
PF19036,0.56,0.56,0.00,0.00
PF19037,0.54,0.54,0.00,0.00
PF19038,0.53,0.53,0.00,0.00
PF19046,,,,
PF19047,,,,
PF19088,,,,
PF19236,,,,
PF19273,,,,
PF19317,,,,
PF19326,0.78,0.78,0.00,0.00
PF19336,,,,
PF19729,,,,
PF19743,,,,
PF20166,0.54,0.54,0.00,0.00
PF20168,,,,
PF20258,,,,
PF20259,,,,
PF20266,0.60,0.60,0.00,0.00
PF20433,,,,
PF20443,0.55,0.55,0.00,0.00
PF20491,,,,
PF20510,,,,
PF20511,,,,
PF20512,,,,
PF20514,,,,
PF20518,,,,
PF20519,,,,
PF20626,,,,
PF20634,,,,
PF20665,,,,
PF20666,,,,
PF20691,0.84,0.84,0.00,0.00
PF20692,,,,
PF20721,,,,
PF20770,,,,
PF20801,,,,
PF20805,0.51,0.52,-0.01,-1.92
PF20806,0.47,0.48,-0.01,-2.08
PF20808,,,,
PF20826,,,,
PF20854,,,,
PF20864,,,,
PF20885,,,,
PF20927,,,,
PF20936,,,,
PF20989,,,,
PF20996,,,,
PF21009,0.53,,,
PF21031,,,,
PF21032,,,,
PF21033,,,,
PF21034,,,,
PF21044,,,,
PF21045,,,,
PF21317,,,,
PF21363,,,,
PF21365,0.83,,,
PF21399,,,,
PF21530,,,,
PF21711,,,,
PF21771,,,,
