Pfam_code,HMMER_gaps,SEED_gaps,HMMER_vs_SEED_gaps_diff,HMMER_vs_SEED_gaps_%_improvement
PF03516,0.05,0.04,-0.01,-25.00
PF03533,0.00,0.00,0.00,
PF03567,0.24,0.32,0.08,25.00
PF03572,0.10,0.00,-0.10,
PF03607,0.03,0.04,0.01,25.00
PF03630,0.00,0.00,0.00,
PF03643,0.00,0.00,0.00,
PF03656,0.00,0.00,0.00,
PF03670,0.00,0.00,0.00,
PF03700,0.00,0.00,0.00,
PF03725,0.00,0.00,0.00,
PF03731,0.09,0.09,0.00,0.00
PF03770,0.31,0.31,0.00,0.00
PF03798,0.12,0.14,0.02,14.29
PF03803,0.03,0.01,-0.02,-200.00
PF03807,0.06,0.06,0.00,0.00
PF03810,0.07,0.05,-0.02,-40.00
PF03815,0.08,0.00,-0.08,
PF03828,0.04,0.02,-0.02,-100.00
PF03847,0.00,0.00,0.00,
PF03901,0.00,0.00,0.00,
PF03908,0.00,0.00,0.00,
PF03921,0.03,0.02,-0.01,-50.00
PF03931,0.00,0.00,0.00,
PF03949,0.01,0.01,0.00,0.00
PF03953,0.04,0.03,-0.01,-33.33
PF03954,0.00,0.00,0.00,
PF03957,0.00,0.00,0.00,
PF03959,0.00,0.00,0.00,
PF03992,0.04,0.00,-0.04,
PF03999,0.00,0.00,0.00,
PF04006,0.00,0.00,0.00,
PF04053,0.00,0.00,0.00,
PF04055,0.29,0.25,-0.04,-16.00
PF04057,0.00,0.00,0.00,
PF04072,0.00,0.00,0.00,
PF04095,0.00,0.00,0.00,
PF04099,0.00,0.00,0.00,
PF04100,0.00,0.00,0.00,
PF04103,0.13,0.12,-0.01,-8.33
PF04110,0.00,0.00,0.00,
PF04114,0.00,0.00,0.00,
PF04140,0.00,0.00,0.00,
PF04142,0.01,0.02,0.01,50.00
PF04177,0.00,0.00,0.00,
PF04188,0.00,0.00,0.00,
PF04191,0.00,0.00,0.00,
PF04193,0.15,0.00,-0.15,
PF04209,0.00,0.00,0.00,
PF04218,0.00,0.00,0.00,
PF04258,0.00,0.00,0.00,
PF04266,0.00,0.00,0.00,
PF04280,0.00,0.00,0.00,
PF04300,0.00,0.00,0.00,
PF04326,0.00,0.00,0.00,
PF04360,0.00,0.00,0.00,
PF04434,0.00,0.00,0.00,
PF04438,0.00,0.00,0.00,
PF04488,0.00,0.00,0.00,
PF04499,0.00,0.00,0.00,
PF04500,0.00,0.00,0.00,
PF04503,0.00,0.00,0.00,
PF04538,0.22,0.22,0.00,0.00
PF04547,0.00,0.00,0.00,
PF04548,0.07,0.07,0.00,0.00
PF04549,0.00,0.00,0.00,
PF04560,0.04,0.03,-0.01,-33.33
PF04564,0.08,0.07,-0.01,-14.29
PF04579,0.00,0.00,0.00,
PF04588,0.00,0.00,0.00,
PF04593,0.00,0.00,0.00,
PF04598,0.05,0.05,0.00,0.00
PF04603,0.00,0.00,0.00,
PF04628,0.00,0.00,0.00,
PF04629,0.00,0.00,0.00,
PF04680,0.00,0.00,0.00,
PF04691,0.00,0.00,0.00,
PF04707,0.04,0.04,0.00,0.00
PF04712,0.00,0.00,0.00,
PF04732,0.20,0.16,-0.04,-25.00
PF04750,0.00,0.00,0.00,
PF04757,0.00,0.00,0.00,
PF04790,0.00,0.00,0.00,
PF04802,0.00,0.00,0.00,
PF04803,0.00,0.00,0.00,
PF04811,0.03,0.02,-0.01,-50.00
PF04815,0.00,0.00,0.00,
PF04819,0.00,0.00,0.00,
PF04824,0.00,0.00,0.00,
PF04826,0.00,0.00,0.00,
PF04841,0.00,0.00,0.00,
PF04845,0.08,0.08,0.00,0.00
PF04847,0.02,0.02,0.00,0.00
PF04849,0.00,0.00,0.00,
PF04857,0.00,0.00,0.00,
PF04908,0.03,0.04,0.01,25.00
PF04909,0.00,0.00,0.00,
PF04912,0.00,0.00,0.00,
PF04952,0.00,0.00,0.00,
PF04969,0.17,0.16,-0.01,-6.25
PF04970,0.01,0.00,-0.01,
PF04983,0.00,0.00,0.00,
PF04997,0.00,0.00,0.00,
PF04998,0.00,0.00,0.00,
PF05000,0.00,0.00,0.00,
PF05001,0.08,0.00,-0.08,
PF05004,0.00,0.00,0.00,
PF05008,0.00,0.00,0.00,
PF05039,0.00,0.00,0.00,
PF05063,0.05,0.06,0.01,16.67
PF05066,0.00,0.00,0.00,
PF05083,0.00,0.00,0.00,
PF05147,0.00,0.00,0.00,
PF05148,0.00,0.00,0.00,
PF05185,0.00,0.00,0.00,
PF05186,0.02,0.00,-0.02,
PF05188,0.13,0.08,-0.05,-62.50
PF05190,0.15,0.15,0.00,0.00
PF05193,0.16,0.16,0.00,0.00
PF05205,0.00,0.00,0.00,
PF05217,0.00,0.00,0.00,
PF05219,0.00,0.00,0.00,
PF05225,0.18,0.00,-0.18,
PF05250,0.00,0.00,0.00,
PF05279,0.00,0.00,0.00,
PF05287,0.21,0.20,-0.01,-5.00
PF05296,0.06,0.04,-0.02,-50.00
PF05300,0.00,0.00,0.00,
PF05308,0.00,0.00,0.00,
PF05337,0.00,0.00,0.00,
PF05347,0.00,0.00,0.00,
PF05350,0.00,0.00,0.00,
PF05399,0.00,0.00,0.00,
PF05406,0.01,0.01,0.00,0.00
PF05454,0.00,0.00,0.00,
PF05458,0.00,0.00,0.00,
PF05461,0.04,0.03,-0.01,-33.33
PF05470,0.00,0.00,0.00,
PF05474,0.00,0.00,0.00,
PF05477,0.00,0.00,0.00,
PF05478,0.02,0.01,-0.01,-100.00
PF05483,0.00,0.00,0.00,
PF05507,0.00,0.00,0.00,
PF05510,0.00,0.00,0.00,
PF05544,0.00,0.00,0.00,
PF05577,0.00,0.00,0.00,
PF05602,0.00,0.00,0.00,
PF05609,0.02,0.01,-0.01,-100.00
PF05622,0.00,0.00,0.00,
PF05648,0.12,0.09,-0.03,-33.33
PF05653,0.00,0.00,0.00,
PF05686,0.00,0.00,0.00,
PF05693,0.00,0.00,0.00,
PF05699,0.11,0.08,-0.03,-37.50
PF05706,0.00,0.00,0.00,
PF05716,0.00,0.00,0.00,
PF05721,0.10,0.17,0.07,41.18
PF05726,0.00,0.00,0.00,
PF05729,0.18,0.16,-0.02,-12.50
PF05739,0.02,0.00,-0.02,
PF05741,0.00,0.00,0.00,
PF05743,0.00,0.00,0.00,
PF05760,0.50,0.00,-0.50,
PF05770,0.00,0.00,0.00,
PF05773,0.40,0.31,-0.09,-29.03
PF05781,0.00,0.00,0.00,
PF05782,0.00,0.00,0.00,
PF05790,0.07,0.10,0.03,30.00
PF05793,0.00,0.00,0.00,
PF05804,0.00,0.00,0.00,
PF05805,0.00,0.00,0.00,
PF05817,0.00,0.00,0.00,
PF05831,0.05,0.05,0.00,0.00
PF05889,0.00,0.00,0.00,
PF05903,0.00,0.00,0.00,
PF05916,0.00,0.00,0.00,
PF05922,0.00,0.00,0.00,
PF05934,0.00,0.00,0.00,
PF05937,0.00,0.00,0.00,
PF05956,0.00,0.00,0.00,
PF05970,0.00,0.00,0.00,
PF05971,0.00,0.00,0.00,
PF05986,0.11,0.10,-0.01,-10.00
PF05995,0.00,0.00,0.00,
PF05997,0.00,0.00,0.00,
PF06008,0.02,0.02,0.00,0.00
PF06009,0.00,0.00,0.00,
PF06021,0.04,0.04,0.00,0.00
PF06027,0.00,0.00,0.00,
PF06046,0.05,0.05,0.00,0.00
PF06052,0.00,0.00,0.00,
PF06060,0.00,0.00,0.00,
PF06148,0.00,0.00,0.00,
PF06159,0.00,0.00,0.00,
PF06202,0.00,0.00,0.00,
PF06209,0.00,0.00,0.00,
PF06211,0.00,0.00,0.00,
PF06220,0.00,0.00,0.00,
PF06248,0.00,0.00,0.00,
PF06268,0.18,0.13,-0.05,-38.46
PF06309,0.01,0.01,0.00,0.00
PF06337,0.03,0.08,0.05,62.50
PF06367,0.00,0.00,0.00,
PF06388,0.00,0.00,0.00,
PF06393,0.00,0.00,0.00,
PF06396,0.00,0.00,0.00,
PF06407,0.00,0.00,0.00,
PF06409,0.00,0.00,0.00,
PF06456,0.01,0.00,-0.01,
PF06463,0.00,0.00,0.00,
PF06464,0.07,0.05,-0.02,-40.00
PF06467,0.17,0.07,-0.10,-142.86
PF06472,0.01,0.01,0.00,0.00
PF06473,0.16,0.17,0.01,5.88
PF06546,0.00,0.00,0.00,
PF06581,0.00,0.00,0.00,
PF06602,0.00,0.00,0.00,
PF06607,0.00,0.00,0.00,
PF06637,0.00,0.00,0.00,
PF06679,0.00,0.00,0.00,
PF06730,0.00,0.00,0.00,
PF06733,0.11,0.12,0.01,8.33
PF06747,0.08,0.04,-0.04,-100.00
PF06758,0.07,0.00,-0.07,
PF06777,0.00,0.00,0.00,
PF06809,0.00,0.00,0.00,
PF06817,0.00,0.00,0.00,
PF06839,0.10,0.03,-0.07,-233.33
PF06888,0.00,0.00,0.00,
PF06907,0.00,0.00,0.00,
PF06954,0.00,0.00,0.00,
PF06959,0.00,0.00,0.00,
PF06963,0.00,0.00,0.00,
PF06990,0.07,0.08,0.01,12.50
PF07002,0.03,0.02,-0.01,-50.00
PF07004,0.44,0.16,-0.28,-175.00
PF07010,0.00,0.00,0.00,
PF07034,0.00,0.00,0.00,
PF07096,0.00,0.00,0.00,
PF07106,0.00,0.00,0.00,
PF07139,0.00,0.00,0.00,
PF07140,0.00,0.00,0.00,
PF07145,0.00,0.00,0.00,
PF07163,0.00,0.00,0.00,
PF07225,0.00,0.00,0.00,
PF07263,0.00,0.00,0.00,
PF07292,0.02,0.02,0.00,0.00
PF07326,0.00,0.00,0.00,
PF07334,0.00,0.00,0.00,
PF07354,0.00,0.00,0.00,
PF07458,0.01,0.01,0.00,0.00
PF07521,0.00,0.00,0.00,
PF07522,0.00,0.00,0.00,
PF07524,0.08,0.04,-0.04,-100.00
PF07525,0.00,0.00,0.00,
PF07562,0.00,0.00,0.00,
PF07565,0.07,0.09,0.02,22.22
PF07645,0.15,0.10,-0.05,-50.00
PF07646,0.00,0.00,0.00,
PF07647,0.17,0.11,-0.06,-54.55
PF07648,0.12,0.10,-0.02,-20.00
PF07651,0.01,0.00,-0.01,
PF07653,0.16,0.15,-0.01,-6.67
PF07654,0.23,0.09,-0.14,-155.56
PF07670,0.01,0.00,-0.01,
PF07678,0.08,0.07,-0.01,-14.29
PF07679,0.50,0.04,-0.46,-1150.00
PF07686,0.29,0.20,-0.09,-45.00
PF07699,0.05,0.05,0.00,0.00
PF07707,0.05,0.02,-0.03,-150.00
PF07714,0.37,0.35,-0.02,-5.71
PF07716,0.06,0.01,-0.05,-500.00
PF07717,0.21,0.19,-0.02,-10.53
PF07728,0.12,0.00,-0.12,
PF07738,0.09,0.07,-0.02,-28.57
PF07744,0.00,0.00,0.00,
PF07748,0.06,0.06,0.00,0.00
PF07773,0.27,0.08,-0.19,-237.50
PF07776,0.00,0.00,0.00,
PF07819,0.00,0.00,0.00,
PF07842,0.00,0.00,0.00,
PF07847,0.00,0.00,0.00,
PF07857,0.00,0.00,0.00,
PF07885,0.13,0.00,-0.13,
PF07888,0.00,0.00,0.00,
PF07894,0.00,0.00,0.00,
PF07915,0.09,0.08,-0.01,-12.50
PF07942,0.00,0.00,0.00,
PF07947,0.00,0.00,0.00,
PF07959,0.00,0.00,0.00,
PF07974,0.11,0.00,-0.11,
PF07984,0.00,0.00,0.00,
PF07986,0.00,0.00,0.00,
PF08007,0.07,0.03,-0.04,-133.33
PF08016,0.00,0.00,0.00,
PF08032,0.00,0.00,0.00,
PF08033,0.13,0.13,0.00,0.00
PF08038,0.00,0.00,0.00,
PF08040,0.00,0.00,0.00,
PF08070,0.00,0.00,0.00,
PF08081,0.00,0.00,0.00,
PF08180,0.00,0.00,0.00,
PF08190,0.00,0.00,0.00,
PF08202,0.00,0.00,0.00,
PF08204,0.00,0.00,0.00,
PF08205,0.30,0.14,-0.16,-114.29
PF08238,0.27,0.09,-0.18,-200.00
PF08264,0.16,0.12,-0.04,-33.33
PF08266,0.03,0.00,-0.03,
PF08271,0.10,0.07,-0.03,-42.86
PF08327,0.00,0.00,0.00,
PF08357,0.07,0.07,0.00,0.00
PF08373,0.00,0.00,0.00,
PF08377,0.00,0.00,0.00,
PF08385,0.00,0.00,0.00,
PF08389,0.15,0.14,-0.01,-7.14
PF08397,0.04,0.04,0.00,0.00
PF08416,0.06,0.04,-0.02,-50.00
PF08430,0.10,0.08,-0.02,-25.00
PF08433,0.00,0.00,0.00,
PF08434,0.00,0.00,0.00,
PF08441,0.05,0.03,-0.02,-66.67
PF08444,0.00,0.00,0.00,
PF08447,0.12,0.00,-0.12,
PF08466,0.00,0.00,0.00,
PF08491,0.00,0.00,0.00,
PF08513,0.00,0.00,0.00,
PF08516,0.00,0.00,0.00,
PF08526,0.00,0.00,0.00,
PF08527,0.00,0.00,0.00,
PF08540,0.00,0.00,0.00,
PF08551,0.00,0.00,0.00,
PF08558,0.03,0.02,-0.01,-50.00
PF08568,0.00,0.00,0.00,
PF08583,0.00,0.00,0.00,
PF08604,0.00,0.00,0.00,
PF08615,0.00,0.00,0.00,
PF08629,0.00,0.00,0.00,
PF08641,0.00,0.00,0.00,
PF08646,0.00,0.00,0.00,
PF08661,0.00,0.00,0.00,
PF08662,0.03,0.03,0.00,0.00
PF08675,0.00,0.00,0.00,
PF08688,0.00,0.00,0.00,
PF08709,0.00,0.00,0.00,
PF08726,0.02,0.02,0.00,0.00
PF08742,0.11,0.17,0.06,35.29
PF08743,0.00,0.00,0.00,
PF08774,0.00,0.00,0.00,
PF08777,0.05,0.05,0.00,0.00
PF08784,0.00,0.00,0.00,
PF08797,0.00,0.00,0.00,
PF08801,0.00,0.00,0.00,
PF08824,0.00,0.00,0.00,
PF08826,0.00,0.00,0.00,
PF08840,0.01,0.00,-0.01,
PF08913,0.00,0.00,0.00,
PF08916,0.00,0.00,0.00,
PF08952,0.04,0.02,-0.02,-100.00
PF08976,0.23,0.00,-0.23,
PF08997,0.00,0.00,0.00,
PF09004,0.00,0.00,0.00,
PF09006,0.00,0.00,0.00,
PF09011,0.00,0.00,0.00,
PF09030,0.00,0.00,0.00,
PF09038,0.00,0.00,0.00,
PF09067,0.02,0.02,0.00,0.00
PF09069,0.00,0.00,0.00,
PF09085,0.00,0.00,0.00,
PF09128,0.00,0.00,0.00,
PF09162,0.00,0.00,0.00,
PF09169,0.00,0.00,0.00,
PF09170,0.00,0.00,0.00,
PF09240,0.06,0.06,0.00,0.00
PF09256,0.00,0.00,0.00,
PF09258,0.00,0.00,0.00,
PF09261,0.08,0.03,-0.05,-166.67
PF09291,0.00,0.00,0.00,
PF09294,0.10,0.09,-0.01,-11.11
PF09309,0.00,0.00,0.00,
PF09325,0.00,0.00,0.00,
PF09332,0.00,0.00,0.00,
PF09358,0.00,0.00,0.00,
PF09379,0.04,0.02,-0.02,-100.00
PF09380,0.15,0.12,-0.03,-25.00
PF09422,0.48,0.24,-0.24,-100.00
PF09439,0.00,0.00,0.00,
PF09457,0.10,0.10,0.00,0.00
PF09469,0.00,0.00,0.00,
PF09514,0.00,0.00,0.00,
PF09532,0.00,0.00,0.00,
PF09727,0.00,0.00,0.00,
PF09766,0.00,0.00,0.00,
PF09772,0.00,0.00,0.00,
PF09787,0.00,0.00,0.00,
PF09809,0.00,0.00,0.00,
PF09811,0.00,0.00,0.00,
PF09812,0.00,0.00,0.00,
PF09815,0.00,0.00,0.00,
PF10034,0.06,0.06,0.00,0.00
PF10151,0.00,0.00,0.00,
PF10184,0.00,0.00,0.00,
PF10186,0.00,0.00,0.00,
PF10192,0.00,0.00,0.00,
PF10226,0.00,0.00,0.00,
PF10242,0.00,0.00,0.00,
PF10243,0.00,0.00,0.00,
PF10257,0.00,0.00,0.00,
PF10262,0.00,0.00,0.00,
PF10263,0.00,0.00,0.00,
PF10265,0.00,0.00,0.00,
PF10277,0.00,0.00,0.00,
PF10278,0.00,0.00,0.00,
PF10300,0.00,0.00,0.00,
PF10344,0.00,0.00,0.00,
PF10367,0.00,0.00,0.00,
PF10376,0.00,0.00,0.00,
PF10392,0.00,0.00,0.00,
PF10401,0.03,0.05,0.02,40.00
PF10409,0.02,0.02,0.00,0.00
PF10420,0.00,0.00,0.00,
PF10427,0.18,0.11,-0.07,-63.64
PF10472,0.00,0.00,0.00,
PF10488,0.00,0.00,0.00,
PF10500,0.00,0.00,0.00,
PF10508,0.00,0.00,0.00,
PF10565,0.00,0.00,0.00,
PF10591,0.00,0.00,0.00,
PF10607,0.36,0.38,0.02,5.26
PF10609,0.00,0.00,0.00,
PF10630,0.00,0.00,0.00,
PF10631,0.00,0.00,0.00,
PF11109,0.00,0.00,0.00,
PF11235,0.00,0.00,0.00,
PF11465,0.00,0.00,0.00,
PF11510,0.00,0.00,0.00,
PF11526,0.00,0.00,0.00,
PF11560,0.00,0.00,0.00,
PF11598,0.00,0.00,0.00,
PF11699,0.00,0.00,0.00,
PF11759,0.27,0.33,0.06,18.18
PF11788,0.00,0.00,0.00,
PF11789,0.00,0.00,0.00,
PF11802,0.00,0.00,0.00,
PF11819,0.00,0.00,0.00,
PF11838,0.00,0.00,0.00,
PF11933,0.00,0.00,0.00,
PF11971,0.00,0.00,0.00,
PF11977,0.03,0.02,-0.01,-50.00
PF12004,0.00,0.00,0.00,
PF12047,0.00,0.00,0.00,
PF12160,0.00,0.00,0.00,
PF12171,0.02,0.00,-0.02,
PF12201,0.00,0.00,0.00,
PF12231,0.00,0.00,0.00,
PF12260,0.00,0.00,0.00,
PF12297,0.00,0.00,0.00,
PF12304,0.00,0.00,0.00,
PF12349,0.00,0.00,0.00,
PF12424,0.22,0.00,-0.22,
PF12440,0.12,0.06,-0.06,-100.00
PF12480,0.01,0.00,-0.01,
PF12548,0.30,0.00,-0.30,
PF12569,0.00,0.00,0.00,
PF12657,0.00,0.00,0.00,
PF12661,0.21,0.12,-0.09,-75.00
PF12662,0.01,0.12,0.11,91.67
PF12738,0.00,0.00,0.00,
PF12770,0.00,0.00,0.00,
PF12777,0.00,0.00,0.00,
PF12796,0.09,0.00,-0.09,
PF12799,0.00,0.00,0.00,
PF12851,0.00,0.00,0.00,
PF12861,0.00,0.00,0.00,
PF12872,0.14,0.02,-0.12,-600.00
PF12874,0.06,0.00,-0.06,
PF12877,0.00,0.00,0.00,
PF12885,0.00,0.00,0.00,
PF12906,0.00,0.00,0.00,
PF12937,0.02,0.04,0.02,50.00
PF12947,0.11,0.03,-0.08,-266.67
PF12998,0.00,0.00,0.00,
PF13086,0.00,0.00,0.00,
PF13087,0.00,0.00,0.00,
PF13088,0.00,0.00,0.00,
PF13193,0.04,0.07,0.03,42.86
PF13240,0.00,0.00,0.00,
PF13279,0.00,0.00,0.00,
PF13324,0.00,0.00,0.00,
PF13330,0.04,0.00,-0.04,
PF13365,0.00,0.00,0.00,
PF13378,0.00,0.00,0.00,
PF13402,0.00,0.00,0.00,
PF13410,0.00,0.00,0.00,
PF13450,0.00,0.00,0.00,
PF13499,0.07,0.03,-0.04,-133.33
PF13513,0.00,0.06,0.06,100.00
PF13517,0.00,0.04,0.04,100.00
PF13679,0.00,0.00,0.00,
PF13691,0.00,0.00,0.00,
PF13725,0.00,0.00,0.00,
PF13757,0.01,0.00,-0.01,
PF13765,0.05,0.05,0.00,0.00
PF13804,0.00,0.00,0.00,
PF13831,0.00,0.00,0.00,
PF13832,0.00,0.00,0.00,
PF13833,0.00,0.00,0.00,
PF13837,0.00,0.00,0.00,
PF13840,0.00,0.00,0.00,
PF13841,0.03,0.02,-0.01,-50.00
PF13842,0.00,0.00,0.00,
PF13843,0.09,0.09,0.00,0.00
PF13848,0.04,0.04,0.00,0.00
PF13853,0.00,0.00,0.00,
PF13855,0.03,0.00,-0.03,
PF13862,0.00,0.00,0.00,
PF13868,0.01,0.00,-0.01,
PF13873,0.02,0.01,-0.01,-100.00
PF13883,0.02,0.00,-0.02,
PF13885,0.13,0.15,0.02,13.33
PF13895,0.35,0.27,-0.08,-29.63
PF13897,0.00,0.00,0.00,
PF13899,0.00,0.00,0.00,
PF13903,0.00,0.00,0.00,
PF13905,0.00,0.00,0.00,
PF13908,0.21,0.14,-0.07,-50.00
PF13911,0.09,0.07,-0.02,-28.57
PF13913,0.11,0.00,-0.11,
PF13914,0.00,0.00,0.00,
PF13916,0.00,0.00,0.00,
PF13920,0.10,0.06,-0.04,-66.67
PF13923,0.00,0.00,0.00,
PF13927,0.21,0.12,-0.09,-75.00
PF14160,0.00,0.00,0.00,
PF14260,0.00,0.00,0.00,
PF14306,0.01,0.00,-0.01,
PF14360,0.00,0.00,0.00,
PF14493,0.00,0.00,0.00,
PF14523,0.00,0.00,0.00,
PF14565,0.00,0.00,0.00,
PF14572,0.00,0.00,0.00,
PF14596,0.00,0.00,0.00,
PF14631,0.00,0.00,0.00,
PF14634,0.00,0.00,0.00,
PF14635,0.00,0.00,0.00,
PF14639,0.00,0.00,0.00,
PF14642,0.64,0.00,-0.64,
PF14643,0.00,0.00,0.00,
PF14648,0.00,0.00,0.00,
PF14650,0.05,0.05,0.00,0.00
PF14651,0.00,0.00,0.00,
PF14654,0.00,0.00,0.00,
PF14670,0.00,0.00,0.00,
PF14694,0.00,0.00,0.00,
PF14701,0.00,0.00,0.00,
PF14707,0.11,0.11,0.00,0.00
PF14713,0.00,0.00,0.00,
PF14724,0.00,0.00,0.00,
PF14749,0.00,0.00,0.00,
PF14787,0.00,0.00,0.00,
PF14797,0.00,0.00,0.00,
PF14800,0.00,0.00,0.00,
PF14816,0.00,0.00,0.00,
PF14817,0.00,0.00,0.00,
PF14818,0.00,0.00,0.00,
PF14828,0.00,0.00,0.00,
PF14836,0.09,0.09,0.00,0.00
PF14858,0.00,0.00,0.00,
PF14880,0.00,0.00,0.00,
PF14893,0.00,0.00,0.00,
PF14915,0.00,0.00,0.00,
PF14922,0.00,0.00,0.00,
PF14925,0.00,0.00,0.00,
PF14932,0.00,0.00,0.00,
PF14933,0.00,0.00,0.00,
PF14950,0.00,0.00,0.00,
PF14951,0.00,0.00,0.00,
PF14957,0.00,0.00,0.00,
PF14958,0.00,0.00,0.00,
PF14967,0.00,0.00,0.00,
PF14969,0.00,0.00,0.00,
PF14977,0.00,0.00,0.00,
PF14979,0.00,0.00,0.00,
PF14985,0.00,0.00,0.00,
PF14986,0.00,0.00,0.00,
PF14988,0.03,0.03,0.00,0.00
PF14992,0.02,0.02,0.00,0.00
PF15005,0.02,0.02,0.00,0.00
PF15015,0.00,0.00,0.00,
PF15020,0.00,0.00,0.00,
PF15030,0.00,0.00,0.00,
PF15032,0.00,0.00,0.00,
PF15037,0.00,0.00,0.00,
PF15039,0.00,0.00,0.00,
PF15040,0.00,0.00,0.00,
PF15050,0.00,0.00,0.00,
PF15057,0.00,0.00,0.00,
PF15058,0.00,0.00,0.00,
PF15068,0.00,0.00,0.00,
PF15070,0.00,0.00,0.00,
PF15079,0.00,0.00,0.00,
PF15080,0.00,0.00,0.00,
PF15081,0.00,0.00,0.00,
PF15083,0.00,0.00,0.00,
PF15095,0.00,0.00,0.00,
PF15101,0.00,0.00,0.00,
PF15102,0.00,0.00,0.00,
PF15105,0.00,0.00,0.00,
PF15136,0.00,0.00,0.00,
PF15141,0.00,0.00,0.00,
PF15142,0.00,0.00,0.00,
PF15143,0.38,0.00,-0.38,
PF15149,0.00,0.00,0.00,
PF15160,0.00,0.00,0.00,
PF15164,0.00,0.00,0.00,
PF15165,0.00,0.00,0.00,
PF15174,0.00,0.00,0.00,
PF15177,0.05,0.04,-0.01,-25.00
PF15180,0.00,0.00,0.00,
PF15192,0.00,0.00,0.00,
PF15195,0.00,0.00,0.00,
PF15199,0.00,0.00,0.00,
PF15201,0.00,0.00,0.00,
PF15202,0.00,0.00,0.00,
PF15205,0.00,0.00,0.00,
PF15206,0.00,0.00,0.00,
PF15209,0.00,0.00,0.00,
PF15215,0.00,0.00,0.00,
PF15218,0.00,0.00,0.00,
PF15227,0.00,0.00,0.00,
PF15231,0.00,0.00,0.00,
PF15255,0.00,0.00,0.00,
PF15268,0.00,0.00,0.00,
PF15274,0.00,0.00,0.00,
PF15288,0.00,0.00,0.00,
PF15291,0.00,0.00,0.00,
PF15292,0.00,0.00,0.00,
PF15314,0.00,0.00,0.00,
PF15315,0.00,0.00,0.00,
PF15319,0.00,0.00,0.00,
PF15324,0.00,0.00,0.00,
PF15334,0.00,0.00,0.00,
PF15338,0.00,0.00,0.00,
PF15339,0.00,0.00,0.00,
PF15347,0.00,0.00,0.00,
PF15351,0.00,0.00,0.00,
PF15352,0.00,0.00,0.00,
PF15357,0.00,0.00,0.00,
PF15371,0.00,0.00,0.00,
PF15372,0.00,0.00,0.00,
PF15379,0.00,0.00,0.00,
PF15384,0.00,0.00,0.00,
PF15390,0.00,0.00,0.00,
PF15391,0.00,0.00,0.00,
PF15393,0.00,0.00,0.00,
PF15395,0.00,0.00,0.00,
PF15399,0.00,0.00,0.00,
PF15412,0.00,0.00,0.00,
PF15419,0.00,0.00,0.00,
PF15423,0.00,0.00,0.00,
PF15429,0.00,0.00,0.00,
PF15439,0.00,0.00,0.00,
PF15440,0.00,0.00,0.00,
PF15441,0.00,0.00,0.00,
PF15455,0.00,0.00,0.00,
PF15462,0.00,0.00,0.00,
PF15471,0.00,0.00,0.00,
PF15482,0.00,0.00,0.00,
PF15483,0.00,0.00,0.00,
PF15485,0.00,0.00,0.00,
PF15489,0.00,0.00,0.00,
PF15506,0.00,0.00,0.00,
PF15508,0.00,0.00,0.00,
PF15539,0.00,0.00,0.00,
PF15554,0.00,0.00,0.00,
PF15557,0.00,0.00,0.00,
PF15578,0.00,0.00,0.00,
PF15621,0.00,0.00,0.00,
PF15622,0.00,0.00,0.00,
PF15664,0.00,0.00,0.00,
PF15670,0.00,0.00,0.00,
PF15681,0.00,0.00,0.00,
PF15687,0.00,0.00,0.00,
PF15688,0.00,0.00,0.00,
PF15695,0.00,0.00,0.00,
PF15710,0.00,0.00,0.00,
PF15721,0.00,0.00,0.00,
PF15727,0.00,0.00,0.00,
PF15729,0.00,0.00,0.00,
PF15741,0.00,0.00,0.00,
PF15746,0.00,0.00,0.00,
PF15754,0.00,0.00,0.00,
PF15758,0.00,0.00,0.00,
PF15769,0.00,0.00,0.00,
PF15776,0.00,0.00,0.00,
PF15783,0.44,0.00,-0.44,
PF15788,0.33,0.05,-0.28,-560.00
PF15789,0.00,0.00,0.00,
PF15790,0.00,0.00,0.00,
PF15807,0.00,0.00,0.00,
PF15816,0.00,0.00,0.00,
PF15817,0.00,0.00,0.00,
PF15821,0.00,0.00,0.00,
PF15830,0.00,0.00,0.00,
PF15838,0.00,0.00,0.00,
PF15841,0.00,0.00,0.00,
PF15843,0.00,0.00,0.00,
PF15845,0.00,0.00,0.00,
PF15847,0.00,0.00,0.00,
PF15849,0.00,0.00,0.00,
PF15855,0.00,0.00,0.00,
PF15873,0.00,0.00,0.00,
PF15874,0.04,0.04,0.00,0.00
PF15875,0.00,0.00,0.00,
PF15876,0.00,0.00,0.00,
PF15895,0.00,0.00,0.00,
PF15897,0.00,0.00,0.00,
PF15902,0.00,0.00,0.00,
PF15903,0.00,0.00,0.00,
PF15908,0.00,0.00,0.00,
PF15909,0.00,0.00,0.00,
PF15910,0.00,0.00,0.00,
PF15913,0.00,0.00,0.00,
PF15961,0.00,0.00,0.00,
PF15964,0.00,0.00,0.00,
PF15974,0.00,0.00,0.00,
PF16006,0.00,0.00,0.00,
PF16076,0.00,0.00,0.00,
PF16094,0.00,0.00,0.00,
PF16177,0.00,0.00,0.00,
PF16182,0.50,0.00,-0.50,
PF16207,0.00,0.00,0.00,
PF16208,0.00,0.00,0.00,
PF16210,0.00,0.00,0.00,
PF16214,0.00,0.00,0.00,
PF16317,0.00,0.00,0.00,
PF16360,0.00,0.00,0.00,
PF16474,0.00,0.00,0.00,
