Pfam_code,REC_gaps,FULL_gaps,REC_vs_FULL_gaps_diff,REC_vs_FULL_gaps_%_improvement
PF00995,0.17,0.15,-0.02,-13.33
PF00996,0.44,0.40,-0.04,-10.00
PF00997,0.00,0.00,0.00,
PF00999,0.08,0.07,-0.01,-14.29
PF01000,0.04,0.01,-0.03,-300.00
PF01007,0.01,0.01,0.00,0.00
PF01008,0.01,0.01,0.00,0.00
PF01012,0.07,0.06,-0.01,-16.67
PF01015,0.00,0.00,0.00,
PF01016,0.00,0.00,0.00,
PF01017,0.11,0.11,0.00,0.00
PF01018,0.22,0.18,-0.04,-22.22
PF01019,0.28,0.29,0.01,3.45
PF01020,0.00,0.00,0.00,
PF01023,0.06,0.05,-0.01,-20.00
PF01025,0.05,0.05,0.00,0.00
PF01026,0.03,0.02,-0.01,-50.00
PF01027,0.03,0.03,0.00,0.00
PF01028,0.00,0.00,0.00,
PF01030,0.04,0.03,-0.01,-33.33
PF01031,0.01,0.01,0.00,0.00
PF01033,0.05,0.03,-0.02,-66.67
PF01034,0.18,0.18,0.00,0.00
PF01035,0.00,0.00,0.00,
PF01039,0.04,0.03,-0.01,-33.33
PF01040,0.04,0.02,-0.02,-100.00
PF01042,0.00,0.00,0.00,
PF01044,0.45,0.60,0.15,25.00
PF01048,0.04,0.04,0.00,0.00
PF01049,0.03,0.02,-0.01,-50.00
PF01053,0.00,0.00,0.00,
PF01055,0.12,0.03,-0.09,-300.00
PF01056,0.57,0.45,-0.12,-26.67
PF01058,0.00,0.00,0.00,
PF01059,0.00,0.00,0.00,
PF01061,0.01,0.01,0.00,0.00
PF01062,0.00,0.02,0.02,100.00
PF01063,0.00,0.01,0.01,100.00
PF01064,0.10,0.12,0.02,16.67
PF01066,0.23,0.13,-0.10,-76.92
PF01067,0.06,0.07,0.01,14.29
PF01068,0.02,0.02,0.00,0.00
PF01070,0.02,0.02,0.00,0.00
PF01071,0.00,0.00,0.00,
PF01073,0.05,0.04,-0.01,-25.00
PF01074,0.02,0.03,0.01,33.33
PF01079,0.02,0.02,0.00,0.00
PF01080,0.40,0.41,0.01,2.44
PF01082,0.06,0.06,0.00,0.00
PF01084,0.01,0.01,0.00,0.00
PF01085,0.00,0.00,0.00,
PF01086,0.04,0.04,0.00,0.00
PF01087,0.00,0.00,0.00,
PF01088,0.05,0.05,0.00,0.00
PF01090,0.00,0.00,0.00,
PF01091,0.04,0.04,0.00,0.00
PF01092,0.00,0.00,0.00,
PF01093,0.02,0.03,0.01,33.33
PF01094,0.12,0.11,-0.01,-9.09
PF01096,0.03,0.02,-0.01,-50.00
PF01099,0.03,0.03,0.00,0.00
PF01101,0.05,0.04,-0.01,-25.00
PF01102,0.23,0.21,-0.02,-9.52
PF01103,0.00,0.00,0.00,
PF01105,0.03,0.03,0.00,0.00
PF01106,0.00,0.00,0.00,
PF01108,0.15,0.07,-0.08,-114.29
PF01109,0.00,0.00,0.00,
PF01110,0.00,0.00,0.00,
PF01111,0.00,0.00,0.00,
PF01112,0.10,0.10,0.00,0.00
PF01114,0.00,0.00,0.00,
PF01115,0.00,0.00,0.00,
PF01119,0.21,0.07,-0.14,-200.00
PF01120,0.01,0.01,0.00,0.00
PF01121,0.01,0.01,0.00,0.00
PF01122,0.04,0.03,-0.01,-33.33
PF01124,0.10,0.09,-0.01,-11.11
PF01125,0.00,0.00,0.00,
PF01126,0.00,0.00,0.00,
PF01127,0.00,0.00,0.00,
PF01128,0.00,0.00,0.00,
PF01129,0.02,0.02,0.00,0.00
PF01130,0.03,0.03,0.00,0.00
PF01131,0.01,0.01,0.00,0.00
PF01133,0.00,0.00,0.00,
PF01134,0.00,0.00,0.00,
PF01135,0.04,0.03,-0.01,-33.33
PF01137,0.50,0.01,-0.49,-4900.00
PF01138,0.04,0.05,0.01,20.00
PF01139,0.00,0.00,0.00,
PF01142,0.03,0.03,0.00,0.00
PF01144,0.06,0.06,0.00,0.00
PF01145,0.05,0.05,0.00,0.00
PF01146,0.03,0.02,-0.01,-50.00
PF01148,0.00,0.00,0.00,
PF01149,0.00,0.00,0.00,
PF01150,0.07,0.06,-0.01,-16.67
PF01151,0.05,0.04,-0.01,-25.00
PF01153,0.07,0.05,-0.02,-40.00
PF01154,0.00,0.00,0.00,
PF01157,0.00,0.00,0.00,
PF01158,0.00,0.00,0.00,
PF01159,0.00,0.00,0.00,
PF01160,0.01,0.01,0.00,0.00
PF01161,0.19,0.24,0.05,20.83
PF01163,0.04,0.03,-0.01,-33.33
PF01165,0.00,0.00,0.00,
PF01166,0.03,0.03,0.00,0.00
PF01167,0.16,0.18,0.02,11.11
PF01168,0.00,0.00,0.00,
PF01169,0.02,0.01,-0.01,-100.00
PF01170,0.23,0.23,0.00,0.00
PF01171,0.00,0.00,0.00,
PF01172,0.00,0.00,0.00,
PF01175,0.00,0.00,0.00,
PF01176,0.02,0.02,0.00,0.00
PF01179,0.01,0.02,0.01,50.00
PF01180,0.02,0.03,0.01,33.33
PF01182,0.08,0.06,-0.02,-33.33
PF01186,0.02,0.02,0.00,0.00
PF01187,0.06,0.06,0.00,0.00
PF01189,0.18,0.17,-0.01,-5.88
PF01191,0.00,0.00,0.00,
PF01192,0.00,0.00,0.00,
PF01193,0.48,0.00,-0.48,
PF01194,0.00,0.00,0.00,
PF01195,0.00,0.00,0.00,
PF01196,0.00,0.00,0.00,
PF01198,0.00,0.00,0.00,
PF01199,0.00,0.00,0.00,
PF01200,0.00,0.00,0.00,
PF01201,0.02,0.01,-0.01,-100.00
PF01202,0.25,0.16,-0.09,-56.25
PF01204,0.00,0.00,0.00,
PF01205,0.00,0.00,0.00,
PF01207,0.05,0.04,-0.01,-25.00
PF01208,0.00,0.00,0.00,
PF01209,0.00,0.00,0.00,
PF01210,0.00,0.00,0.00,
PF01212,0.00,0.00,0.00,
PF01213,0.23,0.02,-0.21,-1050.00
PF01214,0.00,0.00,0.00,
PF01215,0.00,0.00,0.00,
PF01216,0.01,0.01,0.00,0.00
PF01217,0.09,0.05,-0.04,-80.00
PF01218,0.00,0.00,0.00,
PF01221,0.02,0.02,0.00,0.00
PF01222,0.08,0.09,0.01,11.11
PF01223,0.19,0.15,-0.04,-26.67
PF01227,0.00,0.00,0.00,
PF01229,0.00,0.00,0.00,
PF01230,0.05,0.04,-0.01,-25.00
PF01231,0.01,0.01,0.00,0.00
PF01233,0.00,0.00,0.00,
PF01234,0.00,0.01,0.01,100.00
PF01237,0.27,0.33,0.06,18.18
PF01238,0.00,0.00,0.00,
PF01239,0.11,0.06,-0.05,-83.33
PF01242,0.00,0.00,0.00,
PF01243,0.00,0.00,0.00,
PF01244,0.01,0.01,0.00,0.00
PF01245,0.00,0.00,0.00,
PF01246,0.02,0.01,-0.01,-100.00
PF01247,0.00,0.00,0.00,
PF01248,0.11,0.05,-0.06,-120.00
PF01249,0.00,0.00,0.00,
PF01250,0.00,0.00,0.00,
PF01251,0.00,0.00,0.00,
PF01253,0.04,0.05,0.01,20.00
PF01254,0.00,0.00,0.00,
PF01255,0.30,0.26,-0.04,-15.38
PF01256,0.00,0.00,0.00,
PF01257,0.00,0.00,0.00,
PF01259,0.00,0.00,0.00,
PF01261,0.00,0.00,0.00,
PF01262,0.00,0.00,0.00,
PF01263,0.00,0.00,0.00,
PF01265,0.00,0.00,0.00,
PF01266,0.07,0.07,0.00,0.00
PF01267,0.02,0.02,0.00,0.00
PF01268,0.00,0.00,0.00,
PF01269,0.00,0.00,0.00,
PF01271,0.13,0.32,0.19,59.38
PF01273,0.12,0.09,-0.03,-33.33
PF01275,0.00,0.01,0.01,100.00
PF01279,0.32,0.31,-0.01,-3.23
PF01280,0.00,0.00,0.00,
PF01281,0.00,0.00,0.00,
PF01282,0.00,0.00,0.00,
PF01283,0.00,0.00,0.00,
PF01284,0.07,0.10,0.03,30.00
PF01285,0.00,0.00,0.00,
PF01286,0.00,0.00,0.00,
PF01287,0.00,0.00,0.00,
PF01290,0.02,0.00,-0.02,
PF01291,0.02,0.02,0.00,0.00
PF01294,0.00,0.00,0.00,
PF01296,0.27,0.27,0.00,0.00
PF01299,0.06,0.03,-0.03,-100.00
PF01300,0.00,0.00,0.00,
PF01301,0.01,0.01,0.00,0.00
PF01302,0.03,0.03,0.00,0.00
PF01315,0.03,0.03,0.00,0.00
PF01321,0.05,0.02,-0.03,-150.00
PF01323,0.00,0.00,0.00,
PF01327,0.00,0.00,0.00,
PF01329,0.01,0.00,-0.01,
PF01331,0.00,0.00,0.00,
PF01335,0.06,0.03,-0.03,-100.00
PF01336,0.06,0.06,0.00,0.00
PF01342,0.09,0.08,-0.01,-12.50
PF01344,0.09,0.07,-0.02,-28.57
PF01347,0.07,0.06,-0.01,-16.67
PF01351,0.00,0.00,0.00,
PF01352,0.03,0.03,0.00,0.00
PF01359,0.00,0.00,0.00,
PF01363,0.11,0.09,-0.02,-22.22
PF01365,0.12,0.11,-0.01,-9.09
PF01368,0.00,0.00,0.00,
PF01369,0.06,0.05,-0.01,-20.00
PF01370,0.20,0.20,0.00,0.00
PF01379,0.00,0.00,0.00,
PF01380,0.03,0.03,0.00,0.00
PF01381,0.00,0.00,0.00,
PF01384,0.00,0.00,0.00,
PF01387,0.08,0.07,-0.01,-14.29
PF01388,0.04,0.06,0.02,33.33
PF01390,0.12,0.10,-0.02,-20.00
PF01391,0.09,0.07,-0.02,-28.57
PF01392,0.05,0.09,0.04,44.44
PF01393,0.01,0.00,-0.01,
PF01394,0.05,0.04,-0.01,-25.00
PF01396,0.00,0.00,0.00,
PF01398,0.08,0.09,0.01,11.11
PF01399,0.11,0.05,-0.06,-120.00
PF01400,0.02,0.01,-0.01,-100.00
PF01401,0.01,0.00,-0.01,
PF01403,0.09,0.08,-0.01,-12.50
PF01404,0.02,0.03,0.01,33.33
PF01406,0.01,0.01,0.00,0.00
PF01408,0.11,0.08,-0.03,-37.50
PF01409,0.38,0.38,0.00,0.00
PF01410,0.26,0.26,0.00,0.00
PF01411,0.01,0.01,0.00,0.00
PF01412,0.04,0.04,0.00,0.00
PF01413,0.04,0.04,0.00,0.00
PF01414,0.01,0.01,0.00,0.00
PF01415,0.00,0.00,0.00,
PF01416,0.04,0.04,0.00,0.00
PF01417,0.03,0.03,0.00,0.00
PF01419,0.00,0.00,0.00,
PF01421,0.05,0.05,0.00,0.00
PF01422,0.14,0.12,-0.02,-16.67
PF01423,0.06,0.04,-0.02,-50.00
PF01424,0.10,0.08,-0.02,-25.00
PF01425,0.04,0.04,0.00,0.00
PF01426,0.06,0.05,-0.01,-20.00
PF01428,0.09,0.06,-0.03,-50.00
PF01429,0.11,0.10,-0.01,-10.00
PF01431,0.02,0.02,0.00,0.00
PF01432,0.02,0.01,-0.01,-100.00
PF01433,0.06,0.05,-0.01,-20.00
PF01434,0.03,0.03,0.00,0.00
PF01435,0.07,0.05,-0.02,-40.00
PF01436,0.03,0.02,-0.01,-50.00
PF01437,0.17,0.14,-0.03,-21.43
PF01442,0.16,0.18,0.02,11.11
PF01448,0.04,0.03,-0.01,-33.33
PF01451,0.00,0.00,0.00,
PF01454,0.23,0.30,0.07,23.33
PF01457,0.67,0.66,-0.01,-1.52
PF01459,0.02,0.03,0.01,33.33
PF01462,0.03,0.03,0.00,0.00
PF01463,0.05,0.04,-0.01,-25.00
PF01465,0.04,0.03,-0.01,-33.33
PF01466,0.00,0.00,0.00,
PF01467,0.14,0.10,-0.04,-40.00
PF01470,0.15,0.15,0.00,0.00
PF01471,0.07,0.06,-0.01,-16.67
PF01472,0.02,0.01,-0.01,-100.00
PF01476,0.11,0.08,-0.03,-37.50
PF01477,0.12,0.10,-0.02,-20.00
PF01479,0.03,0.03,0.00,0.00
PF01480,0.07,0.07,0.00,0.00
PF01483,0.01,0.00,-0.01,
PF01485,0.06,0.20,0.14,70.00
PF01490,0.18,0.17,-0.01,-5.88
PF01491,0.00,0.00,0.00,
PF01494,0.71,0.70,-0.01,-1.43
PF01496,0.02,0.03,0.01,33.33
PF01500,0.42,0.55,0.13,23.64
PF01501,0.27,0.17,-0.10,-58.82
PF01504,0.16,0.14,-0.02,-14.29
PF01505,0.02,0.04,0.02,50.00
PF01507,0.00,0.50,0.50,100.00
PF01509,0.10,0.09,-0.01,-11.11
PF01510,0.12,0.09,-0.03,-33.33
PF01512,0.00,0.00,0.00,
PF01513,0.00,0.00,0.00,
PF01521,0.01,0.02,0.01,50.00
PF01529,0.05,0.05,0.00,0.00
PF01530,0.02,0.01,-0.01,-100.00
PF01531,0.00,0.00,0.00,
PF01532,0.05,0.06,0.01,16.67
PF01534,0.02,0.02,0.00,0.00
PF01535,0.21,0.11,-0.10,-90.91
PF01536,0.00,0.00,0.00,
PF01541,0.00,0.00,0.00,
PF01545,0.04,0.07,0.03,42.86
PF01546,0.56,0.07,-0.49,-700.00
PF01549,0.00,0.00,0.00,
PF01551,0.00,0.00,0.00,
PF01553,0.12,0.11,-0.01,-9.09
PF01554,0.04,0.04,0.00,0.00
PF01556,0.33,0.02,-0.31,-1550.00
PF01557,0.04,0.05,0.01,20.00
PF01562,0.19,0.14,-0.05,-35.71
PF01564,0.16,0.14,-0.02,-14.29
PF01565,0.11,0.10,-0.01,-10.00
PF01566,0.01,0.00,-0.01,
PF01569,0.09,0.08,-0.01,-12.50
PF01571,0.03,0.02,-0.01,-50.00
PF01575,0.11,0.06,-0.05,-83.33
PF01576,0.16,0.22,0.06,27.27
PF01582,0.21,0.17,-0.04,-23.53
PF01583,0.01,0.01,0.00,0.00
PF01585,0.07,0.06,-0.01,-16.67
PF01586,0.10,0.09,-0.01,-11.11
PF01588,0.01,0.01,0.00,0.00
PF01590,0.12,0.09,-0.03,-33.33
PF01591,0.01,0.01,0.00,0.00
PF01592,0.00,0.00,0.00,
PF01593,0.25,0.27,0.02,7.41
PF01594,0.00,0.00,0.00,
PF01595,0.05,0.04,-0.01,-25.00
PF01596,0.27,0.21,-0.06,-28.57
PF01597,0.26,0.26,0.00,0.00
PF01599,0.00,0.00,0.00,
PF01602,0.03,0.03,0.00,0.00
PF01603,0.01,0.01,0.00,0.00
PF01607,0.01,0.00,-0.01,
PF01608,0.10,0.10,0.00,0.00
PF01612,0.14,0.11,-0.03,-27.27
PF01619,0.05,0.13,0.08,61.54
PF01624,0.05,0.04,-0.01,-25.00
PF01625,0.00,0.00,0.00,
PF01630,0.02,0.01,-0.01,-100.00
PF01632,0.00,0.00,0.00,
PF01633,0.03,0.05,0.02,40.00
PF01636,0.02,0.05,0.03,60.00
PF01641,0.07,0.08,0.01,12.50
PF01642,0.00,0.00,0.00,
PF01648,0.00,0.00,0.00,
PF01650,0.06,0.06,0.00,0.00
PF01652,0.03,0.05,0.02,40.00
PF01655,0.00,0.00,0.00,
PF01658,0.00,0.00,0.00,
PF01661,0.09,0.07,-0.02,-28.57
PF01663,0.21,0.29,0.08,27.59
PF01667,0.00,0.00,0.00,
PF01669,0.00,0.00,0.00,
PF01687,0.00,0.00,0.00,
PF01693,0.14,0.12,-0.02,-16.67
PF01694,0.04,0.05,0.01,20.00
PF01699,0.05,0.04,-0.01,-25.00
PF01702,0.02,0.01,-0.01,-100.00
PF01704,0.15,0.12,-0.03,-25.00
PF01709,0.00,0.00,0.00,
PF01712,0.04,0.04,0.00,0.00
PF01713,0.00,0.00,0.00,
PF01715,0.00,0.00,0.00,
PF01722,0.17,0.15,-0.02,-13.33
PF01725,0.00,0.00,0.00,
PF01728,0.03,0.02,-0.01,-50.00
PF01729,0.00,0.00,0.00,
PF01731,0.00,0.00,0.00,
PF01733,0.03,0.03,0.00,0.00
PF01734,0.12,0.20,0.08,40.00
PF01735,0.47,0.47,0.00,0.00
PF01738,0.00,0.00,0.00,
PF01740,0.04,0.03,-0.01,-33.33
PF01743,0.00,0.00,0.00,
PF01747,0.01,0.01,0.00,0.00
PF01749,0.04,0.04,0.00,0.00
PF01751,0.10,0.07,-0.03,-42.86
PF01753,0.04,0.05,0.01,20.00
PF01754,0.05,0.05,0.00,0.00
PF01755,0.09,0.07,-0.02,-28.57
PF01756,0.14,0.12,-0.02,-16.67
PF01758,0.04,0.03,-0.01,-33.33
PF01759,0.08,0.07,-0.01,-14.29
PF01762,0.04,0.04,0.00,0.00
PF01764,0.01,0.02,0.01,50.00
PF01765,0.00,0.00,0.00,
PF01769,0.02,0.02,0.00,0.00
PF01770,0.23,0.24,0.01,4.17
PF01773,0.00,0.00,0.00,
PF01775,0.00,0.00,0.00,
PF01776,0.01,0.01,0.00,0.00
PF01777,0.00,0.00,0.00,
PF01778,0.02,0.03,0.01,33.33
PF01779,0.00,0.00,0.00,
PF01780,0.01,0.01,0.00,0.00
PF01781,0.00,0.00,0.00,
PF01783,0.00,0.00,0.00,
PF01784,0.00,0.00,0.00,
PF01791,0.00,0.00,0.00,
PF01794,0.14,0.04,-0.10,-250.00
PF01795,0.29,0.29,0.00,0.00
PF01798,0.02,0.01,-0.01,-100.00
PF01799,0.01,0.01,0.00,0.00
PF01803,0.14,0.50,0.36,72.00
PF01805,0.07,0.07,0.00,0.00
PF01808,0.00,0.00,0.00,
PF01812,0.01,0.01,0.00,0.00
PF01813,0.00,0.00,0.00,
PF01814,0.00,0.00,0.00,
PF01821,0.04,0.02,-0.02,-100.00
PF01822,0.06,0.05,-0.01,-20.00
PF01823,0.26,0.23,-0.03,-13.04
PF01825,0.07,0.05,-0.02,-40.00
PF01826,0.03,0.03,0.00,0.00
PF01833,0.14,0.10,-0.04,-40.00
PF01834,0.00,0.00,0.00,
PF01835,0.04,0.04,0.00,0.00
PF01839,0.05,0.02,-0.03,-150.00
PF01840,0.11,0.06,-0.05,-83.33
PF01841,0.38,0.33,-0.05,-15.15
PF01842,0.00,0.00,0.00,
PF01843,0.02,0.02,0.00,0.00
PF01844,0.00,0.00,0.00,
PF01846,0.02,0.03,0.01,33.33
PF01847,0.00,0.01,0.01,100.00
PF01849,0.03,0.02,-0.01,-50.00
PF01851,0.07,0.02,-0.05,-250.00
PF01852,0.11,0.11,0.00,0.00
PF01853,0.02,0.01,-0.01,-100.00
PF01857,0.05,0.03,-0.02,-66.67
PF01858,0.01,0.01,0.00,0.00
PF01866,0.02,0.02,0.00,0.00
PF01868,0.00,0.00,0.00,
PF01869,0.00,0.00,0.00,
PF01871,0.05,0.01,-0.04,-400.00
PF01873,0.01,0.01,0.00,0.00
PF01875,0.00,0.00,0.00,
PF01876,0.00,0.00,0.00,
PF01878,0.00,0.00,0.00,
PF01883,0.10,0.06,-0.04,-66.67
PF01885,0.00,0.00,0.00,
PF01896,0.25,0.19,-0.06,-31.58
PF01900,0.16,0.14,-0.02,-14.29
PF01902,0.00,0.00,0.00,
PF01907,0.00,0.00,0.00,
PF01909,0.23,0.17,-0.06,-35.29
PF01912,0.00,0.00,0.00,
PF01916,0.00,0.00,0.00,
PF01918,0.02,0.02,0.00,0.00
PF01920,0.10,0.06,-0.04,-66.67
PF01922,0.00,0.00,0.00,
PF01923,0.00,0.00,0.00,
PF01926,0.30,0.25,-0.05,-20.00
PF01927,0.00,0.00,0.00,
PF01928,0.00,0.00,0.00,
PF01929,0.00,0.00,0.00,
PF01931,0.00,0.00,0.00,
PF01936,0.00,0.00,0.00,
PF01937,0.04,0.08,0.04,50.00
PF01938,0.03,0.03,0.00,0.00
PF01940,0.00,0.00,0.00,
PF01951,0.00,0.00,0.00,
PF01956,0.07,0.06,-0.01,-16.67
PF01963,0.08,0.08,0.00,0.00
PF01965,0.00,0.00,0.00,
PF01966,0.00,0.00,0.00,
PF01967,0.00,0.00,0.00,
PF01968,0.00,0.00,0.00,
PF01974,0.06,0.05,-0.01,-20.00
PF01979,0.18,0.17,-0.01,-5.88
PF01980,0.00,0.00,0.00,
PF01981,0.03,0.04,0.01,25.00
PF01984,0.00,0.00,0.00,
PF01990,0.00,0.00,0.00,
PF01991,0.00,0.00,0.00,
PF01992,0.01,0.01,0.00,0.00
PF01997,0.02,0.02,0.00,0.00
PF02002,0.00,0.00,0.00,
PF02005,0.38,0.35,-0.03,-8.57
PF02008,0.07,0.06,-0.01,-16.67
PF02010,0.34,0.16,-0.18,-112.50
PF02014,0.13,0.14,0.01,7.14
PF02017,0.02,0.03,0.01,33.33
PF02019,0.03,0.02,-0.01,-50.00
PF02020,0.02,0.01,-0.01,-100.00
PF02022,0.00,0.00,0.00,
PF02023,0.03,0.03,0.00,0.00
PF02024,0.00,0.00,0.00,
PF02025,0.00,0.00,0.00,
PF02026,0.03,0.02,-0.01,-50.00
PF02029,0.45,0.44,-0.01,-2.27
PF02033,0.00,0.00,0.00,
PF02036,0.07,0.06,-0.01,-16.67
PF02037,0.06,0.03,-0.03,-100.00
PF02038,0.06,0.05,-0.01,-20.00
PF02044,0.00,0.00,0.00,
PF02045,0.00,0.00,0.00,
PF02046,0.07,0.10,0.03,30.00
PF02057,0.00,0.00,0.00,
PF02058,0.02,0.02,0.00,0.00
PF02059,0.00,0.00,0.00,
PF02060,0.44,0.37,-0.07,-18.92
PF02063,0.48,0.46,-0.02,-4.35
PF02064,0.03,0.02,-0.01,-50.00
PF02070,0.00,0.00,0.00,
PF02072,0.00,0.00,0.00,
PF02077,0.00,0.00,0.00,
PF02078,0.01,0.01,0.00,0.00
PF02079,0.00,0.00,0.00,
PF02083,0.00,0.00,0.00,
PF02089,0.04,0.03,-0.01,-33.33
PF02096,0.03,0.02,-0.01,-50.00
PF02099,0.09,0.10,0.01,10.00
PF02100,0.04,0.02,-0.02,-100.00
PF02101,0.00,0.00,0.00,
PF02104,0.00,0.00,0.00,
PF02106,0.00,0.00,0.00,
PF02109,0.00,0.00,0.00,
PF02114,0.24,0.22,-0.02,-9.09
PF02115,0.03,0.02,-0.01,-50.00
PF02121,0.01,0.01,0.00,0.00
PF02126,0.00,0.00,0.00,
PF02127,0.00,0.00,0.00,
PF02130,0.00,0.00,0.00,
PF02135,0.04,0.04,0.00,0.00
PF02136,0.02,0.03,0.01,33.33
PF02137,0.04,0.05,0.01,20.00
PF02138,0.03,0.03,0.00,0.00
PF02140,0.02,0.02,0.00,0.00
PF02141,0.03,0.03,0.00,0.00
PF02142,0.03,0.02,-0.01,-50.00
PF02144,0.00,0.00,0.00,
PF02145,0.05,0.05,0.00,0.00
PF02146,0.10,0.19,0.09,47.37
PF02148,0.04,0.03,-0.01,-33.33
PF02149,0.03,0.02,-0.01,-50.00
PF02150,0.07,0.04,-0.03,-75.00
PF02155,0.00,0.00,0.00,
PF02157,0.00,0.00,0.00,
PF02158,0.01,0.02,0.01,50.00
PF02159,0.00,0.00,0.00,
PF02161,0.00,0.00,0.00,
PF02163,0.00,0.00,0.00,
PF02165,0.00,0.00,0.00,
PF02166,0.00,0.00,0.00,
PF02167,0.00,0.00,0.00,
PF02170,0.09,0.10,0.01,10.00
PF02171,0.03,0.02,-0.01,-50.00
PF02172,0.00,0.00,0.00,
PF02173,0.02,0.02,0.00,0.00
PF02174,0.10,0.06,-0.04,-66.67
PF02176,0.04,0.05,0.01,20.00
PF02177,0.01,0.01,0.00,0.00
PF02178,0.13,0.08,-0.05,-62.50
PF02179,0.07,0.11,0.04,36.36
PF02180,0.04,0.05,0.01,20.00
PF02181,0.02,0.02,0.00,0.00
PF02182,0.01,0.00,-0.01,
PF02185,0.08,0.11,0.03,27.27
PF02186,0.00,0.00,0.00,
PF02187,0.01,0.01,0.00,0.00
PF02188,0.05,0.05,0.00,0.00
PF02189,0.00,0.00,0.00,
PF02190,0.06,0.08,0.02,25.00
PF02191,0.03,0.01,-0.02,-200.00
PF02192,0.01,0.01,0.00,0.00
PF02194,0.08,0.08,0.00,0.00
PF02195,0.00,0.00,0.00,
PF02196,0.03,0.05,0.02,40.00
PF02197,0.08,0.07,-0.01,-14.29
PF02198,0.03,0.02,-0.01,-50.00
PF02199,0.04,0.02,-0.02,-100.00
PF02201,0.09,0.05,-0.04,-80.00
PF02202,0.00,0.00,0.00,
PF02204,0.04,0.03,-0.01,-33.33
PF02205,0.14,0.16,0.02,12.50
PF02207,0.12,0.12,0.00,0.00
PF02208,0.06,0.08,0.02,25.00
PF02209,0.00,0.00,0.00,
PF02210,0.05,0.05,0.00,0.00
PF02212,0.07,0.05,-0.02,-40.00
PF02213,0.01,0.01,0.00,0.00
PF02214,0.08,0.06,-0.02,-33.33
PF02218,0.07,0.06,-0.01,-16.67
PF02219,0.00,0.00,0.00,
PF02221,0.07,0.06,-0.01,-16.67
PF02223,0.07,0.06,-0.01,-16.67
PF02225,0.22,0.19,-0.03,-15.79
PF02229,0.00,0.00,0.00,
PF02230,0.02,0.01,-0.01,-100.00
PF02233,0.00,0.00,0.00,
PF02234,0.01,0.01,0.00,0.00
PF02237,0.00,0.00,0.00,
PF02238,0.05,0.05,0.00,0.00
PF02244,0.01,0.01,0.00,0.00
PF02245,0.00,0.00,0.00,
PF02251,0.01,0.00,-0.01,
PF02252,0.01,0.00,-0.01,
PF02256,0.07,0.15,0.08,53.33
PF02257,0.03,0.02,-0.01,-50.00
PF02259,0.05,0.06,0.01,16.67
PF02260,0.02,0.04,0.02,50.00
PF02262,0.01,0.01,0.00,0.00
PF02263,0.08,0.06,-0.02,-33.33
PF02267,0.01,0.01,0.00,0.00
PF02268,0.00,0.00,0.00,
PF02269,0.02,0.02,0.00,0.00
PF02270,0.00,0.00,0.00,
PF02271,0.00,0.00,0.00,
PF02272,0.00,0.00,0.00,
PF02275,0.24,0.16,-0.08,-50.00
PF02284,0.00,0.00,0.00,
PF02285,0.01,0.01,0.00,0.00
PF02290,0.00,0.00,0.00,
PF02291,0.00,0.00,0.00,
PF02295,0.13,0.08,-0.05,-62.50
PF02296,0.00,0.00,0.00,
PF02297,0.08,0.11,0.03,27.27
PF02301,0.19,0.21,0.02,9.52
PF02310,0.09,0.08,-0.01,-12.50
PF02312,0.00,0.00,0.00,
PF02318,0.16,0.15,-0.01,-6.67
PF02319,0.03,0.02,-0.01,-50.00
PF02320,0.00,0.00,0.00,
PF02330,0.00,0.00,0.00,
PF02337,0.00,0.00,0.00,
PF02338,0.16,0.14,-0.02,-14.29
PF02344,0.00,0.00,0.00,
PF02347,0.00,0.00,0.00,
PF02348,0.00,0.00,0.00,
PF02350,0.00,0.00,0.00,
PF02351,0.12,0.09,-0.03,-33.33
PF02354,0.30,0.31,0.01,3.23
PF02359,0.07,0.08,0.01,12.50
PF02366,0.01,0.01,0.00,0.00
PF02368,0.05,0.02,-0.03,-150.00
PF02372,0.09,0.06,-0.03,-50.00
PF02373,0.07,0.05,-0.02,-40.00
PF02374,0.00,0.00,0.00,
PF02375,0.00,0.00,0.00,
PF02376,0.10,0.08,-0.02,-25.00
PF02377,0.04,0.03,-0.01,-33.33
PF02383,0.08,0.12,0.04,33.33
PF02389,0.47,0.58,0.11,18.97
PF02390,0.00,0.00,0.00,
PF02391,0.00,0.00,0.00,
PF02394,0.04,0.04,0.00,0.00
PF02403,0.00,0.00,0.00,
PF02404,0.00,0.00,0.00,
PF02410,0.00,0.00,0.00,
PF02412,0.08,0.09,0.01,11.11
PF02423,0.00,0.00,0.00,
PF02434,0.21,0.20,-0.01,-5.00
PF02436,0.00,0.00,0.00,
PF02437,0.09,0.06,-0.03,-50.00
PF02441,0.00,0.00,0.00,
PF02450,0.01,0.37,0.36,97.30
PF02453,0.01,0.01,0.00,0.00
PF02460,0.05,0.18,0.13,72.22
PF02463,0.42,0.16,-0.26,-162.50
PF02466,0.12,0.06,-0.06,-100.00
PF02469,0.09,0.10,0.01,10.00
PF02475,0.08,0.14,0.06,42.86
PF02485,0.02,0.02,0.00,0.00
PF02487,0.00,0.00,0.00,
PF02493,0.14,0.11,-0.03,-27.27
PF02494,0.02,0.01,-0.01,-100.00
PF02513,0.03,0.03,0.00,0.00
PF02515,0.03,0.03,0.00,0.00
PF02516,0.00,0.01,0.01,100.00
