Pfam_code,REC_blosum,FULL_blosum,REC_vs_FULL_blosum_diff,REC_vs_FULL_blosum_%_improvement
PF01096,3.03,2.99,0.04,1.34
PF01099,1.11,1.08,0.03,2.78
PF01101,2.37,2.32,0.05,2.16
PF01102,2.37,2.22,0.15,6.76
PF01103,,,,
PF01105,1.24,1.23,0.01,0.81
PF01106,,,,
PF01108,0.89,0.87,0.02,2.30
PF01109,,,,
PF01110,,,,
PF01111,4.78,4.78,0.00,0.00
PF01112,1.14,1.27,-0.13,-10.24
PF01114,,,,
PF01115,,,,
PF01119,1.31,1.04,0.27,25.96
PF01120,3.68,3.67,0.01,0.27
PF01121,1.30,1.30,0.00,0.00
PF01122,1.02,1.01,0.01,0.99
PF01124,0.81,0.78,0.03,3.85
PF01125,,,,
PF01126,3.16,3.18,-0.02,-0.63
PF01127,,,,
PF01128,,,,
PF01129,1.67,1.66,0.01,0.60
PF01130,1.79,1.77,0.02,1.13
PF01131,1.90,1.91,-0.01,-0.52
PF01133,,,,
PF01134,,,,
PF01135,2.11,2.10,0.01,0.48
PF01137,1.17,1.14,0.03,2.63
PF01138,0.60,0.62,-0.02,-3.23
PF01139,,,,
PF01142,1.59,1.58,0.01,0.63
PF01144,1.38,1.41,-0.03,-2.13
PF01145,0.88,0.86,0.02,2.33
PF01146,2.82,2.78,0.04,1.44
PF01148,4.65,4.68,-0.03,-0.64
PF01149,,,,
PF01150,1.46,1.44,0.02,1.39
PF01151,1.81,1.78,0.03,1.69
PF01153,1.77,1.73,0.04,2.31
PF01154,4.32,4.32,0.00,0.00
PF01157,,,,
PF01158,,,,
PF01159,,,,
PF01160,1.60,1.60,0.00,0.00
PF01161,2.29,1.87,0.42,22.46
PF01163,1.55,1.52,0.03,1.97
PF01165,,,,
PF01166,3.73,3.73,0.00,0.00
PF01167,3.31,3.30,0.01,0.30
PF01168,,,,
PF01169,0.71,0.68,0.03,4.41
PF01170,0.94,0.95,-0.01,-1.05
PF01171,,,,
PF01172,,,,
PF01175,,,,
PF01176,2.57,2.55,0.02,0.78
PF01179,2.81,2.84,-0.03,-1.06
PF01180,0.51,0.63,-0.12,-19.05
PF01182,1.41,1.38,0.03,2.17
PF01186,3.55,3.55,0.00,0.00
PF01187,2.60,2.58,0.02,0.78
PF01189,1.29,1.27,0.02,1.57
PF01191,,,,
PF01192,,,,
PF01193,1.29,1.32,-0.03,-2.27
PF01194,,,,
PF01195,,,,
PF01196,,,,
PF01198,,,,
PF01199,,,,
PF01200,,,,
PF01201,0.63,0.61,0.02,3.28
PF01202,0.41,0.12,0.29,241.67
PF01204,,,,
PF01205,,,,
PF01207,1.27,1.17,0.10,8.55
PF01208,,,,
PF01209,,,,
PF01210,3.77,3.70,0.07,1.89
PF01212,,,,
PF01213,3.73,1.75,1.98,113.14
PF01214,,,,
PF01215,,,,
PF01216,3.70,3.70,0.00,0.00
PF01217,1.16,1.10,0.06,5.45
PF01218,,,,
PF01221,3.18,3.16,0.02,0.63
PF01222,2.39,2.37,0.02,0.84
PF01223,1.05,0.90,0.15,16.67
PF01227,,,,
PF01229,,,,
PF01230,1.78,1.75,0.03,1.71
PF01231,2.28,2.26,0.02,0.88
PF01233,4.79,4.80,-0.01,-0.21
PF01234,2.09,2.12,-0.03,-1.42
PF01237,1.86,1.91,-0.05,-2.62
PF01238,,,,
PF01239,1.27,1.12,0.15,13.39
PF01242,,,,
PF01243,,,,
PF01244,3.29,3.28,0.01,0.30
PF01245,,,,
PF01246,2.47,2.40,0.07,2.92
PF01247,,,,
PF01248,0.76,0.63,0.13,20.63
PF01249,,,,
PF01250,,,,
PF01251,,,,
PF01253,1.64,1.58,0.06,3.80
PF01254,,,,
PF01255,0.77,0.45,0.32,71.11
PF01256,,,,
PF01257,,,,
PF01259,,,,
PF01261,,,,
PF01262,,,,
PF01263,,,,
PF01265,,,,
PF01266,0.38,0.41,-0.03,-7.32
PF01267,2.93,2.91,0.02,0.69
PF01268,4.00,4.00,0.00,0.00
PF01269,4.71,4.71,0.00,0.00
PF01271,-0.06,-0.03,-0.03,-100.00
PF01273,0.43,0.43,0.00,0.00
PF01275,2.94,2.92,0.02,0.68
PF01279,2.00,1.94,0.06,3.09
PF01280,,,,
PF01281,,,,
PF01282,,,,
PF01283,4.96,4.95,0.01,0.20
PF01284,0.45,0.44,0.01,2.27
PF01285,5.21,5.18,0.03,0.58
PF01286,,,,
PF01287,4.08,4.08,0.00,0.00
PF01290,4.16,4.16,0.00,0.00
PF01291,0.46,0.46,0.00,0.00
PF01294,,,,
PF01296,5.69,5.69,0.00,0.00
PF01299,0.99,1.00,-0.01,-1.00
PF01300,,,,
PF01301,2.73,2.78,-0.05,-1.80
PF01302,2.50,2.44,0.06,2.46
PF01315,2.30,2.34,-0.04,-1.71
PF01321,2.13,2.05,0.08,3.90
PF01323,,,,
PF01327,,,,
PF01329,3.68,3.70,-0.02,-0.54
PF01331,,,,
PF01335,0.92,0.89,0.03,3.37
PF01336,0.50,0.56,-0.06,-10.71
PF01342,2.26,2.18,0.08,3.67
PF01344,1.45,1.39,0.06,4.32
PF01347,0.25,0.25,0.00,0.00
PF01351,,,,
PF01352,2.98,2.96,0.02,0.68
PF01359,,,,
PF01363,2.39,2.31,0.08,3.46
PF01365,1.34,1.32,0.02,1.52
PF01368,,,,
PF01369,2.26,2.24,0.02,0.89
PF01370,0.10,0.08,0.02,25.00
PF01379,,,,
PF01380,1.41,1.41,0.00,0.00
PF01381,,,,
PF01384,4.04,4.04,0.00,0.00
PF01387,2.89,2.87,0.02,0.70
PF01388,1.85,1.80,0.05,2.78
PF01390,0.98,0.93,0.05,5.38
PF01391,2.08,2.04,0.04,1.96
PF01392,1.84,1.84,0.00,0.00
PF01393,4.77,4.79,-0.02,-0.42
PF01394,0.41,0.41,0.00,0.00
PF01396,,,,
PF01398,0.72,0.69,0.03,4.35
PF01399,0.47,0.31,0.16,51.61
PF01400,2.54,2.53,0.01,0.40
PF01401,2.61,2.61,0.00,0.00
PF01403,1.11,1.09,0.02,1.83
PF01404,3.10,3.09,0.01,0.32
PF01406,2.71,2.62,0.09,3.44
PF01408,1.15,1.09,0.06,5.50
PF01409,1.26,1.16,0.10,8.62
PF01410,2.50,2.48,0.02,0.81
PF01411,2.84,2.83,0.01,0.35
PF01412,2.11,2.06,0.05,2.43
PF01413,2.87,2.84,0.03,1.06
PF01414,3.70,3.66,0.04,1.09
PF01415,,,,
PF01416,0.22,0.23,-0.01,-4.35
PF01417,2.81,2.78,0.03,1.08
PF01419,,,,
PF01421,1.43,1.43,0.00,0.00
PF01422,3.82,3.80,0.02,0.53
PF01423,1.00,0.95,0.05,5.26
PF01424,1.30,1.28,0.02,1.56
PF01425,0.59,0.59,0.00,0.00
PF01426,0.85,0.82,0.03,3.66
PF01428,2.13,2.12,0.01,0.47
PF01429,1.34,1.31,0.03,2.29
PF01431,2.84,2.84,0.00,0.00
PF01432,1.95,1.94,0.01,0.52
PF01433,1.81,1.79,0.02,1.12
PF01434,2.01,2.01,0.00,0.00
PF01435,0.53,0.58,-0.05,-8.62
PF01436,1.73,1.70,0.03,1.76
PF01437,1.95,1.87,0.08,4.28
PF01442,0.76,0.76,0.00,0.00
PF01448,1.43,1.41,0.02,1.42
PF01451,,,,
PF01454,2.58,2.55,0.03,1.18
PF01457,,-0.27,,
PF01459,1.64,1.62,0.02,1.23
PF01462,2.29,2.28,0.01,0.44
PF01463,1.59,1.56,0.03,1.92
PF01465,3.17,3.12,0.05,1.60
PF01466,,,,
PF01467,0.81,0.77,0.04,5.19
PF01470,2.38,2.32,0.06,2.59
PF01471,1.65,1.62,0.03,1.85
PF01472,0.69,0.64,0.05,7.81
PF01476,2.37,2.15,0.22,10.23
PF01477,1.07,1.06,0.01,0.94
PF01479,1.81,1.73,0.08,4.62
PF01480,1.33,1.31,0.02,1.53
PF01483,2.51,2.51,0.00,0.00
PF01485,1.66,1.85,-0.19,-10.27
PF01490,0.97,0.96,0.01,1.04
PF01491,,,,
PF01494,1.72,1.53,0.19,12.42
PF01496,2.64,2.68,-0.04,-1.49
PF01500,4.09,4.12,-0.03,-0.73
PF01501,0.74,0.71,0.03,4.23
PF01504,1.88,1.89,-0.01,-0.53
PF01505,1.70,1.73,-0.03,-1.73
PF01507,,,,
PF01509,1.21,1.17,0.04,3.42
PF01510,2.52,2.49,0.03,1.20
PF01512,,,,
PF01513,,,,
PF01521,1.28,1.28,0.00,0.00
PF01529,1.48,1.44,0.04,2.78
PF01530,4.33,4.24,0.09,2.12
PF01531,3.48,3.48,0.00,0.00
PF01532,1.95,1.96,-0.01,-0.51
PF01534,2.75,2.77,-0.02,-0.72
PF01535,0.97,1.08,-0.11,-10.19
PF01536,,,,
PF01541,,,,
PF01545,1.22,1.17,0.05,4.27
PF01546,0.62,0.48,0.14,29.17
PF01549,,,,
PF01551,,,,
PF01553,0.69,0.65,0.04,6.15
PF01554,1.32,1.31,0.01,0.76
PF01556,2.00,1.99,0.01,0.50
PF01557,1.83,1.83,0.00,0.00
PF01562,0.91,1.17,-0.26,-22.22
PF01564,0.84,0.78,0.06,7.69
PF01565,1.05,1.03,0.02,1.94
PF01566,3.86,3.97,-0.11,-2.77
PF01569,0.87,0.84,0.03,3.57
PF01571,1.15,1.06,0.09,8.49
PF01575,0.70,0.55,0.15,27.27
PF01576,2.39,2.33,0.06,2.58
PF01582,1.10,1.09,0.01,0.92
PF01583,4.62,4.55,0.07,1.54
PF01585,2.22,2.17,0.05,2.30
PF01586,1.85,1.78,0.07,3.93
PF01588,3.47,3.45,0.02,0.58
PF01590,1.27,1.25,0.02,1.60
PF01591,3.81,3.81,0.00,0.00
PF01592,,,,
PF01593,0.58,0.57,0.01,1.75
PF01594,,,,
PF01595,2.77,2.75,0.02,0.73
PF01596,1.18,1.09,0.09,8.26
PF01597,1.09,1.03,0.06,5.83
PF01599,,,,
PF01602,0.77,0.77,0.00,0.00
PF01603,4.10,4.09,0.01,0.24
PF01607,3.00,2.89,0.11,3.81
PF01608,1.86,1.83,0.03,1.64
PF01612,0.75,0.67,0.08,11.94
PF01619,2.55,2.44,0.11,4.51
PF01624,0.43,0.39,0.04,10.26
PF01625,,,,
PF01630,2.18,2.23,-0.05,-2.24
PF01632,,,,
PF01633,2.20,1.92,0.28,14.58
PF01636,1.04,0.92,0.12,13.04
PF01641,,,,
PF01642,,,,
PF01648,,,,
PF01650,1.44,1.43,0.01,0.70
PF01652,2.14,2.35,-0.21,-8.94
PF01655,,,,
PF01658,,,,
PF01661,1.10,1.07,0.03,2.80
PF01663,1.45,1.68,-0.23,-13.69
PF01667,5.56,5.56,0.00,0.00
PF01669,,,,
PF01687,,,,
PF01693,1.28,1.15,0.13,11.30
PF01694,0.68,0.65,0.03,4.62
PF01699,1.03,1.03,0.00,0.00
PF01702,0.97,1.01,-0.04,-3.96
PF01704,1.61,1.58,0.03,1.90
PF01709,,,,
PF01712,1.50,1.49,0.01,0.67
PF01713,,,,
PF01715,,,,
PF01722,1.66,1.63,0.03,1.84
PF01725,,,,
PF01728,1.04,1.05,-0.01,-0.95
PF01729,,,,
PF01731,3.53,3.53,0.00,0.00
PF01733,1.35,1.33,0.02,1.50
PF01734,0.68,0.65,0.03,4.62
PF01735,2.28,2.27,0.01,0.44
PF01738,,,,
PF01740,1.28,1.17,0.11,9.40
PF01743,,,,
PF01747,4.70,4.64,0.06,1.29
PF01749,1.88,1.90,-0.02,-1.05
PF01751,1.32,1.27,0.05,3.94
PF01753,2.44,2.42,0.02,0.83
PF01754,2.54,2.50,0.04,1.60
PF01755,3.18,3.12,0.06,1.92
PF01756,0.95,0.88,0.07,7.95
PF01758,1.77,1.76,0.01,0.57
PF01759,0.66,0.63,0.03,4.76
PF01762,1.67,1.65,0.02,1.21
PF01764,2.11,2.07,0.04,1.93
PF01765,,,,
PF01769,1.60,1.69,-0.09,-5.33
PF01770,2.47,2.48,-0.01,-0.40
PF01773,3.53,3.53,0.00,0.00
PF01775,,,,
PF01776,4.01,4.00,0.01,0.25
PF01777,,,,
PF01778,0.29,0.31,-0.02,-6.45
PF01779,,,,
PF01780,4.35,4.36,-0.01,-0.23
PF01781,,,,
PF01783,,,,
PF01784,,,,
PF01791,,,,
PF01794,1.14,0.98,0.16,16.33
PF01795,5.07,4.97,0.10,2.01
PF01798,1.76,1.74,0.02,1.15
PF01799,4.36,4.36,0.00,0.00
PF01803,4.45,4.34,0.11,2.53
PF01805,1.81,1.79,0.02,1.12
PF01808,,,,
PF01812,0.34,0.32,0.02,6.25
PF01813,,,,
PF01814,,,,
PF01821,2.01,2.19,-0.18,-8.22
PF01822,1.39,1.35,0.04,2.96
PF01823,0.86,0.84,0.02,2.38
PF01825,2.27,2.25,0.02,0.89
PF01826,2.22,2.21,0.01,0.45
PF01833,0.78,0.69,0.09,13.04
PF01834,,,,
PF01835,1.66,1.65,0.01,0.61
PF01839,2.37,2.50,-0.13,-5.20
PF01840,1.75,1.69,0.06,3.55
PF01841,3.16,2.90,0.26,8.97
PF01842,,,,
PF01843,1.57,1.55,0.02,1.29
PF01844,,,,
PF01846,1.13,1.08,0.05,4.63
PF01847,3.68,3.65,0.03,0.82
PF01849,2.86,2.84,0.02,0.70
PF01851,0.89,0.75,0.14,18.67
PF01852,0.47,0.45,0.02,4.44
PF01853,3.53,3.50,0.03,0.86
PF01857,2.68,2.74,-0.06,-2.19
PF01858,2.24,2.24,0.00,0.00
PF01866,1.03,1.08,-0.05,-4.63
PF01868,,,,
PF01869,,,,
PF01871,4.99,5.11,-0.12,-2.35
PF01873,1.20,1.16,0.04,3.45
PF01875,,,,
PF01876,,,,
PF01878,,,,
PF01883,3.43,3.19,0.24,7.52
PF01885,,,,
PF01896,-0.22,-0.10,-0.12,-120.00
PF01900,0.34,0.36,-0.02,-5.56
PF01902,,,,
PF01907,,,,
PF01909,1.46,0.94,0.52,55.32
PF01912,,,,
PF01916,,,,
PF01918,2.93,2.90,0.03,1.03
PF01920,0.37,0.36,0.01,2.78
PF01922,,,,
PF01923,,,,
PF01926,1.30,1.21,0.09,7.44
PF01927,,,,
PF01928,,,,
PF01929,,,,
PF01931,,,,
PF01936,,,,
PF01937,-0.13,-0.14,0.01,7.14
PF01938,0.85,0.77,0.08,10.39
PF01940,,,,
PF01951,,,,
PF01956,0.25,0.23,0.02,8.70
PF01963,1.63,1.62,0.01,0.62
PF01965,,,,
PF01966,,,,
PF01967,,,,
PF01968,,,,
PF01974,1.11,1.04,0.07,6.73
PF01979,1.38,1.43,-0.05,-3.50
PF01980,,,,
PF01981,0.86,0.93,-0.07,-7.53
PF01984,,,,
PF01990,,,,
PF01991,3.69,3.69,0.00,0.00
PF01992,3.74,3.77,-0.03,-0.80
PF01997,0.89,0.87,0.02,2.30
PF02002,,,,
PF02005,1.14,1.04,0.10,9.62
PF02008,2.78,2.75,0.03,1.09
PF02010,0.42,0.41,0.01,2.44
PF02014,1.21,1.27,-0.06,-4.72
PF02017,1.81,1.81,0.00,0.00
PF02019,0.98,0.99,-0.01,-1.01
PF02020,1.54,1.53,0.01,0.65
PF02022,5.35,5.36,-0.01,-0.19
PF02023,2.97,2.93,0.04,1.37
PF02024,,,,
PF02025,,,,
PF02026,1.97,1.95,0.02,1.03
PF02029,0.94,0.91,0.03,3.30
PF02033,,,,
PF02036,1.80,1.84,-0.04,-2.17
PF02037,1.76,1.69,0.07,4.14
PF02038,2.59,2.51,0.08,3.19
PF02044,4.50,4.50,0.00,0.00
PF02045,,,,
PF02046,3.86,3.98,-0.12,-3.02
PF02057,,,,
PF02058,2.23,2.23,0.00,0.00
PF02059,,,,
PF02060,1.67,1.20,0.47,39.17
PF02063,2.21,2.26,-0.05,-2.21
PF02064,2.46,2.35,0.11,4.68
PF02070,,,,
PF02072,,,,
PF02077,,,,
PF02078,3.83,3.81,0.02,0.52
PF02079,,,,
PF02083,,,,
PF02089,1.13,1.12,0.01,0.89
PF02096,1.41,1.35,0.06,4.44
PF02099,2.16,2.20,-0.04,-1.82
PF02100,2.91,2.78,0.13,4.68
PF02101,,,,
PF02104,,,,
PF02106,,,,
PF02109,,,,
PF02114,1.83,1.79,0.04,2.23
PF02115,3.55,3.45,0.10,2.90
PF02121,2.91,2.90,0.01,0.34
PF02126,,,,
PF02127,,,,
PF02130,,,,
PF02135,3.35,3.35,0.00,0.00
PF02136,1.66,1.68,-0.02,-1.19
PF02137,1.50,1.51,-0.01,-0.66
PF02138,2.76,2.76,0.00,0.00
PF02140,2.39,2.47,-0.08,-3.24
PF02141,1.41,1.40,0.01,0.71
PF02142,0.37,0.37,0.00,0.00
PF02144,,,,
PF02145,2.13,2.12,0.01,0.47
PF02146,1.51,1.54,-0.03,-1.95
PF02148,2.07,2.02,0.05,2.48
PF02149,3.07,3.06,0.01,0.33
PF02150,1.86,1.50,0.36,24.00
PF02155,,,,
PF02157,,,,
PF02158,1.87,1.92,-0.05,-2.60
PF02159,,,,
PF02161,,,,
PF02163,,,,
PF02165,,,,
PF02166,,,,
PF02167,,,,
PF02170,1.63,1.52,0.11,7.24
PF02171,2.38,2.38,0.00,0.00
PF02172,4.82,4.80,0.02,0.42
PF02173,2.67,2.75,-0.08,-2.91
PF02174,1.46,1.34,0.12,8.96
PF02176,1.50,1.57,-0.07,-4.46
PF02177,3.28,3.25,0.03,0.92
PF02178,3.42,3.12,0.30,9.62
PF02179,1.08,1.23,-0.15,-12.20
PF02180,2.48,2.52,-0.04,-1.59
PF02181,1.15,1.14,0.01,0.88
PF02182,4.23,4.43,-0.20,-4.51
PF02185,1.65,1.60,0.05,3.12
PF02186,,,,
PF02187,3.11,3.11,0.00,0.00
PF02188,2.45,2.41,0.04,1.66
PF02189,1.31,1.29,0.02,1.55
PF02190,0.85,0.83,0.02,2.41
PF02191,1.90,1.88,0.02,1.06
PF02192,2.31,2.26,0.05,2.21
PF02194,1.02,1.05,-0.03,-2.86
PF02195,,,,
PF02196,1.29,0.96,0.33,34.38
PF02197,1.68,1.67,0.01,0.60
PF02198,1.64,1.57,0.07,4.46
PF02199,3.23,3.15,0.08,2.54
PF02201,2.67,2.41,0.26,10.79
PF02202,,,,
PF02204,1.15,1.14,0.01,0.88
PF02205,1.62,1.67,-0.05,-2.99
PF02207,2.12,2.07,0.05,2.42
PF02208,3.05,2.92,0.13,4.45
PF02209,2.52,2.52,0.00,0.00
PF02210,0.69,0.71,-0.02,-2.82
PF02212,1.84,1.82,0.02,1.10
PF02213,2.83,2.76,0.07,2.54
PF02214,1.44,1.42,0.02,1.41
PF02218,3.58,3.46,0.12,3.47
PF02219,,,,
PF02221,0.48,0.48,0.00,0.00
PF02223,0.59,0.58,0.01,1.72
PF02225,0.93,0.82,0.11,13.41
PF02229,,,,
PF02230,2.19,2.17,0.02,0.92
PF02233,,,,
PF02234,2.63,2.63,0.00,0.00
PF02237,,,,
PF02238,3.41,3.31,0.10,3.02
PF02244,1.49,1.48,0.01,0.68
PF02245,,,,
PF02251,2.46,2.49,-0.03,-1.20
PF02252,2.47,2.45,0.02,0.82
PF02256,1.98,2.31,-0.33,-14.29
PF02257,2.53,2.49,0.04,1.61
PF02259,0.13,0.13,0.00,0.00
PF02260,2.08,2.13,-0.05,-2.35
PF02262,2.36,2.36,0.00,0.00
PF02263,2.38,2.30,0.08,3.48
PF02267,2.00,1.98,0.02,1.01
PF02268,,,,
PF02269,1.43,1.39,0.04,2.88
PF02270,,,,
PF02271,,,,
PF02272,,,,
PF02275,1.67,1.96,-0.29,-14.80
PF02284,,,,
PF02285,2.44,2.44,0.00,0.00
PF02290,,,,
PF02291,4.90,4.90,0.00,0.00
PF02295,1.01,1.08,-0.07,-6.48
PF02296,4.31,4.37,-0.06,-1.37
PF02297,2.08,2.06,0.02,0.97
PF02301,1.31,1.30,0.01,0.77
PF02310,0.34,0.32,0.02,6.25
PF02312,,,,
PF02318,1.65,1.60,0.05,3.12
PF02319,2.17,2.15,0.02,0.93
PF02320,5.11,5.11,0.00,0.00
PF02330,,,,
PF02337,5.23,5.25,-0.02,-0.38
PF02338,0.78,0.74,0.04,5.41
PF02344,,,,
PF02347,,,,
PF02348,,,,
PF02350,,,,
PF02351,1.01,0.97,0.04,4.12
PF02354,2.24,2.21,0.03,1.36
PF02359,-0.39,-0.39,0.00,0.00
PF02366,1.84,1.83,0.01,0.55
PF02368,2.55,2.42,0.13,5.37
PF02372,0.65,0.73,-0.08,-10.96
PF02373,0.90,0.86,0.04,4.65
PF02374,,,,
PF02375,2.56,2.56,0.00,0.00
PF02376,2.28,2.20,0.08,3.64
PF02377,3.36,3.31,0.05,1.51
PF02383,1.59,1.62,-0.03,-1.85
PF02389,4.64,4.38,0.26,5.94
PF02390,,,,
PF02391,,,,
PF02394,0.92,0.92,0.00,0.00
PF02403,,,,
PF02404,,,,
PF02410,,,,
PF02412,2.83,2.71,0.12,4.43
PF02423,,,,
PF02434,1.62,1.55,0.07,4.52
PF02436,,,,
PF02437,1.84,1.81,0.03,1.66
PF02441,,,,
PF02450,2.67,2.74,-0.07,-2.55
PF02453,2.94,2.96,-0.02,-0.68
PF02460,1.86,1.47,0.39,26.53
PF02463,0.92,1.42,-0.50,-35.21
PF02466,0.77,0.61,0.16,26.23
PF02469,0.94,0.90,0.04,4.44
PF02475,0.87,0.75,0.12,16.00
PF02485,1.80,1.77,0.03,1.69
PF02487,,,,
PF02493,1.85,1.78,0.07,3.93
PF02494,1.75,1.73,0.02,1.16
PF02513,2.38,2.38,0.00,0.00
PF02515,1.12,1.12,0.00,0.00
PF02516,3.41,3.14,0.27,8.60
PF02517,,,,
PF02518,2.30,1.95,0.35,17.95
PF02525,2.65,2.55,0.10,3.92
PF02535,0.83,0.78,0.05,6.41
PF02536,0.47,0.47,0.00,0.00
PF02538,,,,
PF02540,0.38,0.26,0.12,46.15
PF02544,1.58,1.56,0.02,1.28
PF02545,,,,
PF02567,,,,
PF02574,1.95,1.89,0.06,3.17
PF02578,,,,
PF02580,1.03,1.05,-0.02,-1.90
PF02582,,,,
PF02585,,,,
PF02586,,,,
PF02594,,,,
PF02597,,,,
PF02602,,,,
PF02607,,,,
PF02617,2.39,2.42,-0.03,-1.24
PF02628,,,,
PF02629,0.49,0.49,0.00,0.00
PF02630,3.42,3.37,0.05,1.48
PF02636,,,,
PF02637,,,,
PF02661,,,,
PF02666,,,,
PF02668,1.14,1.05,0.09,8.57
PF02671,1.36,1.66,-0.30,-18.07
PF02676,,,,
PF02678,,,,
PF02686,,,,
PF02690,2.67,2.28,0.39,17.11
PF02696,,,,
PF02709,2.91,2.90,0.01,0.34
PF02724,,,,
PF02727,3.00,3.00,0.00,0.00
PF02728,2.01,2.04,-0.03,-1.47
PF02729,1.25,1.27,-0.02,-1.57
PF02731,,,,
PF02732,0.18,0.15,0.03,20.00
PF02733,,,,
PF02734,,,,
PF02735,0.33,0.33,0.00,0.00
PF02736,2.08,2.06,0.02,0.97
PF02737,1.04,1.05,-0.01,-0.95
PF02738,2.78,2.78,0.00,0.00
PF02740,,,,
PF02744,,,,
PF02746,,,,
PF02747,,,,
PF02749,,,,
PF02750,4.28,4.28,0.00,0.00
PF02751,,,,
PF02752,1.29,1.26,0.03,2.38
PF02755,2.30,2.22,0.08,3.60
PF02758,0.99,1.01,-0.02,-1.98
PF02759,0.74,0.68,0.06,8.82
PF02760,2.60,2.58,0.02,0.78
PF02761,3.66,3.66,0.00,0.00
PF02762,4.39,4.39,0.00,0.00
PF02765,,,,
PF02769,0.44,0.47,-0.03,-6.38
PF02770,1.50,1.46,0.04,2.74
PF02771,1.08,1.09,-0.01,-0.92
PF02772,4.66,4.64,0.02,0.43
PF02773,4.85,4.85,0.00,0.00
PF02775,1.39,1.26,0.13,10.32
PF02776,1.59,1.38,0.21,15.22
PF02777,,,,
PF02778,,,,
PF02779,0.92,0.94,-0.02,-2.13
PF02780,1.54,1.59,-0.05,-3.14
PF02781,1.62,1.51,0.11,7.28
PF02782,1.55,1.58,-0.03,-1.90
PF02784,3.05,3.06,-0.01,-0.33
PF02785,1.60,1.59,0.01,0.63
PF02786,1.36,1.34,0.02,1.49
PF02787,1.90,1.90,0.00,0.00
PF02789,,,,
PF02790,,,,
PF02791,1.54,1.50,0.04,2.67
PF02792,5.29,5.29,0.00,0.00
PF02793,1.70,1.59,0.11,6.92
PF02798,1.59,1.56,0.03,1.92
PF02799,4.51,4.49,0.02,0.45
PF02800,4.03,4.03,0.00,0.00
PF02801,1.09,1.06,0.03,2.83
PF02803,2.16,2.15,0.01,0.47
PF02806,3.69,3.66,0.03,0.82
PF02807,4.13,4.13,0.00,0.00
PF02809,2.10,2.03,0.07,3.45
PF02812,5.22,5.23,-0.01,-0.19
PF02815,1.12,1.09,0.03,2.75
PF02816,1.22,1.21,0.01,0.83
PF02817,1.93,1.81,0.12,6.63
PF02818,3.25,3.25,0.00,0.00
PF02820,1.89,1.86,0.03,1.61
PF02822,2.75,2.75,0.00,0.00
PF02823,,,,
PF02824,1.47,1.43,0.04,2.80
PF02825,1.26,1.25,0.01,0.80
PF02826,1.99,1.93,0.06,3.11
PF02827,1.36,1.35,0.01,0.74
PF02828,0.91,0.89,0.02,2.25
PF02833,1.81,1.44,0.37,25.69
PF02836,0.73,0.84,-0.11,-13.10
PF02837,4.57,4.74,-0.17,-3.59
PF02840,,,,
PF02841,2.40,2.40,0.00,0.00
PF02843,,,,
PF02844,,,,
PF02845,1.16,1.14,0.02,1.75
PF02847,0.66,0.64,0.02,3.13
PF02852,2.18,2.17,0.01,0.46
PF02854,0.41,0.40,0.01,2.50
PF02862,1.63,1.66,-0.03,-1.81
PF02864,1.75,1.75,0.00,0.00
PF02865,1.82,1.81,0.01,0.55
PF02866,1.98,1.92,0.06,3.13
PF02867,,,,
PF02870,,,,
PF02872,,,,
PF02874,0.76,0.60,0.16,26.67
PF02877,1.82,1.82,0.00,0.00
PF02878,1.42,1.35,0.07,5.19
PF02879,1.52,1.46,0.06,4.11
PF02880,1.36,1.35,0.01,0.74
PF02881,0.43,0.40,0.03,7.50
PF02882,2.27,2.17,0.10,4.61
PF02883,0.74,0.73,0.01,1.37
PF02885,,,,
PF02886,0.77,0.75,0.02,2.67
PF02887,3.55,3.50,0.05,1.43
PF02888,3.55,3.55,0.00,0.00
PF02889,0.97,0.96,0.01,1.04
PF02891,3.97,3.97,0.00,0.00
PF02892,2.40,2.38,0.02,0.84
PF02893,0.84,0.77,0.07,9.09
PF02897,0.21,0.13,0.08,61.54
PF02898,3.93,3.92,0.01,0.26
PF02902,1.65,1.60,0.05,3.12
PF02906,2.99,3.06,-0.07,-2.29
PF02910,,,,
PF02911,1.66,1.61,0.05,3.11
PF02913,0.37,0.35,0.02,5.71
PF02919,4.07,4.07,0.00,0.00
PF02921,4.83,4.83,0.00,0.00
PF02922,,,,
PF02926,0.93,0.51,0.42,82.35
PF02928,2.75,2.65,0.10,3.77
PF02931,1.41,1.39,0.02,1.44
PF02932,1.03,1.17,-0.14,-11.97
PF02933,-0.48,-0.38,-0.10,-26.32
PF02934,,,,
PF02935,,,,
PF02936,3.29,3.25,0.04,1.23
PF02937,,,,
PF02938,,,,
PF02939,,,,
PF02946,2.26,2.26,0.00,0.00
PF02947,,,,
PF02948,5.15,5.21,-0.06,-1.15
PF02953,1.31,1.28,0.03,2.34
PF02961,1.99,1.97,0.02,1.02
PF02965,,,,
PF02966,2.11,2.11,0.00,0.00
PF02969,2.17,2.14,0.03,1.40
PF02970,,,,
PF02971,,,,
PF02978,,,,
PF02984,0.75,0.69,0.06,8.70
PF02985,0.94,1.17,-0.23,-19.66
PF02988,,,,
PF02990,1.95,1.95,0.00,0.00
PF02991,2.82,2.82,0.00,0.00
PF02994,2.22,2.17,0.05,2.30
PF02996,0.39,0.38,0.01,2.63
