Pfam_code,HMMER_conservation,HMMER_blosum,HMMER_gaps,FULL_conservation,FULL_blosum,FULL_gaps
PF02513,0.55,2.38,0.03,0.55,2.38,0.03
PF02515,0.62,1.12,0.03,0.62,1.12,0.03
PF02516,0.81,3.41,0.00,0.78,3.14,0.01
PF02517,1.00,,0.00,1.00,,0.00
PF02518,0.61,2.3,0.09,0.60,1.95,0.03
PF02525,0.73,2.65,0.06,0.74,2.55,0.01
PF02535,0.36,0.83,0.17,0.31,0.78,0.25
PF02536,0.40,0.47,0.21,0.41,0.47,0.19
PF02538,1.00,,0.00,1.00,,0.00
PF02540,0.53,0.38,0.31,0.53,0.26,0.31
PF02544,0.57,1.58,0.01,0.57,1.56,0.01
PF02545,1.00,,0.00,1.00,,0.00
PF02567,1.00,,0.00,1.00,,0.00
PF02574,0.65,1.95,0.05,0.64,1.89,0.06
PF02578,1.00,,0.00,1.00,,0.00
PF02580,0.62,1.03,0.01,0.63,1.05,0.00
PF02582,1.00,,0.00,1.00,,0.00
PF02585,1.00,,0.00,1.00,,0.00
PF02586,1.00,,0.00,1.00,,0.00
PF02594,1.00,,0.00,1.00,,0.00
PF02597,1.00,,0.00,1.00,,0.00
PF02602,1.00,,0.00,1.00,,0.00
PF02607,1.00,,0.00,1.00,,0.00
PF02617,0.71,2.39,0.00,0.72,2.42,0.01
PF02628,1.00,,0.00,1.00,,0.00
PF02629,0.60,0.49,0.02,0.60,0.49,0.02
PF02630,0.78,3.42,0.01,0.78,3.37,0.01
PF02636,1.00,,0.00,1.00,,0.00
PF02637,1.00,,0.00,1.00,,0.00
PF02661,1.00,,0.00,1.00,,0.00
PF02666,1.00,,0.00,1.00,,0.00
PF02668,0.63,1.14,0.02,0.62,1.05,0.03
PF02671,0.48,1.36,0.02,0.51,1.66,0.01
PF02676,1.00,,0.00,1.00,,0.00
PF02678,1.00,,0.00,1.00,,0.00
PF02686,1.00,,0.00,1.00,,0.00
PF02690,0.50,2.67,0.28,0.56,2.28,0.12
PF02696,1.00,,0.00,1.00,,0.00
PF02709,0.66,2.91,0.01,0.66,2.9,0.01
PF02724,1.00,,0.00,0.33,,0.67
PF02727,0.80,3.0,0.00,0.80,3.0,0.00
PF02728,0.63,2.01,0.02,0.64,2.04,0.01
PF02729,0.63,1.25,0.05,0.63,1.27,0.05
PF02731,1.00,,0.00,1.00,,0.00
PF02732,0.39,0.18,0.13,0.37,0.15,0.18
PF02733,1.00,,0.00,1.00,,0.00
PF02734,1.00,,0.00,1.00,,0.00
PF02735,0.58,0.33,0.03,0.57,0.33,0.06
PF02736,0.58,2.08,0.01,0.58,2.06,0.01
PF02737,0.54,1.04,0.02,0.54,1.05,0.01
PF02738,0.76,2.78,0.00,0.75,2.78,0.01
PF02740,1.00,,0.00,1.00,,0.00
PF02744,1.00,,0.00,1.00,,0.00
PF02746,1.00,,0.00,1.00,,0.00
PF02747,1.00,,0.00,1.00,,0.00
PF02749,1.00,,0.00,1.00,,0.00
PF02750,0.87,4.28,0.00,0.87,4.28,0.00
PF02751,1.00,,0.00,1.00,,0.00
PF02752,0.45,1.29,0.08,0.45,1.26,0.06
PF02755,0.59,2.3,0.08,0.59,2.22,0.06
PF02758,0.42,0.99,0.04,0.42,1.01,0.03
PF02759,0.37,0.74,0.09,0.34,0.68,0.12
PF02760,0.70,2.6,0.01,0.70,2.58,0.01
PF02761,0.81,3.66,0.00,0.81,3.66,0.00
PF02762,0.88,4.39,0.00,0.88,4.39,0.00
PF02765,1.00,,0.00,1.00,,0.00
PF02769,0.45,0.44,0.11,0.45,0.47,0.09
PF02770,0.48,1.5,0.04,0.48,1.46,0.03
PF02771,0.43,1.08,0.05,0.44,1.09,0.03
PF02772,0.92,4.66,0.01,0.92,4.64,0.00
PF02773,0.95,4.85,0.00,0.95,4.85,0.00
PF02775,0.64,1.39,0.05,0.63,1.26,0.03
PF02776,0.66,1.59,0.01,0.64,1.38,0.02
PF02777,1.00,,0.00,1.00,,0.00
PF02778,1.00,,0.00,1.00,,0.00
PF02779,0.47,0.92,0.03,0.47,0.94,0.04
PF02780,0.58,1.54,0.04,0.59,1.59,0.03
PF02781,0.65,1.62,0.06,0.65,1.51,0.05
PF02782,0.58,1.55,0.07,0.58,1.58,0.06
PF02784,0.74,3.05,0.01,0.74,3.06,0.01
PF02785,0.55,1.6,0.01,0.55,1.59,0.01
PF02786,0.47,1.36,0.06,0.47,1.34,0.05
PF02787,0.68,1.9,0.01,0.68,1.9,0.02
PF02789,1.00,,0.00,1.00,,0.00
PF02790,1.00,,0.00,1.00,,0.00
PF02791,0.59,1.54,0.07,0.58,1.5,0.07
PF02792,1.00,5.29,0.00,1.00,5.29,0.00
PF02793,0.42,1.7,0.09,0.42,1.59,0.07
PF02798,0.49,1.59,0.10,0.49,1.56,0.08
PF02799,0.91,4.51,0.00,0.90,4.49,0.01
PF02800,0.90,4.03,0.00,0.90,4.03,0.00
PF02801,0.64,1.09,0.02,0.65,1.06,0.01
PF02803,0.63,2.16,0.01,0.63,2.15,0.01
PF02806,0.79,3.69,0.08,0.79,3.66,0.08
PF02807,0.84,4.13,0.01,0.84,4.13,0.01
PF02809,0.56,2.1,0.09,0.57,2.03,0.05
PF02812,0.99,5.22,0.00,0.99,5.23,0.00
PF02815,0.41,1.12,0.14,0.41,1.09,0.13
PF02816,0.49,1.22,0.04,0.50,1.21,0.04
PF02817,0.63,1.93,0.06,0.64,1.81,0.03
PF02818,0.76,3.25,0.01,0.76,3.25,0.01
PF02820,0.52,1.89,0.04,0.52,1.86,0.03
PF02822,0.62,2.75,0.00,0.62,2.75,0.00
PF02823,1.00,,0.00,1.00,,0.00
PF02824,0.54,1.47,0.03,0.54,1.43,0.02
PF02825,0.44,1.26,0.03,0.44,1.25,0.03
PF02826,0.64,1.99,0.01,0.64,1.93,0.00
PF02827,0.58,1.36,0.02,0.58,1.35,0.00
PF02828,0.38,0.91,0.08,0.39,0.89,0.06
PF02833,0.65,1.81,0.11,0.65,1.44,0.02
PF02836,0.54,0.73,0.32,0.58,0.84,0.19
PF02837,0.65,4.57,0.32,0.66,4.74,0.32
PF02840,1.00,,0.00,1.00,,0.00
PF02841,0.57,2.4,0.14,0.57,2.4,0.14
PF02843,1.00,,0.00,1.00,,0.00
PF02844,1.00,,0.00,1.00,,0.00
PF02845,0.45,1.16,0.06,0.46,1.14,0.03
PF02847,0.41,0.66,0.04,0.41,0.64,0.04
PF02852,0.63,2.18,0.01,0.64,2.17,0.00
PF02854,0.36,0.41,0.07,0.35,0.4,0.09
PF02862,0.39,1.63,0.31,0.38,1.66,0.31
PF02864,0.57,1.75,0.04,0.57,1.75,0.05
PF02865,0.54,1.82,0.02,0.55,1.81,0.02
PF02866,0.57,1.98,0.08,0.57,1.92,0.07
PF02867,1.00,,0.00,1.00,,0.00
PF02870,1.00,,0.00,1.00,,0.00
PF02872,1.00,,0.00,1.00,,0.00
PF02874,0.48,0.76,0.06,0.46,0.6,0.05
PF02877,0.61,1.82,0.01,0.61,1.82,0.01
PF02878,0.42,1.42,0.24,0.42,1.35,0.22
PF02879,0.57,1.52,0.05,0.58,1.46,0.02
PF02880,0.53,1.36,0.10,0.56,1.35,0.02
PF02881,0.58,0.43,0.04,0.58,0.4,0.03
PF02882,0.63,2.27,0.10,0.62,2.17,0.08
PF02883,0.43,0.74,0.05,0.43,0.73,0.04
PF02885,1.00,,0.00,1.00,,0.00
PF02886,0.36,0.77,0.16,0.37,0.75,0.14
PF02887,0.82,3.55,0.01,0.82,3.5,0.00
PF02888,0.82,3.55,0.01,0.82,3.55,0.01
PF02889,0.39,0.97,0.18,0.38,0.96,0.18
PF02891,0.77,3.97,0.02,0.77,3.97,0.02
PF02892,0.60,2.4,0.01,0.60,2.38,0.00
PF02893,0.36,0.84,0.12,0.36,0.77,0.09
PF02897,0.56,0.21,0.13,0.56,0.13,0.13
PF02898,0.82,3.93,0.00,0.82,3.92,0.00
PF02902,0.38,1.65,0.30,0.40,1.6,0.26
PF02906,0.78,2.99,0.00,0.77,3.06,0.01
PF02910,1.00,,0.00,1.00,,0.00
PF02911,0.62,1.66,0.05,0.62,1.61,0.05
PF02913,0.49,0.37,0.04,0.49,0.35,0.04
PF02919,0.84,4.07,0.00,0.84,4.07,0.00
PF02921,0.99,4.83,0.00,0.99,4.83,0.00
PF02922,1.00,,0.00,1.00,,0.00
PF02926,0.47,0.93,0.20,0.44,0.51,0.24
PF02928,0.67,2.75,0.04,0.66,2.65,0.03
PF02931,0.39,1.41,0.10,0.38,1.39,0.11
PF02932,0.28,1.03,0.28,0.27,1.17,0.35
PF02933,0.52,-0.48,0.13,0.53,-0.38,0.13
PF02934,1.00,,0.00,1.00,,0.00
PF02935,1.00,,0.00,1.00,,0.00
PF02936,0.78,3.29,0.04,0.78,3.25,0.04
PF02937,1.00,,0.00,1.00,,0.00
PF02938,1.00,,0.00,1.00,,0.00
PF02939,1.00,,0.00,1.00,,0.00
PF02946,0.58,2.26,0.01,0.58,2.26,0.01
PF02947,1.00,,0.00,1.00,,0.00
PF02948,0.94,5.15,0.01,0.94,5.21,0.01
PF02953,0.46,1.31,0.04,0.47,1.28,0.03
PF02961,0.70,1.99,0.01,0.70,1.97,0.01
PF02965,1.00,,0.00,1.00,,0.00
PF02966,0.68,2.11,0.01,0.68,2.11,0.01
PF02969,0.69,2.17,0.02,0.69,2.14,0.01
PF02970,1.00,,0.00,1.00,,0.00
PF02971,1.00,,0.00,1.00,,0.00
PF02978,1.00,,0.00,1.00,,0.00
PF02984,0.36,0.75,0.15,0.36,0.69,0.10
PF02985,0.44,0.94,0.10,0.45,1.17,0.08
PF02988,1.00,,0.00,1.00,,0.00
PF02990,0.58,1.95,0.04,0.58,1.95,0.04
PF02991,0.65,2.82,0.00,0.65,2.82,0.00
PF02994,0.70,2.22,0.02,0.70,2.17,0.01
PF02996,0.42,0.39,0.05,0.42,0.38,0.03
PF03002,0.78,5.23,0.14,0.78,4.19,0.06
PF03006,0.40,0.7,0.06,0.40,0.68,0.06
PF03009,0.35,0.74,0.23,0.31,1.03,0.37
PF03015,0.80,3.45,0.00,0.80,3.45,0.00
PF03016,0.48,1.01,0.10,0.49,1.15,0.10
PF03020,0.57,2.22,0.10,0.61,2.31,0.05
PF03024,0.50,1.77,0.13,0.51,1.64,0.10
PF03028,0.53,2.13,0.04,0.53,2.08,0.03
PF03029,0.57,1.43,0.01,0.58,1.42,0.01
PF03031,0.56,1.81,0.06,0.56,1.82,0.05
PF03034,0.68,1.97,0.00,0.68,1.97,0.00
PF03036,0.49,1.37,0.13,0.49,1.36,0.12
PF03039,1.00,,0.00,1.00,,0.00
PF03045,0.52,1.85,0.10,0.53,1.89,0.09
PF03051,1.00,,0.00,1.00,,0.00
PF03054,1.00,,0.00,1.00,,0.00
PF03055,0.63,2.23,0.03,0.63,2.13,0.03
PF03061,0.42,1.01,0.10,0.42,0.97,0.08
PF03062,0.30,0.23,0.19,0.30,0.17,0.18
PF03066,0.64,2.03,0.02,0.65,2.05,0.01
PF03068,0.73,3.31,0.03,0.73,3.31,0.03
PF03071,0.61,1.91,0.21,0.61,1.86,0.21
PF03073,0.71,1.99,0.01,0.71,2.04,0.01
PF03074,1.00,,0.00,1.00,,0.00
PF03079,1.00,,0.00,1.00,,0.00
PF03081,1.00,,0.00,1.00,,0.00
PF03083,0.61,0.81,0.02,0.61,0.78,0.01
PF03088,1.00,,0.00,1.00,,0.00
PF03089,1.00,,0.00,1.00,,0.00
PF03091,1.00,,0.00,1.00,,0.00
PF03095,1.00,,0.00,1.00,,0.00
PF03096,0.80,3.66,0.00,0.80,3.66,0.00
PF03097,0.48,1.29,0.14,0.49,1.3,0.12
PF03098,0.49,1.7,0.11,0.49,1.69,0.11
PF03099,1.00,,0.00,1.00,,0.00
PF03102,1.00,,0.00,1.00,,0.00
PF03104,0.42,0.45,0.13,0.34,0.33,0.25
PF03109,0.50,1.19,0.05,0.43,1.16,0.17
PF03114,0.39,0.94,0.07,0.39,0.92,0.07
PF03121,1.00,,0.00,1.00,,0.00
PF03126,1.00,,0.00,1.00,,0.00
PF03127,0.55,1.78,0.03,0.56,1.75,0.02
PF03128,0.75,4.04,0.00,0.75,4.04,0.00
PF03129,0.38,0.62,0.09,0.39,0.6,0.07
PF03131,0.53,1.95,0.06,0.53,1.89,0.04
PF03133,0.44,1.32,0.08,0.44,1.3,0.08
PF03134,0.74,3.51,0.01,0.74,3.51,0.01
PF03137,0.25,1.78,0.52,0.50,1.72,0.03
PF03142,1.00,,0.00,1.00,,0.00
PF03143,1.00,,0.00,1.00,,0.00
PF03144,0.42,0.78,0.07,0.41,0.75,0.07
PF03145,0.84,3.79,0.01,0.78,3.74,0.07
PF03146,1.00,,0.00,1.00,,0.00
PF03147,0.64,1.67,0.03,0.65,1.59,0.00
PF03148,0.50,1.7,0.14,0.50,1.7,0.14
PF03151,0.40,0.73,0.12,0.40,0.72,0.10
PF03152,1.00,,0.00,1.00,,0.00
PF03153,0.43,1.98,0.43,0.43,1.82,0.42
PF03154,0.49,2.82,0.38,0.50,2.7,0.36
PF03155,0.62,1.04,0.06,0.62,1.08,0.06
PF03159,0.75,3.05,0.03,0.74,3.04,0.04
PF03160,0.30,0.93,0.28,0.36,0.98,0.12
PF03165,0.56,2.21,0.07,0.56,2.18,0.07
PF03166,0.69,2.89,0.02,0.69,2.96,0.03
PF03167,0.57,0.02,0.10,0.56,-0.24,0.10
PF03171,0.83,4.31,0.04,0.82,4.43,0.05
PF03172,0.65,2.24,0.02,0.65,2.21,0.01
PF03176,1.00,,0.00,1.00,,0.00
PF03177,0.53,0.04,0.28,0.54,0.04,0.23
PF03178,0.51,0.86,0.05,0.51,0.82,0.06
PF03179,0.75,2.92,0.01,0.75,2.92,0.01
PF03184,0.41,1.12,0.11,0.41,1.12,0.10
PF03185,0.57,1.79,0.02,0.57,1.78,0.02
PF03188,0.55,1.46,0.01,0.55,1.45,0.01
PF03189,0.24,2.16,0.65,0.20,2.27,0.70
PF03190,1.00,,0.00,1.00,,0.00
PF03194,0.73,2.65,0.02,0.73,2.65,0.02
PF03199,1.00,,0.00,1.00,,0.00
PF03200,1.00,,0.00,1.00,,0.00
PF03208,0.56,1.21,0.02,0.56,1.21,0.03
PF03215,1.00,,0.00,1.00,,0.00
PF03221,0.45,1.58,0.09,0.45,1.46,0.07
PF03223,0.81,3.37,0.01,0.81,3.37,0.00
PF03224,1.00,,0.00,1.00,,0.00
PF03226,0.51,1.81,0.15,0.49,1.51,0.13
PF03227,1.00,,0.00,1.00,,0.00
PF03232,1.00,,0.00,1.00,,0.00
PF03234,1.00,,0.00,1.00,,0.00
PF03247,0.70,2.38,0.06,0.70,2.35,0.06
PF03248,1.00,,0.00,1.00,,0.00
PF03250,0.57,2.75,0.18,0.58,2.51,0.15
PF03253,0.83,3.95,0.00,0.83,3.96,0.00
PF03256,0.38,1.74,0.35,0.38,1.66,0.33
PF03259,0.63,1.47,0.03,0.63,1.44,0.03
PF03261,0.86,3.89,0.00,0.85,3.87,0.01
PF03265,0.69,2.07,0.00,0.69,2.07,0.01
PF03271,0.83,3.77,0.00,0.83,3.77,0.00
PF03281,0.48,1.37,0.16,0.47,1.42,0.19
PF03283,1.00,,0.00,1.00,,0.00
PF03285,0.36,1.88,0.48,0.37,1.4,0.43
PF03291,1.00,,0.00,1.00,,0.00
PF03297,1.00,,0.00,1.00,,0.00
PF03298,0.67,1.93,0.03,0.67,1.84,0.01
PF03299,0.88,4.25,0.01,0.88,4.23,0.01
PF03301,1.00,,0.00,1.00,,0.00
PF03308,1.00,,0.00,1.00,,0.00
PF03311,0.59,2.99,0.20,0.50,2.8,0.32
PF03328,1.00,,0.00,1.00,,0.00
PF03332,0.84,3.76,0.01,0.84,3.74,0.01
PF03343,1.00,,0.00,1.00,,0.00
PF03344,1.00,,0.00,1.00,,0.00
PF03345,1.00,,0.00,1.00,,0.00
PF03348,0.60,2.33,0.06,0.60,2.31,0.06
PF03351,0.44,0.69,0.08,0.44,0.65,0.08
PF03357,0.41,0.92,0.05,0.42,0.93,0.05
PF03359,0.59,2.45,0.13,0.59,2.33,0.11
PF03360,0.74,2.92,0.01,0.75,3.02,0.02
PF03364,0.88,4.45,0.02,0.88,4.4,0.01
PF03366,0.64,2.45,0.03,0.64,2.36,0.01
PF03367,0.65,2.06,0.03,0.65,1.7,0.03
PF03368,1.00,,0.00,1.00,,0.00
PF03370,0.51,1.85,0.07,0.51,1.8,0.06
PF03371,0.60,0.62,0.02,0.60,0.61,0.04
PF03372,0.30,0.08,0.07,0.30,0.18,0.13
PF03378,1.00,,0.00,1.00,,0.00
PF03381,0.76,2.89,0.02,0.76,2.96,0.03
PF03388,0.60,2.21,0.02,0.61,2.19,0.02
PF03398,1.00,,0.00,1.00,,0.00
PF03399,0.51,0.86,0.09,0.52,0.86,0.09
PF03402,0.56,1.7,0.08,0.56,1.68,0.07
PF03403,0.71,2.25,0.01,0.71,2.28,0.02
PF03404,1.00,,0.00,1.00,,0.00
PF03414,0.57,2.07,0.10,0.57,2.03,0.10
PF03416,0.64,2.57,0.01,0.63,2.56,0.02
PF03435,0.59,0.61,0.04,0.59,0.61,0.04
PF03439,1.00,,0.00,1.00,,0.00
PF03441,0.93,5.16,0.00,0.93,5.17,0.01
PF03446,0.52,0.89,0.02,0.52,0.85,0.02
PF03450,0.73,2.29,0.00,0.73,2.29,0.00
PF03451,0.66,3.09,0.03,0.52,2.71,0.18
PF03453,1.00,,0.00,1.00,,0.00
PF03454,1.00,,0.00,1.00,,0.00
PF03455,0.47,1.36,0.02,0.47,1.39,0.01
PF03456,0.46,1.58,0.06,0.48,1.76,0.06
PF03462,0.68,2.49,0.09,0.69,2.53,0.09
PF03463,1.00,,0.00,1.00,,0.00
PF03464,0.56,-0.1,0.04,0.56,-0.1,0.04
PF03465,0.59,0.75,0.04,0.59,0.73,0.07
PF03467,0.85,4.01,0.00,0.85,3.97,0.01
PF03473,0.63,2.21,0.08,0.63,2.06,0.05
PF03474,0.77,3.13,0.02,0.77,3.04,0.01
PF03476,0.65,2.23,0.03,0.65,2.21,0.03
PF03477,1.00,,0.00,1.00,,0.00
PF03483,1.00,,0.00,1.00,,0.00
PF03484,1.00,,0.00,1.00,,0.00
PF03485,1.00,,0.00,1.00,,0.00
PF03487,1.00,,0.00,1.00,,0.00
PF03489,0.48,1.78,0.03,0.48,1.76,0.03
PF03491,1.00,,0.00,1.00,,0.00
PF03493,0.61,1.93,0.01,0.61,1.93,0.01
PF03494,1.00,,0.00,1.00,,0.00
PF03501,0.87,4.07,0.01,0.87,4.08,0.01
PF03508,1.00,,0.00,1.00,,0.00
PF03509,1.00,,0.00,1.00,,0.00
PF03511,1.00,,0.00,1.00,,0.00
PF03516,0.69,2.86,0.02,0.69,2.85,0.02
PF03517,1.00,,0.00,1.00,,0.00
PF03520,0.60,2.48,0.11,0.60,2.41,0.10
PF03521,0.44,2.76,0.47,0.44,2.6,0.46
PF03522,0.26,2.24,0.58,0.26,2.21,0.58
PF03523,1.00,,0.00,1.00,,0.00
PF03528,0.58,2.35,0.35,0.58,2.28,0.34
PF03529,0.64,2.2,0.07,0.64,2.22,0.08
PF03530,0.78,3.38,0.03,0.78,3.39,0.03
PF03531,1.00,,0.00,1.00,,0.00
PF03533,1.00,,0.00,1.00,,0.00
PF03535,0.54,2.24,0.41,0.57,1.93,0.36
PF03540,1.00,,0.00,1.00,,0.00
PF03542,1.00,,0.00,1.00,,0.00
PF03546,0.53,2.73,0.45,0.34,3.27,0.63
PF03556,0.62,2.55,0.04,0.62,2.51,0.04
PF03561,0.65,1.34,0.04,0.65,1.44,0.06
PF03567,0.41,0.93,0.10,0.41,0.93,0.10
PF03568,1.00,,0.00,0.50,,0.50
PF03571,1.00,,0.00,1.00,,0.00
PF03572,0.57,1.72,0.04,0.58,1.7,0.03
PF03577,0.73,3.0,0.05,0.68,2.87,0.11
PF03587,1.00,,0.00,1.00,,0.00
PF03600,1.00,,0.00,1.00,,0.00
PF03604,1.00,,0.00,1.00,,0.00
PF03607,0.47,1.52,0.04,0.48,1.5,0.04
PF03615,0.85,4.0,0.00,0.85,4.0,0.00
PF03619,0.59,1.41,0.01,0.59,1.47,0.01
PF03623,0.80,3.03,0.00,0.80,2.99,0.00
PF03629,1.00,,0.00,1.00,,0.00
PF03630,0.77,3.09,0.01,0.77,3.08,0.01
PF03632,1.00,,0.00,1.00,,0.00
PF03635,1.00,,0.00,1.00,,0.00
PF03637,0.64,2.66,0.02,0.64,2.64,0.02
PF03638,0.79,4.06,0.03,0.77,4.0,0.04
PF03643,0.66,2.2,0.04,0.67,2.25,0.04
PF03644,1.00,,0.00,1.00,,0.00
PF03645,0.49,1.31,0.02,0.49,1.33,0.02
PF03647,0.70,3.08,0.12,0.71,3.0,0.10
PF03650,0.61,1.88,0.08,0.60,1.67,0.06
PF03656,1.00,,0.00,1.00,,0.00
PF03657,1.00,,0.00,1.00,,0.00
PF03660,1.00,,0.00,1.00,,0.00
PF03661,1.00,,0.00,1.00,,0.00
PF03662,0.72,2.56,0.05,0.72,2.44,0.04
PF03665,0.73,2.37,0.01,0.73,2.34,0.02
PF03666,1.00,,0.00,0.50,,0.50
PF03669,1.00,,0.00,1.00,,0.00
PF03670,1.00,,0.00,1.00,,0.00
PF03671,1.00,,0.00,1.00,,0.00
PF03676,1.00,,0.00,1.00,,0.00
PF03690,1.00,,0.00,1.00,,0.00
PF03694,1.00,,0.00,1.00,,0.00
PF03700,0.64,1.52,0.08,0.65,1.52,0.06
PF03712,0.54,1.5,0.07,0.54,1.48,0.06
PF03715,1.00,,0.00,1.00,,0.00
PF03719,0.59,0.6,0.01,0.59,0.61,0.01
PF03720,1.00,,0.00,1.00,,0.00
PF03721,1.00,,0.00,1.00,,0.00
PF03725,0.41,0.47,0.03,0.41,0.47,0.03
PF03726,1.00,,0.00,1.00,,0.00
PF03727,0.70,3.06,0.01,0.71,3.07,0.01
PF03730,0.60,0.36,0.03,0.60,0.38,0.03
PF03731,0.57,0.15,0.03,0.57,0.15,0.03
PF03735,1.00,,0.00,1.00,,0.00
PF03736,0.36,0.91,0.03,0.37,0.96,0.04
PF03747,0.56,0.98,0.02,0.56,0.98,0.03
PF03762,1.00,,0.00,1.00,,0.00
PF03764,0.48,0.53,0.06,0.49,0.58,0.05
PF03765,0.48,2.69,0.35,0.48,2.48,0.31
PF03770,0.53,1.86,0.07,0.51,1.86,0.09
PF03781,0.73,2.86,0.03,0.73,2.86,0.03
PF03782,0.59,1.96,0.11,0.61,2.09,0.09
PF03792,0.93,4.49,0.00,0.93,4.49,0.00
PF03798,0.36,0.53,0.05,0.36,0.52,0.06
PF03800,1.00,,0.00,1.00,,0.00
PF03801,1.00,,0.00,1.00,,0.00
PF03803,0.73,3.2,0.01,0.73,3.19,0.01
PF03807,0.48,1.27,0.06,0.47,1.25,0.06
PF03810,0.34,0.61,0.09,0.34,0.6,0.08
PF03813,1.00,,0.00,1.00,,0.00
PF03815,0.49,1.93,0.13,0.50,1.8,0.11
PF03820,0.60,1.91,0.03,0.60,1.91,0.03
PF03821,0.34,2.03,0.54,0.34,1.9,0.52
PF03823,1.00,,0.00,1.00,,0.00
PF03826,0.66,2.91,0.08,0.66,2.77,0.05
PF03827,1.00,,0.00,1.00,,0.00
PF03828,0.46,1.51,0.11,0.44,1.5,0.13
PF03832,0.54,1.76,0.06,0.54,1.68,0.05
PF03834,1.00,,0.00,1.00,,0.00
PF03835,1.00,,0.00,1.00,,0.00
PF03836,0.71,2.8,0.06,0.71,2.81,0.05
PF03839,1.00,,0.00,1.00,,0.00
PF03847,1.00,,0.00,1.00,,0.00
PF03849,1.00,,0.00,1.00,,0.00
PF03850,1.00,,0.00,1.00,,0.00
PF03853,0.58,1.28,0.05,0.57,1.23,0.05
PF03859,0.95,5.28,0.01,0.95,5.22,0.01
PF03868,1.00,,0.00,1.00,,0.00
PF03870,1.00,,0.00,1.00,,0.00
PF03871,1.00,,0.00,1.00,,0.00
PF03874,0.62,1.02,0.04,0.62,1.02,0.04
PF03875,1.00,,0.00,1.00,,0.00
PF03876,0.59,0.57,0.03,0.59,0.61,0.02
PF03878,0.79,3.23,0.01,0.79,3.23,0.01
PF03881,0.83,3.74,0.01,0.82,3.74,0.01
PF03896,1.00,,0.00,1.00,,0.00
PF03900,1.00,,0.00,1.00,,0.00
PF03901,0.42,0.3,0.12,0.42,0.25,0.10
PF03908,1.00,,0.00,1.00,,0.00
PF03909,0.47,0.68,0.06,0.47,0.6,0.04
PF03911,1.00,,0.00,1.00,,0.00
PF03914,0.52,1.06,0.08,0.51,1.07,0.11
PF03915,0.78,3.18,0.01,0.76,3.23,0.05
PF03917,0.50,,0.50,1.00,,0.00
PF03919,1.00,,0.00,1.00,,0.00
PF03920,0.90,4.41,0.01,0.90,4.41,0.01
PF03921,0.54,1.52,0.04,0.54,1.5,0.02
PF03931,0.69,1.37,0.04,0.68,1.28,0.02
PF03932,1.00,,0.00,1.00,,0.00
PF03937,1.00,,0.00,1.00,,0.00
PF03939,1.00,,0.00,1.00,,0.00
PF03941,1.00,,0.00,1.00,,0.00
PF03942,0.59,0.39,0.06,0.59,0.42,0.08
PF03943,0.86,3.94,0.00,0.86,3.94,0.00
PF03946,0.60,0.65,0.01,0.60,0.7,0.02
PF03947,0.61,0.94,0.10,0.62,0.87,0.04
PF03949,0.77,3.14,0.01,0.77,3.13,0.01
PF03950,0.62,0.83,0.01,0.61,0.75,0.02
PF03951,1.00,,0.00,1.00,,0.00
PF03952,0.90,4.27,0.01,0.90,4.27,0.01
PF03953,0.60,2.74,0.02,0.60,2.72,0.01
PF03954,0.68,2.38,0.05,0.68,2.35,0.04
PF03957,0.64,1.99,0.04,0.64,1.99,0.04
PF03959,1.00,,0.00,1.00,,0.00
PF03962,1.00,,0.00,1.00,,0.00
PF03966,0.62,0.44,0.01,0.57,0.44,0.21
PF03969,1.00,,0.00,1.00,,0.00
PF03972,1.00,,0.00,1.00,,0.00
PF03980,1.00,,0.00,1.00,,0.00
PF03981,1.00,,0.00,1.00,,0.00
PF03982,0.65,2.77,0.01,0.65,2.76,0.01
PF03985,1.00,,0.00,1.00,,0.00
PF03987,0.58,0.54,0.08,0.58,0.46,0.07
PF03992,0.64,2.23,0.03,0.64,2.22,0.02
PF03997,1.00,,0.00,1.00,,0.00
PF03998,1.00,,0.00,1.00,,0.00
PF03999,1.00,,0.00,1.00,,0.00
PF04000,0.49,0.75,0.06,0.49,0.76,0.08
PF04003,0.46,0.46,0.04,0.47,0.45,0.03
PF04004,1.00,,0.00,1.00,,0.00
PF04005,0.75,2.62,0.00,0.75,2.62,0.00
PF04006,1.00,,0.00,1.00,,0.00
PF04031,1.00,,0.00,1.00,,0.00
PF04032,1.00,,0.00,1.00,,0.00
PF04034,1.00,,0.00,1.00,,0.00
PF04037,1.00,,0.00,1.00,,0.00
PF04042,0.47,0.05,0.04,0.47,0.05,0.04
PF04045,1.00,,0.00,1.00,,0.00
PF04046,0.69,1.86,0.01,0.69,1.78,0.00
PF04048,1.00,,0.00,1.00,,0.00
PF04049,1.00,,0.00,1.00,,0.00
PF04050,1.00,,0.00,1.00,,0.00
PF04051,0.49,1.16,0.09,0.48,1.09,0.08
PF04053,0.59,0.68,0.06,0.59,0.72,0.05
PF04054,1.00,,0.00,1.00,,0.00
PF04055,0.32,0.18,0.14,0.35,0.22,0.09
PF04056,0.99,5.08,0.00,0.99,5.08,0.00
PF04057,1.00,,0.00,1.00,,0.00
PF04061,0.90,4.59,0.00,0.90,4.59,0.00
PF04062,1.00,,0.00,1.00,,0.00
PF04063,1.00,,0.00,1.00,,0.00
PF04064,1.00,,0.00,1.00,,0.00
PF04065,1.00,,0.00,1.00,,0.00
